Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-351.18286597520637,-305.77889951586224,-351.18286597520637,-305.77889951586224,700.7705137729645
2,-171.0442393731386,-758.3506490734359,-261.11355267417247,-532.064774294649,700.7705137729645
3,-168.55928484423788,-438.4846393044535,-230.26213006419425,-500.8713959645838,700.7705137729645
4,-102.9504984954563,-427.2019438600509,-198.43422217200975,-482.4540329384506,700.7705137729645
5,-110.87284981177754,-362.0680849150362,-180.9219476999633,-458.37684333376774,700.7705137729645
6,-94.09185636088023,-499.26711081548524,-166.45026581011612,-465.19188791405395,700.7705137729645
7,-123.92812904259569,-333.7744976996257,-160.3756748433275,-446.41797502627844,700.7705137729645
8,-84.27329594871273,-449.52628420671,-150.86287748150068,-446.80651367383246,700.7705137729645
9,-191.26735800138482,-867.7855615709502,-155.35226420593224,-493.5819634401789,700.7705137729645
10,-101.49221647432513,-618.4722247614188,-149.96625943277155,-506.0709895723029,700.7705137729645
11,-257.2918684152794,-741.340273457377,-159.7231329766359,-527.4591062891278,700.7705137729645
12,-207.0680410664815,-480.5291191485721,-163.66854198412304,-523.5482740274148,700.7705137729645
13,-134.42886320374134,-667.7298941097041,-161.41933592409367,-534.6391678798987,700.7705137729645
14,-398.15907217723696,-395.42595342154596,-178.32931708503247,-524.6953668471591,700.7705137729645
15,-298.8748191560686,-713.7025899890467,-186.3656838897682,-537.2958483899516,700.7705137729645
16,-264.2476873071206,-643.8589264150759,-191.23330910335272,-543.9560407665219,700.7705137729645
17,-255.81425925227256,-562.7889886412488,-195.03218852387744,-545.0638612297412,700.7705137729645
18,-615.256476788467,-676.2577275551935,-218.37798231635463,-552.352409358933,700.7705137729645
19,-361.74600329590425,-572.4262356901688,-225.92366763106776,-553.4089265342612,700.7705137729645
20,-160.84077201582045,-373.9429502350005,-222.66952285030538,-544.4356277192982,700.7705137729645
21,-285.6607706897371,-527.3551500077647,-225.66910608075455,-543.6222716377966,700.7705137729645
22,-389.9613924177691,-946.4998919555388,-233.13693727789158,-561.9348907431485,700.7705137729645
23,-88.67875832938556,-574.790011050037,-226.8561468888261,-562.4938090173611,700.7705137729645
