Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-288.246679515649,-641.3546345032347,-288.246679515649,-641.3546345032347,1115.4551584720612
2,-351.6772083772906,-647.0609177068321,-319.9619439464698,-644.2077761050334,1115.4551584720612
3,-88.91448284522822,-984.8314854615887,-242.94612357938925,-757.7490125572185,1115.4551584720612
4,-90.83649216241618,-84.4244777261591,-204.918715725146,-589.4178788494537,1115.4551584720612
5,-266.6143417315242,-739.388038436026,-217.2578409264216,-619.4119107667682,1115.4551584720612
6,-261.82214956008295,-2202.2683421851652,-224.68522569869847,-883.2213160031675,1115.4551584720612
7,-210.70647765134453,-775.8321375084319,-222.68826169193363,-867.8800047896339,1115.4551584720612
8,-232.2986365569479,-2459.6949350549735,-223.88955855006043,-1066.8568710728014,1115.4551584720612
9,-111.80214710742845,-93.8298670818526,-211.43540172310134,-958.7427595182515,1115.4551584720612
10,-131.69771230787129,-685.6024184779696,-203.46163278157832,-931.4287254142233,1115.4551584720612
11,15.781318518343912,-81.89977065243501,-183.5304553906763,-854.1988204358789,1115.4551584720612
12,-98.67649358098922,-210.17428453970348,-176.4592919065357,-800.5301091111977,1115.4551584720612
13,-74.99221033667885,-66.17517421318844,-168.65413178577748,-744.041267965197,1115.4551584720612
14,-169.0763081753032,-83.27635693333748,-168.68428724217216,-696.8437743200642,1115.4551584720612
15,-152.7645345502678,-109.17809550002798,-167.62297039604522,-657.6660623987285,1115.4551584720612
16,-116.31744607336883,-399.35322834336137,-164.41637512587795,-641.521510270268,1115.4551584720612
17,-109.18568407512883,-90.47885015448051,-161.1675109464221,-609.1072361458099,1115.4551584720612
18,-213.38090809744438,-89.22825732329927,-164.06825523259002,-580.2250706556704,1115.4551584720612
19,-403.91079912455007,-303.46870464405254,-176.6915470163774,-565.6589461287431,1115.4551584720612
20,-142.20003475241612,-128.43393244208008,-174.96697140317934,-543.79769544441,1115.4551584720612
21,-133.64173584463018,-99.69850706540478,-172.99910304324843,-522.6501150454097,1115.4551584720612
22,-113.51832422559599,-118.90793540239682,-170.29543127880967,-504.2981977889091,1115.4551584720612
23,-98.84815263337588,-294.6431053526212,-167.189027859443,-495.18275898733134,1115.4551584720612
24,-178.36362439647104,-108.01734832354396,-167.65463604848583,-479.05086687634025,1115.4551584720612
25,-242.06975197571725,-337.54250673580776,-170.63124068557508,-473.390532470719,1115.4551584720612
26,-106.23292544493643,-225.83604113182446,-168.15438240708897,-463.8692058807615,1115.4551584720612
27,-83.55211934469433,-122.91375082234828,-165.0209652566299,-451.24122606378324,1115.4551584720612
28,16.4629248654351,-261.4316423525926,-158.53939775227042,-444.46231235981213,1115.4551584720612
29,-103.94337038438968,-60.71824129544002,-156.65677611889524,-431.22975818517864,1115.4551584720612
30,-86.59140943267585,-270.68307481399245,-154.32126389602126,-425.8782020728058,1115.4551584720612
31,-80.0645802189263,-153.77022808783806,-151.92588700321176,-417.10052549264555,1115.4551584720612
32,-106.2079422265738,-95.13509193510289,-150.49720122894183,-407.03910569397226,1115.4551584720612
33,-137.14512390631694,-381.34377607952433,-150.09259282522592,-406.26045934201926,1115.4551584720612
34,-323.9736336308498,-284.13880899831355,-155.20674108421485,-402.66864609661616,1115.4551584720612
35,-140.60330511966544,-325.0133055090889,-154.78950005665632,-400.44992207982966,1115.4551584720612
36,-187.47816395439574,-125.63849779371535,-155.69751849826017,-392.8162714052154,1115.4551584720612
37,-51.68966525428448,28.88171761028633,-152.88649543761218,-381.4190284588505,1115.4551584720612
38,-205.8282201489999,-116.9342454747152,-154.27969871949082,-374.45890259084695,1115.4551584720612
39,-78.09542002569992,-609.2319635105625,-152.3262556760603,-380.47872466571147,1115.4551584720612
40,-386.56583920017545,-385.10634896368055,-158.18224526416316,-380.5944152731607,1115.4551584720612
41,-224.5083629703617,-647.8460851334803,-159.7999554521192,-387.11274868438795,1115.4551584720612
42,-117.02426813141176,-586.2519255829145,-158.78148670638808,-391.8541576581624,1115.4551584720612
43,-164.35723057224482,-74.25836049897637,-158.91115516838474,-384.4682088870186,1115.4551584720612
44,-100.45960927474965,-92.56235879688518,-157.5827109435294,-377.8339850213337,1115.4551584720612
45,-66.35320487621928,-792.9912275151635,-155.55538858647807,-387.0597015211966,1115.4551584720612
46,-183.89187647738157,-151.42003235277738,-156.17139919280206,-381.9371000175353,1115.4551584720612
47,-150.40489240804493,-779.8787588784427,-156.04870755908382,-390.40394382308654,1115.4551584720612
48,-163.91405226231785,-91.34677183929826,-156.21256890706786,-384.1735860734243,1115.4551584720612
49,-90.41732493388878,-104.77241862222493,-154.86980882598257,-378.47152143156313,1115.4551584720612
50,-83.745596841225,-646.8037017647825,-153.44732458628744,-383.83816503822754,1115.4551584720612
51,-192.1478014931331,-532.6941839266411,-154.2061574668138,-386.7569105066278,1115.4551584720612
52,-204.447229581126,-194.02555962315716,-155.17233193055057,-383.05053837425334,1115.4551584720612
53,-98.09888513592257,-535.4748750366059,-154.09547444385947,-385.9264692546751,1115.4551584720612
54,-145.47821465693465,-746.0059537945876,-153.93589555891643,-392.5946078572661,1115.4551584720612
55,-84.8293494936203,-49.35661669070521,-152.67941290318376,-386.35391710878315,1115.4551584720612
56,-83.84907677747248,-1478.9295674345876,-151.4502997580818,-405.8641965788867,1115.4551584720612
57,-87.20639104398965,-25.253513809432192,-150.3232136402907,-399.18681617942264,1115.4551584720612
58,-184.31115060287328,-1073.7230339258117,-150.90921255343866,-410.8167509681535,1115.4551584720612
59,-125.54593389316778,-1035.9351472629291,-150.47932647445103,-421.4119780239971,1115.4551584720612
60,-139.37580800095057,-765.7680595696124,-150.29426783322603,-427.15124604975733,1115.4551584720612
61,-84.73804259528947,-186.80313094196504,-149.21957561621068,-423.21111301520335,1115.4551584720612
62,-172.9029151897733,-3136.1078398895133,-149.60156496417136,-466.96751183575674,1115.4551584720612
63,-86.98904716458031,-908.0133563710648,-148.60771547528896,-473.96823952679335,1115.4551584720612
64,-202.8633808567119,-659.8767621289609,-149.45546024687368,-476.8730601924523,1115.4551584720612
65,-118.71725182365512,-402.83224146241434,-148.9825647326703,-475.7339706735286,1115.4551584720612
66,-97.80636332616692,-242.7354334017024,-148.2071677416627,-472.20368980577365,1115.4551584720612
67,-117.98381069370339,-1126.5285846339823,-147.75607286034986,-481.96973301216485,1115.4551584720612
68,-103.00784454109514,-450.6922416325634,-147.09801067918434,-481.5097699036413,1115.4551584720612
69,-248.3898953258425,-788.081490290624,-148.5660090073968,-485.9528383150468,1115.4551584720612
70,-188.99181961722093,-796.6220582687757,-149.14352058753713,-490.3909700286715,1115.4551584720612
71,-274.6301419821742,-3057.6201088361227,-150.9109377902785,-526.5491269132834,1115.4551584720612
72,-63.847391038590615,-980.288681609223,-149.70172186317174,-532.8510651729495,1115.4551584720612
73,-85.90494207739263,-741.0017324236629,-148.82779337295557,-535.7024441763839,1115.4551584720612
74,-131.92391188915036,-502.15238589250066,-148.59936254209336,-535.2490650103854,1115.4551584720612
75,-95.09378741810418,-547.246876868177,-147.8859548737735,-535.409035835156,1115.4551584720612
76,-235.94135961041022,-502.3723452127785,-149.0445786203082,-534.9743425374932,1115.4551584720612
77,-99.76337875888225,-619.7764660499432,-148.40456303769224,-536.0756688168757,1115.4551584720612
78,-190.23381731795112,-492.90418864059023,-148.9408355284648,-535.522188301795,1115.4551584720612
