Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-338.2746119540326,-675.8206743168133,-338.2746119540326,-675.8206743168133,1824.9053511619568
2,-89.86396111983802,-506.4484600502799,-214.0692865369353,-591.1345671835466,1824.9053511619568
3,-345.44856429538163,-573.2676851073754,-257.86237912308405,-585.1789398248228,1824.9053511619568
4,-195.72684788164875,-579.4177067133729,-242.32849631272524,-583.7386315469604,1824.9053511619568
5,-283.1437514421449,-47.42482944603425,-250.49154733860914,-476.4758711267752,1824.9053511619568
6,-219.54489075586173,-90.726566655574,-245.33377124148456,-412.184320381575,1824.9053511619568
7,-264.13794511225365,-219.2290821228004,-248.02008179445156,-384.6192863446072,1824.9053511619568
8,-37.225039225171585,-359.73175391195934,-221.67070147329162,-381.50834479052617,1824.9053511619568
9,-125.15074291328176,-103.20562335101013,-210.9462616332905,-350.5858201861355,1824.9053511619568
10,-247.63333669849385,-204.64324535986424,-214.61496913981082,-335.99156270350835,1824.9053511619568
11,19.96975220302288,-428.4984452930262,-193.2890853813714,-344.40127930255545,1824.9053511619568
12,9.554289267512559,-396.282506743535,-176.38547082729772,-348.7247149226371,1824.9053511619568
13,-219.84828848795308,-339.5089284295206,-179.72876449350198,-348.0158082693205,1824.9053511619568
14,-212.4941396512905,-165.942855482854,-182.06914843334403,-335.01059735600137,1824.9053511619568
15,-249.39707489923848,-496.66265543221385,-186.55767686440365,-345.7874012277489,1824.9053511619568
16,-524.9561109168308,-660.7274623239446,-207.70757899268037,-365.4711550462612,1824.9053511619568
17,-342.32570447675323,-631.1275144905711,-215.62629225644937,-381.09799971945586,1824.9053511619568
18,-623.5666740950169,-562.009095354769,-238.28964680303645,-391.1486161436399,1824.9053511619568
19,-360.7923062877337,-558.5800212365168,-244.73715519696788,-399.9607953590545,1824.9053511619568
20,-237.01923222062717,-691.574358839864,-244.35125904815087,-414.541473533095,1824.9053511619568
21,-161.5957834150654,-407.6586252450699,-240.410522113242,-414.2137188527129,1824.9053511619568
22,-484.05383442734313,-573.5904089340377,-251.48521812751932,-421.4581138564095,1824.9053511619568
23,-391.18904773981853,-508.27323275121614,-257.55929767588015,-425.2326842431402,1824.9053511619568
24,-254.3577112406889,-608.2467648463697,-257.4258982410806,-432.85827093494134,1824.9053511619568
25,-311.3195859726209,-157.51698037580252,-259.5816457503422,-421.84461931257573,1824.9053511619568
26,-226.55189833325255,-184.10552936387228,-258.3112708496849,-412.70080816070254,1824.9053511619568
27,-320.2446597857596,-333.19581430317487,-260.6051000695395,-409.75617875857193,1824.9053511619568
28,-416.4704192930552,-75.87176413450317,-266.17171861323646,-397.83173537914087,1824.9053511619568
29,-222.9642451747007,-87.81255088199588,-264.6818057360456,-387.14141867234275,1824.9053511619568
30,-213.47037906168242,-89.12780826928443,-262.97475818023344,-377.2076316589075,1824.9053511619568
31,-72.10328429012584,-70.45461559647173,-256.81761386119774,-367.31237307624826,1824.9053511619568
32,-102.39048576940655,-88.39248195198863,-251.9917661083293,-358.5961264786152,1824.9053511619568
33,-224.3005808059321,-93.91214447535454,-251.15263928098395,-350.57539975124365,1824.9053511619568
34,-213.09639099576634,-110.75605317668771,-250.03333786083047,-343.5218895578744,1824.9053511619568
