Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-94.1978699612509,-249.695316111338,-94.1978699612509,-249.695316111338,1372.595799446106
2,-118.00282238945489,-326.7271413189892,-106.1003461753529,-288.2112287151636,1372.595799446106
3,-205.72064109930187,-522.7601223015249,-139.30711115000256,-366.39419324395067,1372.595799446106
4,-352.747101468937,-375.35633035686163,-192.66710872973616,-368.6347275221784,1372.595799446106
5,-316.0086527280066,-338.4851668296706,-217.33541752939027,-362.60481538367685,1372.595799446106
6,-97.41030383259766,-538.8283049577955,-197.34789857992484,-391.97539697936327,1372.595799446106
7,-169.67103233249185,-323.2159476525791,-193.3940605445773,-382.1526185041084,1372.595799446106
8,-122.48393336870686,-474.32639315676755,-184.53029464759345,-393.6743403356908,1372.595799446106
9,-121.00995982872763,-465.17395889441,-177.47247966771948,-401.6187423977707,1372.595799446106
10,-355.0524354748621,-524.5185461307451,-195.23047524843372,-413.9087227710681,1372.595799446106
11,-141.70176856378828,-293.4117254373425,-190.36422918619326,-402.95445028618394,1372.595799446106
12,-136.86506719443605,-120.24339241395441,-185.90596568688014,-379.3951954634981,1372.595799446106
13,-105.35951572245523,-186.86451547328122,-179.71008492038592,-364.58514315655833,1372.595799446106
14,-231.83232522016314,-354.72606945976605,-183.43310208465573,-363.88092360678746,1372.595799446106
15,-117.75575944842383,-270.927703411803,-179.0546125755736,-357.6840422604552,1372.595799446106
16,-123.20357741305561,-133.3605374696855,-175.5639228779162,-343.66382321103214,1372.595799446106
17,-83.55700989177568,-242.2972965963711,-170.1517515257903,-337.7010863513462,1372.595799446106
18,-251.99677366157908,-121.97410330512807,-174.69869720000077,-325.7162539598896,1372.595799446106
19,-267.8657946645092,-133.5035920929295,-179.60222864550124,-315.59979807215484,1372.595799446106
20,-119.90898579602988,-433.1643108591029,-176.61756650302766,-321.47802371150226,1372.595799446106
21,-124.49545998477588,-102.36378741596137,-174.13556143072998,-311.04401245933366,1372.595799446106
22,-207.30466547011378,-209.19917569034178,-175.64324797797468,-306.41470169710675,1372.595799446106
23,-142.15347097321677,-168.6447378049761,-174.18717071689827,-300.42470326701414,1372.595799446106
24,-113.85345055292385,-195.2922493350992,-171.67326571006598,-296.04418435318433,1372.595799446106
25,-258.6375542068822,-131.80466042922853,-175.1518372499386,-289.4746033962261,1372.595799446106
26,-365.25274791093364,-360.6818162312234,-182.4634107369,-292.2133423514183,1372.595799446106
27,-130.75028468282784,-326.9636591665718,-180.54810977193432,-293.5003911223499,1372.595799446106
28,-92.30437573550012,-408.3822867005943,-177.39654784206166,-297.6033159644301,1372.595799446106
29,-139.60881545179788,-347.1098337500887,-176.09352258722498,-299.3104372673838,1372.595799446106
30,-45.346758533365744,-734.1533603484518,-171.735297118763,-313.8052013700861,1372.595799446106
31,-73.70292309276364,-625.8061129322523,-168.572962472763,-323.8697469043495,1372.595799446106
32,-148.90870639509706,-573.815811190518,-167.958454470336,-331.6805614132923,1372.595799446106
33,-176.01565462943358,-210.2246990389969,-168.20261205091472,-328.0000807352834,1372.595799446106
34,-262.76464754135304,-719.6969311553398,-170.98384838886878,-339.5205763358733,1372.595799446106
35,-97.96414240880962,-222.7136425209541,-168.8975710751528,-336.18323536973276,1372.595799446106
36,-150.47565519898404,-1092.672526501947,-168.38585118970366,-357.196826790072,1372.595799446106
37,-104.62961519978765,-221.94777249622175,-166.6627096764627,-353.54144694429226,1372.595799446106
38,22.681354065776077,-709.1481968937527,-161.6799711569301,-362.89951931138336,1372.595799446106
39,-108.5808466179268,-1896.25248736327,-160.3184551431095,-402.21626208194454,1372.595799446106
40,-144.73072097551395,-947.0982096781271,-159.92876178891962,-415.83831077184914,1372.595799446106
41,-337.7960868602976,-1457.1248581161747,-164.26698922968492,-441.2355436339059,1372.595799446106
42,-105.65384919318721,-300.46968289809945,-162.871438276435,-437.88397552114856,1372.595799446106
43,-125.4969531944704,-855.7097712339092,-162.0022642047614,-447.6008544912128,1372.595799446106
44,-241.58024762949364,-269.6343976754249,-163.81085473714168,-443.55616229085393,1372.595799446106
45,-195.06141836542793,-296.56480734174926,-164.50531170665914,-440.2896877364294,1372.595799446106
46,-166.62613940072723,-904.5606957704606,-164.5514166565302,-450.3825357371693,1372.595799446106
47,-78.60566440115669,-271.678857643214,-162.72278362982013,-446.58032982027663,1372.595799446106
48,-288.11509013234985,-1248.2111184304958,-165.33512334862283,-463.28097124965603,1372.595799446106
49,-220.69695806791503,-652.262490809874,-166.46495671024104,-467.1377369549666,1372.595799446106
50,-76.35040541520141,-1399.0877149843209,-164.66266568434025,-485.7767365155537,1372.595799446106
51,-224.42649761932222,-738.9795615503232,-165.83450552620263,-490.7414977907453,1372.595799446106
52,-249.4015278882201,-232.78606504748348,-167.44156364854913,-485.7808163918364,1372.595799446106
53,-78.9939649638392,-938.0394972245822,-165.7727410318565,-494.313999049058,1372.595799446106
54,-96.37389363620774,-181.883167053847,-164.48757719119635,-488.5282429009985,1372.595799446106
55,-188.53308666783647,-605.805247969367,-164.9247682725898,-490.6605520840598,1372.595799446106
56,-105.1766322128183,-290.15042063561987,-163.8578372715224,-487.0800140224805,1372.595799446106
57,-99.45544447226803,-735.5830111861544,-162.72797073118463,-491.4397157271063,1372.595799446106
58,-83.2205382636526,-167.81084201739782,-161.3571529300203,-485.8599075596976,1372.595799446106
59,-66.31402208494998,-884.7400479068883,-159.74625240722247,-492.62058790456524,1372.595799446106
60,-77.7663913804769,-43.33119758357624,-158.37992139011007,-485.1324313992154,1372.595799446106
61,-78.60418242752088,-179.5725237772853,-157.07212239072337,-480.12325258574117,1372.595799446106
62,-199.30036439598996,-662.7301682468612,-157.75322306822764,-483.068525418985,1372.595799446106
63,-50.03682859778627,-498.092011954646,-156.04343902901428,-483.30699345923364,1372.595799446106
64,-127.2816646630533,-396.30830039838474,-155.59403630454617,-481.9476388801578,1372.595799446106
65,-111.02467466295475,-698.6061983942046,-154.90835381775244,-485.28084748806623,1372.595799446106
66,-133.3970666505865,-261.86596068613113,-154.58242522431055,-481.8957734456127,1372.595799446106
67,-94.9518252093901,-806.6791698769458,-153.69241626886395,-486.7432868251848,1372.595799446106
68,-99.31023568488783,-511.32786602345817,-152.89267831909962,-487.10482475457115,1372.595799446106
69,-132.40021868977368,-687.3080471288158,-152.59568615055866,-490.00632073100957,1372.595799446106
70,-267.0794584742447,-205.56023115884568,-154.2311686123256,-485.9428051656929,1372.595799446106
71,-277.9754258635328,-847.8638767208507,-155.97404547501867,-491.04028504675153,1372.595799446106
72,-58.72615822202403,-462.1317419532855,-154.62338037428262,-490.63877750378674,1372.595799446106
73,-4.851713292835683,-1301.7878174936288,-152.57171370193402,-501.75040818857906,1372.595799446106
74,-73.99689919721352,-910.0484823887725,-151.50989188430265,-507.26794973182496,1372.595799446106
75,-55.807352106703036,-740.4680429399702,-150.23385802060133,-510.3772843079335,1372.595799446106
76,-111.98363941097354,-196.2450282544271,-149.73056567047465,-506.24396514933477,1372.595799446106
77,-118.37118647979568,-919.5447640428964,-149.32330100566062,-511.61150799210833,1372.595799446106
78,-70.55771320287519,-1003.5655769562865,-148.3134857774198,-517.918611440367,1372.595799446106
79,-171.56393342755229,-866.8802317674747,-148.60779524134554,-522.3358471407101,1372.595799446106
80,-86.33744300306702,-758.8648529977662,-147.82941583836705,-525.2924597139233,1372.595799446106
81,-223.5870962543983,-768.0686991745421,-148.76469584350323,-528.2896972381284,1372.595799446106
82,-74.51123401186148,-1530.9376245498577,-147.85916582116613,-540.5171109858325,1372.595799446106
83,-151.99195835922302,-1245.3743302951561,-147.90895850234756,-549.0093666401616,1372.595799446106
84,-321.71627772991235,-518.8601669702302,-149.97809325505665,-548.650447596472,1372.595799446106
85,-88.34603679030624,-701.1513019616804,-149.2530102378243,-550.4445752948862,1372.595799446106
86,-242.98068674552292,-985.4692542407308,-150.34286694140218,-555.5030017942565,1372.595799446106
87,-110.53970289492365,-1246.5467437169325,-149.88535930868403,-563.4460333106091,1372.595799446106
88,-74.96072025689536,-845.7456840555533,-149.03394295582282,-566.6539838872562,1372.595799446106
89,-209.96345795163785,-1059.5365909740533,-149.71854424791064,-572.1919907084562,1372.595799446106
90,-129.0501873229625,-771.2561656453626,-149.48889583763344,-574.4038148744218,1372.595799446106
91,-93.23772722661703,-1192.547618033764,-148.87075112762227,-581.1966039201288,1372.595799446106
92,-97.353204784266,-1147.1738594827452,-148.31077779780315,-587.3485306110268,1372.595799446106
93,-89.28174156920984,-1159.7983475288972,-147.67605697814088,-593.5039049864879,1372.595799446106
94,-94.9354632588054,-721.5984849035813,-147.11498683219048,-594.8666132834783,1372.595799446106
95,-94.07190822936178,-1036.34160398283,-146.55663863637125,-599.5137184487346,1372.595799446106
96,-328.51363969170507,-4813.908562116982,-148.45202406403095,-643.4136647369454,1372.595799446106
97,-204.03638259635682,-1025.3779874504155,-149.02505868807555,-647.3514412597648,1372.595799446106
