Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-144.5175401110164,-444.52851061252255,-144.5175401110164,-444.52851061252255,772.444671869278
2,-124.86834478248286,-526.2173151070061,-134.6929424467496,-485.37291285976437,772.444671869278
3,-94.61411205165105,-1157.380420200122,-121.33333231505009,-709.3754153065502,772.444671869278
4,-263.8965503660391,-982.9802756061063,-156.97413682779734,-777.7766303814392,772.444671869278
5,-377.9103414134059,-2142.3103025272335,-201.16137774491904,-1050.683364810598,772.444671869278
6,-626.9027856170937,-5237.082881331881,-272.11827905694815,-1748.416617564145,772.444671869278
7,-484.7691822573753,-1418.9370507148,-302.49697951415203,-1701.3481080142387,772.444671869278
8,-846.762444485728,-783.2099093254603,-370.530162635599,-1586.5808331781416,772.444671869278
9,-536.7871566120227,-401.45326497603367,-389.0031619663128,-1454.8999922667963,772.444671869278
10,-1013.9338127988158,-441.9802020058366,-451.4962270495631,-1353.6080132407,772.444671869278
11,-625.5471357997216,-1014.0731334872394,-467.3190369359411,-1322.7412059903857,772.444671869278
12,-569.1868259869527,-707.4112221124316,-475.8080193568587,-1271.4637073338895,772.444671869278
13,-460.40830856663115,-541.8180622250688,-474.6234262191489,-1215.3371192485956,772.444671869278
14,-606.298953543301,-564.8963111338942,-484.02882102801686,-1168.877061526117,772.444671869278
15,-657.003552796931,-669.3359986567449,-495.56046981261113,-1135.5743240014922,772.444671869278
16,-692.3582957075258,-796.5423867646986,-507.8603339310434,-1114.3848279241925,772.444671869278
17,-576.7997182432784,-813.435934872274,-511.9155918317631,-1096.681951862315,772.444671869278
18,-671.7618390220441,-1585.6801247885662,-520.7959388978899,-1123.8485170248846,772.444671869278
19,-552.4267406014519,-811.016228701394,-522.4607179349194,-1107.383659744701,772.444671869278
20,-561.9430421768109,-612.5183648806741,-524.4348341470139,-1082.6403950014997,772.444671869278
21,-478.690884901584,-513.6147701421006,-522.2565508496125,-1055.5439366748615,772.444671869278
22,-479.5976899056603,-3415.9753497359125,-520.3175117157965,-1162.836273632182,772.444671869278
23,-573.671507780462,-602.6767074018842,-522.6372506751297,-1138.4815098830386,772.444671869278
24,-430.9917543791674,-548.5372197036395,-518.8186883294646,-1113.9004977922302,772.444671869278
25,-488.9654250881337,-390.88941296604895,-517.6245577998114,-1084.9800543991828,772.444671869278
26,-386.9013007772261,-447.56431767549685,-512.5967402220197,-1060.464064525195,772.444671869278
27,-275.3429272546042,-449.0330919109437,-503.80956196396727,-1037.8184729468894,772.444671869278
28,-473.7344840138662,-2860.9032421439288,-502.73545203717794,-1102.928643275355,772.444671869278
29,-465.46152402876635,-629.1258324112175,-501.45014417481894,-1086.5906153145227,772.444671869278
30,-513.136836314508,-1054.7341020677459,-501.8397005794752,-1085.5287315396301,772.444671869278
31,-281.1586198594367,-982.7839041340485,-494.7209560401191,-1082.2143822684823,772.444671869278
32,-630.2601011171025,-881.3681549784731,-498.9565543237749,-1075.9379376656698,772.444671869278
33,-785.2910282253875,-867.1215690550448,-507.6333565632178,-1069.6101689198933,772.444671869278
34,-717.3612526545446,-1260.4188381328984,-513.8018240953156,-1075.2221886026289,772.444671869278
35,-587.9905689478815,-378.7773032517524,-515.9215025196746,-1055.3237633068893,772.444671869278
36,-502.1161184135279,-738.1752398544348,-515.5380196278371,-1046.5140820998768,772.444671869278
37,-716.5893752846,-582.5672372307299,-520.9718400509929,-1033.9749781844944,772.444671869278
38,-624.38986065622,-745.7566601621116,-523.6933669090253,-1026.390285604958,772.444671869278
39,-639.7085022960348,-593.9312643627841,-526.6681139702306,-1015.3015927525947,772.444671869278
40,-1162.7482632877586,-783.3996064927051,-542.5701177031688,-1009.5040430960973,772.444671869278
41,-591.7116061733642,-930.9667127085662,-543.7686905926857,-1007.5884984524989,772.444671869278
42,-873.6023457081038,-1592.4921377878559,-551.6218728573385,-1021.5147755795313,772.444671869278
43,-355.3576166822743,-500.70348730557987,-547.0575878300115,-1009.4028851545556,772.444671869278
44,-682.7837549500114,-416.5471881565743,-550.142273446375,-995.9288920409653,772.444671869278
45,-137.02513947909728,-2063.603723632201,-540.9618926915467,-1019.6549994096594,772.444671869278
46,-383.06886148494726,-495.95132433542057,-537.5294354914032,-1008.2701369080455,772.444671869278
47,-487.1283560604981,-526.9093114164251,-536.4570720992563,-998.0284172167345,772.444671869278
48,-792.1040869489384,-514.1892952553956,-541.7830515752913,-987.9484355092064,772.444671869278
49,-658.6835079550976,-935.4646914346948,-544.1687751748792,-986.8773386913593,772.444671869278
50,-432.36658200112964,-612.830988144811,-541.9327313114043,-979.3964116804283,772.444671869278
51,-642.052818239071,-523.885971897383,-543.8958702707703,-970.4648344297804,772.444671869278
52,-612.2037932456979,-686.9622539639724,-545.2094841741343,-965.0128617285148,772.444671869278
53,-791.3510246107561,-462.79622752143865,-549.8536641823724,-955.5370761774379,772.444671869278
54,-652.5163487198548,-921.7043559127976,-551.7548250071405,-954.9105443206854,772.444671869278
55,-506.3950011220259,-739.7416101618633,-550.9301009365022,-950.998381881434,772.444671869278
56,-519.2691372690372,-450.2703727296301,-550.3647265852975,-942.0568102894375,772.444671869278
57,-596.2169998551105,-638.4660086553426,-551.1691524321362,-936.7306558748043,772.444671869278
58,-561.1319840883718,-462.84271051145447,-551.3409253917266,-928.5601740581948,772.444671869278
59,-400.88532659555045,-4436.12667507889,-548.7908304968761,-988.0104537365116,772.444671869278
60,-499.02406538072154,-711.5447015832605,-547.9613844116069,-983.4026912006242,772.444671869278
61,-501.6504368006581,-672.6286533369632,-547.2021885491323,-978.3080348422035,772.444671869278
62,-570.072128960865,-1105.0670784074164,-547.5710585557731,-980.3525355448683,772.444671869278
63,-478.4757036262981,-1194.1547839607335,-546.4743068902259,-983.7462220276597,772.444671869278
64,-532.949992633343,-5445.472160848657,-546.262989479962,-1053.4606898217378,772.444671869278
65,-596.8844673539415,-745.8862117156441,-547.041781447254,-1048.7287747739517,772.444671869278
66,-418.1786748182293,-643.742780066957,-545.089310134693,-1042.592623338997,772.444671869278
67,-457.34580411751364,-722.4006289495338,-543.7797055672723,-1037.8136383481096,772.444671869278
68,-618.6887152582223,-455.05930404157715,-544.8813086509628,-1029.2437216671312,772.444671869278
69,-267.14938142178545,-397.62054088034836,-540.856208256337,-1020.0897625252938,772.444671869278
70,-310.98797359360776,-571.9513670775236,-537.5723763325836,-1013.6877854474685,772.444671869278
71,-324.85242849485434,-522.2633649149143,-534.5763207292354,-1006.7663147357425,772.444671869278
72,-26.93772450876429,-574.4350045712032,-527.525784670618,-1000.7617132056795,772.444671869278
73,-74.4913207628526,-561.5513069823803,-521.3198331102377,-994.745132298511,772.444671869278
74,-169.09540879413782,-328.18072223222794,-516.5600435924525,-985.737505135453,772.444671869278
75,-79.0964644119813,-184.49477884721034,-510.7271958700463,-975.054268784943,772.444671869278
76,-68.37072816008624,-365.1215701606905,-504.90671603175736,-967.028838539887,772.444671869278
77,-325.51927200079575,-532.8167336912263,-502.5770089664202,-961.3897202950993,772.444671869278
78,-44.1856357239015,-482.0709136356939,-496.70019648895203,-955.2446073892095,772.444671869278
79,-77.77352243226953,-36.214632062344535,-491.39732719709525,-943.611316562287,772.444671869278
80,-237.99244405362543,17.03481331623935,-488.2297661578017,-931.6032399388056,772.444671869278
81,-115.7380942807663,-316.8595360271303,-483.6311035420358,-924.0138114954515,772.444671869278
82,-50.32243810123117,-187.75520531633683,-478.3468515244651,-915.0350480054624,772.444671869278
83,-316.67373540422943,-206.182397120038,-476.39898265554655,-906.4946546213006,772.444671869278
84,-348.73094781027817,-646.2731368070584,-474.87912509786474,-903.3967794092262,772.444671869278
85,-221.48451567877976,-766.301981843952,-471.8980120458755,-901.78389943787,772.444671869278
86,-61.60798607918022,-693.0779644703184,-467.1271977904488,-899.3570862405728,772.444671869278
87,-256.9784222394353,-362.87199726394897,-464.7116946231958,-893.1905909649795,772.444671869278
88,-52.19685542037129,-348.68606517281785,-460.024025995891,-887.0030395355233,772.444671869278
89,-55.9859232628579,-335.94586122858533,-455.48427203259854,-880.8113858466812,772.444671869278
90,12.394966932033682,-200.8937053084283,-450.28561382188036,-873.2567449518117,772.444671869278
91,-375.0578861824465,-426.9536862408091,-449.45893549617233,-868.3523157352073,772.444671869278
92,-347.4223294930399,-373.89668198643545,-448.34984195266003,-862.9777979770685,772.444671869278
93,-44.31956667000635,-284.57448228960413,-444.00543039048097,-856.7584074858055,772.444671869278
94,-183.046355233424,151.60737984186864,-441.22927001646974,-846.0311118759366,772.444671869278
95,-81.65249686563803,-243.24416493392746,-437.4442513517241,-839.6859861186523,772.444671869278
96,-101.44622062649098,-191.15236168369307,-433.944271865003,-832.9304275307882,772.444671869278
97,-69.56909164664006,-67.63993389961831,-430.18782670811265,-825.040834812941,772.444671869278
98,-64.8915978223421,-113.46257470624786,-426.46031416846193,-817.7798321587911,772.444671869278
99,-44.01090561533239,-181.96655861719336,-422.59718882954144,-811.3574758603911,772.444671869278
100,-9.69314660110473,-179.35107875377685,-418.4681484072571,-805.037411889325,772.444671869278
101,-67.52215066784495,-211.9681653453008,-417.69819451282535,-802.711808436653,772.444671869278
102,-52.58033156721855,-207.70846542649969,-416.97531438067267,-799.5267199398478,772.444671869278
103,-124.54588862146763,-264.00802602461647,-417.27463214637083,-790.5929959980928,772.444671869278
104,-46.860620635247386,-231.57994339490224,-415.1042728490629,-783.0789926759807,772.444671869278
105,-53.29050162308992,-367.84266789974686,-411.8580744511598,-765.3343163297059,772.444671869278
106,-47.13985243482053,-448.71269208857484,-406.06044511933703,-717.4506144372729,772.444671869278
107,-117.8198684506504,-536.4094041024002,-402.3909519812698,-708.6253379711488,772.444671869278
108,-18.251048793090376,-510.2121532526605,-394.10583802434337,-705.895360410421,772.444671869278
109,-40.525236179829676,-424.5596408566754,-389.14321882002145,-706.1264241692274,772.444671869278
110,-194.7565161047987,-557.5155273776152,-380.9514458530812,-707.2817774229452,772.444671869278
111,-124.5182609761679,-233.08547555388213,-375.9411571048458,-699.4719008436115,772.444671869278
112,-17.240315938364716,-282.3097845174706,-370.4216920043598,-695.2208864676617,772.444671869278
113,-293.9953364999364,-249.69957613027793,-368.7575622836929,-692.2997016067138,772.444671869278
114,-108.38345884241727,-426.72125943583046,-363.77840733668404,-690.9179510897332,772.444671869278
115,-144.0952891523079,-338.1433305376954,-358.64932470023786,-687.6060244085427,772.444671869278
116,-178.32769126111754,-277.1229734700162,-353.5090186557738,-682.411830275596,772.444671869278
117,150.88614572099797,-590.2418962892077,-346.23216001613093,-680.1798898897654,772.444671869278
118,-219.34299867775573,-331.3439288730316,-341.707971612688,-667.63652793061,772.444671869278
119,-433.4425128850618,-452.27454694766607,-340.5181293355243,-664.0491111130726,772.444671869278
120,-360.4147095120729,-466.28076214904394,-338.5028460088768,-662.5867350857563,772.444671869278
121,-351.0850291093642,-292.48963202048617,-337.22678745095465,-660.3754837045401,772.444671869278
122,-302.3244880020802,-236.78888880523155,-335.4540554319189,-628.5836190952334,772.444671869278
123,-154.13722216794972,-306.8454409210898,-331.2587125757937,-625.6253064304254,772.444671869278
124,-211.87939474979183,-434.89669470543356,-329.0675889795,-624.4889011804435,772.444671869278
