Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-150.5102338428747,-389.54378677862013,-150.5102338428747,-389.54378677862013,2542.29172372818
2,-352.055939199549,-74.20781192879984,-251.28308652121186,-231.87579935371,2542.29172372818
3,-107.81196636209181,-318.9085547265919,-203.45937980150518,-260.8867178113373,2542.29172372818
4,-127.8840930037773,-79.26420574659946,-184.5655581020732,-215.48108979515283,2542.29172372818
5,-106.72818083921558,-249.0425614839574,-168.99808264950167,-222.19338413291376,2542.29172372818
6,-117.74799412401059,-246.7476744441846,-160.4564012285865,-226.2857658514589,2542.29172372818
7,-534.5300236903824,-521.8400421243189,-213.89549015170022,-268.50780531901034,2542.29172372818
8,-62.154271311241494,-475.6589978058143,-194.92783779664285,-294.4017043798608,2542.29172372818
9,-61.35729088596443,-598.3752246814823,-180.08666591767857,-328.1765399689299,2542.29172372818
10,-509.2673631758007,-288.4358817680993,-213.00473564349076,-324.2024741488468,2542.29172372818
11,-144.40081831614359,-426.1064800733746,-206.7680158864592,-333.46647468744027,2542.29172372818
12,-211.171992098198,-367.8900471220103,-207.1350139041041,-336.3351057236544,2542.29172372818
13,-343.23715424970925,-399.77947608891645,-217.60440931530454,-341.2154419055977,2542.29172372818
14,-176.0072454927353,-470.85826559557967,-214.63318332797817,-350.47564359773924,2542.29172372818
15,-140.88256590443842,-558.8661400935686,-209.71647549974216,-364.3683433641279,2542.29172372818
16,-352.1839509077917,-194.4554141363161,-218.62069271274527,-353.74878528738964,2542.29172372818
17,-142.11635735736013,-360.8709085343665,-214.12043769184027,-354.16773371368237,2542.29172372818
18,-463.38096673604207,-359.1098737051477,-227.96824486096259,-354.44229704654157,2542.29172372818
19,-458.9283718098079,-71.58692750663052,-240.12404101616497,-339.5551723339147,2542.29172372818
20,-472.11657736800254,-64.69497882816664,-251.72366783375682,-325.81216265862724,2542.29172372818
21,-427.743221756048,-621.5979960661512,-260.10555135386596,-339.8972023446998,2542.29172372818
22,-134.34745654620002,-553.57561239699,-254.38927431715385,-349.6098573470766,2542.29172372818
23,-257.5604851868478,-441.37304929298114,-254.5271530506188,-353.59956134472463,2542.29172372818
24,-248.83139919558195,-369.9312113516984,-254.2898299733256,-354.28004676168194,2542.29172372818
25,-119.21921210890807,-559.2912296584151,-248.8870052587489,-362.48049407755127,2542.29172372818
26,-107.43133662778803,-322.076981732542,-243.44640261909657,-360.92651283351245,2542.29172372818
27,-509.5878558985361,-385.8298867918937,-253.30349348129803,-361.84886001715614,2542.29172372818
28,-121.99751790615595,-93.95819144940188,-248.61399435361437,-352.2813361397363,2542.29172372818
29,-116.47787303065331,-578.7120578866195,-244.05757637696055,-360.08929206204266,2542.29172372818
30,-88.66146795881009,-340.6773223628147,-238.87770609635555,-359.44222640540175,2542.29172372818
31,-122.04189915388103,-325.4285464728498,-235.1088090982112,-358.3450109237065,2542.29172372818
32,-330.9484751260942,-557.2979184130488,-238.10379866158254,-364.5622892827485,2542.29172372818
33,-388.1534160681246,-536.4735586351254,-242.6507567648111,-369.771721687366,2542.29172372818
34,-370.7834983553914,-496.50453589508226,-246.41936681159288,-373.49915739935767,2542.29172372818
35,-52.87962198468067,-407.7001461738271,-240.88965981653823,-374.47632850719964,2542.29172372818
36,-504.24795938980134,-572.7357685316944,-248.20516813801774,-379.9835351745467,2542.29172372818
37,-117.30968315297723,-459.5112374604366,-244.66745232761122,-382.1329325336248,2542.29172372818
38,-172.40223613094918,-512.5410795563294,-242.7657361119096,-385.5647258763276,2542.29172372818
39,-112.32848494762692,-500.1956832139064,-239.42119121026133,-388.5039811926757,2542.29172372818
40,-101.86017521186336,-530.6462139920657,-235.9821658103014,-392.0575370126605,2542.29172372818
41,-332.38409792194955,-449.89450325052576,-238.33343244717088,-393.46819472577914,2542.29172372818
42,-162.32928312258306,-514.1979788984925,-236.5238098442045,-396.34271339655805,2542.29172372818
43,-527.8700759116529,-390.0017736793227,-243.2993044039126,-396.1952496822038,2542.29172372818
44,-184.44090595131274,-248.59219690586525,-241.96161352998988,-392.8406348463779,2542.29172372818
45,-217.44902425955436,-590.6722577864596,-241.4168893239802,-397.23689313393527,2542.29172372818
46,-148.80645394762936,-509.527993747813,-239.4036189897117,-399.67800401684565,2542.29172372818
47,-42.72154803596277,-537.7886811189883,-235.21889407580215,-402.61652906157207,2542.29172372818
48,-384.1772021212136,-727.544909267239,-238.32219216008153,-409.3858703158567,2542.29172372818
49,-443.4914733451903,-345.23624946456664,-242.50932034753274,-408.0766943801161,2542.29172372818
50,-81.57629483638502,-742.9061402929068,-239.29065983730976,-414.77328329837195,2542.29172372818
51,-67.94780741405401,-605.125380634091,-235.93099606430474,-418.5056773637782,2542.29172372818
52,-172.0745348112993,-528.7838882033689,-234.70298719405463,-420.6264121876165,2542.29172372818
53,-56.80125996201053,-548.3939243799821,-231.34635083118587,-423.03711996483094,2542.29172372818
54,-257.3457082327967,-758.2929353185243,-231.82782041269718,-429.24556098989933,2542.29172372818
55,-309.3399571745476,-495.8884640612882,-233.23713199018536,-430.4572501366519,2542.29172372818
56,-201.05057698566245,-822.5126090871041,-232.66237207939034,-437.45823868933854,2542.29172372818
57,-93.11862410355914,-153.42521326758848,-230.2142361499898,-432.47520315562366,2542.29172372818
58,-254.50601765857755,-810.7477413728102,-230.63305996910339,-438.99714346971314,2542.29172372818
59,-369.0623690598006,-579.6962862047405,-232.9793194452169,-441.3818747025102,2542.29172372818
60,-222.87244854705395,-584.4690847609422,-232.81087159691418,-443.76666153681737,2542.29172372818
61,-436.3239852787301,-85.61745338461654,-236.14715214907508,-437.895363042519,2542.29172372818
62,-226.91717781322345,-466.90643997031776,-235.99828159527104,-438.3632836381287,2542.29172372818
63,-70.97050148344421,-774.9312025795466,-233.37879302206744,-443.7056315578337,2542.29172372818
64,-116.89134789057566,-421.22264071569055,-231.55867669188788,-443.35433482592515,2542.29172372818
65,-158.24125686036572,-156.12738708708335,-230.43071638678754,-438.93545870686603,2542.29172372818
66,-232.57801071806688,-671.7835623889332,-230.46325114938267,-442.46346027780646,2542.29172372818
67,-300.8171837056567,-1102.917201908272,-231.51330984425243,-452.32097880960447,2542.29172372818
68,-79.43198701950806,-167.08424776121512,-229.27681980271208,-448.1263210000693,2542.29172372818
69,-118.81250313608305,-199.49796694391807,-227.67588767710876,-444.52301152099466,2542.29172372818
70,-150.48836312101858,-219.40004498354017,-226.5732087548789,-441.30696914188815,2542.29172372818
71,-243.45588009332397,-179.97494208310312,-226.81099285823728,-437.62623636641234,2542.29172372818
72,-52.854968856973514,-214.82852607230944,-224.39493696933084,-434.53182372343866,2542.29172372818
73,-247.59341119244755,-178.93112681512793,-224.71272428745573,-431.0304443137358,2542.29172372818
74,-121.32563346504638,-170.96463825761538,-223.31560143850427,-427.5160415291936,2542.29172372818
75,-265.85125016728193,-716.2012227657028,-223.88274342155464,-431.3651772790137,2542.29172372818
76,-210.85106601176423,-599.6401755425468,-223.71127398195213,-433.57932199300757,2542.29172372818
77,-133.40095860202678,-127.92118799514498,-222.53841274325177,-429.60973583719124,2542.29172372818
78,-341.08581095591023,-576.6871255912508,-224.0582511818756,-431.4953433981407,2542.29172372818
79,-213.11362770238372,-804.5466667687532,-223.9197116441605,-436.21751204840155,2542.29172372818
80,-339.7942131738548,-396.0237926975928,-225.36814291328173,-435.7150905565166,2542.29172372818
81,-133.35230831547338,-864.6178356028427,-224.2321449552841,-441.01018617437245,2542.29172372818
82,-143.69062064531568,-998.4758996033183,-223.24993124418694,-447.808548533262,2542.29172372818
83,-196.24711885195404,-606.0399002798586,-222.9245961551239,-449.71495036153425,2542.29172372818
84,-303.8735908941172,-223.4196312852333,-223.88827466392144,-447.0209584677688,2542.29172372818
85,-124.74637425121531,-591.1331690683774,-222.72189936494843,-448.7163962395407,2542.29172372818
86,-100.27763458212523,-905.5612059133405,-221.29812884421793,-454.02854518923607,2542.29172372818
87,-99.69625772119339,-983.3308216879033,-219.90040618763143,-460.1124794018644,2542.29172372818
88,-275.1000793825558,-183.9111554611124,-220.5276752012101,-456.97382799344666,2542.29172372818
89,-151.84505251777537,-813.8717182219855,-219.7559603395985,-460.98391664769986,2542.29172372818
90,-89.85780965273392,-956.1443462943909,-218.31264755418889,-466.4856991993298,2542.29172372818
91,-62.43442035415191,-788.2917235967237,-216.59970000254012,-470.02202913776273,2542.29172372818
92,-175.6984685805584,-450.5964425756681,-216.15512140012726,-469.81088145774,2542.29172372818
93,-341.13063709791743,-656.4463075210944,-217.4989441495659,-471.8177139960556,2542.29172372818
94,-139.7214606320766,-837.8176703238345,-216.6715241121458,-475.7113305527341,2542.29172372818
95,-50.84769968994272,-820.1595381239785,-214.92601017085946,-479.3371011587472,2542.29172372818
96,-286.1817534638779,-317.1294677249988,-215.66825749682835,-477.6474383104789,2542.29172372818
97,-105.1603959521382,-157.19757647421807,-214.5290011922439,-474.3438314874246,2542.29172372818
98,-92.64429713388097,-861.8793601554462,-213.2852797222606,-478.29827565750645,2542.29172372818
99,-43.16555467947707,-314.650030742863,-211.56689866122238,-476.64526308261105,2542.29172372818
100,-119.87672459631226,-965.8999540796664,-210.64999692057327,-481.53780999258163,2542.29172372818
101,-85.23827485106754,-724.268142156526,-209.99727733065524,-484.8850535463608,2542.29172372818
102,-221.45007346971386,-831.9820492637833,-208.6912186733569,-492.46279591971063,2542.29172372818
103,-86.14944985827682,-916.1066550707319,-208.47459350831875,-498.434776923152,2542.29172372818
104,-111.14170884503606,-813.9011524244535,-208.30716966673134,-505.7811463899306,2542.29172372818
105,-262.40525204673986,-466.3652212291085,-209.86394037880657,-507.9543729873821,2542.29172372818
106,-115.57736949357087,-1073.5043149509202,-209.8422341325022,-516.2219393924495,2542.29172372818
107,-112.44319292064796,-1095.2697025805928,-205.62136582480485,-521.9562359970121,2542.29172372818
108,-113.10950206803386,-725.2173157249299,-206.13091813237276,-524.4518191762032,2542.29172372818
109,-126.10600394678903,-747.0309717764535,-206.77840526298095,-525.9383766471531,2542.29172372818
110,-64.17433930708313,-945.4476018757462,-202.3274750242938,-532.5084938482295,2542.29172372818
111,-91.10629979302954,-1211.2414005586863,-201.79452983906268,-540.3598430530826,2542.29172372818
112,-59.68109515262939,-378.6610683799251,-200.279620869607,-540.4675532656618,2542.29172372818
113,-75.6087995635765,-720.8912901886996,-197.60333732274566,-543.6786714066595,2542.29172372818
114,-199.63436683945875,-1178.9872247439855,-197.83960853621286,-550.7599609981436,2542.29172372818
115,-94.50218385820529,-725.1121909426138,-197.37580471575052,-552.4224215066341,2542.29172372818
116,-186.57759349350607,-1017.5496903616985,-195.7197411416077,-560.6533642688879,2542.29172372818
117,-135.70722221364218,-866.170319073066,-195.65564979017054,-565.7063583742749,2542.29172372818
118,-62.496633330925704,-618.6821667499089,-191.64680645611935,-568.3020813047226,2542.29172372818
119,-91.48487310273046,-323.6801002247178,-187.9723714690485,-570.8230130319034,2542.29172372818
120,-6.656149407900031,-609.6563432043035,-183.31776718944752,-576.2726266756649,2542.29172372818
121,-351.10731448772185,-497.62799512842133,-182.5514081167643,-575.0329266662875,2542.29172372818
122,-124.3492774584367,-792.0538972491536,-182.45142632588667,-577.4177095148092,2542.29172372818
123,-88.01743904081006,-519.9826955703677,-180.75599586442627,-578.2038059775831,2542.29172372818
124,-130.3491230736998,-697.8873723199074,-179.57117310320749,-581.4833675872652,2542.29172372818
125,-125.05422924965825,-447.08425885974566,-179.62952327461494,-580.3612978792785,2542.29172372818
126,-322.86431197255354,-549.6993140111514,-181.7838530280626,-582.6375212020645,2542.29172372818
127,-356.9009393803807,-478.8498173107738,-180.256983862881,-583.5677205072533,2542.29172372818
128,-133.4165555560495,-802.6523738746292,-180.37117423937997,-590.6546623315056,2542.29172372818
129,-63.97691286083856,-669.1024014486891,-179.84616463768182,-591.5585657671263,2542.29172372818
130,9.113614299297936,-481.5019663284708,-178.86841381510075,-592.9668122067828,2542.29172372818
131,-216.46803006431958,-676.9609867822294,-179.81267512420516,-596.4821366098766,2542.29172372818
132,-328.59158169715545,-558.0855831679004,-179.78910618991577,-596.4900132574252,2542.29172372818
133,-266.7338046096734,-750.0887861116755,-178.57491007533125,-598.6261655321906,2542.29172372818
134,-66.95016577791762,-837.7294464840098,-175.5365767495565,-602.0384146380799,2542.29172372818
135,-74.31500389263196,-701.0822572854087,-175.75093056863602,-604.9722357491958,2542.29172372818
136,-98.3815437958102,-647.5169470641027,-171.69226641269614,-605.7200475345198,2542.29172372818
137,-242.7988455490173,-575.4174517084978,-172.94715803665656,-606.8791096770004,2542.29172372818
138,-176.23905138993783,-366.44514756599216,-172.9855261892464,-605.4181503570971,2542.29172372818
139,-220.56438254191636,-665.0349326660153,-174.06788516518932,-607.0665428516181,2542.29172372818
140,-292.22124475210467,-863.4587291808473,-175.97149586059174,-610.3946680035059,2542.29172372818
141,-0.5318108308680678,-710.6451189283008,-172.65297298968093,-613.0021741602837,2542.29172372818
142,-42.05630867321244,-946.3016708515152,-171.45024324518718,-617.323211079814,2542.29172372818
143,-68.81327171281701,-1019.9760932199117,-166.85967520319883,-623.6229542752199,2542.29172372818
144,-129.98731040488605,-484.20097753202754,-166.31513924773458,-625.9790420814815,2542.29172372818
145,-39.21972575782468,-816.0537074257102,-164.53284626271733,-628.2328565778739,2542.29172372818
146,-32.19057899829535,-869.1227159343555,-163.36668751322392,-631.8288037997394,2542.29172372818
147,-113.10076856363379,-881.2072757709138,-164.07047971850065,-635.2629897462585,2542.29172372818
148,-129.80064692120445,-695.1179738676083,-161.52671416650057,-634.9387203922622,2542.29172372818
149,-13.129102681883097,-543.7110587195257,-157.22309045986748,-636.9234684848119,2542.29172372818
150,-135.1178226311293,-518.8440121978434,-157.75850573781494,-634.6828472038612,2542.29172372818
151,-119.9080553388535,-884.6937582353345,-158.27810821706294,-637.4785309798738,2542.29172372818
152,-117.81746793677011,-578.8169170529911,-157.73553754831764,-637.97886126837,2542.29172372818
153,-191.51304848912855,-765.0813865327178,-159.0826554335888,-640.1457358898973,2542.29172372818
154,-110.80449811332451,-430.79071226646715,-157.61724333239408,-636.8707136593767,2542.29172372818
155,-105.34525124203537,-751.4663355690465,-155.57729627306898,-639.4264923744544,2542.29172372818
156,-103.67941241434168,-435.8137373572203,-154.60358462735573,-635.5595036571555,2542.29172372818
157,-94.59073561143015,-794.8188696821358,-154.61830574243447,-641.973440221301,2542.29172372818
158,-262.7516744666556,-855.3258140607171,-154.70076231051524,-642.41922094818,2542.29172372818
159,-71.37237363062104,-626.9713361174865,-151.72386235622346,-642.8919714473075,2542.29172372818
160,-212.713581044245,-830.1485992236558,-151.62227368119537,-645.3487665919346,2542.29172372818
161,3.4252795240889498,-828.4670571062344,-147.22478103316718,-652.7772626291508,2542.29172372818
162,-170.29369788396932,-743.2962477147452,-146.65854623387466,-655.5411607065951,2542.29172372818
163,-92.0162984082555,-619.718689962904,-146.86900420312276,-653.9890355804287,2542.29172372818
164,-70.04249363416251,-720.9996262394641,-146.40051566055863,-656.9868054356665,2542.29172372818
165,-158.80613162486634,-373.03111238196266,-146.4061644082036,-659.155842688615,2542.29172372818
166,-75.39965188147009,-508.155825892827,-144.83438081983763,-657.519565323654,2542.29172372818
167,-139.6916114058131,-516.8398512310878,-143.22312509683923,-651.6587918168822,2542.29172372818
