Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-146.50376607743277,-667.2047338398241,-146.50376607743277,-667.2047338398241,2630.646453142166
2,-94.87530366239771,-752.0764506501199,-120.68953486991524,-709.640592244972,2630.646453142166
3,-93.85449371646979,-542.726924456661,-111.74452115210009,-654.0027029822016,2630.646453142166
4,-326.324673196605,-601.215207528332,-165.3895591632263,-640.8058291187342,2630.646453142166
5,-270.9907788252066,-685.1903763043433,-186.50980309562235,-649.6827385558561,2630.646453142166
6,-59.65737132612303,-578.7052101897873,-165.36773113403913,-637.8531504948446,2630.646453142166
7,-93.38822291497829,-534.0879314406766,-155.08494424560186,-623.0295477728206,2630.646453142166
8,-87.73528651062844,-760.2656500905222,-146.6662370287302,-640.1840605625333,2630.646453142166
9,-257.02493467033594,-662.1024417112776,-158.92831454446417,-642.6194362457271,2630.646453142166
10,-32.17584749246434,-700.5271834848263,-146.2530678392642,-648.4102109696371,2630.646453142166
11,-280.10522993287236,-674.8976115042783,-158.4214462114104,-650.8181564727863,2630.646453142166
12,-93.16838692811352,-687.5915804954357,-152.98369127113565,-653.8826084746737,2630.646453142166
13,-96.35979154676068,-819.0297800074096,-148.62800667695294,-666.586237054115,2630.646453142166
14,-177.24296711164334,-695.446606794198,-150.67193242228797,-668.6476920355495,2630.646453142166
15,-149.5319692213993,-815.7011976804683,-150.59593487556205,-678.451259078544,2630.646453142166
16,-464.1716141987673,-584.6897843363075,-170.19441483326239,-672.5911669071543,2630.646453142166
17,-105.51355823226632,-655.3143965707035,-166.38965856261555,-671.5748862991278,2630.646453142166
18,-81.78299372205225,-207.97378981879217,-161.68928829369537,-645.819269827998,2630.646453142166
19,-108.78771030841914,-624.9314876788122,-158.90499471552295,-644.7199128727777,2630.646453142166
20,-117.51426656109015,-524.3419092958377,-156.8354583078013,-638.7010126939307,2630.646453142166
21,-150.48825515805746,-801.515305206122,-156.5332105387659,-646.4540742421302,2630.646453142166
22,-397.7549060262997,-451.57992396372657,-167.49783306092652,-637.5961583203847,2630.646453142166
23,-190.6674635876628,-785.8973963705821,-168.5052083012194,-644.0440382356107,2630.646453142166
24,-478.8031616853711,-816.076241672785,-181.4342896922257,-651.2120467121596,2630.646453142166
25,-113.52408024937617,-837.3218346101969,-178.71788131451171,-658.6564382280811,2630.646453142166
26,-155.10164413546627,-528.4189760006219,-177.80956449993303,-653.6473050654865,2630.646453142166
27,-274.3807080295754,-620.113892992634,-181.38627351954943,-652.4053268405661,2630.646453142166
28,-369.71317101330374,-703.4979162074468,-188.11223414432635,-654.2300621750975,2630.646453142166
29,-119.58046710137823,-713.6592894540134,-185.74906976353506,-656.2793458743704,2630.646453142166
30,-145.54461254953355,-795.7996719455689,-184.408921189735,-660.9300234100771,2630.646453142166
31,-229.63274074509104,-590.9084520532933,-185.86775407861745,-658.6712630437291,2630.646453142166
32,-369.5913879203078,-611.6861910644903,-191.6091176361703,-657.202979544378,2630.646453142166
33,-266.9318806307923,-641.6107009794865,-193.8916256057043,-656.7304862545328,2630.646453142166
34,-69.88847349921824,-523.0162144883913,-190.24447407316057,-652.7977135555286,2630.646453142166
35,-488.228596659982,-731.4945784835344,-198.75830614706976,-655.0461954106145,2630.646453142166
36,-126.9996308314864,-768.7904213617156,-196.7650096105258,-658.2057572425895,2630.646453142166
37,-191.36830275059106,-649.7383019947908,-196.61915266836542,-657.9769071007571,2630.646453142166
38,-79.84407332116038,-388.20670658242744,-193.54612426449157,-650.8776912976431,2630.646453142166
39,-87.45664073950124,-759.2731008288818,-190.82588109718412,-653.6570607728031,2630.646453142166
40,-273.683962456818,-624.8506265655052,-192.897333131175,-652.9368999176206,2630.646453142166
41,-88.04877483329071,-645.9114874391266,-190.3400512214705,-652.765548393755,2630.646453142166
42,-392.5751513712694,-669.2639813793669,-195.15517265360856,-653.1583682267458,2630.646453142166
43,-143.06053554715282,-643.62833508402,-193.94366946508634,-652.9367395490079,2630.646453142166
44,-292.7386751815432,-904.5293025005368,-196.1890105040967,-658.6547523433609,2630.646453142166
45,-127.67850141981698,-645.8678144815831,-194.66655474666828,-658.3705981686547,2630.646453142166
46,-164.195472529021,-847.8377839408298,-194.0041399158499,-662.4894500332673,2630.646453142166
47,-90.20254092583059,-436.80477303820123,-191.7955952564878,-657.6876483950743,2630.646453142166
48,-126.50224392238543,-769.3561831140152,-190.43531710369393,-660.0140762017189,2630.646453142166
49,30.845142687455564,-693.7599857341356,-185.91938935285413,-660.7027682329926,2630.646453142166
