Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-348.56888057692004,-510.7485343636788,-348.56888057692004,-510.7485343636788,1622.9931888580322
2,-284.3440911708782,-429.84069227449345,-316.4564858738991,-470.2946133190861,1622.9931888580322
3,-448.16540712849707,-522.3216564391549,-360.3594596254318,-487.6369610257757,1622.9931888580322
4,-268.4342650376476,-516.5658115422676,-337.37816097848577,-494.86917365489865,1622.9931888580322
5,-575.7284035638108,-515.9578240708894,-385.0482094955508,-499.0869037380968,1622.9931888580322
6,-290.45649926973147,-430.3260530118696,-369.28292445791425,-487.6267619503922,1622.9931888580322
7,-92.0921430457807,-381.64995996781494,-329.684241399038,-472.48721881002405,1622.9931888580322
8,-110.76469712178607,-407.1893144071123,-302.31929836438155,-464.3249807596601,1622.9931888580322
9,-146.230666486169,-570.8258285453705,-284.9761170445802,-476.1584082914057,1622.9931888580322
10,-92.98764966229984,-765.7804272028035,-265.7772703063521,-505.1206101825454,1622.9931888580322
11,-106.41281215758727,-477.2597569497797,-251.28959229282802,-502.58780534320306,1622.9931888580322
12,-114.46889664158691,-908.248854391086,-239.8878676552246,-536.39289276386,1622.9931888580322
13,-131.24041548633272,-490.88444399826676,-231.5303713345406,-532.8922428588144,1622.9931888580322
14,-205.38111113497828,-805.4675478056888,-229.66256703457185,-552.3619074978768,1622.9931888580322
15,-320.8304739187815,-796.7261037169545,-235.74042749351918,-568.6528539124819,1622.9931888580322
16,-88.2936773803464,-442.22996451162993,-226.52500561144586,-560.7514233249287,1622.9931888580322
17,-112.90809958765337,-534.7114484478016,-219.8416581982816,-559.2196600968624,1622.9931888580322
18,-150.05563654165508,-749.959863072736,-215.96465699513567,-569.8163380399665,1622.9931888580322
19,-119.86612003447794,-373.6942697377837,-210.90683926036422,-559.4941239187989,1622.9931888580322
20,-121.58276286082626,-359.3499966364975,-206.44063544038733,-549.4869175546839,1622.9931888580322
21,-295.72710999868946,-509.4286920443704,-210.69237232411598,-547.5793830065737,1622.9931888580322
22,-79.52241712857945,-518.2140822231229,-204.73010163340976,-546.244596607326,1622.9931888580322
23,-89.63715009839811,-781.1751920428558,-199.72606026232228,-556.4589703219142,1622.9931888580322
24,-172.08826447226983,-486.9394581130422,-198.5744854377368,-553.562323979878,1622.9931888580322
25,-96.2074548510821,-325.965876205853,-194.4798042142706,-544.458466068917,1622.9931888580322
26,-378.6850960474048,-510.83825738634357,-201.5646231309296,-543.1653811195872,1622.9931888580322
27,-117.21572354395761,-262.1321319418412,-198.4405898128936,-532.7567422611522,1622.9931888580322
28,-437.80355159418616,-386.793363821786,-206.98926701936833,-527.5437644597463,1622.9931888580322
29,-255.83792561961963,-362.8008328192204,-208.67370352282526,-521.8629737135212,1622.9931888580322
30,-376.3854092392158,-327.6842010212024,-214.2640937133716,-515.3903479571106,1622.9931888580322
31,-260.1336645493175,-416.2291132965888,-215.7437572887247,-512.1915984519325,1622.9931888580322
32,-97.3090015295335,-404.076236242246,-212.04267117125,-508.81299338287977,1622.9931888580322
33,-137.1033123834984,-405.9434117001911,-209.7717815110151,-505.6957333318892,1622.9931888580322
34,-206.44148748176457,-272.79828046824525,-209.6738316866254,-498.8458082476644,1622.9931888580322
35,-123.63921251401038,-796.1210587544898,-207.21569971026494,-507.33938683357366,1622.9931888580322
36,-96.13879212903787,-1446.2849544729413,-204.13023005523087,-533.4212081568894,1622.9931888580322
37,-96.60523989395742,-1306.8314895797444,-201.2241492400613,-554.3241887358855,1622.9931888580322
38,-236.739614767442,-1817.3712794509465,-202.15876675393974,-587.5622700704924,1622.9931888580322
39,-261.51949881238323,-882.658057756345,-203.68083680672035,-595.1288287291039,1622.9931888580322
40,-106.69399331117307,-493.18158757339523,-201.2561657193317,-592.5801477002112,1622.9931888580322
41,-182.2844271015315,-564.652660539019,-200.7934403871902,-591.8989894767675,1622.9931888580322
42,-591.1159974181628,-663.2497078985701,-210.08683460221337,-593.597816105858,1622.9931888580322
43,-117.00657430676141,-523.4602226353527,-207.92217738604006,-591.9667092809625,1622.9931888580322
44,-146.9004732364539,-376.88538587016933,-206.53532047354946,-587.0784973852627,1622.9931888580322
45,-109.25336028301493,-1618.9341475567703,-204.37349913598203,-610.0086229446296,1622.9931888580322
46,-53.533835684747174,-518.4969809892189,-201.09437601747695,-608.0192394238597,1622.9931888580322
47,-247.64495235651705,-418.2284867806907,-202.0848138119246,-603.9811383037924,1622.9931888580322
48,-313.36235732938565,-894.8753124116669,-204.4030959685384,-610.0414335977065,1622.9931888580322
49,-67.9961417571214,-703.7056646841803,-201.61928057646864,-611.9529485178385,1622.9931888580322
50,-151.1364973888916,-484.1741604377411,-200.60962491271712,-609.3973727562367,1622.9931888580322
51,-282.6419559036601,-731.9224297422771,-202.2181019909709,-611.7998248540022,1622.9931888580322
52,-114.46967488228263,-374.24775755939163,-200.53063223888074,-607.2315158675673,1622.9931888580322
53,-127.90247777450116,-451.98006273621303,-199.160289701817,-604.3022431669757,1622.9931888580322
54,-65.05819057321116,-517.7270844725524,-196.6769174957317,-602.6989994874494,1622.9931888580322
55,-267.45456431809635,-356.92912881599403,-197.96378380159288,-598.230456384332,1622.9931888580322
56,-273.458780627407,-777.1182118483259,-199.3119087449109,-601.4248805890462,1622.9931888580322
57,-51.91637810130115,-883.6536867402051,-196.72602224239145,-606.3762631531015,1622.9931888580322
58,-140.69189030072147,-614.5808978341582,-195.7599165192592,-606.5177223717404,1622.9931888580322
59,-111.92087382141037,-660.4507319020888,-194.33891579556686,-607.4318411773396,1622.9931888580322
60,-124.57234399449015,-713.9610811485358,-193.17613959888226,-609.2073285101928,1622.9931888580322
61,25.942132549867893,-286.3664941943203,-189.5840367767716,-603.91485581649,1622.9931888580322
62,-145.22777072995504,-523.2272797300163,-188.86861313085518,-602.6134432989663,1622.9931888580322
63,-294.1944724325954,-430.1804455720555,-190.54045216739073,-599.8764115890153,1622.9931888580322
64,-116.89982348791287,-433.2213604237771,-189.38981734427392,-597.2724264145585,1622.9931888580322
65,-370.5285248572817,-544.3958940020816,-192.17656669062788,-596.4589413005203,1622.9931888580322
66,-115.53100398672701,-297.7812974532871,-191.01527028602334,-591.9335224543502,1622.9931888580322
67,-67.67331511306145,-432.8299276908674,-189.17434558194927,-589.5588419354922,1622.9931888580322
68,-114.57219432672296,-2080.840699388784,-188.0772551223136,-611.4894574862759,1622.9931888580322
69,-496.9227305639629,-2281.1145410091303,-192.5532765055259,-635.686922464868,1622.9931888580322
70,-373.27121068492687,-443.8774223766858,-195.13496127951734,-632.9467867493225,1622.9931888580322
71,-67.91445775536373,-552.3696246526915,-193.34312320171236,-631.8118971423277,1622.9931888580322
72,-61.18360359671284,-1817.961808313941,-191.5075743183096,-648.2862014641557,1622.9931888580322
73,-89.70942075035539,-886.78972942463,-190.11307906395407,-651.5533730800527,1622.9931888580322
74,-66.23627630208281,-1193.7257819029778,-188.43906821582067,-658.8800272533354,1622.9931888580322
75,-166.07951111680836,-937.1400837341688,-188.14094078783384,-662.5901613397466,1622.9931888580322
76,-103.35734868910636,-1182.4227142749796,-187.02536720758744,-669.4300633520522,1622.9931888580322
77,-205.17166847585833,-1285.4984896428175,-187.2610334578247,-677.430952005179,1622.9931888580322
78,-181.58646487811353,-1395.083201114692,-187.18828257859764,-686.6316218655575,1622.9931888580322
79,-172.48891735137994,-1416.648227827041,-187.00221466432905,-695.8723383967155,1622.9931888580322
80,-439.2145409980162,-1937.833658102152,-190.15486874350017,-711.3968548930334,1622.9931888580322
81,-310.3116524587297,-3718.776461670564,-191.63828582640423,-748.524998186583,1622.9931888580322
82,-102.74256522321836,-3043.0263677328235,-190.55419167270685,-776.5067222054397,1622.9931888580322
83,-261.7361528675973,-1056.1366613769167,-191.41180566300673,-779.8757576171442,1622.9931888580322
84,-92.6761906263695,-1137.9805491974603,-190.23638167447533,-784.1389098978623,1622.9931888580322
85,-109.71166554534499,-1040.3981935624531,-189.28903207295613,-787.1537249997986,1622.9931888580322
86,-99.07560665436841,-484.1218694927822,-188.24003875413536,-783.6300987729728,1622.9931888580322
87,-32.33498393304738,-600.8461446859314,-186.44802662975505,-781.5291337834666,1622.9931888580322
88,-87.24337268463918,-742.7624053241691,-185.32070101674233,-781.0886027782473,1622.9931888580322
89,-121.8110257708641,-1000.19384782577,-184.6071091600471,-783.5504594641745,1622.9931888580322
90,-169.95364144763735,-2129.2659921442337,-184.44429285213144,-798.5028542717307,1622.9931888580322
91,-292.9565591827806,-271.26818465143197,-185.63673533928142,-792.7090666934857,1622.9931888580322
92,-224.10206474939088,-589.5201419151422,-186.05483674591304,-790.5004914241559,1622.9931888580322
93,-172.67486297993503,-499.96721124188883,-185.91096606025738,-787.3764776587552,1622.9931888580322
94,-82.15806977797772,-933.6383694381065,-184.80721184448845,-788.9324552308759,1622.9931888580322
95,-94.05681052233663,-518.0641436104045,-183.85194446215002,-786.0812098453973,1622.9931888580322
96,-180.13480070557006,-343.41636875066706,-183.81322421468562,-781.4701177506605,1622.9931888580322
97,-305.20623126267566,-693.9001934449125,-185.06469851414943,-780.567335025859,1622.9931888580322
98,-89.9618835392383,-424.68623212708656,-184.09426162665036,-776.9358952003614,1622.9931888580322
99,-195.3689612493555,-2581.015236345872,-184.20814748142513,-795.1589188482959,1622.9931888580322
100,-85.9899227257778,-428.9715959658927,-183.22596523386866,-791.4970456194719,1622.9931888580322
101,-428.7000218637081,-452.3256587527961,-184.02727664673654,-790.912816863363,1622.9931888580322
102,-70.06658524042244,-997.3297431179999,-181.88450158743194,-796.5877073717982,1622.9931888580322
103,-84.3082413879152,-1089.2208525733213,-178.24592993002616,-802.2566993331395,1622.9931888580322
104,-210.64835822073465,-515.2904761223366,-177.66807086185705,-802.2439459789404,1622.9931888580322
