Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,21.0,8.0,21.0,8.0,74.22067832946777
2,12.0,8.0,16.5,8.0,74.22067832946777
3,12.0,8.0,15.0,8.0,74.22067832946777
4,17.0,8.0,15.5,8.0,74.22067832946777
5,16.0,9.0,15.6,8.2,74.22067832946777
6,40.0,8.0,19.666666666666668,8.166666666666666,74.22067832946777
7,25.0,8.0,20.428571428571427,8.142857142857142,74.22067832946777
8,31.0,10.0,21.75,8.375,74.22067832946777
9,12.0,42.0,20.666666666666668,12.11111111111111,74.22067832946777
10,19.0,46.0,20.5,15.5,74.22067832946777
11,32.0,8.0,21.545454545454547,14.818181818181818,74.22067832946777
12,15.0,85.0,21.0,20.666666666666668,74.22067832946777
13,16.0,36.0,20.615384615384617,21.846153846153847,74.22067832946777
14,22.0,109.0,20.714285714285715,28.071428571428573,74.22067832946777
15,10.0,90.0,20.0,32.2,74.22067832946777
16,17.0,85.0,19.8125,35.5,74.22067832946777
17,12.0,122.0,19.352941176470587,40.588235294117645,74.22067832946777
18,20.0,51.0,19.38888888888889,41.166666666666664,74.22067832946777
19,13.0,100.0,19.05263157894737,44.26315789473684,74.22067832946777
20,14.0,86.0,18.8,46.35,74.22067832946777
21,64.0,108.0,20.952380952380953,49.285714285714285,74.22067832946777
22,18.0,82.0,20.818181818181817,50.77272727272727,74.22067832946777
23,30.0,79.0,21.217391304347824,52.0,74.22067832946777
24,20.0,88.0,21.166666666666668,53.5,74.22067832946777
25,31.0,161.0,21.56,57.8,74.22067832946777
26,35.0,124.0,22.076923076923077,60.34615384615385,74.22067832946777
27,13.0,57.0,21.74074074074074,60.22222222222222,74.22067832946777
28,17.0,65.0,21.571428571428573,60.392857142857146,74.22067832946777
29,36.0,187.0,22.06896551724138,64.75862068965517,74.22067832946777
30,29.0,200.0,22.3,69.26666666666667,74.22067832946777
31,65.0,97.0,23.677419354838708,70.16129032258064,74.22067832946777
32,19.0,146.0,23.53125,72.53125,74.22067832946777
33,20.0,126.0,23.424242424242426,74.15151515151516,74.22067832946777
34,20.0,112.0,23.323529411764707,75.26470588235294,74.22067832946777
35,46.0,75.0,23.97142857142857,75.25714285714285,74.22067832946777
36,16.0,183.0,23.75,78.25,74.22067832946777
37,11.0,87.0,23.405405405405407,78.48648648648648,74.22067832946777
