Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-112.56970102920687,-130.36952327824284,-112.56970102920687,-130.36952327824284,2471.5398960113525
2,-119.27000901945647,-330.49668741183166,-115.91985502433167,-230.43310534503723,2471.5398960113525
3,-179.5462037150366,-413.97182616601424,-137.12863792123332,-291.61267895202957,2471.5398960113525
4,-240.39729186256835,-159.0033032624936,-162.94580140656706,-258.4603350296456,2471.5398960113525
5,-56.920733636536085,-209.1699528663236,-141.74078785256086,-248.60225859698122,2471.5398960113525
6,-109.61419363613913,-217.67663246257828,-136.38635548315725,-243.4479875745807,2471.5398960113525
7,-129.67474644191753,-22.52919878735709,-135.42755419155156,-211.88816060497734,2471.5398960113525
8,-143.5259826133503,-401.70182400605376,-136.43985774427642,-235.6148685301119,2471.5398960113525
9,-320.1468090850374,-354.49417804351424,-156.8517412265832,-248.8236806982677,2471.5398960113525
10,-140.7539653225359,-293.98812013414704,-155.24196363617847,-253.34012464185562,2471.5398960113525
11,-95.49684433366085,-261.5187452467296,-149.8105891541314,-254.0836356059351,2471.5398960113525
12,-265.6231444378742,-201.71309998523645,-159.46163542777663,-249.7194243042102,2471.5398960113525
13,-235.56627320879414,-320.5607598057841,-165.31583833400873,-255.16875780433128,2471.5398960113525
14,-132.75325535457205,-302.04374602790926,-162.98993954976325,-258.5169712488726,2471.5398960113525
15,-141.2553467530222,-315.356946523953,-161.54096669664716,-262.30630293387793,2471.5398960113525
16,-279.10526535273976,-321.4043780930712,-168.888735362653,-265.9999326313275,2471.5398960113525
17,-223.07735986002234,-307.5058606751222,-172.07630150955706,-268.4414578103743,2471.5398960113525
18,-364.3346052748643,-273.2629808902715,-182.75731838540747,-268.7093202037019,2471.5398960113525
19,-115.86782730696595,-462.86168185770214,-179.23681885496316,-278.9278655539124,2471.5398960113525
20,-137.4494955988019,-244.7363077163827,-177.14745269215513,-277.21828766203595,2471.5398960113525
21,-362.51759004865556,-280.899546573963,-185.97460209008372,-277.393585705461,2471.5398960113525
22,-74.56138388079623,-341.3571948669163,-180.91036489875248,-280.30102248552714,2471.5398960113525
23,-41.4074407089213,-221.64282698326622,-174.8450203687598,-277.7506661593419,2471.5398960113525
24,-234.23442488667888,-190.94400142967072,-177.31957889033973,-274.1337217956056,2471.5398960113525
25,-93.01784955752409,-366.37295975379106,-173.9475097170271,-277.823291313933,2471.5398960113525
26,-95.5927973354913,-217.9430997829138,-170.93386693312186,-275.5202070242784,2471.5398960113525
27,-502.5898074543484,11.408102670163018,-183.21742028575989,-264.89323259115093,2471.5398960113525
28,-72.34173394423985,-394.54953449466444,-179.2575743449913,-269.52381480199074,2471.5398960113525
29,-197.57498105629227,-318.27209523925944,-179.88920905917408,-271.2047899894828,2471.5398960113525
30,-126.44229752026013,-218.37464009938924,-178.10764534121026,-269.4437849931463,2471.5398960113525
