Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-384.3128006275753,-140.5502269165449,-384.3128006275753,-140.5502269165449,2323.5431015491486
2,-120.08574322398769,-223.83317133347296,-252.1992719257815,-182.19169912500894,2323.5431015491486
3,-276.59467838345427,-275.27364850271886,-260.3310740783391,-213.21901558424557,2323.5431015491486
4,-119.7439910776055,-367.45510870173933,-225.1843033281557,-251.77803886361903,2323.5431015491486
5,-170.0795683612863,-269.0070386884513,-214.16335633478184,-255.22383882858549,2323.5431015491486
6,-96.21458104159719,-65.00130337643616,-194.5052271192511,-223.52008291989395,2323.5431015491486
7,-140.58159920696886,-338.75408922676206,-186.80185170321076,-239.9820838208751,2323.5431015491486
8,-365.74363023147816,-299.4809052298451,-209.16957401924415,-247.41943649699635,2323.5431015491486
9,-178.81103915508209,-337.501760938417,-205.79640347878168,-257.4285836571542,2323.5431015491486
10,-91.70562866669177,-343.94758867255655,-194.3873259975727,-266.08048415869445,2323.5431015491486
11,-254.29252256291812,-368.526611635359,-199.83325295805864,-275.39376847475484,2323.5431015491486
12,-291.03705005961945,-24.55653811027534,-207.4335693831887,-254.49066594438156,2323.5431015491486
13,-290.8737412393579,-407.78337202108486,-213.85204414135558,-266.2824125656664,2323.5431015491486
14,-102.72702494818134,-409.62898831305756,-205.91454277041456,-276.5214536904801,2323.5431015491486
15,-89.00197600519729,-464.53460631595385,-198.1203716527334,-289.05566386551163,2323.5431015491486
16,-442.29030162316747,-479.68129722965443,-213.38099227588555,-300.9697659507706,2323.5431015491486
17,-122.33987101956673,-299.52755717280166,-208.02563220198442,-300.88493014030183,2323.5431015491486
18,-101.75077398555463,-547.7493289715346,-202.12147341218278,-314.5996189642592,2323.5431015491486
19,-99.45364428218497,-160.09742734958348,-196.71790345797237,-306.46792466874996,2323.5431015491486
20,-107.8733052039539,-166.92966957488545,-192.27567354527145,-299.4910119140567,2323.5431015491486
21,-99.64364489125566,-80.57051116923046,-187.86462456174687,-289.0662261643031,2323.5431015491486
22,-169.14068420991123,-90.91174870403007,-187.01353636393614,-280.0592044615634,2323.5431015491486
23,-249.4828499753114,-128.7130862598666,-189.7295934774742,-273.478938452794,2323.5431015491486
24,-397.63761747605145,-95.78649259990199,-198.39242781074827,-266.0750865422568,2323.5431015491486
25,-101.3773066995886,-187.3057704148453,-194.51182296630188,-262.92431389716035,2323.5431015491486
26,-92.66738779808091,-58.43531542331908,-190.5947293059857,-255.05935241739724,2323.5431015491486
27,-143.31645920825105,-101.7241249466364,-188.84368226532885,-249.38026991848017,2323.5431015491486
28,-147.77464120700859,13.558087669657013,-187.37693079896027,-239.9896142903324,2323.5431015491486
29,-60.50290154671892,-910.8239021757911,-183.00196427302092,-263.12183111396894,2323.5431015491486
30,-368.1868711564202,-55.27748080902691,-189.17479450246756,-256.19368610380417,2323.5431015491486
31,-362.71789592551664,-61.972641175080064,-194.7729590645014,-249.9284911061034,2323.5431015491486
