Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-249.33880183191343,-193.15930511612734,-249.33880183191343,-193.15930511612734,2419.6943883895874
2,-106.93866698577636,-134.67298561433233,-178.1387344088449,-163.91614536522985,2419.6943883895874
3,-166.15996485049726,-132.47271572131712,-174.145811222729,-153.43500215059228,2419.6943883895874
4,-385.541344743688,13.221859100675985,-226.99469460296876,-111.7707868377752,2419.6943883895874
5,-74.16501695677579,-130.2126340665557,-196.4287590737302,-115.4591562835313,2419.6943883895874
6,-554.0084272839129,-162.5604816736706,-256.02537044209396,-123.30937718188784,2419.6943883895874
7,-95.02158419468999,-132.33928231822986,-233.02482954960766,-124.59936362993669,2419.6943883895874
8,-283.3938212477404,-121.10944581811077,-239.32095351187428,-124.16312390345847,2419.6943883895874
9,-155.74304006868098,-91.30028477842266,-230.03451868485277,-120.51169733401005,2419.6943883895874
10,-283.272045148953,-157.34408660291442,-235.3582713312628,-124.19493626090048,2419.6943883895874
11,-119.97821392498251,-104.28526802138484,-224.86917520341913,-122.38496642094451,2419.6943883895874
12,-98.59602083240038,-160.74878726075144,-214.34641233916759,-125.58195149092842,2419.6943883895874
13,22.17044520708727,-190.24296074598948,-196.1528079125326,-130.55587527977926,2419.6943883895874
14,-101.3639460281879,-365.2808690578237,-189.3821749207937,-147.3219462639253,2419.6943883895874
15,-73.42108464408805,-286.1136165090502,-181.6514355690133,-156.57472428026693,2419.6943883895874
16,-316.87343214566425,-154.96585877686093,-190.10281035505398,-156.4741701863041,2419.6943883895874
17,-307.54295836178244,-126.56587581493994,-197.01105435544977,-154.71485875269443,2419.6943883895874
18,-310.37677738947343,-155.18068059221724,-203.3091500795622,-154.74073774377905,2419.6943883895874
19,-167.6070557874241,-156.0139867105107,-201.43009248523913,-154.80775084729123,2419.6943883895874
20,-110.79817535396523,-90.73218970077613,-196.89849662867545,-151.60397278996547,2419.6943883895874
21,-102.50363695864473,-137.09252518018357,-192.40350331105492,-150.91295147521396,2419.6943883895874
22,-432.66092750691837,-190.37275872504728,-203.32429531995783,-152.70657907747912,2419.6943883895874
23,-304.46737360406894,-113.50537694027042,-207.72182046274523,-151.002178984557,2419.6943883895874
24,-188.76888135613598,-147.53736584754927,-206.93211466663652,-150.85781177051499,2419.6943883895874
25,-184.74464762113865,-130.5843860736783,-206.04461598481663,-150.0468747426415,2419.6943883895874
26,-157.09485147628027,-147.05201208861428,-204.16193273448832,-149.93168771748662,2419.6943883895874
27,-312.9962240126515,-129.4457420817461,-208.19283241145732,-149.17294899023696,2419.6943883895874
28,-174.59253739599,-131.94286388639736,-206.99282187519063,-148.557588807957,2419.6943883895874
29,-75.79554106553202,-123.89611243742308,-202.46877770934034,-147.707193071042,2419.6943883895874
30,-78.71395461822027,-132.56918849523166,-198.34361693963635,-147.20259291851502,2419.6943883895874
31,-183.24234710401305,-160.07413362994657,-197.85647920300332,-147.61780390920637,2419.6943883895874
32,-105.31755010985695,-130.60921277499725,-194.9646376688425,-147.08628543626233,2419.6943883895874
33,-74.65041634288134,-104.82511040008404,-191.3187521741164,-145.80564376849935,2419.6943883895874
34,-133.70353321092483,-145.21773299928168,-189.6241869104931,-145.78835227528705,2419.6943883895874
35,-132.67675899071492,-146.1348035861567,-187.9971175413566,-145.79825088416905,2419.6943883895874
36,-152.5662456648973,-42.674903052227215,-187.01292665589938,-142.93371344439288,2419.6943883895874
37,-334.3359587872808,-139.69470235796018,-190.9946302270178,-142.84617260421902,2419.6943883895874
38,-121.80267824013839,-155.22113352174517,-189.17378938525783,-143.17182947046973,2419.6943883895874
39,-438.8502310051817,-185.11920507924495,-195.57574942679435,-144.24740320402807,2419.6943883895874
40,-289.34406393072607,-201.62613085536827,-197.9199572893926,-145.6818713953116,2419.6943883895874
41,-128.12596239776843,-131.6655615560572,-196.21766473106032,-145.34001017972003,2419.6943883895874
42,-131.38496240792526,-133.0847789767688,-194.67402896146186,-145.04821896060213,2419.6943883895874
43,-174.42286513204635,-140.11329940002906,-194.20307166310337,-144.933453389426,2419.6943883895874
44,-160.2018559383062,-113.45584205127,-193.43031676026706,-144.21805313174065,2419.6943883895874
45,-142.59593311403333,-116.20896908877998,-192.30066379035077,-143.59562904189707,2419.6943883895874
46,-91.17778826696828,-137.40380157283803,-190.10234040940767,-143.46102409691753,2419.6943883895874
47,-560.9630355382614,-137.09067134132533,-197.9929934972556,-143.32548467658577,2419.6943883895874
48,-143.94334085329388,-99.46455026208318,-196.86695906717307,-142.41171520961697,2419.6943883895874
49,-204.53871585504282,-130.78206608550613,-197.02352553223162,-142.17437543157388,2419.6943883895874
50,-102.59253907277986,-193.83057432722666,-195.1349058030426,-143.20749940948693,2419.6943883895874
51,-238.72940116814053,-147.56534763775946,-195.98969982980924,-143.29294741396288,2419.6943883895874
52,-264.36500545138034,-92.4905313714126,-197.30460955330096,-142.31597787468306,2419.6943883895874
53,-119.70353014085663,-111.01332975784774,-195.8404382436322,-141.7253618724786,2419.6943883895874
54,-8.148018536844958,-299.2266608447711,-192.3646526935065,-144.64205259418773,2419.6943883895874
55,-362.9244601162458,-111.86136432884399,-195.4657401011927,-144.04604008027238,2419.6943883895874
56,-330.09678045899574,-41.701444987287346,-197.86986582186776,-142.21845802504052,2419.6943883895874
57,-160.31977643300834,-5.507570635563184,-197.2110923238176,-139.8200214041725,2419.6943883895874
58,-199.60486720957283,-95.41522991370329,-197.2523643046065,-139.05442155088855,2419.6943883895874
59,-400.3097297137256,-119.3935571148223,-200.69401456577802,-138.72118656044674,2419.6943883895874
60,-107.13795336160612,-136.07996112558067,-199.1347468790418,-138.6771661365323,2419.6943883895874
61,-164.6966763349323,-146.9698030204335,-198.57018834553182,-138.81311100348148,2419.6943883895874
62,-57.02232634014835,-109.98068556670714,-196.28715831318692,-138.3480718835335,2419.6943883895874
63,-108.16433133857558,-144.17424438406613,-194.8883832818439,-138.44055081211337,2419.6943883895874
64,-151.99885266220105,-154.03259357138154,-194.21823436591194,-138.68417648022697,2419.6943883895874
65,-221.6575050014273,-139.42563947410662,-194.6403769910737,-138.6955836032097,2419.6943883895874
66,-114.55310977904905,-118.58587499258945,-193.4269335484673,-138.39089104850336,2419.6943883895874
67,-270.160406850491,-137.75345301960087,-194.57220926939303,-138.38137704807198,2419.6943883895874
