Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-121.32805075586946,-400.0878108095908,-121.32805075586946,-400.0878108095908,1357.7323343753815
2,-237.30998070463275,-459.0604937317154,-179.3190157302511,-429.5741522706531,1357.7323343753815
3,-106.21235773380772,-720.8503070025112,-154.95012973143665,-526.6662038479391,1357.7323343753815
4,-114.99422559133862,-548.1706912944998,-144.96115369641214,-532.0423257095792,1357.7323343753815
5,-7.290741432827403,-558.0111627526468,-117.4270712436952,-537.2360931181927,1357.7323343753815
6,-252.94551172752824,-519.7850399301545,-140.0134779910007,-534.3275842535197,1357.7323343753815
7,-105.87974586133512,-433.5366395465354,-135.13723054390562,-519.9288778668076,1357.7323343753815
8,-272.2892980337329,-554.9240921811969,-152.28123898013405,-524.3032796561063,1357.7323343753815
9,-193.55603030716,-559.7766748397935,-156.86732690535916,-528.2447680098493,1357.7323343753815
10,-18.712282831851297,-308.39147393602434,-143.05182249800836,-506.2594386024668,1357.7323343753815
11,-151.2818007280601,-129.81695903284967,-143.80000233710396,-472.0373950052289,1357.7323343753815
12,-105.03880454017477,-435.3859059292163,-140.5699025206932,-468.9831042488945,1357.7323343753815
13,-207.22339413362897,-345.4568138931446,-145.69709418322674,-459.4810819138368,1357.7323343753815
14,-110.4746113428327,-227.28240700341405,-143.18120255177,-442.89546227737804,1357.7323343753815
15,-317.8108181530474,-178.62854070365614,-154.8231769251885,-425.27766750579656,1357.7323343753815
16,-78.03611507652892,-432.09482815971336,-150.02398555964726,-425.70374004666644,1357.7323343753815
17,-58.68225249092072,-143.59813002188167,-144.65094243795747,-409.1092923981497,1357.7323343753815
18,-121.00843133653093,-191.27328935674808,-143.33746959898932,-397.00729222918295,1357.7323343753815
19,-284.2107680351461,-187.5564708519305,-150.7518537272081,-385.9835647882749,1357.7323343753815
20,-68.821571819766,-402.4966790444731,-146.655339631836,-386.80922050108484,1357.7323343753815
21,-111.63988226699897,-298.38380498508735,-144.9879369001771,-382.5984864288945,1357.7323343753815
22,-52.62192111878382,-656.2487694600649,-140.7894816373865,-395.03713565758403,1357.7323343753815
23,-98.48960289661572,-332.17902804919083,-138.9503564747443,-392.3041744572191,1357.7323343753815
24,-51.0665407551745,-229.39756354648327,-135.2885308197622,-385.51639900260517,1357.7323343753815
25,-147.93403600784467,-270.46328377903785,-135.7943510272855,-380.9142743936625,1357.7323343753815
26,-269.09320818255935,-481.65839222220507,-140.9212301486422,-384.78904815629875,1357.7323343753815
27,-225.6911154896926,-461.8576182188945,-144.06085553164405,-387.6434396400986,1357.7323343753815
28,-180.1242154620598,-362.83487684699554,-145.34883267201604,-386.7574195403449,1357.7323343753815
29,-140.0327778137431,-339.89295028393923,-145.1655204355239,-385.14140335908957,1357.7323343753815
30,-403.198488808418,-492.3906389962262,-153.76661938128703,-388.7163778803275,1357.7323343753815
31,-96.12343297731246,-185.6135005003032,-151.90716175535238,-382.1646721583912,1357.7323343753815
32,-73.8661680155742,-124.67826674799637,-149.46838070098428,-374.1182219893162,1357.7323343753815
33,-117.5548664828746,-304.15641217543214,-148.50130451255671,-371.99816714647125,1357.7323343753815
34,-96.3660594006489,-382.33794911173675,-146.96791495044178,-372.3022783807438,1357.7323343753815
35,-76.03952966343611,-211.29301474932498,-144.94138965652732,-367.7020137055604,1357.7323343753815
36,-106.0807410207505,-254.8013833199987,-143.86192719442244,-364.5658850837392,1357.7323343753815
37,-150.69160340051252,-60.82951950871424,-144.04651303783027,-356.35679412225204,1357.7323343753815
38,-144.32649420855117,-192.6495402993349,-144.05388096337558,-352.0487084953332,1357.7323343753815
39,-292.8489789012965,-580.9936033794868,-147.86913988486072,-357.9190904154397,1357.7323343753815
40,-223.18207540044008,-122.80037608858818,-149.7519632727502,-352.0411225572684,1357.7323343753815
41,-70.66300963123243,-381.1227241173535,-147.8229644034449,-352.7504299123924,1357.7323343753815
42,-269.32300278031323,-317.89636904528925,-150.715822460037,-351.9205713203185,1357.7323343753815
43,-263.01226135433467,-368.8511552441169,-153.32736755060205,-352.3143058301743,1357.7323343753815
44,-259.8072846999173,-385.9089815212851,-155.74736566763195,-353.07782118679046,1357.7323343753815
45,-169.79259210848616,-392.84451903140183,-156.05948181076204,-353.9615255833374,1357.7323343753815
46,-88.41111968418339,-518.635162392786,-154.58886524279293,-357.54138725310804,1357.7323343753815
47,-90.74549695197818,-347.4040556224985,-153.2304957046905,-357.32569934607375,1357.7323343753815
48,-308.6745355824146,-936.8990304266434,-156.46891320214309,-369.40014374358566,1357.7323343753815
49,-194.77133093995377,-535.0826104867895,-157.2505951967923,-372.7814185750796,1357.7323343753815
50,-369.1574872927289,-395.37329017095846,-161.48873303871102,-373.2332560069972,1357.7323343753815
51,-91.3144206763509,-505.9929765213365,-160.11276612964514,-375.8363877817882,1357.7323343753815
52,-173.7353871028157,-552.601694804183,-160.3747396098984,-379.23572060914194,1357.7323343753815
53,-222.16042043797555,-570.8326254622332,-161.54050717269234,-382.8507565497663,1357.7323343753815
54,-290.38513487994487,-563.653274698816,-163.92651879690072,-386.1989513303043,1357.7323343753815
55,-139.25635350161764,-1072.199385815254,-163.4779703369865,-398.6716865027579,1357.7323343753815
56,-30.186677275045398,-567.8988194694944,-161.09776867516607,-401.6935995914496,1357.7323343753815
57,-82.18522288259157,-434.11643382710884,-159.7133380472262,-402.26242124470673,1357.7323343753815
58,-58.56004392343263,-617.1671036694704,-157.969315734747,-405.9676743899613,1357.7323343753815
59,-220.13876021568777,-949.4970198237256,-159.02303513272904,-415.1800361769742,1357.7323343753815
60,-140.06883670546839,-956.7209597964892,-158.70713182560803,-424.2057182372995,1357.7323343753815
61,-132.07875861560944,-1593.4315746773373,-158.2706011172474,-443.37335522811975,1357.7323343753815
62,-224.27063225889856,-868.5961214901606,-159.33511774856436,-450.2317869420237,1357.7323343753815
63,-51.41255072466457,-602.5845733247884,-157.62206112913736,-452.6500851385755,1357.7323343753815
64,-126.13744456130266,-1546.5909737460984,-157.13011399526494,-469.7429115230681,1357.7323343753815
65,-119.75754396630602,-646.8381683076382,-156.55515137943482,-472.46745393513834,1357.7323343753815
66,-395.9004131541713,-508.4501005672976,-160.1815947396581,-473.0126455507771,1357.7323343753815
67,-81.97583707065453,-585.2534510142341,-159.01434462519535,-474.6878814532168,1357.7323343753815
68,-113.18639347016438,-303.73396148011045,-158.34040416703314,-472.17385321831813,1357.7323343753815
69,-96.63398871907751,-1111.5646044434552,-157.44610829097581,-481.44038584476937,1357.7323343753815
70,-67.82033227363004,-246.19287036399447,-156.1657400621566,-478.07970705218685,1357.7323343753815
71,-111.60876623629582,-1004.9422100885964,-155.53817705052475,-485.50030568650243,1357.7323343753815
72,-89.3312001647749,-965.3545128088301,-154.6186357048893,-492.1649474520904,1357.7323343753815
73,-94.77680143947569,-911.201231675524,-153.79888455056857,-497.90517052364424,1357.7323343753815
74,-129.19860680630973,-829.5027085767523,-153.46644836483534,-502.3862183351727,1357.7323343753815
75,-128.06607514045982,-567.6195193454387,-153.12777672184367,-503.2559956819763,1357.7323343753815
76,-81.52815787234549,-991.035560248141,-152.18567647382397,-509.6741478473206,1357.7323343753815
77,-117.53152534689701,-938.8583796653927,-151.73562256308463,-515.2479690397631,1357.7323343753815
78,-88.35176951884264,-932.9310129916802,-150.92300906251742,-520.6028798596594,1357.7323343753815
79,-126.78864344540312,-904.0494948462754,-150.61751076356663,-525.4566344797431,1357.7323343753815
80,-99.65152283021169,-761.1893703914375,-149.9804359143997,-528.4032936786394,1357.7323343753815
81,-133.1222505026559,53.43923819217303,-149.7723101685757,-521.2200525444318,1357.7323343753815
82,-180.13965052263384,-897.0796930994595,-150.1426435875276,-525.803706697542,1357.7323343753815
83,-81.8237834352585,-1070.7503822237454,-149.31952479051233,-532.3693292942432,1357.7323343753815
84,-109.77605719016323,-1502.737533784524,-148.84876922384151,-543.9213317286514,1357.7323343753815
85,-134.6605670744919,-1402.864314650203,-148.68184919855503,-554.0265432924343,1357.7323343753815
86,-124.50654230116477,-1185.8867338629507,-148.40074097881796,-561.3737548106961,1357.7323343753815
87,-66.52973509945264,-1494.426760258304,-147.45969493422754,-572.098501999749,1357.7323343753815
