Environment: CartPole-v0
Agent: A2C
Experiment: CartPole
Parameter: None
Solved in 262 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	17.0	99.0
2	28.0	121.0
3	27.0	52.0
4	29.0	30.0
5	24.0	36.0
6	33.0	43.0
7	24.0	44.0
8	10.0	30.0
9	45.0	32.0
10	14.0	54.0
11	12.0	55.0
12	25.0	68.0
13	16.0	82.0
14	83.0	64.0
15	26.0	79.0
16	12.0	200.0
17	41.0	57.0
18	23.0	91.0
19	28.0	53.0
20	19.0	69.0
21	42.0	125.0
22	36.0	152.0
23	25.0	49.0
24	17.0	105.0
25	28.0	144.0
26	23.0	138.0
27	25.0	76.0
28	30.0	78.0
29	52.0	86.0
30	18.0	74.0
31	48.0	76.0
32	53.0	51.0
33	41.0	144.0
34	13.0	74.0
35	115.0	49.0
36	46.0	200.0
37	69.0	148.0
38	41.0	62.0
39	76.0	76.0
40	40.0	76.0
41	70.0	132.0
42	131.0	77.0
43	81.0	94.0
44	150.0	88.0
45	35.0	62.0
46	60.0	103.0
47	19.0	77.0
48	68.0	93.0
49	57.0	136.0
50	83.0	91.0
51	79.0	143.0
52	70.0	160.0
53	104.0	184.0
54	75.0	200.0
55	127.0	200.0
56	92.0	200.0
57	92.0	200.0
58	37.0	200.0
59	92.0	200.0
60	26.0	200.0
61	177.0	200.0
62	101.0	200.0
63	119.0	175.0
64	200.0	168.0
65	141.0	200.0
66	36.0	140.0
67	53.0	134.0
68	163.0	168.0
69	169.0	133.0
70	32.0	165.0
71	94.0	160.0
72	200.0	200.0
73	200.0	200.0
74	47.0	152.0
75	168.0	200.0
76	166.0	200.0
77	116.0	200.0
78	131.0	200.0
79	155.0	200.0
80	185.0	172.0
81	200.0	200.0
82	77.0	164.0
83	136.0	200.0
84	152.0	200.0
85	116.0	200.0
86	141.0	200.0
87	117.0	200.0
88	200.0	200.0
89	188.0	200.0
90	200.0	200.0
91	200.0	200.0
92	200.0	200.0
93	165.0	200.0
94	161.0	190.0
95	149.0	200.0
96	149.0	200.0
97	127.0	163.0
98	186.0	200.0
99	200.0	200.0
100	200.0	200.0
101	164.0	200.0
102	200.0	200.0
103	200.0	200.0
104	177.0	200.0
105	155.0	200.0
106	165.0	200.0
107	138.0	200.0
108	200.0	200.0
109	200.0	200.0
110	200.0	200.0
111	200.0	200.0
112	200.0	200.0
113	200.0	200.0
114	200.0	200.0
115	200.0	200.0
116	200.0	200.0
117	200.0	200.0
118	200.0	200.0
119	200.0	200.0
120	200.0	200.0
121	200.0	200.0
122	200.0	200.0
123	200.0	200.0
124	200.0	200.0
125	200.0	200.0
126	200.0	200.0
127	200.0	200.0
128	200.0	200.0
129	200.0	200.0
130	200.0	200.0
131	200.0	200.0
132	200.0	200.0
133	200.0	200.0
134	200.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
160	174.0	200.0
161	200.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	200.0	200.0
170	200.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	200.0	200.0
185	200.0	200.0
186	200.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	189.0	200.0
193	200.0	200.0
194	200.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
199	200.0	200.0
200	200.0	200.0
201	200.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	122.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
234	200.0	200.0
235	200.0	200.0
236	200.0	200.0
237	200.0	200.0
238	200.0	200.0
239	200.0	200.0
240	200.0	200.0
241	200.0	200.0
242	200.0	200.0
243	200.0	200.0
244	200.0	200.0
245	200.0	200.0
246	184.0	200.0
247	200.0	200.0
248	200.0	200.0
249	159.0	200.0
250	200.0	200.0
251	200.0	200.0
252	196.0	200.0
253	138.0	175.0
254	185.0	180.0
255	200.0	200.0
256	164.0	200.0
257	137.0	200.0
258	200.0	180.0
259	200.0	200.0
260	184.0	186.0
261	159.0	200.0
262	189.0	200.0
