Environment: CartPole-v0
Agent: A2C
Experiment: CartPole
Parameter: None
Time Taken: 27.574649333953857 seconds
Solved in 258 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	20.0	9.0
2	10.0	9.0
3	58.0	9.0
4	26.0	10.0
5	11.0	18.0
6	9.0	64.0
7	18.0	186.0
8	10.0	59.0
9	18.0	56.0
10	11.0	37.0
11	11.0	45.0
12	43.0	38.0
13	21.0	58.0
14	60.0	65.0
15	17.0	36.0
16	12.0	65.0
17	50.0	46.0
18	27.0	43.0
19	20.0	88.0
20	14.0	59.0
21	63.0	62.0
22	11.0	48.0
23	26.0	71.0
24	27.0	78.0
25	20.0	41.0
26	19.0	173.0
27	28.0	43.0
28	16.0	38.0
29	25.0	45.0
30	22.0	73.0
31	25.0	129.0
32	15.0	194.0
33	31.0	59.0
34	23.0	39.0
35	37.0	39.0
36	45.0	72.0
37	48.0	40.0
38	27.0	51.0
39	32.0	66.0
40	17.0	59.0
41	30.0	56.0
42	20.0	64.0
43	25.0	60.0
44	53.0	47.0
45	54.0	58.0
46	34.0	86.0
47	26.0	76.0
48	44.0	114.0
49	44.0	200.0
50	132.0	69.0
51	57.0	93.0
52	69.0	200.0
53	49.0	200.0
54	42.0	81.0
55	47.0	200.0
56	92.0	114.0
57	34.0	79.0
58	55.0	200.0
59	137.0	65.0
60	46.0	100.0
61	81.0	200.0
62	67.0	200.0
63	61.0	145.0
64	82.0	200.0
65	48.0	152.0
66	98.0	200.0
67	50.0	200.0
68	91.0	200.0
69	43.0	200.0
70	52.0	200.0
71	48.0	116.0
72	200.0	200.0
73	86.0	200.0
74	100.0	200.0
75	124.0	140.0
76	143.0	200.0
77	155.0	200.0
78	82.0	200.0
79	200.0	200.0
80	150.0	200.0
81	128.0	200.0
82	104.0	200.0
83	131.0	200.0
84	200.0	200.0
85	114.0	200.0
86	52.0	144.0
87	108.0	200.0
88	116.0	200.0
89	80.0	200.0
90	109.0	200.0
91	67.0	200.0
92	166.0	200.0
93	100.0	200.0
94	200.0	200.0
95	88.0	200.0
96	200.0	200.0
97	200.0	200.0
98	75.0	200.0
99	200.0	200.0
100	200.0	200.0
101	200.0	200.0
102	200.0	200.0
103	197.0	200.0
104	161.0	200.0
105	200.0	200.0
106	200.0	200.0
107	200.0	200.0
108	156.0	200.0
109	200.0	200.0
110	200.0	200.0
111	200.0	200.0
112	200.0	200.0
113	200.0	200.0
114	200.0	200.0
115	200.0	200.0
116	200.0	200.0
117	200.0	200.0
118	200.0	200.0
119	193.0	200.0
120	174.0	200.0
121	168.0	200.0
122	200.0	200.0
123	200.0	193.0
124	200.0	200.0
125	189.0	200.0
126	200.0	200.0
127	125.0	181.0
128	200.0	200.0
129	141.0	173.0
130	131.0	200.0
131	200.0	200.0
132	172.0	176.0
133	200.0	200.0
134	170.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	196.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
160	200.0	200.0
161	200.0	200.0
162	190.0	200.0
163	176.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	192.0	200.0
168	200.0	200.0
169	200.0	200.0
170	200.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	188.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	171.0	200.0
179	200.0	200.0
180	200.0	200.0
181	179.0	200.0
182	200.0	200.0
183	183.0	200.0
184	177.0	200.0
185	156.0	174.0
186	161.0	200.0
187	200.0	200.0
188	200.0	200.0
189	193.0	200.0
190	200.0	200.0
191	200.0	200.0
192	183.0	200.0
193	200.0	200.0
194	163.0	200.0
195	152.0	185.0
196	200.0	192.0
197	185.0	200.0
198	200.0	200.0
199	200.0	200.0
200	154.0	200.0
201	200.0	177.0
202	138.0	200.0
203	200.0	200.0
204	200.0	200.0
205	155.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
234	200.0	200.0
235	200.0	200.0
236	200.0	200.0
237	200.0	200.0
238	200.0	200.0
239	200.0	200.0
240	200.0	200.0
241	200.0	200.0
242	200.0	200.0
243	200.0	200.0
244	200.0	200.0
245	200.0	200.0
246	200.0	200.0
247	200.0	200.0
248	200.0	200.0
249	200.0	200.0
250	200.0	200.0
251	200.0	200.0
252	200.0	200.0
253	200.0	200.0
254	200.0	200.0
255	200.0	200.0
256	200.0	200.0
257	200.0	200.0
258	200.0	200.0
