Environment: CartPole-v0
Agent: A2C
Experiment: cartpole_experiment
Parameter: standard
Time Taken: 174.1369457244873 seconds
Episodes: 315 episodes
Max Episodes: 2000 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	20.0	23.0
2	29.0	200.0
3	12.0	200.0
4	24.0	85.0
5	18.0	77.0
6	11.0	121.0
7	18.0	60.0
8	13.0	57.0
9	29.0	154.0
10	15.0	163.0
11	39.0	77.0
12	40.0	100.0
13	14.0	98.0
14	13.0	72.0
15	25.0	104.0
16	18.0	71.0
17	40.0	64.0
18	30.0	96.0
19	13.0	71.0
20	20.0	93.0
21	14.0	67.0
22	24.0	57.0
23	28.0	147.0
24	16.0	65.0
25	53.0	69.0
26	20.0	64.0
27	29.0	80.0
28	23.0	52.0
29	35.0	60.0
30	28.0	77.0
31	12.0	60.0
32	48.0	64.0
33	11.0	80.0
34	15.0	71.0
35	20.0	72.0
36	19.0	66.0
37	14.0	128.0
38	34.0	66.0
39	13.0	63.0
40	47.0	63.0
41	15.0	69.0
42	26.0	70.0
43	26.0	98.0
44	11.0	141.0
45	15.0	109.0
46	24.0	78.0
47	36.0	116.0
48	31.0	172.0
49	35.0	136.0
50	18.0	124.0
51	23.0	142.0
52	22.0	134.0
53	15.0	88.0
54	12.0	94.0
55	24.0	200.0
56	41.0	186.0
57	17.0	198.0
58	45.0	200.0
59	12.0	194.0
60	14.0	200.0
61	95.0	200.0
62	33.0	200.0
63	75.0	200.0
64	59.0	200.0
65	50.0	186.0
66	55.0	67.0
67	63.0	135.0
68	27.0	73.0
69	22.0	200.0
70	28.0	200.0
71	20.0	85.0
72	94.0	55.0
73	27.0	82.0
74	55.0	200.0
75	46.0	61.0
76	21.0	200.0
77	57.0	200.0
78	15.0	200.0
79	44.0	65.0
80	11.0	73.0
81	51.0	79.0
82	114.0	152.0
83	24.0	200.0
84	23.0	200.0
85	51.0	200.0
86	110.0	169.0
87	95.0	200.0
88	86.0	58.0
89	34.0	102.0
90	26.0	200.0
91	46.0	75.0
92	29.0	200.0
93	23.0	56.0
94	45.0	103.0
95	36.0	200.0
96	39.0	87.0
97	90.0	89.0
98	131.0	200.0
99	134.0	190.0
100	122.0	200.0
101	40.0	200.0
102	58.0	200.0
103	55.0	74.0
104	29.0	200.0
105	36.0	76.0
106	30.0	140.0
107	87.0	200.0
108	77.0	75.0
109	82.0	200.0
110	38.0	200.0
111	84.0	200.0
112	52.0	200.0
113	76.0	200.0
114	90.0	200.0
115	38.0	80.0
116	119.0	96.0
117	59.0	200.0
118	119.0	99.0
119	82.0	200.0
120	67.0	179.0
121	77.0	111.0
122	141.0	200.0
123	104.0	200.0
124	95.0	200.0
125	45.0	200.0
126	107.0	200.0
127	200.0	200.0
128	178.0	200.0
129	126.0	200.0
130	29.0	200.0
131	34.0	200.0
132	109.0	200.0
133	147.0	200.0
134	114.0	200.0
135	164.0	200.0
136	200.0	200.0
137	44.0	191.0
138	152.0	200.0
139	183.0	200.0
140	25.0	200.0
141	103.0	200.0
142	168.0	200.0
143	86.0	200.0
144	133.0	200.0
145	51.0	162.0
146	32.0	166.0
147	52.0	171.0
148	104.0	187.0
149	93.0	187.0
150	108.0	197.0
151	119.0	183.0
152	136.0	191.0
153	163.0	150.0
154	49.0	174.0
155	103.0	200.0
156	145.0	200.0
157	33.0	200.0
158	88.0	200.0
159	109.0	200.0
160	113.0	200.0
161	174.0	200.0
162	187.0	200.0
163	184.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	169.0	200.0
168	162.0	200.0
169	200.0	200.0
170	200.0	200.0
171	200.0	200.0
172	60.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	160.0	200.0
177	187.0	200.0
178	193.0	200.0
179	200.0	200.0
180	95.0	200.0
181	200.0	200.0
