Environment: CartPole-v0
Agent: A2C
Solved in 264 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	14.0	23.0
2	20.0	10.0
3	39.0	10.0
4	17.0	27.0
5	35.0	28.0
6	23.0	31.0
7	28.0	45.0
8	30.0	55.0
9	13.0	61.0
10	27.0	55.0
11	37.0	111.0
12	13.0	53.0
13	25.0	60.0
14	30.0	138.0
15	16.0	181.0
16	47.0	64.0
17	13.0	154.0
18	18.0	46.0
19	28.0	82.0
20	19.0	152.0
21	47.0	72.0
22	54.0	145.0
23	52.0	89.0
24	79.0	85.0
25	10.0	97.0
26	22.0	96.0
27	34.0	66.0
28	24.0	47.0
29	61.0	90.0
30	78.0	56.0
31	24.0	64.0
32	54.0	93.0
33	42.0	83.0
34	51.0	92.0
35	45.0	75.0
36	20.0	101.0
37	24.0	62.0
38	11.0	66.0
39	15.0	65.0
40	84.0	75.0
41	41.0	200.0
42	81.0	200.0
43	43.0	200.0
44	30.0	93.0
45	71.0	200.0
46	62.0	63.0
47	61.0	83.0
48	13.0	105.0
49	59.0	78.0
50	53.0	158.0
51	23.0	103.0
52	27.0	200.0
53	97.0	95.0
54	47.0	109.0
55	48.0	99.0
56	44.0	86.0
57	52.0	66.0
58	45.0	82.0
59	70.0	101.0
60	65.0	140.0
61	31.0	100.0
62	31.0	116.0
63	54.0	135.0
64	45.0	186.0
65	22.0	85.0
66	113.0	124.0
67	149.0	158.0
68	102.0	96.0
69	70.0	200.0
70	173.0	147.0
71	134.0	141.0
72	200.0	200.0
73	165.0	200.0
74	137.0	153.0
75	89.0	198.0
76	126.0	192.0
77	62.0	200.0
78	200.0	200.0
79	130.0	200.0
80	112.0	200.0
81	168.0	200.0
82	167.0	200.0
83	123.0	200.0
84	200.0	200.0
85	200.0	200.0
86	84.0	200.0
87	194.0	200.0
88	200.0	200.0
89	200.0	200.0
90	200.0	200.0
91	200.0	200.0
92	200.0	200.0
93	200.0	200.0
94	127.0	200.0
95	137.0	200.0
96	200.0	200.0
97	200.0	200.0
98	200.0	200.0
99	200.0	200.0
100	114.0	200.0
101	145.0	200.0
102	200.0	200.0
103	200.0	200.0
104	165.0	200.0
105	164.0	200.0
106	172.0	200.0
107	87.0	200.0
108	200.0	200.0
109	152.0	200.0
110	158.0	188.0
111	129.0	200.0
112	150.0	200.0
113	194.0	200.0
114	194.0	200.0
115	200.0	200.0
116	200.0	200.0
117	200.0	200.0
118	200.0	200.0
119	200.0	200.0
120	200.0	200.0
121	200.0	200.0
122	200.0	200.0
123	200.0	200.0
124	200.0	200.0
125	200.0	200.0
126	200.0	200.0
127	200.0	200.0
128	112.0	200.0
129	200.0	200.0
130	200.0	200.0
131	200.0	200.0
132	200.0	200.0
133	200.0	200.0
134	200.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
160	167.0	200.0
161	200.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	157.0	200.0
166	200.0	200.0
167	92.0	200.0
168	168.0	200.0
169	168.0	200.0
170	200.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	137.0	200.0
185	200.0	200.0
186	200.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	200.0	200.0
193	200.0	200.0
194	200.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
199	200.0	200.0
200	200.0	200.0
201	200.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
234	200.0	200.0
235	200.0	200.0
236	200.0	200.0
237	200.0	200.0
238	200.0	200.0
239	200.0	200.0
240	200.0	200.0
241	200.0	200.0
242	200.0	200.0
243	200.0	200.0
244	200.0	200.0
245	200.0	200.0
246	200.0	200.0
247	200.0	200.0
248	200.0	200.0
249	200.0	200.0
250	200.0	200.0
251	200.0	200.0
252	200.0	200.0
253	200.0	200.0
254	200.0	200.0
255	200.0	200.0
256	200.0	200.0
257	200.0	200.0
258	200.0	200.0
259	200.0	200.0
260	200.0	200.0
261	200.0	200.0
262	200.0	200.0
263	200.0	200.0
264	200.0	200.0
