Environment: CartPole-v0
Agent: A2CBuffer
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	8.0	9.0
2	10.0	9.0
3	9.0	9.0
4	9.0	9.0
5	9.0	9.0
6	10.0	9.0
7	9.0	8.0
8	10.0	10.0
9	10.0	9.0
10	8.0	9.0
11	8.0	9.0
12	10.0	8.0
13	9.0	9.0
14	8.0	9.0
15	9.0	9.0
16	9.0	10.0
17	10.0	8.0
18	10.0	9.0
19	9.0	9.0
20	9.0	8.0
21	10.0	8.0
22	9.0	9.0
23	8.0	8.0
24	9.0	9.0
25	10.0	9.0
26	9.0	10.0
27	10.0	10.0
28	10.0	10.0
29	10.0	8.0
30	10.0	9.0
31	9.0	8.0
32	8.0	9.0
33	9.0	8.0
34	8.0	9.0
35	10.0	8.0
36	10.0	10.0
37	8.0	10.0
38	9.0	9.0
39	8.0	9.0
40	8.0	10.0
41	10.0	10.0
42	9.0	8.0
43	8.0	9.0
44	10.0	9.0
45	9.0	8.0
46	9.0	9.0
47	9.0	10.0
48	9.0	9.0
49	9.0	10.0
50	10.0	8.0
51	9.0	10.0
52	9.0	9.0
53	9.0	10.0
54	8.0	9.0
55	8.0	9.0
56	10.0	9.0
57	8.0	8.0
58	11.0	9.0
59	10.0	10.0
60	9.0	9.0
61	8.0	10.0
62	9.0	9.0
63	10.0	9.0
64	9.0	10.0
65	10.0	9.0
66	8.0	9.0
67	9.0	9.0
68	10.0	9.0
69	9.0	9.0
70	9.0	10.0
71	10.0	10.0
72	10.0	9.0
73	10.0	9.0
74	9.0	8.0
75	9.0	10.0
76	9.0	9.0
77	9.0	10.0
78	9.0	10.0
79	9.0	9.0
80	9.0	9.0
81	10.0	8.0
82	9.0	9.0
83	9.0	10.0
84	9.0	9.0
85	8.0	9.0
86	9.0	8.0
87	8.0	9.0
88	10.0	8.0
89	9.0	8.0
90	9.0	8.0
91	9.0	8.0
92	9.0	10.0
93	10.0	9.0
94	10.0	8.0
95	9.0	8.0
96	8.0	9.0
97	9.0	9.0
98	9.0	9.0
99	8.0	10.0
100	10.0	8.0
101	8.0	8.0
102	9.0	8.0
103	10.0	8.0
104	9.0	10.0
105	8.0	10.0
106	9.0	8.0
107	10.0	9.0
108	10.0	9.0
109	10.0	10.0
110	9.0	10.0
111	9.0	9.0
112	10.0	8.0
113	9.0	8.0
114	9.0	8.0
115	9.0	10.0
116	10.0	10.0
117	8.0	9.0
118	8.0	10.0
119	9.0	9.0
120	9.0	8.0
121	8.0	8.0
122	9.0	9.0
123	10.0	10.0
124	10.0	9.0
125	9.0	10.0
126	9.0	9.0
127	9.0	10.0
128	9.0	8.0
129	8.0	10.0
130	9.0	10.0
131	9.0	10.0
132	9.0	9.0
133	10.0	9.0
134	9.0	8.0
135	8.0	9.0
136	9.0	10.0
137	8.0	9.0
138	10.0	9.0
139	9.0	9.0
140	9.0	9.0
141	8.0	10.0
142	8.0	10.0
143	10.0	8.0
144	9.0	8.0
145	10.0	9.0
146	9.0	10.0
147	9.0	8.0
148	8.0	9.0
149	10.0	10.0
150	9.0	9.0
151	9.0	8.0
152	10.0	10.0
153	9.0	8.0
154	8.0	9.0
155	9.0	9.0
156	10.0	10.0
157	9.0	8.0
158	9.0	9.0
159	10.0	8.0
160	9.0	10.0
161	9.0	10.0
162	9.0	10.0
163	9.0	10.0
164	8.0	10.0
165	8.0	8.0
166	10.0	9.0
167	9.0	9.0
168	9.0	10.0
169	8.0	9.0
170	10.0	8.0
171	9.0	8.0
172	8.0	9.0
173	8.0	9.0
174	10.0	10.0
175	9.0	10.0
176	9.0	9.0
177	8.0	9.0
178	9.0	9.0
179	9.0	8.0
180	9.0	10.0
181	8.0	8.0
182	10.0	10.0
183	10.0	9.0
184	10.0	9.0
185	9.0	9.0
186	9.0	10.0
187	8.0	9.0
188	8.0	9.0
189	10.0	8.0
190	9.0	9.0
191	10.0	9.0
192	8.0	8.0
193	9.0	10.0
194	9.0	8.0
195	8.0	10.0
196	10.0	9.0
197	8.0	8.0
198	9.0	9.0
199	8.0	9.0
200	8.0	9.0
201	9.0	10.0
202	9.0	8.0
203	9.0	8.0
204	8.0	8.0
205	10.0	9.0
206	8.0	9.0
207	9.0	10.0
208	9.0	10.0
209	8.0	9.0
210	10.0	9.0
211	8.0	10.0
212	9.0	10.0
213	9.0	9.0
214	9.0	9.0
215	8.0	10.0
216	10.0	10.0
217	9.0	9.0
218	9.0	10.0
219	10.0	8.0
220	9.0	10.0
221	10.0	8.0
222	8.0	9.0
223	9.0	10.0
224	9.0	9.0
225	9.0	10.0
226	9.0	10.0
227	9.0	10.0
228	9.0	9.0
229	10.0	10.0
230	10.0	9.0
231	10.0	9.0
232	9.0	10.0
233	8.0	10.0
234	10.0	9.0
235	9.0	8.0
236	9.0	8.0
237	9.0	9.0
238	10.0	9.0
239	10.0	9.0
240	10.0	9.0
241	10.0	10.0
242	9.0	9.0
243	9.0	9.0
244	9.0	9.0
245	8.0	10.0
246	10.0	8.0
247	9.0	10.0
248	11.0	9.0
249	9.0	8.0
250	8.0	10.0
251	9.0	9.0
252	8.0	10.0
253	9.0	8.0
254	10.0	9.0
255	9.0	10.0
256	10.0	8.0
257	10.0	8.0
258	9.0	10.0
259	9.0	9.0
260	10.0	9.0
261	9.0	8.0
262	10.0	9.0
263	9.0	10.0
264	10.0	9.0
265	10.0	9.0
266	9.0	9.0
267	9.0	8.0
268	10.0	10.0
269	10.0	9.0
270	10.0	10.0
271	9.0	8.0
272	10.0	8.0
273	9.0	8.0
274	9.0	8.0
275	9.0	9.0
276	10.0	8.0
277	8.0	10.0
278	9.0	10.0
279	10.0	9.0
280	10.0	8.0
281	8.0	9.0
282	9.0	10.0
283	8.0	8.0
284	10.0	9.0
285	10.0	8.0
286	9.0	9.0
287	9.0	9.0
288	9.0	8.0
289	9.0	9.0
290	9.0	9.0
291	9.0	9.0
292	9.0	9.0
293	9.0	10.0
294	8.0	9.0
295	10.0	10.0
296	9.0	9.0
297	9.0	9.0
298	9.0	9.0
299	9.0	9.0
300	10.0	8.0
301	8.0	8.0
302	9.0	9.0
303	8.0	8.0
304	9.0	10.0
305	8.0	8.0
306	10.0	9.0
307	8.0	9.0
308	9.0	8.0
309	10.0	8.0
310	10.0	10.0
311	10.0	10.0
312	9.0	9.0
313	10.0	10.0
314	10.0	9.0
315	9.0	9.0
316	10.0	9.0
317	10.0	9.0
318	8.0	9.0
319	10.0	8.0
320	9.0	10.0
321	8.0	8.0
322	9.0	9.0
323	8.0	8.0
324	10.0	10.0
325	9.0	9.0
326	8.0	9.0
327	9.0	8.0
328	10.0	10.0
329	8.0	9.0
330	9.0	9.0
331	10.0	9.0
332	8.0	9.0
333	10.0	9.0
334	9.0	9.0
335	9.0	10.0
336	9.0	8.0
337	8.0	10.0
338	9.0	10.0
339	10.0	9.0
340	10.0	8.0
341	9.0	10.0
342	10.0	8.0
343	9.0	10.0
344	9.0	10.0
345	9.0	10.0
346	9.0	10.0
347	9.0	10.0
348	10.0	8.0
349	9.0	9.0
350	9.0	10.0
351	8.0	9.0
352	9.0	10.0
353	9.0	9.0
354	10.0	9.0
355	9.0	9.0
356	10.0	9.0
357	9.0	10.0
358	9.0	9.0
359	9.0	9.0
360	9.0	9.0
361	9.0	10.0
362	8.0	9.0
363	9.0	8.0
364	9.0	8.0
365	9.0	9.0
366	9.0	9.0
367	9.0	9.0
368	9.0	9.0
369	8.0	8.0
370	9.0	10.0
371	9.0	9.0
372	9.0	10.0
373	8.0	10.0
374	9.0	10.0
375	10.0	10.0
376	9.0	9.0
377	9.0	9.0
378	9.0	10.0
379	9.0	8.0
380	9.0	10.0
381	9.0	9.0
382	10.0	10.0
383	10.0	10.0
384	8.0	9.0
385	10.0	8.0
386	9.0	8.0
387	9.0	9.0
388	8.0	9.0
389	10.0	9.0
390	8.0	9.0
391	8.0	9.0
392	10.0	10.0
393	9.0	9.0
394	9.0	9.0
395	9.0	9.0
396	9.0	9.0
397	10.0	9.0
398	8.0	10.0
399	10.0	9.0
400	10.0	9.0
401	9.0	10.0
402	9.0	8.0
403	8.0	9.0
404	9.0	10.0
405	9.0	10.0
406	9.0	10.0
407	10.0	9.0
408	9.0	8.0
409	9.0	9.0
410	9.0	10.0
411	10.0	9.0
412	8.0	8.0
413	9.0	8.0
414	9.0	10.0
415	10.0	9.0
416	9.0	8.0
417	10.0	9.0
418	9.0	8.0
419	9.0	9.0
420	9.0	10.0
421	8.0	10.0
422	9.0	10.0
423	9.0	8.0
424	9.0	10.0
425	8.0	10.0
426	8.0	10.0
427	8.0	10.0
428	9.0	9.0
429	9.0	8.0
430	8.0	9.0
431	9.0	9.0
432	8.0	9.0
433	9.0	8.0
434	10.0	10.0
435	9.0	8.0
436	9.0	9.0
437	8.0	9.0
438	10.0	10.0
439	10.0	9.0
440	9.0	8.0
441	9.0	10.0
442	9.0	10.0
443	8.0	8.0
444	9.0	9.0
445	9.0	10.0
446	10.0	10.0
447	9.0	10.0
448	8.0	9.0
449	10.0	9.0
450	9.0	9.0
451	10.0	10.0
452	8.0	8.0
453	9.0	9.0
454	10.0	10.0
455	9.0	10.0
456	10.0	10.0
457	10.0	10.0
458	9.0	10.0
459	9.0	9.0
460	9.0	9.0
461	9.0	8.0
462	8.0	8.0
463	10.0	9.0
464	8.0	9.0
465	10.0	8.0
466	10.0	10.0
467	9.0	9.0
468	9.0	10.0
469	8.0	10.0
470	8.0	9.0
471	8.0	8.0
472	9.0	9.0
473	9.0	9.0
474	8.0	8.0
475	8.0	10.0
476	10.0	8.0
477	9.0	9.0
478	10.0	10.0
479	9.0	9.0
480	8.0	9.0
481	9.0	10.0
482	9.0	9.0
483	9.0	9.0
484	9.0	10.0
485	9.0	10.0
486	9.0	9.0
487	8.0	8.0
488	9.0	9.0
489	9.0	10.0
490	9.0	10.0
491	9.0	10.0
492	8.0	9.0
493	9.0	8.0
494	9.0	9.0
495	9.0	8.0
496	9.0	9.0
497	9.0	9.0
498	9.0	10.0
499	8.0	9.0
500	9.0	10.0
501	9.0	10.0
502	10.0	8.0
503	8.0	9.0
504	10.0	10.0
505	9.0	10.0
506	9.0	10.0
507	9.0	8.0
508	9.0	9.0
509	9.0	9.0
510	9.0	8.0
511	10.0	8.0
512	9.0	9.0
513	8.0	9.0
514	9.0	9.0
515	9.0	9.0
516	9.0	8.0
517	8.0	8.0
518	9.0	9.0
519	9.0	9.0
520	8.0	9.0
521	10.0	10.0
522	9.0	10.0
523	10.0	9.0
524	9.0	9.0
525	9.0	10.0
526	10.0	9.0
527	9.0	10.0
528	10.0	10.0
529	9.0	9.0
530	8.0	9.0
531	9.0	9.0
532	10.0	10.0
533	8.0	8.0
534	10.0	10.0
535	8.0	8.0
536	9.0	9.0
537	10.0	9.0
538	9.0	9.0
539	9.0	8.0
540	10.0	8.0
541	9.0	9.0
542	9.0	9.0
543	9.0	9.0
544	10.0	10.0
545	9.0	10.0
546	9.0	9.0
547	8.0	8.0
548	9.0	10.0
549	10.0	9.0
550	9.0	9.0
551	9.0	10.0
552	9.0	10.0
553	9.0	9.0
554	9.0	9.0
555	9.0	8.0
556	9.0	10.0
557	9.0	8.0
558	9.0	9.0
559	10.0	9.0
560	9.0	9.0
561	9.0	9.0
562	8.0	10.0
563	9.0	10.0
564	10.0	8.0
565	10.0	9.0
566	9.0	9.0
567	9.0	10.0
568	8.0	8.0
569	9.0	9.0
570	10.0	8.0
571	9.0	8.0
572	8.0	9.0
573	9.0	8.0
574	9.0	8.0
575	10.0	9.0
576	9.0	9.0
577	10.0	8.0
578	9.0	8.0
579	9.0	10.0
580	9.0	10.0
581	10.0	8.0
582	10.0	9.0
583	9.0	10.0
584	10.0	9.0
585	8.0	10.0
586	9.0	10.0
587	9.0	10.0
588	10.0	9.0
589	9.0	9.0
590	10.0	10.0
591	10.0	8.0
592	10.0	8.0
593	9.0	9.0
