Environment: CartPole-v0
Agent: A2C_DQN
Experiment: CartPole
Parameter: None
Time Taken: 170.0517978668213 seconds
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	34.0	11.0
2	15.0	9.0
3	19.0	9.0
4	9.0	10.0
5	13.0	8.0
6	18.0	9.0
7	19.0	9.0
8	18.0	9.0
9	22.0	32.0
10	12.0	78.0
11	13.0	60.0
12	9.0	41.0
13	23.0	75.0
14	22.0	53.0
15	40.0	80.0
16	9.0	61.0
17	17.0	77.0
18	79.0	65.0
19	76.0	69.0
20	47.0	36.0
21	14.0	37.0
22	73.0	52.0
23	13.0	54.0
24	18.0	34.0
25	42.0	27.0
26	42.0	22.0
27	13.0	29.0
28	26.0	39.0
29	50.0	39.0
30	42.0	27.0
31	42.0	21.0
32	22.0	31.0
33	20.0	33.0
34	53.0	24.0
35	14.0	50.0
36	34.0	58.0
37	50.0	57.0
38	75.0	28.0
39	27.0	33.0
40	23.0	48.0
41	18.0	32.0
42	38.0	83.0
43	26.0	35.0
44	58.0	82.0
45	49.0	52.0
46	83.0	37.0
47	30.0	41.0
48	28.0	59.0
49	53.0	87.0
50	50.0	72.0
51	17.0	54.0
52	55.0	64.0
53	38.0	80.0
54	47.0	62.0
55	28.0	104.0
56	57.0	95.0
57	49.0	86.0
58	35.0	80.0
59	51.0	76.0
60	24.0	88.0
61	59.0	71.0
62	37.0	83.0
63	38.0	86.0
64	48.0	68.0
65	58.0	79.0
66	34.0	61.0
67	29.0	200.0
68	46.0	64.0
69	49.0	76.0
70	29.0	74.0
71	37.0	70.0
72	88.0	50.0
73	80.0	78.0
74	28.0	66.0
75	82.0	57.0
76	200.0	64.0
77	29.0	46.0
78	138.0	84.0
79	34.0	59.0
80	17.0	39.0
81	56.0	44.0
82	55.0	43.0
83	85.0	50.0
84	26.0	54.0
85	27.0	77.0
86	21.0	46.0
87	60.0	49.0
88	43.0	30.0
89	59.0	67.0
90	22.0	35.0
91	26.0	39.0
92	36.0	31.0
93	45.0	39.0
94	24.0	35.0
95	43.0	35.0
96	63.0	45.0
97	28.0	51.0
98	75.0	53.0
99	64.0	37.0
100	48.0	40.0
101	43.0	32.0
102	53.0	42.0
103	40.0	63.0
104	62.0	58.0
105	27.0	162.0
106	57.0	60.0
107	42.0	100.0
108	30.0	62.0
109	65.0	131.0
110	36.0	66.0
111	90.0	49.0
112	47.0	63.0
113	47.0	147.0
114	82.0	77.0
115	43.0	74.0
116	179.0	199.0
117	52.0	200.0
118	200.0	118.0
119	51.0	200.0
120	154.0	200.0
121	101.0	72.0
122	117.0	200.0
123	48.0	200.0
124	105.0	92.0
125	71.0	200.0
126	80.0	95.0
127	80.0	200.0
128	137.0	91.0
129	44.0	200.0
130	88.0	122.0
131	98.0	200.0
132	101.0	122.0
133	78.0	200.0
134	178.0	110.0
135	143.0	200.0
136	94.0	179.0
137	141.0	200.0
138	177.0	200.0
139	200.0	200.0
140	80.0	200.0
141	163.0	200.0
142	170.0	200.0
