Environment: CartPole-v0
Agent: A2C_DQN
Experiment: CartPole
Parameter: None
Time Taken: 25.923237085342407 seconds
Solved in 313 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	30.0	61.0
2	33.0	28.0
3	15.0	27.0
4	27.0	68.0
5	13.0	77.0
6	27.0	68.0
7	20.0	72.0
8	13.0	51.0
9	32.0	27.0
10	15.0	47.0
11	13.0	36.0
12	17.0	38.0
13	22.0	39.0
14	37.0	37.0
15	23.0	35.0
16	15.0	33.0
17	13.0	26.0
18	20.0	24.0
19	18.0	11.0
20	20.0	41.0
21	26.0	29.0
22	13.0	22.0
23	20.0	29.0
24	22.0	24.0
25	17.0	25.0
26	34.0	93.0
27	17.0	48.0
28	11.0	44.0
29	15.0	47.0
30	31.0	39.0
31	50.0	39.0
32	44.0	44.0
33	10.0	51.0
34	20.0	47.0
35	18.0	54.0
36	53.0	38.0
37	14.0	66.0
38	42.0	37.0
39	22.0	61.0
40	9.0	42.0
41	31.0	67.0
42	24.0	52.0
43	28.0	41.0
44	25.0	56.0
45	12.0	52.0
46	10.0	42.0
47	25.0	75.0
48	24.0	57.0
49	16.0	41.0
50	14.0	53.0
51	26.0	43.0
52	38.0	56.0
53	25.0	80.0
54	30.0	43.0
55	15.0	63.0
56	24.0	53.0
57	31.0	60.0
58	16.0	97.0
59	23.0	112.0
60	16.0	81.0
61	46.0	95.0
62	50.0	112.0
63	21.0	78.0
64	18.0	64.0
65	31.0	57.0
66	21.0	54.0
67	33.0	65.0
68	14.0	143.0
69	15.0	77.0
70	93.0	75.0
71	21.0	80.0
72	19.0	159.0
73	66.0	82.0
74	33.0	60.0
75	16.0	72.0
76	51.0	59.0
77	53.0	66.0
78	78.0	51.0
79	24.0	52.0
80	23.0	102.0
81	53.0	85.0
82	50.0	53.0
83	48.0	110.0
84	36.0	76.0
85	35.0	111.0
86	31.0	47.0
87	22.0	54.0
88	58.0	41.0
89	49.0	54.0
90	72.0	66.0
91	91.0	46.0
92	64.0	60.0
93	129.0	73.0
94	25.0	38.0
95	46.0	81.0
96	39.0	75.0
97	46.0	60.0
98	43.0	71.0
99	39.0	200.0
100	75.0	62.0
101	47.0	47.0
102	61.0	71.0
103	81.0	60.0
104	127.0	77.0
105	98.0	49.0
106	83.0	80.0
107	65.0	105.0
108	47.0	200.0
109	90.0	200.0
110	109.0	200.0
111	60.0	75.0
112	49.0	133.0
113	62.0	102.0
114	43.0	75.0
115	87.0	200.0
116	105.0	200.0
117	160.0	200.0
118	134.0	200.0
119	133.0	200.0
120	186.0	86.0
121	146.0	115.0
122	79.0	120.0
123	104.0	200.0
124	99.0	200.0
125	115.0	200.0
126	80.0	179.0
127	108.0	146.0
128	143.0	200.0
129	150.0	200.0
130	139.0	200.0
131	143.0	200.0
132	200.0	200.0
133	191.0	200.0
134	200.0	200.0
135	111.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	199.0	200.0
141	200.0	200.0
142	149.0	200.0
143	53.0	200.0
144	112.0	200.0
145	53.0	200.0
146	200.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	200.0	200.0
154	200.0	200.0
155	164.0	195.0
156	200.0	200.0
157	138.0	200.0
158	180.0	200.0
159	200.0	191.0
160	200.0	191.0
161	193.0	200.0
162	200.0	156.0
163	173.0	200.0
164	200.0	200.0
165	165.0	200.0
166	172.0	200.0
167	200.0	200.0
