Environment: CartPole-v0
Agent: A2C_DQN
Solved in 391 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	27.0	10.0
2	21.0	8.0
3	12.0	8.0
4	13.0	9.0
5	29.0	10.0
6	12.0	9.0
7	10.0	9.0
8	29.0	9.0
9	16.0	10.0
10	12.0	9.0
11	33.0	9.0
12	12.0	8.0
13	22.0	9.0
14	14.0	10.0
15	15.0	10.0
16	11.0	10.0
17	16.0	8.0
18	17.0	10.0
19	13.0	9.0
20	19.0	10.0
21	10.0	22.0
22	63.0	26.0
23	28.0	21.0
24	28.0	52.0
25	25.0	12.0
26	15.0	197.0
27	13.0	200.0
28	14.0	108.0
29	29.0	200.0
30	20.0	54.0
31	17.0	173.0
32	27.0	77.0
33	20.0	67.0
34	12.0	58.0
35	19.0	194.0
36	25.0	200.0
37	10.0	176.0
38	12.0	65.0
39	51.0	63.0
40	50.0	200.0
41	34.0	58.0
42	36.0	66.0
43	60.0	42.0
44	11.0	45.0
45	18.0	58.0
46	40.0	63.0
47	46.0	60.0
48	17.0	200.0
49	107.0	65.0
50	32.0	74.0
51	89.0	59.0
52	27.0	179.0
53	50.0	77.0
54	57.0	87.0
55	16.0	72.0
56	34.0	83.0
57	38.0	83.0
58	128.0	70.0
59	58.0	62.0
60	34.0	78.0
61	59.0	200.0
62	53.0	96.0
63	58.0	78.0
64	36.0	84.0
65	65.0	92.0
66	25.0	200.0
67	61.0	109.0
68	51.0	97.0
69	104.0	200.0
70	148.0	101.0
71	54.0	119.0
72	53.0	92.0
73	73.0	200.0
74	108.0	171.0
75	89.0	163.0
76	38.0	181.0
77	63.0	200.0
78	150.0	200.0
79	153.0	200.0
80	105.0	200.0
81	35.0	200.0
82	62.0	200.0
83	92.0	200.0
84	36.0	200.0
85	147.0	200.0
86	200.0	200.0
87	200.0	200.0
88	137.0	200.0
89	200.0	200.0
90	84.0	200.0
91	113.0	200.0
92	143.0	200.0
93	172.0	200.0
94	95.0	200.0
95	64.0	200.0
96	29.0	200.0
97	171.0	200.0
98	200.0	200.0
99	118.0	200.0
100	200.0	200.0
101	137.0	200.0
102	140.0	200.0
103	200.0	200.0
104	147.0	183.0
105	134.0	153.0
106	127.0	146.0
107	146.0	156.0
108	95.0	177.0
109	152.0	150.0
110	90.0	192.0
111	165.0	133.0
112	107.0	107.0
113	95.0	112.0
114	69.0	132.0
115	168.0	200.0
116	87.0	146.0
117	125.0	200.0
118	200.0	200.0
119	100.0	200.0
120	176.0	142.0
121	136.0	200.0
122	198.0	200.0
123	122.0	129.0
124	145.0	200.0
125	134.0	200.0
126	155.0	194.0
127	142.0	172.0
128	165.0	139.0
129	200.0	139.0
130	200.0	140.0
131	78.0	200.0
132	155.0	136.0
133	124.0	120.0
134	98.0	130.0
135	118.0	136.0
136	154.0	155.0
137	155.0	161.0
138	159.0	140.0
139	159.0	138.0
140	133.0	164.0
141	174.0	153.0
142	148.0	194.0
143	20.0	200.0
144	118.0	200.0
145	188.0	200.0
146	112.0	189.0
147	89.0	170.0
148	178.0	183.0
149	142.0	187.0
150	200.0	188.0
151	180.0	152.0
152	180.0	160.0
153	176.0	200.0
154	164.0	167.0
155	118.0	200.0
156	101.0	200.0
157	155.0	200.0
158	141.0	162.0
159	200.0	171.0
160	116.0	179.0
161	125.0	200.0
162	167.0	200.0
163	138.0	176.0
164	133.0	200.0
165	195.0	200.0
166	124.0	191.0
167	125.0	156.0
168	131.0	200.0
169	181.0	146.0
170	149.0	157.0
171	156.0	179.0
172	129.0	168.0
173	176.0	165.0
174	141.0	166.0
175	159.0	166.0
176	171.0	137.0
177	160.0	157.0
178	175.0	196.0
179	65.0	145.0
180	130.0	153.0
181	142.0	146.0
182	144.0	179.0
183	167.0	170.0
184	155.0	184.0
185	151.0	151.0
186	127.0	152.0
187	199.0	173.0
188	102.0	165.0
189	153.0	198.0
190	173.0	152.0
191	139.0	152.0
192	186.0	161.0
193	154.0	173.0
194	155.0	200.0
195	180.0	200.0
196	173.0	172.0
197	152.0	200.0
198	198.0	170.0
199	161.0	188.0
200	184.0	193.0
201	163.0	165.0
202	161.0	171.0
203	178.0	161.0
204	200.0	163.0
205	149.0	200.0
206	155.0	200.0
207	176.0	158.0
208	167.0	146.0
209	175.0	175.0
210	200.0	171.0
211	152.0	177.0
212	160.0	174.0
213	155.0	179.0
214	200.0	187.0
215	181.0	198.0
216	200.0	200.0
217	200.0	200.0
218	172.0	200.0
219	199.0	200.0
220	200.0	200.0
221	197.0	200.0
222	192.0	193.0
223	200.0	200.0
224	157.0	200.0
225	200.0	200.0
226	200.0	200.0
227	198.0	200.0
228	196.0	200.0
229	183.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
234	181.0	200.0
235	188.0	200.0
236	200.0	200.0
237	200.0	200.0
238	200.0	200.0
239	200.0	200.0
240	200.0	200.0
241	185.0	200.0
242	200.0	200.0
243	200.0	200.0
244	200.0	200.0
245	200.0	200.0
246	200.0	200.0
247	164.0	200.0
248	200.0	200.0
249	200.0	200.0
250	200.0	200.0
251	200.0	200.0
252	200.0	200.0
253	173.0	200.0
254	200.0	200.0
255	200.0	200.0
256	200.0	200.0
257	200.0	200.0
258	200.0	200.0
259	200.0	200.0
260	200.0	200.0
261	200.0	200.0
262	200.0	200.0
263	200.0	200.0
264	200.0	200.0
265	200.0	200.0
266	200.0	200.0
267	200.0	200.0
268	200.0	200.0
269	187.0	200.0
270	192.0	200.0
271	200.0	200.0
272	200.0	200.0
273	200.0	200.0
274	197.0	200.0
275	200.0	200.0
276	200.0	200.0
277	200.0	200.0
278	200.0	200.0
279	194.0	200.0
280	200.0	200.0
281	200.0	200.0
282	200.0	200.0
283	200.0	200.0
284	200.0	200.0
285	200.0	200.0
286	200.0	200.0
287	200.0	200.0
288	200.0	200.0
289	200.0	200.0
290	200.0	200.0
291	200.0	200.0
292	200.0	200.0
293	200.0	200.0
294	200.0	200.0
295	200.0	200.0
296	200.0	200.0
297	200.0	200.0
298	197.0	200.0
299	199.0	200.0
300	200.0	200.0
301	200.0	200.0
302	200.0	200.0
303	200.0	200.0
304	200.0	200.0
305	200.0	200.0
306	200.0	200.0
307	200.0	200.0
308	200.0	200.0
309	200.0	200.0
310	200.0	200.0
311	200.0	200.0
312	200.0	200.0
313	200.0	200.0
314	200.0	200.0
315	200.0	200.0
316	200.0	200.0
317	200.0	200.0
318	200.0	200.0
319	200.0	200.0
320	200.0	200.0
321	200.0	200.0
322	200.0	200.0
323	200.0	200.0
324	200.0	200.0
325	200.0	200.0
326	200.0	200.0
327	200.0	200.0
328	200.0	200.0
329	200.0	200.0
330	200.0	200.0
331	200.0	200.0
332	200.0	200.0
333	200.0	200.0
334	200.0	200.0
