Environment: CartPole-v0
Agent: A2C_MLP
Experiment: cartpole_experiment
Parameter: standard
Time Taken: 81.13741779327393 seconds
Episodes: 309 episodes
Max Episodes: 2000 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	22.0	48.0
2	10.0	36.0
3	22.0	67.0
4	11.0	200.0
5	20.0	200.0
6	10.0	183.0
7	87.0	200.0
8	36.0	94.0
9	40.0	60.0
10	12.0	55.0
11	17.0	62.0
12	18.0	60.0
13	17.0	70.0
14	16.0	102.0
15	14.0	64.0
16	37.0	61.0
17	20.0	60.0
18	16.0	87.0
19	25.0	67.0
20	16.0	78.0
21	38.0	42.0
22	72.0	77.0
23	60.0	68.0
24	29.0	92.0
25	11.0	65.0
26	110.0	66.0
27	34.0	78.0
28	23.0	62.0
29	33.0	47.0
30	30.0	52.0
31	45.0	47.0
32	42.0	56.0
33	32.0	62.0
34	24.0	77.0
35	55.0	46.0
36	16.0	52.0
37	18.0	52.0
38	44.0	62.0
39	15.0	60.0
40	21.0	44.0
41	50.0	113.0
42	55.0	38.0
43	46.0	72.0
44	40.0	74.0
45	42.0	58.0
46	33.0	46.0
47	16.0	96.0
48	35.0	78.0
49	53.0	75.0
50	43.0	48.0
51	27.0	62.0
52	49.0	63.0
53	27.0	50.0
54	36.0	70.0
55	22.0	64.0
56	20.0	54.0
57	24.0	54.0
58	112.0	64.0
59	49.0	74.0
60	103.0	54.0
61	33.0	92.0
62	47.0	87.0
63	50.0	91.0
64	46.0	200.0
65	58.0	69.0
66	47.0	124.0
67	62.0	200.0
68	77.0	121.0
69	15.0	71.0
70	41.0	94.0
71	23.0	117.0
72	35.0	200.0
73	26.0	91.0
74	46.0	78.0
75	45.0	65.0
76	84.0	85.0
77	32.0	90.0
78	35.0	200.0
79	69.0	65.0
80	61.0	117.0
81	110.0	88.0
82	72.0	200.0
83	97.0	200.0
84	85.0	95.0
85	51.0	157.0
86	16.0	200.0
87	64.0	161.0
88	52.0	73.0
89	59.0	88.0
90	135.0	200.0
91	73.0	192.0
92	52.0	76.0
93	35.0	80.0
94	132.0	114.0
95	44.0	200.0
96	101.0	80.0
97	64.0	94.0
98	91.0	111.0
99	59.0	74.0
100	75.0	94.0
101	64.0	200.0
102	37.0	89.0
103	55.0	83.0
104	66.0	105.0
105	89.0	87.0
106	144.0	91.0
107	43.0	200.0
108	78.0	110.0
109	62.0	200.0
110	51.0	117.0
111	82.0	200.0
112	79.0	90.0
113	110.0	200.0
114	103.0	200.0
115	56.0	176.0
116	154.0	154.0
117	47.0	132.0
118	58.0	128.0
119	142.0	200.0
120	48.0	200.0
121	59.0	200.0
122	103.0	152.0
123	200.0	140.0
124	37.0	200.0
125	81.0	200.0
126	147.0	200.0
127	161.0	200.0
128	124.0	200.0
129	200.0	200.0
130	79.0	200.0
131	200.0	200.0
132	110.0	200.0
133	163.0	200.0
134	162.0	200.0
135	200.0	200.0
136	200.0	200.0
137	84.0	200.0
138	200.0	200.0
139	148.0	200.0
140	200.0	200.0
141	191.0	200.0
142	95.0	200.0
143	200.0	200.0
144	200.0	200.0
145	42.0	200.0
146	200.0	200.0
147	200.0	200.0
148	174.0	200.0
149	115.0	200.0
150	127.0	200.0
151	90.0	200.0
152	121.0	200.0
153	164.0	200.0
154	200.0	200.0
155	119.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	139.0	200.0
160	99.0	200.0
161	105.0	200.0
162	200.0	200.0
163	166.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	200.0	200.0
170	187.0	200.0
171	127.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	171.0	200.0
185	71.0	200.0
186	200.0	200.0
187	200.0	200.0
188	165.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	200.0	200.0
193	187.0	200.0
194	200.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
199	200.0	200.0
200	200.0	200.0
201	200.0	200.0
202	128.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	174.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	190.0	200.0
220	181.0	200.0
221	133.0	200.0
222	200.0	200.0
223	200.0	200.0
224	120.0	198.0
225	200.0	200.0
226	200.0	162.0
227	200.0	200.0
228	165.0	200.0
229	189.0	157.0
230	200.0	157.0
231	166.0	200.0
232	149.0	200.0
233	200.0	148.0
234	114.0	198.0
235	125.0	152.0
236	140.0	188.0
237	103.0	200.0
238	101.0	182.0
239	200.0	200.0
240	123.0	200.0
241	151.0	200.0
242	200.0	200.0
243	200.0	200.0
244	200.0	200.0
245	200.0	200.0
246	200.0	200.0
247	200.0	200.0
248	191.0	200.0
249	151.0	200.0
250	200.0	200.0
251	200.0	200.0
252	200.0	200.0
253	200.0	200.0
254	200.0	200.0
255	200.0	200.0
256	200.0	200.0
257	200.0	200.0
258	200.0	200.0
259	200.0	200.0
260	200.0	200.0
261	200.0	200.0
262	200.0	200.0
263	200.0	200.0
264	200.0	200.0
265	200.0	200.0
266	200.0	200.0
267	200.0	200.0
268	200.0	200.0
269	200.0	200.0
270	200.0	200.0
271	200.0	200.0
272	200.0	200.0
273	200.0	200.0
274	200.0	200.0
275	200.0	200.0
276	200.0	200.0
277	200.0	200.0
278	200.0	200.0
279	200.0	200.0
280	200.0	200.0
281	200.0	200.0
282	181.0	200.0
283	200.0	200.0
284	200.0	200.0
285	200.0	200.0
286	200.0	200.0
287	200.0	200.0
288	200.0	200.0
289	200.0	200.0
290	200.0	200.0
291	200.0	200.0
292	200.0	200.0
293	200.0	200.0
294	200.0	200.0
295	200.0	200.0
296	200.0	200.0
297	200.0	200.0
298	200.0	200.0
299	200.0	200.0
300	200.0	200.0
301	200.0	200.0
302	200.0	200.0
303	200.0	200.0
304	200.0	200.0
305	200.0	200.0
306	200.0	200.0
307	147.0	200.0
308	200.0	200.0
309	200.0	200.0
