Environment: CartPole-v0
Agent: A2C_PPO
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	73.0	10.0
2	31.0	12.0
3	14.0	9.0
4	18.0	9.0
5	156.0	15.0
6	12.0	23.0
7	19.0	9.0
8	9.0	49.0
9	19.0	37.0
10	16.0	17.0
11	23.0	111.0
12	16.0	9.0
13	89.0	41.0
14	17.0	71.0
15	18.0	62.0
16	22.0	10.0
17	15.0	71.0
18	17.0	33.0
19	19.0	37.0
20	19.0	52.0
21	36.0	28.0
22	14.0	37.0
23	14.0	10.0
24	20.0	37.0
25	10.0	9.0
26	17.0	9.0
27	13.0	19.0
28	35.0	23.0
29	20.0	18.0
30	66.0	21.0
31	15.0	20.0
32	13.0	16.0
33	49.0	13.0
34	64.0	9.0
35	34.0	13.0
36	32.0	11.0
37	11.0	11.0
38	12.0	16.0
39	22.0	10.0
40	20.0	9.0
41	23.0	9.0
42	25.0	10.0
43	14.0	10.0
44	48.0	10.0
45	17.0	10.0
46	32.0	9.0
47	17.0	10.0
48	21.0	9.0
49	55.0	9.0
50	32.0	9.0
51	44.0	8.0
52	10.0	8.0
53	24.0	9.0
54	11.0	9.0
55	12.0	10.0
56	26.0	10.0
57	10.0	19.0
58	14.0	10.0
59	15.0	8.0
60	16.0	8.0
61	12.0	9.0
62	28.0	10.0
63	13.0	9.0
64	18.0	9.0
65	16.0	8.0
66	23.0	9.0
67	19.0	10.0
68	41.0	10.0
69	15.0	24.0
70	16.0	39.0
71	20.0	25.0
72	39.0	9.0
73	37.0	9.0
74	17.0	10.0
75	13.0	25.0
76	22.0	30.0
77	42.0	22.0
78	18.0	33.0
79	13.0	10.0
80	32.0	25.0
81	13.0	10.0
82	9.0	15.0
83	26.0	24.0
84	51.0	18.0
85	15.0	22.0
86	12.0	14.0
87	11.0	8.0
88	10.0	14.0
89	17.0	13.0
90	17.0	12.0
91	11.0	17.0
92	17.0	15.0
93	17.0	12.0
94	52.0	10.0
95	24.0	19.0
96	11.0	23.0
97	34.0	24.0
98	10.0	19.0
99	10.0	27.0
100	16.0	16.0
101	10.0	31.0
102	16.0	19.0
103	15.0	42.0
104	16.0	24.0
105	13.0	27.0
106	17.0	38.0
107	9.0	37.0
108	12.0	26.0
109	15.0	53.0
110	31.0	28.0
111	17.0	42.0
112	39.0	26.0
113	14.0	46.0
114	39.0	56.0
115	12.0	37.0
116	22.0	67.0
117	13.0	39.0
118	19.0	34.0
119	17.0	63.0
120	33.0	21.0
121	53.0	28.0
122	44.0	45.0
123	23.0	60.0
124	35.0	37.0
125	39.0	25.0
126	28.0	26.0
127	15.0	26.0
128	18.0	42.0
129	24.0	63.0
130	14.0	38.0
131	12.0	21.0
132	14.0	30.0
133	13.0	20.0
134	16.0	22.0
135	29.0	17.0
136	18.0	19.0
137	27.0	16.0
138	31.0	19.0
139	30.0	18.0
140	17.0	20.0
141	16.0	22.0
142	30.0	21.0
143	25.0	20.0
144	23.0	19.0
145	19.0	19.0
146	13.0	14.0
147	45.0	20.0
148	11.0	24.0
149	58.0	23.0
150	26.0	21.0
151	16.0	25.0
152	12.0	16.0
153	30.0	23.0
154	26.0	27.0
155	10.0	18.0
156	20.0	21.0
157	30.0	16.0
158	32.0	27.0
159	22.0	34.0
160	31.0	31.0
161	20.0	51.0
162	33.0	36.0
163	26.0	32.0
164	33.0	15.0
165	28.0	26.0
166	20.0	16.0
167	12.0	26.0
168	10.0	28.0
169	29.0	26.0
170	32.0	21.0
171	39.0	15.0
172	27.0	17.0
173	16.0	17.0
174	22.0	19.0
175	31.0	16.0
176	28.0	16.0
177	11.0	19.0
178	21.0	15.0
179	39.0	15.0
180	19.0	27.0
181	16.0	14.0
182	25.0	21.0
183	13.0	24.0
184	20.0	20.0
185	18.0	20.0
186	22.0	21.0
187	25.0	15.0
188	21.0	17.0
189	13.0	25.0
190	28.0	23.0
191	43.0	16.0
192	54.0	16.0
193	30.0	18.0
194	19.0	16.0
195	18.0	14.0
196	21.0	22.0
197	21.0	21.0
198	28.0	15.0
199	13.0	18.0
200	26.0	18.0
201	22.0	18.0
202	11.0	18.0
203	14.0	15.0
204	18.0	12.0
205	12.0	11.0
206	34.0	20.0
207	27.0	16.0
208	26.0	11.0
209	34.0	16.0
210	18.0	14.0
211	16.0	17.0
212	16.0	15.0
213	16.0	11.0
214	19.0	17.0
215	14.0	12.0
216	13.0	14.0
217	35.0	13.0
218	20.0	15.0
219	29.0	13.0
220	16.0	14.0
221	41.0	15.0
222	22.0	12.0
223	14.0	12.0
224	18.0	19.0
225	16.0	18.0
226	16.0	15.0
227	23.0	14.0
228	23.0	21.0
229	15.0	20.0
230	68.0	20.0
231	12.0	24.0
232	18.0	12.0
233	30.0	19.0
234	14.0	17.0
235	28.0	16.0
236	22.0	16.0
237	22.0	17.0
238	15.0	17.0
239	27.0	16.0
240	20.0	22.0
241	10.0	18.0
242	42.0	20.0
243	23.0	13.0
244	21.0	12.0
245	15.0	19.0
246	14.0	14.0
247	24.0	14.0
248	18.0	14.0
249	14.0	11.0
250	21.0	15.0
251	35.0	11.0
252	14.0	9.0
253	30.0	13.0
254	24.0	13.0
255	20.0	12.0
256	24.0	10.0
257	13.0	9.0
258	14.0	9.0
259	39.0	11.0
260	20.0	10.0
261	19.0	9.0
262	16.0	10.0
263	19.0	12.0
264	15.0	11.0
265	15.0	9.0
266	30.0	12.0
267	58.0	12.0
268	11.0	10.0
269	19.0	9.0
270	21.0	10.0
271	23.0	9.0
272	16.0	10.0
273	14.0	9.0
274	23.0	9.0
275	29.0	10.0
276	33.0	9.0
277	17.0	10.0
278	41.0	10.0
279	78.0	9.0
280	16.0	10.0
281	11.0	11.0
282	19.0	10.0
283	22.0	13.0
284	47.0	14.0
285	10.0	15.0
286	33.0	12.0
287	38.0	13.0
288	13.0	20.0
289	27.0	13.0
290	15.0	25.0
291	12.0	19.0
292	20.0	19.0
293	12.0	19.0
294	24.0	23.0
295	15.0	19.0
296	22.0	26.0
297	13.0	16.0
298	34.0	21.0
299	56.0	22.0
300	13.0	14.0
301	13.0	18.0
302	12.0	17.0
303	11.0	26.0
304	20.0	17.0
305	18.0	22.0
306	14.0	21.0
307	18.0	18.0
308	20.0	30.0
309	32.0	21.0
310	48.0	28.0
311	12.0	30.0
312	21.0	32.0
313	19.0	27.0
314	17.0	29.0
315	33.0	30.0
316	14.0	33.0
317	13.0	24.0
318	14.0	35.0
319	11.0	24.0
320	18.0	21.0
321	29.0	23.0
322	51.0	46.0
323	21.0	49.0
