Environment: CartPole-v0
Agent: A2C_SU
Experiment: CartPole
Parameter: None
Time Taken: 35.0931339263916 seconds
Solved in 310 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	17.0	9.0
2	15.0	11.0
3	24.0	10.0
4	35.0	45.0
5	30.0	120.0
6	10.0	28.0
7	10.0	86.0
8	29.0	49.0
9	12.0	79.0
10	39.0	38.0
11	35.0	74.0
12	24.0	57.0
13	20.0	42.0
14	22.0	121.0
15	58.0	81.0
16	14.0	43.0
17	22.0	43.0
18	32.0	83.0
19	40.0	65.0
20	28.0	58.0
21	26.0	78.0
22	21.0	74.0
23	20.0	39.0
24	41.0	80.0
25	18.0	41.0
26	42.0	53.0
27	48.0	101.0
28	26.0	93.0
29	25.0	69.0
30	48.0	81.0
31	30.0	84.0
32	74.0	51.0
33	32.0	64.0
34	33.0	107.0
35	51.0	84.0
36	34.0	58.0
37	20.0	53.0
38	18.0	67.0
39	35.0	97.0
40	48.0	72.0
41	28.0	81.0
42	39.0	86.0
43	28.0	87.0
44	80.0	165.0
45	83.0	164.0
46	42.0	138.0
47	35.0	66.0
48	35.0	132.0
49	110.0	159.0
50	96.0	153.0
51	83.0	74.0
52	37.0	200.0
53	83.0	125.0
54	83.0	104.0
55	44.0	200.0
56	27.0	200.0
57	49.0	200.0
58	104.0	164.0
59	46.0	158.0
60	75.0	200.0
61	65.0	200.0
62	44.0	200.0
63	121.0	200.0
64	84.0	200.0
65	108.0	189.0
66	44.0	200.0
67	83.0	200.0
68	185.0	200.0
69	172.0	200.0
70	186.0	200.0
71	91.0	200.0
72	72.0	200.0
73	113.0	200.0
74	151.0	200.0
75	115.0	200.0
76	120.0	200.0
77	200.0	200.0
78	113.0	200.0
79	198.0	200.0
80	159.0	200.0
81	200.0	200.0
82	146.0	200.0
83	130.0	200.0
84	200.0	200.0
85	200.0	200.0
86	137.0	200.0
87	200.0	200.0
88	119.0	200.0
89	200.0	200.0
90	188.0	200.0
91	189.0	200.0
92	200.0	200.0
93	117.0	188.0
94	145.0	200.0
95	144.0	200.0
96	200.0	200.0
97	140.0	200.0
98	132.0	200.0
99	178.0	200.0
100	200.0	200.0
101	139.0	200.0
102	161.0	134.0
103	188.0	200.0
104	200.0	120.0
105	124.0	126.0
106	119.0	200.0
107	49.0	110.0
108	190.0	111.0
109	93.0	200.0
110	157.0	200.0
111	200.0	114.0
112	200.0	164.0
113	174.0	124.0
114	112.0	200.0
115	59.0	200.0
116	200.0	200.0
117	200.0	200.0
118	180.0	159.0
119	124.0	174.0
120	150.0	135.0
121	140.0	157.0
122	197.0	170.0
123	188.0	200.0
124	122.0	153.0
125	108.0	200.0
126	158.0	149.0
127	174.0	200.0
128	168.0	200.0
129	200.0	200.0
130	200.0	200.0
131	200.0	200.0
132	198.0	200.0
133	145.0	200.0
134	160.0	200.0
135	200.0	200.0
136	186.0	200.0
137	200.0	200.0
138	200.0	200.0
139	185.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	143.0	200.0
146	200.0	200.0
147	162.0	200.0
148	200.0	200.0
149	143.0	200.0
150	200.0	200.0
151	200.0	200.0
152	167.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	195.0	200.0
157	200.0	200.0
158	118.0	200.0
159	200.0	200.0
160	200.0	193.0
161	200.0	200.0
162	172.0	200.0
163	200.0	200.0
164	190.0	200.0
165	187.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	200.0	200.0
170	200.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	200.0	200.0
185	200.0	200.0
186	200.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	200.0	200.0
193	200.0	200.0
194	200.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
