Environment: CartPole-v0
Agent: A2C_SU
Experiment: cartpole_experiment
Parameter: standard
Time Taken: 68.82400345802307 seconds
Episodes: 334 episodes
Max Episodes: 2000 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	12.0	41.0
2	25.0	65.0
3	23.0	39.0
4	13.0	37.0
5	20.0	32.0
6	24.0	43.0
7	20.0	27.0
8	26.0	81.0
9	34.0	69.0
10	17.0	28.0
11	42.0	30.0
12	22.0	49.0
13	14.0	29.0
14	23.0	31.0
15	13.0	54.0
16	44.0	27.0
17	34.0	25.0
18	28.0	21.0
19	57.0	37.0
20	11.0	50.0
21	27.0	40.0
22	20.0	29.0
23	18.0	45.0
24	16.0	38.0
25	12.0	33.0
26	20.0	42.0
27	27.0	37.0
28	18.0	81.0
29	20.0	73.0
30	14.0	41.0
31	15.0	131.0
32	14.0	55.0
33	22.0	50.0
34	40.0	88.0
35	21.0	89.0
36	35.0	110.0
37	22.0	77.0
38	36.0	80.0
39	24.0	63.0
40	70.0	200.0
41	24.0	92.0
42	27.0	194.0
43	26.0	78.0
44	32.0	83.0
45	20.0	96.0
46	63.0	142.0
47	22.0	158.0
48	24.0	71.0
49	43.0	124.0
50	16.0	75.0
51	17.0	80.0
52	22.0	94.0
53	24.0	68.0
54	31.0	88.0
55	15.0	105.0
56	22.0	76.0
57	26.0	78.0
58	20.0	55.0
59	35.0	89.0
60	72.0	145.0
61	32.0	148.0
62	43.0	171.0
63	21.0	64.0
64	34.0	75.0
65	22.0	200.0
66	11.0	185.0
67	26.0	77.0
68	19.0	159.0
69	23.0	81.0
70	31.0	66.0
71	21.0	199.0
72	33.0	59.0
73	18.0	92.0
74	27.0	98.0
75	77.0	65.0
76	14.0	115.0
77	33.0	126.0
78	57.0	84.0
79	43.0	101.0
80	25.0	92.0
81	19.0	200.0
82	37.0	200.0
83	23.0	98.0
84	17.0	116.0
85	42.0	160.0
86	56.0	98.0
87	49.0	97.0
88	55.0	73.0
89	81.0	75.0
90	31.0	200.0
91	56.0	102.0
92	45.0	200.0
93	29.0	133.0
94	37.0	128.0
95	39.0	78.0
96	77.0	200.0
97	62.0	130.0
98	51.0	128.0
99	92.0	108.0
100	29.0	158.0
101	13.0	135.0
102	138.0	112.0
103	21.0	73.0
104	13.0	87.0
105	69.0	83.0
106	26.0	78.0
107	43.0	73.0
108	60.0	66.0
109	31.0	108.0
110	200.0	83.0
111	82.0	62.0
112	46.0	74.0
113	70.0	74.0
114	13.0	54.0
115	159.0	62.0
116	99.0	100.0
117	29.0	97.0
118	80.0	117.0
119	22.0	73.0
120	61.0	66.0
121	174.0	54.0
122	124.0	117.0
123	101.0	63.0
124	92.0	122.0
125	39.0	68.0
126	200.0	91.0
127	145.0	118.0
128	59.0	200.0
129	69.0	98.0
130	111.0	167.0
131	88.0	107.0
132	119.0	200.0
133	61.0	163.0
134	95.0	175.0
135	77.0	77.0
136	131.0	200.0
137	124.0	200.0
138	109.0	200.0
139	200.0	200.0
140	39.0	200.0
141	39.0	138.0
142	175.0	200.0
143	45.0	200.0
144	91.0	200.0
145	40.0	200.0
146	138.0	200.0
147	63.0	165.0
148	164.0	200.0
149	107.0	200.0
150	78.0	200.0
151	196.0	200.0
152	159.0	200.0
153	117.0	200.0
154	200.0	200.0
155	160.0	200.0
156	189.0	200.0
157	200.0	200.0
158	118.0	200.0
159	200.0	200.0
160	200.0	189.0
161	200.0	200.0
162	60.0	200.0
163	200.0	200.0
164	188.0	171.0
165	100.0	165.0
166	116.0	165.0
167	200.0	158.0
168	177.0	139.0
169	167.0	163.0
170	97.0	194.0
171	144.0	169.0
172	115.0	200.0
173	200.0	182.0
174	128.0	175.0
175	144.0	200.0
176	171.0	200.0
177	148.0	198.0
178	191.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	192.0	200.0
183	200.0	200.0
184	200.0	200.0
185	152.0	200.0
186	200.0	200.0
187	200.0	200.0
188	139.0	200.0
189	166.0	200.0
190	200.0	200.0
191	178.0	200.0
192	80.0	200.0
193	200.0	200.0
194	161.0	200.0
195	200.0	200.0
196	200.0	200.0
197	165.0	200.0
198	200.0	200.0
199	200.0	200.0
200	200.0	200.0
201	161.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	186.0	200.0
207	200.0	200.0
208	200.0	200.0
209	197.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
