Environment: CartPole-v0
Agent: A2C_Target
Experiment: cartpole_experiment
Parameter: standard
Time Taken: 112.65199661254883 seconds
Episodes: 498 episodes
Max Episodes: 2000 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	24.0	52.0
2	40.0	45.0
3	19.0	34.0
4	26.0	15.0
5	15.0	10.0
6	27.0	9.0
7	15.0	12.0
8	24.0	37.0
9	20.0	54.0
10	12.0	64.0
11	24.0	58.0
12	18.0	83.0
13	55.0	48.0
14	17.0	61.0
15	55.0	70.0
16	63.0	113.0
17	11.0	144.0
18	28.0	115.0
19	22.0	112.0
20	24.0	64.0
21	42.0	75.0
22	52.0	76.0
23	23.0	142.0
24	36.0	128.0
25	37.0	54.0
26	30.0	200.0
27	19.0	177.0
28	17.0	57.0
29	35.0	120.0
30	62.0	89.0
31	50.0	161.0
32	41.0	149.0
33	23.0	193.0
34	20.0	173.0
35	11.0	200.0
36	83.0	140.0
37	15.0	200.0
38	20.0	200.0
39	18.0	134.0
40	48.0	184.0
41	18.0	200.0
42	35.0	200.0
43	44.0	141.0
44	25.0	78.0
45	17.0	164.0
46	94.0	174.0
47	20.0	165.0
48	25.0	200.0
49	45.0	164.0
50	30.0	139.0
51	51.0	153.0
52	151.0	128.0
53	30.0	137.0
54	25.0	143.0
55	43.0	136.0
56	13.0	132.0
57	49.0	134.0
58	46.0	119.0
59	42.0	190.0
60	43.0	150.0
61	51.0	160.0
62	97.0	152.0
63	109.0	189.0
64	24.0	162.0
65	50.0	200.0
66	105.0	172.0
67	40.0	191.0
68	105.0	179.0
69	57.0	174.0
70	52.0	200.0
71	23.0	183.0
72	35.0	174.0
73	106.0	176.0
74	34.0	200.0
75	85.0	200.0
76	69.0	200.0
77	137.0	200.0
78	91.0	200.0
79	54.0	200.0
80	94.0	200.0
81	39.0	200.0
82	145.0	200.0
83	157.0	200.0
84	200.0	200.0
85	65.0	200.0
86	106.0	200.0
87	200.0	200.0
88	17.0	200.0
89	167.0	200.0
90	110.0	200.0
91	191.0	200.0
92	200.0	200.0
93	127.0	200.0
94	159.0	200.0
95	141.0	200.0
96	23.0	200.0
97	117.0	200.0
98	147.0	200.0
99	200.0	184.0
100	79.0	200.0
101	54.0	200.0
102	32.0	200.0
103	114.0	134.0
104	81.0	171.0
105	67.0	200.0
106	70.0	200.0
107	200.0	126.0
108	120.0	200.0
109	86.0	200.0
110	69.0	200.0
111	109.0	118.0
112	83.0	200.0
113	200.0	200.0
114	107.0	200.0
115	200.0	200.0
