Environment: CartPole-v0
Agent: DQN
Experiment: CartPole
Parameter: None
Time Taken: 95.75792264938354 seconds
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	15.0	19.0
2	22.0	14.0
3	32.0	63.0
4	20.0	11.0
5	18.0	22.0
6	29.0	55.0
7	23.0	16.0
8	17.0	20.0
9	14.0	11.0
10	38.0	9.0
11	12.0	16.0
12	11.0	21.0
13	10.0	10.0
14	16.0	18.0
15	11.0	13.0
16	21.0	11.0
17	25.0	35.0
18	16.0	23.0
19	19.0	17.0
20	13.0	15.0
21	40.0	17.0
22	20.0	21.0
23	39.0	26.0
24	19.0	14.0
25	21.0	10.0
26	15.0	11.0
27	26.0	16.0
28	8.0	12.0
29	12.0	9.0
30	13.0	12.0
31	12.0	18.0
32	10.0	13.0
33	12.0	11.0
34	9.0	12.0
35	19.0	20.0
36	9.0	12.0
37	20.0	16.0
38	10.0	11.0
39	12.0	9.0
40	10.0	11.0
41	9.0	9.0
42	19.0	12.0
43	15.0	10.0
44	11.0	14.0
45	14.0	10.0
46	15.0	13.0
47	18.0	10.0
48	16.0	9.0
49	11.0	10.0
50	10.0	9.0
51	12.0	14.0
52	9.0	12.0
53	9.0	17.0
54	12.0	9.0
55	13.0	11.0
56	11.0	11.0
57	10.0	9.0
58	13.0	10.0
59	8.0	10.0
60	11.0	11.0
61	13.0	12.0
62	11.0	9.0
63	10.0	13.0
64	12.0	14.0
65	9.0	9.0
66	14.0	10.0
67	9.0	15.0
68	18.0	9.0
69	9.0	15.0
70	10.0	10.0
71	10.0	15.0
72	10.0	9.0
73	12.0	13.0
74	9.0	11.0
75	10.0	9.0
76	11.0	11.0
77	9.0	15.0
78	11.0	13.0
79	11.0	9.0
80	10.0	11.0
81	9.0	12.0
82	9.0	12.0
83	10.0	10.0
84	11.0	10.0
85	11.0	9.0
86	8.0	11.0
87	10.0	10.0
88	10.0	9.0
89	9.0	9.0
90	10.0	9.0
91	9.0	12.0
92	9.0	10.0
93	8.0	11.0
94	10.0	13.0
95	11.0	13.0
96	14.0	13.0
97	10.0	10.0
98	10.0	9.0
99	8.0	10.0
100	11.0	9.0
101	9.0	11.0
102	12.0	10.0
103	11.0	8.0
104	10.0	10.0
105	9.0	10.0
106	11.0	12.0
107	11.0	10.0
108	10.0	11.0
109	12.0	9.0
110	13.0	10.0
111	9.0	10.0
112	11.0	9.0
113	9.0	10.0
114	10.0	18.0
115	12.0	9.0
116	11.0	11.0
117	10.0	10.0
118	9.0	10.0
119	11.0	9.0
120	9.0	9.0
121	9.0	8.0
122	12.0	8.0
123	12.0	8.0
124	11.0	13.0
125	12.0	9.0
126	9.0	9.0
127	10.0	8.0
128	9.0	10.0
129	10.0	11.0
130	10.0	10.0
131	8.0	9.0
132	12.0	9.0
133	10.0	10.0
134	11.0	11.0
135	12.0	10.0
136	10.0	9.0
137	9.0	10.0
138	9.0	8.0
139	11.0	9.0
140	9.0	10.0
141	10.0	9.0
142	9.0	8.0
143	10.0	10.0
144	10.0	9.0
145	11.0	9.0
146	9.0	9.0
147	9.0	8.0
148	10.0	11.0
149	9.0	10.0
150	12.0	11.0
151	10.0	11.0
152	11.0	10.0
153	8.0	9.0
154	8.0	8.0
155	8.0	10.0
156	8.0	10.0
157	11.0	9.0
158	10.0	9.0
159	10.0	10.0
160	10.0	10.0
161	11.0	9.0
162	10.0	11.0
163	11.0	8.0
164	8.0	9.0
165	10.0	9.0
166	8.0	10.0
167	9.0	10.0
168	10.0	11.0
169	10.0	10.0
170	9.0	9.0
171	11.0	8.0
172	9.0	10.0
173	10.0	10.0
174	9.0	10.0
175	10.0	11.0
176	8.0	11.0
177	9.0	11.0
178	10.0	10.0
179	10.0	9.0
180	9.0	9.0
181	12.0	10.0
182	10.0	10.0
183	10.0	9.0
184	11.0	12.0
185	9.0	12.0
186	11.0	10.0
187	8.0	9.0
188	10.0	9.0
189	9.0	9.0
190	9.0	9.0
191	9.0	9.0
192	9.0	9.0
193	11.0	10.0
194	10.0	10.0
195	10.0	9.0
196	10.0	9.0
197	8.0	8.0
198	9.0	10.0
199	10.0	10.0
200	10.0	9.0
201	10.0	9.0
202	8.0	10.0
203	11.0	10.0
204	10.0	10.0
205	11.0	10.0
206	10.0	9.0
207	9.0	10.0
208	10.0	9.0
209	9.0	9.0
210	11.0	12.0
211	11.0	8.0
212	8.0	9.0
213	10.0	11.0
214	8.0	9.0
215	11.0	11.0
216	9.0	9.0
217	12.0	9.0
218	10.0	10.0
219	10.0	9.0
220	10.0	10.0
221	10.0	10.0
222	9.0	10.0
223	10.0	9.0
224	10.0	8.0
225	9.0	8.0
226	10.0	10.0
227	9.0	10.0
228	9.0	9.0
229	10.0	10.0
230	10.0	10.0
231	10.0	10.0
232	9.0	10.0
233	10.0	8.0
234	9.0	10.0
235	9.0	10.0
236	10.0	12.0
237	10.0	10.0
238	9.0	9.0
239	10.0	10.0
240	10.0	10.0
241	10.0	10.0
242	10.0	10.0
243	10.0	9.0
244	10.0	10.0
245	9.0	9.0
246	8.0	9.0
247	9.0	11.0
248	12.0	10.0
249	10.0	10.0
250	9.0	9.0
251	10.0	10.0
252	9.0	10.0
253	11.0	10.0
254	10.0	10.0
255	13.0	9.0
256	8.0	8.0
257	12.0	9.0
258	12.0	10.0
259	10.0	10.0
260	10.0	10.0
261	10.0	9.0
262	9.0	9.0
263	9.0	10.0
264	10.0	9.0
265	10.0	10.0
266	9.0	11.0
267	9.0	9.0
268	9.0	10.0
269	8.0	9.0
270	10.0	8.0
271	10.0	11.0
272	10.0	10.0
273	9.0	9.0
274	9.0	9.0
275	9.0	10.0
276	11.0	12.0
277	9.0	9.0
278	9.0	9.0
279	8.0	8.0
280	10.0	9.0
281	9.0	9.0
282	9.0	10.0
283	11.0	10.0
284	8.0	9.0
285	9.0	10.0
286	9.0	10.0
287	9.0	10.0
288	9.0	10.0
289	9.0	9.0
290	10.0	10.0
291	9.0	10.0
292	10.0	10.0
293	10.0	9.0
294	10.0	9.0
295	8.0	10.0
296	10.0	10.0
297	9.0	10.0
298	9.0	9.0
299	9.0	9.0
300	8.0	8.0
301	9.0	8.0
302	10.0	9.0
303	11.0	10.0
304	9.0	10.0
305	10.0	10.0
306	10.0	9.0
307	10.0	9.0
308	11.0	10.0
309	10.0	9.0
310	8.0	8.0
311	10.0	9.0
312	9.0	8.0
313	8.0	9.0
314	9.0	8.0
315	9.0	9.0
316	9.0	9.0
317	11.0	10.0
318	10.0	10.0
319	9.0	9.0
320	9.0	10.0
321	8.0	9.0
322	10.0	10.0
323	10.0	10.0
324	10.0	8.0
325	9.0	9.0
326	10.0	10.0
327	9.0	10.0
328	10.0	8.0
329	9.0	10.0
330	10.0	10.0
331	10.0	9.0
332	10.0	10.0
333	10.0	11.0
334	10.0	10.0
335	9.0	8.0
336	8.0	10.0
337	9.0	10.0
338	9.0	10.0
339	9.0	9.0
340	9.0	9.0
341	11.0	10.0
342	9.0	10.0
343	10.0	10.0
344	11.0	9.0
345	9.0	10.0
346	10.0	10.0
347	10.0	9.0
348	10.0	10.0
349	10.0	10.0
350	10.0	10.0
351	8.0	10.0
352	8.0	10.0
353	10.0	11.0
354	9.0	9.0
355	10.0	10.0
356	8.0	9.0
357	10.0	10.0
358	10.0	9.0
359	9.0	9.0
360	9.0	8.0
361	9.0	10.0
362	10.0	10.0
363	9.0	10.0
364	10.0	10.0
365	10.0	9.0
366	10.0	9.0
367	11.0	10.0
368	9.0	10.0
369	10.0	10.0
370	9.0	9.0
371	9.0	10.0
372	8.0	10.0
373	9.0	10.0
374	10.0	10.0
375	9.0	9.0
376	9.0	8.0
377	9.0	9.0
378	9.0	9.0
379	11.0	10.0
380	10.0	10.0
381	9.0	10.0
382	9.0	8.0
383	10.0	10.0
384	8.0	9.0
