Environment: CartPole-v0
Agent: DQN
Experiment: CartPole
Parameter: None
Time Taken: 32.31959867477417 seconds
Solved in 1274 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	11.0	26.0
2	29.0	20.0
3	16.0	70.0
4	10.0	40.0
5	11.0	20.0
6	18.0	43.0
7	21.0	18.0
8	16.0	49.0
9	20.0	16.0
10	15.0	14.0
11	17.0	9.0
12	32.0	30.0
13	16.0	21.0
14	12.0	23.0
15	13.0	11.0
16	40.0	44.0
17	24.0	11.0
18	34.0	19.0
19	12.0	9.0
20	15.0	13.0
21	11.0	11.0
22	9.0	17.0
23	12.0	10.0
24	13.0	22.0
25	10.0	21.0
26	8.0	24.0
27	18.0	15.0
28	13.0	15.0
29	22.0	14.0
30	17.0	11.0
31	19.0	12.0
32	11.0	18.0
33	9.0	15.0
34	14.0	15.0
35	17.0	15.0
36	8.0	19.0
37	13.0	16.0
38	12.0	25.0
39	16.0	20.0
40	24.0	11.0
41	23.0	11.0
42	11.0	17.0
43	12.0	13.0
44	10.0	10.0
45	10.0	22.0
46	18.0	15.0
47	19.0	13.0
48	14.0	15.0
49	9.0	11.0
50	13.0	16.0
51	14.0	22.0
52	17.0	23.0
53	13.0	14.0
54	10.0	15.0
55	10.0	15.0
56	14.0	10.0
57	11.0	13.0
58	10.0	9.0
59	12.0	11.0
60	12.0	15.0
61	8.0	22.0
62	14.0	10.0
63	10.0	14.0
64	13.0	13.0
65	11.0	12.0
66	12.0	15.0
67	18.0	18.0
68	12.0	11.0
69	12.0	10.0
70	13.0	13.0
71	13.0	9.0
72	12.0	11.0
73	13.0	11.0
74	12.0	14.0
75	9.0	10.0
76	12.0	12.0
77	11.0	12.0
78	12.0	9.0
79	13.0	17.0
80	10.0	13.0
81	10.0	12.0
82	11.0	13.0
83	11.0	10.0
84	10.0	11.0
85	12.0	12.0
86	10.0	14.0
87	14.0	8.0
88	9.0	12.0
89	9.0	10.0
90	11.0	10.0
91	10.0	9.0
92	11.0	9.0
93	9.0	10.0
94	11.0	12.0
95	9.0	8.0
96	11.0	11.0
97	10.0	9.0
98	10.0	11.0
99	11.0	13.0
100	9.0	9.0
101	12.0	11.0
102	18.0	9.0
103	10.0	9.0
104	10.0	10.0
105	9.0	10.0
106	10.0	9.0
107	10.0	11.0
108	10.0	9.0
109	9.0	8.0
110	12.0	8.0
111	10.0	10.0
112	12.0	9.0
113	10.0	12.0
114	9.0	11.0
115	9.0	9.0
116	10.0	12.0
117	8.0	8.0
118	8.0	10.0
