Environment: CartPole-v0
Agent: DQN
Experiment: cartpole_experiment
Parameter: standard
Time Taken: 290.5771780014038 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	15.0	10.0
2	22.0	9.0
3	14.0	9.0
4	39.0	9.0
5	13.0	10.0
6	24.0	9.0
7	21.0	10.0
8	16.0	9.0
9	17.0	9.0
10	38.0	11.0
11	29.0	9.0
12	17.0	10.0
13	34.0	9.0
14	17.0	10.0
15	18.0	10.0
16	20.0	10.0
17	17.0	10.0
18	12.0	8.0
19	14.0	8.0
20	14.0	10.0
21	21.0	10.0
22	36.0	8.0
23	22.0	10.0
24	26.0	10.0
25	14.0	9.0
26	22.0	10.0
27	10.0	10.0
28	22.0	10.0
29	15.0	8.0
30	15.0	10.0
31	17.0	9.0
32	14.0	8.0
33	10.0	10.0
34	11.0	10.0
35	22.0	8.0
36	12.0	10.0
37	10.0	11.0
38	48.0	9.0
39	19.0	9.0
40	13.0	10.0
41	20.0	8.0
42	12.0	8.0
43	19.0	10.0
44	13.0	10.0
45	12.0	9.0
46	18.0	11.0
47	14.0	10.0
48	9.0	8.0
49	19.0	9.0
50	13.0	10.0
51	10.0	11.0
52	15.0	12.0
53	27.0	8.0
54	23.0	9.0
55	13.0	8.0
56	13.0	10.0
57	12.0	9.0
58	13.0	9.0
59	18.0	9.0
60	11.0	11.0
61	30.0	9.0
62	16.0	10.0
63	11.0	10.0
64	15.0	10.0
65	9.0	9.0
66	24.0	10.0
67	19.0	8.0
68	21.0	10.0
69	17.0	10.0
70	10.0	10.0
71	14.0	8.0
72	15.0	10.0
73	16.0	9.0
74	10.0	9.0
75	11.0	8.0
76	15.0	9.0
77	16.0	10.0
78	20.0	11.0
79	12.0	11.0
80	11.0	9.0
81	14.0	10.0
82	14.0	10.0
83	23.0	9.0
84	17.0	9.0
85	13.0	9.0
86	9.0	9.0
87	11.0	9.0
88	12.0	9.0
89	16.0	9.0
90	17.0	8.0
91	20.0	9.0
92	11.0	9.0
93	13.0	9.0
94	22.0	10.0
95	17.0	11.0
96	12.0	10.0
97	16.0	9.0
98	12.0	9.0
99	12.0	9.0
100	12.0	10.0
101	19.0	8.0
102	11.0	9.0
103	16.0	10.0
104	16.0	9.0
105	10.0	9.0
106	9.0	9.0
107	15.0	10.0
108	19.0	9.0
109	9.0	10.0
110	8.0	10.0
111	9.0	9.0
112	11.0	9.0
113	9.0	9.0
114	10.0	10.0
115	18.0	10.0
116	21.0	9.0
117	11.0	10.0
118	9.0	10.0
119	15.0	10.0
120	12.0	9.0
121	11.0	10.0
122	14.0	10.0
123	14.0	9.0
124	12.0	10.0
125	11.0	9.0
126	14.0	10.0
127	13.0	8.0
128	12.0	10.0
129	13.0	9.0
130	13.0	10.0
131	13.0	10.0
132	9.0	9.0
133	14.0	10.0
134	24.0	9.0
135	12.0	9.0
136	13.0	9.0
137	16.0	9.0
138	9.0	10.0
139	17.0	11.0
140	11.0	10.0
141	10.0	10.0
142	9.0	9.0
143	22.0	10.0
144	9.0	10.0
145	13.0	9.0
146	9.0	9.0
147	11.0	10.0
148	10.0	9.0
149	10.0	10.0
150	15.0	8.0
151	9.0	11.0
152	19.0	8.0
153	10.0	9.0
154	12.0	9.0
155	12.0	10.0
156	11.0	9.0
157	10.0	9.0
158	15.0	9.0
159	9.0	8.0
160	14.0	9.0
161	13.0	9.0
162	9.0	10.0
163	16.0	10.0
164	9.0	10.0
165	13.0	9.0
166	14.0	10.0
167	10.0	10.0
168	11.0	8.0
169	10.0	9.0
170	10.0	8.0
171	22.0	9.0
172	16.0	8.0
173	12.0	9.0
174	9.0	10.0
175	9.0	10.0
176	11.0	11.0
177	12.0	10.0
178	15.0	9.0
179	14.0	9.0
180	12.0	10.0
181	13.0	10.0
182	12.0	9.0
183	9.0	9.0
184	11.0	10.0
185	11.0	10.0
186	9.0	10.0
187	12.0	9.0
188	10.0	9.0
189	10.0	10.0
190	11.0	9.0
191	9.0	10.0
192	11.0	10.0
193	14.0	10.0
194	11.0	9.0
195	9.0	9.0
196	11.0	9.0
197	11.0	11.0
198	11.0	9.0
199	13.0	9.0
200	10.0	9.0
201	11.0	10.0
202	11.0	9.0
203	11.0	9.0
204	11.0	8.0
205	10.0	8.0
206	10.0	8.0
207	12.0	9.0
208	9.0	9.0
209	10.0	10.0
210	11.0	10.0
211	12.0	10.0
212	18.0	9.0
213	12.0	10.0
214	11.0	10.0
215	9.0	10.0
216	10.0	10.0
217	8.0	10.0
218	11.0	10.0
219	11.0	10.0
220	11.0	11.0
221	11.0	11.0
222	10.0	8.0
223	9.0	10.0
224	10.0	9.0
225	11.0	8.0
226	11.0	10.0
227	10.0	9.0
228	10.0	10.0
229	11.0	10.0
230	10.0	9.0
231	13.0	11.0
232	10.0	12.0
233	9.0	10.0
234	12.0	12.0
235	12.0	9.0
236	9.0	11.0
237	9.0	10.0
238	11.0	11.0
239	21.0	9.0
240	9.0	9.0
241	11.0	9.0
242	11.0	9.0
243	13.0	9.0
244	9.0	10.0
245	8.0	10.0
246	9.0	11.0
247	10.0	11.0
248	9.0	10.0
249	9.0	10.0
250	12.0	8.0
251	10.0	10.0
252	10.0	11.0
253	8.0	9.0
254	10.0	10.0
255	10.0	9.0
256	15.0	10.0
257	9.0	9.0
258	9.0	10.0
259	10.0	10.0
260	10.0	9.0
261	9.0	9.0
262	16.0	8.0
263	12.0	9.0
264	11.0	10.0
265	10.0	10.0
266	9.0	9.0
267	9.0	10.0
268	10.0	8.0
269	12.0	10.0
270	12.0	9.0
271	11.0	9.0
272	10.0	9.0
273	14.0	11.0
274	9.0	8.0
275	11.0	10.0
276	10.0	9.0
277	11.0	10.0
278	10.0	9.0
279	11.0	9.0
280	13.0	9.0
281	10.0	9.0
282	10.0	11.0
283	11.0	11.0
284	9.0	10.0
285	13.0	8.0
286	12.0	10.0
287	12.0	11.0
288	12.0	10.0
289	9.0	10.0
290	9.0	10.0
291	11.0	9.0
292	9.0	9.0
293	11.0	9.0
294	10.0	9.0
295	12.0	8.0
296	9.0	8.0
297	9.0	10.0
298	10.0	10.0
299	9.0	8.0
300	10.0	8.0
301	9.0	8.0
302	8.0	10.0
303	10.0	10.0
304	9.0	10.0
305	8.0	8.0
306	11.0	10.0
307	9.0	9.0
308	9.0	9.0
309	11.0	10.0
310	9.0	9.0
311	10.0	10.0
312	11.0	9.0
313	10.0	10.0
314	9.0	9.0
315	10.0	9.0
316	10.0	9.0
317	11.0	9.0
318	12.0	8.0
319	10.0	9.0
320	8.0	9.0
321	9.0	9.0
322	11.0	8.0
323	10.0	10.0
324	13.0	9.0
325	11.0	8.0
326	8.0	10.0
327	10.0	11.0
328	9.0	8.0
329	11.0	8.0
330	13.0	11.0
331	9.0	8.0
332	11.0	9.0
333	10.0	10.0
334	10.0	8.0
335	11.0	9.0
336	8.0	10.0
337	10.0	10.0
338	9.0	9.0
339	10.0	9.0
340	10.0	8.0
341	13.0	10.0
342	10.0	10.0
343	9.0	9.0
344	12.0	8.0
345	12.0	9.0
346	9.0	10.0
347	9.0	11.0
348	11.0	9.0
349	10.0	9.0
350	11.0	10.0
351	10.0	9.0
352	9.0	11.0
353	11.0	10.0
354	9.0	12.0
355	11.0	9.0
356	10.0	11.0
357	9.0	9.0
358	12.0	10.0
359	13.0	10.0
360	9.0	10.0
361	10.0	10.0
362	9.0	10.0
363	11.0	9.0
364	10.0	10.0
365	12.0	10.0
366	8.0	9.0
367	15.0	9.0
368	9.0	10.0
369	10.0	9.0
370	10.0	10.0
371	10.0	8.0
372	11.0	9.0
373	11.0	9.0
374	12.0	9.0
375	10.0	9.0
376	10.0	10.0
377	9.0	10.0
378	8.0	10.0
379	10.0	11.0
380	13.0	8.0
381	9.0	9.0
382	14.0	11.0
383	10.0	10.0
384	9.0	10.0
385	11.0	10.0
386	9.0	9.0
387	12.0	10.0
388	10.0	10.0
389	9.0	10.0
390	9.0	9.0
391	11.0	9.0
392	11.0	10.0
393	10.0	11.0
394	8.0	10.0
395	9.0	10.0
396	10.0	10.0
397	11.0	9.0
398	10.0	8.0
399	9.0	9.0
400	10.0	10.0
401	11.0	10.0
402	10.0	8.0
403	8.0	10.0
404	11.0	10.0
405	10.0	9.0
406	11.0	9.0
407	9.0	9.0
408	9.0	9.0
409	9.0	10.0
410	11.0	9.0
411	9.0	10.0
412	10.0	9.0
413	12.0	10.0
414	8.0	10.0
415	8.0	9.0
416	11.0	8.0
417	8.0	9.0
418	10.0	10.0
419	9.0	9.0
420	13.0	9.0
421	10.0	9.0
422	10.0	8.0
423	9.0	9.0
424	11.0	10.0
425	11.0	9.0
426	10.0	10.0
427	9.0	9.0
428	12.0	10.0
429	12.0	11.0
430	10.0	9.0
431	12.0	10.0
432	8.0	9.0
433	9.0	10.0
434	11.0	9.0
435	9.0	9.0
436	10.0	10.0
437	13.0	10.0
438	10.0	9.0
439	10.0	9.0
440	9.0	10.0
441	9.0	9.0
442	10.0	10.0
443	9.0	10.0
444	9.0	10.0
445	9.0	10.0
446	11.0	9.0
447	9.0	8.0
448	8.0	10.0
449	11.0	9.0
450	14.0	11.0
451	10.0	10.0
452	10.0	9.0
453	9.0	10.0
454	10.0	9.0
455	8.0	9.0
456	9.0	10.0
457	10.0	9.0
458	9.0	8.0
459	9.0	10.0
460	9.0	10.0
461	10.0	10.0
462	11.0	9.0
463	10.0	9.0
464	9.0	10.0
465	10.0	10.0
466	8.0	8.0
467	10.0	10.0
468	10.0	9.0
469	9.0	9.0
470	9.0	10.0
471	9.0	10.0
472	10.0	10.0
473	12.0	10.0
474	9.0	10.0
475	9.0	9.0
476	10.0	9.0
477	9.0	9.0
478	8.0	10.0
479	10.0	9.0
480	8.0	9.0
481	9.0	10.0
482	10.0	9.0
483	10.0	9.0
484	10.0	11.0
485	10.0	10.0
486	8.0	10.0
487	9.0	10.0
488	11.0	10.0
489	11.0	10.0
490	11.0	8.0
491	12.0	10.0
492	9.0	9.0
493	10.0	9.0
494	11.0	9.0
495	10.0	10.0
496	9.0	8.0
497	8.0	9.0
498	10.0	9.0
499	9.0	11.0
500	9.0	8.0
501	9.0	8.0
502	10.0	9.0
503	9.0	9.0
504	12.0	9.0
505	10.0	10.0
506	9.0	8.0
507	10.0	9.0
508	10.0	11.0
509	11.0	10.0
510	10.0	8.0
511	9.0	8.0
512	8.0	10.0
