Environment: CartPole-v0
Agent: DQN
Experiment: cartpole_experiment
Parameter: standard
Time Taken: 87.83964610099792 seconds
Episodes: 1102 episodes
Max Episodes: 2000 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	12.0	8.0
2	56.0	9.0
3	15.0	9.0
4	29.0	9.0
5	13.0	10.0
6	41.0	10.0
7	24.0	9.0
8	18.0	9.0
9	69.0	9.0
10	17.0	10.0
11	24.0	10.0
12	20.0	9.0
13	22.0	8.0
14	11.0	9.0
15	16.0	10.0
16	27.0	10.0
17	15.0	10.0
18	13.0	10.0
19	26.0	9.0
20	11.0	10.0
21	9.0	10.0
22	18.0	8.0
23	17.0	10.0
24	19.0	9.0
25	17.0	13.0
26	13.0	13.0
27	20.0	13.0
28	16.0	15.0
29	12.0	13.0
30	13.0	12.0
31	22.0	10.0
32	12.0	16.0
33	12.0	13.0
34	15.0	14.0
35	27.0	14.0
36	13.0	12.0
37	10.0	12.0
38	18.0	11.0
39	15.0	12.0
40	16.0	13.0
41	9.0	15.0
42	17.0	14.0
43	11.0	10.0
44	46.0	10.0
45	21.0	10.0
46	19.0	11.0
47	14.0	10.0
48	8.0	13.0
49	13.0	13.0
50	31.0	11.0
51	12.0	11.0
52	10.0	10.0
53	22.0	9.0
54	22.0	11.0
55	14.0	10.0
56	13.0	10.0
57	19.0	9.0
58	11.0	11.0
59	12.0	9.0
60	9.0	12.0
61	25.0	9.0
62	12.0	9.0
63	10.0	9.0
64	11.0	10.0
65	13.0	11.0
66	13.0	12.0
67	11.0	12.0
68	17.0	10.0
69	17.0	12.0
70	13.0	12.0
71	15.0	10.0
72	13.0	10.0
73	10.0	11.0
74	20.0	9.0
75	14.0	9.0
76	13.0	9.0
77	15.0	10.0
78	13.0	10.0
79	14.0	9.0
80	11.0	10.0
81	10.0	10.0
82	19.0	9.0
83	31.0	9.0
84	40.0	10.0
85	11.0	10.0
86	10.0	9.0
87	17.0	9.0
88	11.0	8.0
89	23.0	10.0
90	11.0	10.0
91	10.0	9.0
92	10.0	11.0
93	11.0	10.0
94	12.0	9.0
95	10.0	9.0
96	12.0	10.0
97	13.0	10.0
98	19.0	8.0
99	12.0	10.0
100	20.0	10.0
101	10.0	10.0
102	14.0	8.0
103	15.0	10.0
104	30.0	10.0
105	12.0	10.0
106	13.0	10.0
107	22.0	9.0
108	9.0	10.0
109	10.0	9.0
110	9.0	9.0
111	12.0	11.0
112	10.0	9.0
113	22.0	9.0
114	16.0	10.0
115	18.0	9.0
116	12.0	10.0
117	15.0	10.0
118	11.0	10.0
119	11.0	9.0
120	9.0	9.0
121	9.0	9.0
122	20.0	10.0
123	18.0	10.0
124	17.0	9.0
125	13.0	9.0
126	12.0	10.0
127	16.0	8.0
128	10.0	10.0
129	13.0	10.0
130	10.0	8.0
131	22.0	10.0
132	10.0	9.0
133	14.0	9.0
134	9.0	9.0
135	10.0	9.0
136	15.0	8.0
137	17.0	10.0
138	10.0	9.0
139	17.0	10.0
140	11.0	8.0
141	9.0	11.0
142	13.0	10.0
143	22.0	10.0
144	13.0	10.0
145	10.0	10.0
146	14.0	10.0
147	12.0	9.0
148	12.0	9.0
149	9.0	10.0
150	10.0	10.0
151	15.0	10.0
152	11.0	10.0
153	16.0	9.0
154	9.0	9.0
155	17.0	9.0
156	11.0	8.0
157	9.0	9.0
158	10.0	8.0
159	9.0	9.0
