Environment: CartPole-v0
Agent: DQN
Solved in 1160 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	12.0	17.0
2	15.0	17.0
3	16.0	22.0
4	14.0	18.0
5	20.0	19.0
6	24.0	18.0
7	26.0	13.0
8	42.0	25.0
9	15.0	13.0
10	27.0	11.0
11	15.0	19.0
12	20.0	59.0
13	26.0	22.0
14	20.0	13.0
15	13.0	19.0
16	19.0	12.0
17	19.0	10.0
18	12.0	12.0
19	14.0	11.0
20	14.0	19.0
21	11.0	23.0
22	14.0	12.0
23	12.0	19.0
24	24.0	22.0
25	14.0	18.0
26	11.0	12.0
27	13.0	9.0
28	10.0	14.0
29	11.0	13.0
30	21.0	11.0
31	10.0	11.0
32	10.0	11.0
33	14.0	25.0
34	14.0	16.0
35	12.0	28.0
36	11.0	15.0
37	14.0	15.0
38	19.0	9.0
39	10.0	19.0
40	18.0	11.0
41	8.0	10.0
42	8.0	12.0
43	15.0	12.0
44	8.0	14.0
45	16.0	11.0
46	10.0	11.0
47	16.0	12.0
48	15.0	9.0
49	19.0	10.0
50	12.0	23.0
51	11.0	14.0
52	13.0	16.0
53	9.0	8.0
54	12.0	11.0
55	12.0	10.0
56	11.0	10.0
57	21.0	24.0
58	11.0	16.0
59	22.0	12.0
60	12.0	11.0
61	12.0	15.0
62	13.0	12.0
63	28.0	9.0
64	12.0	17.0
65	13.0	18.0
66	11.0	13.0
67	13.0	12.0
68	15.0	11.0
69	11.0	13.0
70	10.0	9.0
71	15.0	14.0
72	9.0	9.0
73	13.0	9.0
74	10.0	9.0
75	9.0	11.0
76	9.0	12.0
77	9.0	11.0
78	12.0	16.0
79	11.0	9.0
80	8.0	10.0
81	13.0	8.0
82	12.0	12.0
83	9.0	11.0
84	10.0	10.0
85	12.0	12.0
86	10.0	11.0
87	13.0	10.0
88	13.0	9.0
89	10.0	10.0
90	9.0	10.0
91	10.0	11.0
92	9.0	16.0
93	10.0	10.0
94	10.0	14.0
95	13.0	11.0
96	15.0	8.0
97	8.0	12.0
98	9.0	12.0
99	11.0	13.0
100	10.0	11.0
101	14.0	8.0
102	17.0	10.0
103	13.0	10.0
104	9.0	10.0
105	9.0	11.0
106	10.0	19.0
107	9.0	9.0
108	9.0	9.0
109	10.0	9.0
110	10.0	10.0
111	10.0	11.0
112	12.0	9.0
113	10.0	11.0
114	10.0	9.0
115	10.0	9.0
116	11.0	10.0
117	11.0	10.0
118	9.0	8.0
119	10.0	12.0
120	11.0	14.0
121	10.0	9.0
122	11.0	9.0
123	11.0	10.0
124	11.0	9.0
125	10.0	9.0
126	11.0	10.0
127	10.0	11.0
128	14.0	11.0
129	11.0	9.0
130	10.0	13.0
131	9.0	11.0
132	11.0	8.0
133	8.0	9.0
134	10.0	9.0
135	11.0	12.0
136	10.0	11.0
137	10.0	10.0
138	10.0	14.0
139	13.0	11.0
140	12.0	10.0
141	10.0	9.0
142	9.0	8.0
143	10.0	13.0
144	12.0	13.0
145	10.0	9.0
146	10.0	9.0
147	9.0	11.0
