Environment: CartPole-v0
Agent: DQN
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	11.0	26.0
2	24.0	17.0
3	36.0	58.0
4	44.0	26.0
5	32.0	20.0
6	24.0	36.0
7	24.0	11.0
8	13.0	17.0
9	36.0	11.0
10	19.0	27.0
11	13.0	14.0
12	26.0	25.0
13	18.0	11.0
14	17.0	12.0
15	25.0	11.0
16	15.0	11.0
17	24.0	20.0
18	22.0	13.0
19	15.0	15.0
20	14.0	10.0
21	13.0	34.0
22	9.0	19.0
23	13.0	10.0
24	16.0	23.0
25	11.0	12.0
26	13.0	13.0
27	18.0	9.0
28	41.0	11.0
29	12.0	15.0
30	10.0	19.0
31	14.0	11.0
32	16.0	9.0
33	10.0	14.0
34	18.0	11.0
35	10.0	21.0
36	9.0	13.0
37	12.0	11.0
38	11.0	10.0
39	13.0	15.0
40	16.0	11.0
41	20.0	10.0
42	16.0	12.0
43	14.0	9.0
44	10.0	11.0
45	13.0	17.0
46	10.0	10.0
47	19.0	12.0
48	11.0	9.0
49	14.0	8.0
50	10.0	10.0
51	8.0	9.0
52	12.0	12.0
53	11.0	27.0
54	10.0	10.0
55	12.0	14.0
56	18.0	18.0
57	13.0	13.0
58	20.0	13.0
59	12.0	11.0
60	8.0	11.0
61	11.0	14.0
62	12.0	16.0
63	10.0	10.0
64	13.0	12.0
65	19.0	9.0
66	10.0	11.0
67	13.0	11.0
68	17.0	23.0
69	12.0	13.0
70	9.0	11.0
71	12.0	11.0
72	9.0	10.0
73	9.0	11.0
74	16.0	9.0
75	10.0	8.0
76	10.0	11.0
77	12.0	17.0
78	10.0	10.0
79	10.0	9.0
80	9.0	10.0
81	11.0	9.0
82	14.0	9.0
83	9.0	10.0
84	11.0	9.0
85	8.0	11.0
86	10.0	10.0
87	13.0	11.0
88	10.0	13.0
89	9.0	10.0
90	13.0	12.0
91	10.0	12.0
92	11.0	11.0
93	11.0	10.0
94	10.0	9.0
95	9.0	13.0
96	10.0	10.0
97	13.0	9.0
98	13.0	11.0
99	10.0	10.0
100	9.0	9.0
101	9.0	12.0
102	10.0	9.0
103	11.0	11.0
104	13.0	9.0
105	11.0	10.0
106	9.0	9.0
107	9.0	9.0
108	9.0	8.0
109	10.0	9.0
110	11.0	10.0
111	14.0	8.0
112	9.0	10.0
113	10.0	10.0
114	8.0	11.0
115	10.0	12.0
116	8.0	12.0
117	11.0	10.0
118	12.0	9.0
119	8.0	14.0
120	10.0	11.0
121	9.0	9.0
122	10.0	11.0
123	10.0	14.0
124	9.0	10.0
125	14.0	10.0
126	8.0	10.0
127	10.0	11.0
128	9.0	10.0
129	12.0	10.0
130	8.0	11.0
131	9.0	11.0
132	9.0	8.0
133	8.0	11.0
134	10.0	9.0
135	9.0	8.0
136	9.0	10.0
137	9.0	9.0
138	8.0	9.0
139	10.0	12.0
140	10.0	9.0
141	8.0	10.0
142	11.0	11.0
143	10.0	8.0
144	8.0	10.0
145	12.0	9.0
146	9.0	13.0
147	12.0	10.0
148	11.0	9.0
149	9.0	9.0
150	12.0	9.0
151	8.0	9.0
152	9.0	10.0
153	10.0	11.0
154	11.0	10.0
155	10.0	9.0
156	11.0	9.0
157	10.0	10.0
158	10.0	9.0
159	10.0	8.0
160	10.0	10.0
161	9.0	9.0
162	11.0	10.0
163	10.0	10.0
164	8.0	10.0
165	9.0	9.0
166	8.0	10.0
167	10.0	11.0
168	10.0	9.0
169	9.0	10.0
170	10.0	8.0
171	9.0	10.0
172	10.0	10.0
173	9.0	9.0
174	10.0	10.0
175	10.0	10.0
176	9.0	9.0
177	11.0	8.0
178	9.0	10.0
179	8.0	11.0
180	10.0	9.0
181	10.0	10.0
182	11.0	8.0
183	8.0	8.0
184	13.0	10.0
185	9.0	9.0
186	8.0	10.0
187	10.0	15.0
188	8.0	10.0
189	9.0	9.0
190	11.0	12.0
191	9.0	12.0
192	8.0	11.0
193	9.0	10.0
194	11.0	9.0
195	10.0	9.0
196	8.0	10.0
197	11.0	10.0
198	10.0	8.0
199	10.0	8.0
200	9.0	11.0
201	9.0	10.0
202	11.0	8.0
203	9.0	11.0
204	10.0	10.0
205	9.0	8.0
206	10.0	9.0
207	9.0	9.0
208	10.0	9.0
209	9.0	9.0
210	9.0	9.0
211	10.0	9.0
212	9.0	8.0
213	11.0	11.0
214	9.0	10.0
215	9.0	10.0
216	8.0	9.0
217	10.0	10.0
218	9.0	9.0
219	9.0	11.0
220	10.0	11.0
221	9.0	10.0
222	10.0	9.0
223	9.0	10.0
224	11.0	11.0
225	8.0	10.0
226	9.0	8.0
227	9.0	9.0
228	10.0	9.0
229	11.0	9.0
230	10.0	10.0
231	10.0	9.0
232	9.0	9.0
233	10.0	12.0
234	12.0	10.0
235	8.0	9.0
