Environment: CartPole-v0
Agent: DQN
Experiment: standard CartPole experiment
Parameter: standard
Time Taken: 26.798493146896362 seconds
Episodes: 870 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	11.0	23.0
2	22.0	13.0
3	27.0	26.0
4	21.0	18.0
5	16.0	23.0
6	18.0	20.0
7	39.0	36.0
8	14.0	31.0
9	28.0	23.0
10	21.0	9.0
11	26.0	13.0
12	12.0	14.0
13	17.0	12.0
14	18.0	21.0
15	10.0	29.0
16	9.0	18.0
17	16.0	11.0
18	15.0	20.0
19	15.0	17.0
20	13.0	18.0
21	24.0	13.0
22	11.0	12.0
23	18.0	15.0
24	9.0	17.0
25	29.0	11.0
26	9.0	23.0
27	12.0	28.0
28	22.0	16.0
29	12.0	24.0
30	13.0	12.0
31	15.0	16.0
32	14.0	12.0
33	12.0	13.0
34	11.0	12.0
35	15.0	12.0
36	17.0	10.0
37	11.0	11.0
38	14.0	11.0
39	10.0	28.0
40	11.0	14.0
41	11.0	12.0
42	9.0	15.0
43	10.0	11.0
44	12.0	8.0
45	11.0	10.0
46	17.0	9.0
47	15.0	9.0
48	17.0	15.0
49	14.0	13.0
50	15.0	10.0
51	13.0	10.0
52	9.0	11.0
53	11.0	11.0
54	11.0	14.0
55	11.0	13.0
56	18.0	12.0
57	15.0	9.0
58	13.0	10.0
59	16.0	11.0
60	12.0	8.0
61	11.0	10.0
62	17.0	12.0
63	12.0	13.0
64	11.0	14.0
65	10.0	12.0
66	11.0	13.0
67	13.0	13.0
68	13.0	10.0
69	11.0	13.0
70	17.0	11.0
71	12.0	9.0
72	14.0	11.0
73	10.0	10.0
74	11.0	10.0
75	8.0	9.0
76	9.0	9.0
77	12.0	9.0
78	8.0	8.0
79	12.0	12.0
80	9.0	9.0
81	8.0	12.0
82	11.0	10.0
83	12.0	11.0
84	10.0	9.0
85	9.0	9.0
86	9.0	9.0
87	10.0	8.0
88	11.0	10.0
89	10.0	8.0
90	11.0	15.0
91	14.0	10.0
92	11.0	9.0
93	9.0	10.0
94	10.0	10.0
95	10.0	12.0
96	11.0	9.0
97	11.0	15.0
98	11.0	13.0
99	10.0	13.0
100	12.0	10.0
101	11.0	11.0
102	10.0	11.0
103	8.0	8.0
104	12.0	12.0
105	12.0	9.0
106	12.0	15.0
107	9.0	8.0
108	10.0	10.0
109	10.0	12.0
110	10.0	9.0
111	9.0	9.0
112	9.0	8.0
113	12.0	9.0
114	12.0	10.0
115	9.0	8.0
116	9.0	9.0
117	9.0	9.0
118	14.0	10.0
119	10.0	9.0
120	9.0	10.0
121	9.0	10.0
122	9.0	8.0
123	9.0	9.0
124	15.0	8.0
125	9.0	11.0
126	11.0	9.0
127	10.0	9.0
128	11.0	10.0
129	9.0	19.0
130	9.0	9.0
131	11.0	13.0
132	10.0	10.0
133	9.0	10.0
134	10.0	13.0
135	11.0	9.0
136	10.0	11.0
137	13.0	9.0
138	10.0	12.0
139	10.0	9.0
140	9.0	9.0
141	9.0	10.0
142	9.0	10.0
143	8.0	10.0
144	10.0	10.0
145	10.0	10.0
146	9.0	10.0
147	10.0	9.0
148	9.0	11.0
149	9.0	9.0
150	13.0	9.0
151	11.0	10.0
152	9.0	10.0
153	10.0	10.0
154	10.0	10.0
155	10.0	12.0
156	11.0	8.0
157	10.0	8.0
158	10.0	10.0
159	11.0	9.0
160	10.0	9.0
161	10.0	9.0
162	10.0	13.0
163	10.0	9.0
164	9.0	10.0
165	10.0	9.0
166	11.0	10.0
167	9.0	9.0
168	10.0	10.0
169	11.0	8.0
170	9.0	9.0
171	9.0	10.0
172	12.0	9.0
173	11.0	10.0
174	11.0	9.0
175	9.0	9.0
176	9.0	9.0
177	8.0	8.0
178	9.0	10.0
179	10.0	13.0
180	12.0	9.0
181	8.0	8.0
182	9.0	10.0
183	10.0	10.0
184	12.0	10.0
185	10.0	9.0
186	10.0	10.0
187	9.0	10.0
188	8.0	10.0
189	10.0	8.0
190	9.0	10.0
191	10.0	10.0
192	11.0	9.0
193	8.0	10.0
194	11.0	10.0
195	10.0	10.0
196	10.0	9.0
197	12.0	10.0
198	10.0	11.0
199	10.0	10.0
200	9.0	11.0
201	10.0	10.0
202	10.0	10.0
203	11.0	10.0
204	11.0	10.0
205	12.0	10.0
206	10.0	10.0
207	12.0	9.0
208	9.0	9.0
209	10.0	9.0
210	10.0	8.0
211	10.0	9.0
212	10.0	12.0
213	8.0	10.0
214	10.0	10.0
215	8.0	9.0
216	9.0	9.0
217	9.0	10.0
218	9.0	10.0
219	10.0	11.0
220	10.0	8.0
221	9.0	9.0
222	10.0	9.0
223	8.0	9.0
224	9.0	8.0
225	9.0	8.0
226	11.0	11.0
227	8.0	10.0
228	10.0	9.0
229	10.0	11.0
230	8.0	11.0
231	9.0	9.0
232	9.0	10.0
233	9.0	10.0
234	10.0	9.0
235	8.0	11.0
236	12.0	10.0
237	9.0	10.0
238	10.0	8.0
239	10.0	9.0
240	10.0	10.0
241	9.0	10.0
242	10.0	8.0
243	10.0	10.0
244	10.0	8.0
245	10.0	9.0
246	10.0	9.0
247	9.0	10.0
248	9.0	9.0
249	11.0	10.0
250	9.0	10.0
251	10.0	9.0
252	10.0	9.0
253	9.0	9.0
254	10.0	10.0
255	10.0	10.0
256	8.0	9.0
257	9.0	10.0
258	10.0	10.0
259	8.0	11.0
260	9.0	10.0
261	9.0	10.0
262	9.0	9.0
263	9.0	10.0
264	8.0	9.0
265	9.0	8.0
266	9.0	9.0
267	8.0	9.0
268	10.0	11.0
269	10.0	9.0
270	9.0	10.0
271	10.0	10.0
272	10.0	10.0
273	11.0	10.0
274	8.0	9.0
275	9.0	9.0
276	10.0	9.0
277	10.0	9.0
278	10.0	10.0
279	10.0	9.0
280	10.0	8.0
281	10.0	9.0
282	10.0	10.0
283	10.0	9.0
284	10.0	8.0
285	10.0	9.0
286	9.0	9.0
287	9.0	10.0
288	9.0	9.0
289	10.0	10.0
290	11.0	9.0
291	10.0	9.0
292	9.0	10.0
293	10.0	11.0
294	9.0	9.0
295	11.0	11.0
296	10.0	10.0
297	10.0	9.0
298	9.0	9.0
299	9.0	10.0
300	10.0	9.0
301	9.0	9.0
302	9.0	10.0
303	10.0	8.0
304	10.0	11.0
305	10.0	9.0
306	11.0	10.0
307	10.0	11.0
308	10.0	10.0
309	11.0	10.0
310	9.0	10.0
311	9.0	10.0
312	10.0	8.0
313	9.0	10.0
314	9.0	10.0
315	9.0	9.0
