Environment: CartPole-v0
Agent: DQN
Experiment: standard CartPole experiment
Parameter: standard
Time Taken: 125.78981757164001 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	12.0	20.0
2	12.0	18.0
3	14.0	69.0
4	19.0	20.0
5	23.0	38.0
6	15.0	13.0
7	14.0	24.0
8	33.0	40.0
9	14.0	10.0
10	23.0	25.0
11	27.0	29.0
12	22.0	31.0
13	15.0	19.0
14	9.0	11.0
15	12.0	20.0
16	20.0	15.0
17	11.0	20.0
18	12.0	13.0
19	16.0	16.0
20	10.0	16.0
21	18.0	33.0
22	10.0	15.0
23	10.0	11.0
24	17.0	18.0
25	14.0	13.0
26	40.0	20.0
27	14.0	13.0
28	17.0	13.0
29	16.0	12.0
30	13.0	13.0
31	14.0	13.0
32	14.0	13.0
33	10.0	9.0
34	17.0	15.0
35	9.0	9.0
36	13.0	12.0
37	16.0	9.0
38	13.0	19.0
39	12.0	19.0
40	14.0	18.0
41	13.0	11.0
42	10.0	10.0
43	13.0	9.0
44	10.0	10.0
45	13.0	13.0
46	14.0	11.0
47	10.0	10.0
48	15.0	11.0
49	10.0	8.0
50	17.0	10.0
51	9.0	11.0
52	13.0	19.0
53	10.0	11.0
54	12.0	12.0
55	10.0	16.0
56	12.0	19.0
57	11.0	13.0
58	8.0	12.0
59	8.0	15.0
60	10.0	11.0
61	11.0	11.0
62	9.0	10.0
63	9.0	12.0
64	9.0	12.0
65	8.0	9.0
66	13.0	12.0
67	10.0	10.0
68	9.0	11.0
69	13.0	12.0
70	10.0	9.0
71	10.0	15.0
72	10.0	10.0
73	10.0	9.0
74	12.0	11.0
75	11.0	11.0
76	11.0	11.0
77	14.0	9.0
78	12.0	11.0
79	14.0	12.0
80	10.0	11.0
81	12.0	10.0
82	11.0	11.0
83	10.0	14.0
84	11.0	10.0
85	12.0	11.0
86	10.0	11.0
87	10.0	11.0
88	10.0	11.0
89	11.0	11.0
90	9.0	9.0
91	10.0	11.0
92	10.0	10.0
93	10.0	13.0
94	9.0	11.0
95	12.0	12.0
96	10.0	10.0
97	10.0	11.0
98	12.0	9.0
99	11.0	10.0
100	11.0	10.0
101	14.0	9.0
102	10.0	15.0
103	10.0	13.0
104	11.0	12.0
105	9.0	14.0
106	9.0	9.0
107	10.0	9.0
108	10.0	13.0
109	9.0	10.0
110	10.0	8.0
111	9.0	12.0
112	10.0	11.0
113	11.0	10.0
114	11.0	15.0
115	8.0	10.0
116	12.0	10.0
117	14.0	9.0
118	9.0	12.0
119	9.0	11.0
120	10.0	11.0
121	9.0	10.0
122	9.0	9.0
123	9.0	10.0
124	8.0	10.0
125	10.0	10.0
126	8.0	11.0
127	12.0	11.0
128	10.0	10.0
129	9.0	11.0
130	9.0	9.0
131	10.0	9.0
132	13.0	10.0
133	12.0	10.0
134	13.0	9.0
135	15.0	10.0
136	9.0	11.0
137	11.0	8.0
138	10.0	9.0
139	9.0	11.0
140	9.0	9.0
141	11.0	9.0
142	10.0	9.0
143	9.0	10.0
144	10.0	9.0
145	12.0	11.0
146	9.0	11.0
147	11.0	10.0
148	10.0	11.0
149	9.0	9.0
150	11.0	9.0
151	9.0	11.0
152	10.0	10.0
153	8.0	11.0
154	13.0	8.0
155	8.0	9.0
156	10.0	10.0
157	10.0	10.0
158	8.0	9.0
159	12.0	8.0
160	9.0	8.0
161	11.0	9.0
162	12.0	9.0
163	9.0	10.0
164	9.0	10.0
165	10.0	10.0
166	10.0	10.0
167	10.0	10.0
168	10.0	9.0
169	10.0	9.0
170	8.0	8.0
171	8.0	9.0
172	9.0	9.0
173	10.0	10.0
174	8.0	11.0
175	13.0	9.0
176	10.0	10.0
177	10.0	10.0
178	10.0	11.0
179	8.0	11.0
180	11.0	12.0
181	10.0	8.0
182	10.0	12.0
183	11.0	9.0
184	10.0	9.0
185	10.0	11.0
186	10.0	9.0
187	8.0	9.0
188	9.0	8.0
189	10.0	10.0
190	8.0	9.0
191	10.0	10.0
192	8.0	8.0
193	9.0	9.0
194	9.0	9.0
195	10.0	9.0
196	8.0	9.0
197	10.0	11.0
198	10.0	10.0
199	10.0	10.0
200	10.0	10.0
201	10.0	10.0
202	10.0	8.0
203	10.0	12.0
204	10.0	10.0
205	11.0	9.0
206	10.0	9.0
207	10.0	10.0
208	10.0	10.0
209	10.0	10.0
210	10.0	10.0
211	9.0	10.0
212	10.0	9.0
213	10.0	11.0
214	9.0	9.0
215	10.0	9.0
216	11.0	8.0
217	10.0	9.0
218	8.0	8.0
219	10.0	10.0
220	10.0	10.0
221	11.0	9.0
222	10.0	11.0
223	10.0	11.0
224	10.0	9.0
225	8.0	10.0
226	8.0	8.0
227	10.0	10.0
228	9.0	12.0
229	10.0	8.0
230	10.0	9.0
231	9.0	9.0
232	10.0	10.0
233	8.0	8.0
234	9.0	10.0
235	10.0	11.0
236	9.0	9.0
237	9.0	10.0
238	10.0	10.0
239	9.0	9.0
240	10.0	9.0
241	11.0	11.0
242	10.0	10.0
243	10.0	9.0
244	9.0	10.0
245	9.0	8.0
246	8.0	11.0
247	8.0	10.0
248	10.0	10.0
249	9.0	10.0
250	9.0	8.0
251	11.0	9.0
252	9.0	10.0
253	9.0	10.0
254	9.0	9.0
255	10.0	9.0
256	10.0	10.0
257	10.0	9.0
258	8.0	9.0
259	10.0	9.0
260	10.0	11.0
261	9.0	9.0
262	10.0	10.0
263	9.0	8.0
264	10.0	9.0
265	9.0	9.0
266	10.0	10.0
267	10.0	8.0
268	10.0	10.0
269	10.0	10.0
270	9.0	10.0
271	11.0	10.0
272	9.0	11.0
273	11.0	9.0
274	9.0	9.0
275	12.0	8.0
276	9.0	8.0
277	9.0	11.0
278	8.0	9.0
279	10.0	12.0
280	9.0	10.0
281	10.0	9.0
282	10.0	8.0
283	9.0	10.0
284	9.0	8.0
285	9.0	9.0
286	8.0	8.0
287	10.0	10.0
288	11.0	9.0
289	9.0	10.0
290	9.0	10.0
291	9.0	9.0
292	8.0	10.0
293	9.0	9.0
294	10.0	9.0
295	10.0	9.0
296	10.0	9.0
297	8.0	10.0
298	9.0	9.0
299	9.0	11.0
300	9.0	10.0
301	9.0	10.0
302	9.0	8.0
303	11.0	12.0
304	10.0	9.0
305	8.0	11.0
306	9.0	10.0
307	11.0	9.0
308	10.0	11.0
309	8.0	9.0
310	9.0	8.0
311	9.0	9.0
312	10.0	9.0
313	9.0	10.0
314	8.0	9.0
315	10.0	8.0
316	9.0	9.0
317	8.0	9.0
318	10.0	10.0
319	10.0	9.0
320	10.0	10.0
321	10.0	11.0
322	10.0	8.0
323	10.0	10.0
324	9.0	8.0
325	10.0	10.0
326	8.0	9.0
327	10.0	8.0
328	10.0	9.0
329	9.0	10.0
330	11.0	9.0
331	10.0	9.0
332	10.0	9.0
333	11.0	10.0
334	9.0	9.0
335	10.0	9.0
336	10.0	9.0
337	10.0	9.0
338	9.0	10.0
339	8.0	10.0
340	10.0	10.0
341	10.0	9.0
342	10.0	9.0
343	10.0	10.0
344	10.0	11.0
345	10.0	11.0
346	8.0	8.0
347	10.0	8.0
348	10.0	10.0
349	9.0	10.0
350	10.0	9.0
351	10.0	9.0
352	11.0	10.0
353	10.0	9.0
354	9.0	10.0
355	10.0	9.0
356	10.0	10.0
357	11.0	9.0
358	9.0	9.0
359	10.0	10.0
360	10.0	9.0
361	10.0	10.0
362	9.0	10.0
363	9.0	9.0
364	10.0	8.0
365	10.0	10.0
366	10.0	9.0
367	9.0	9.0
368	10.0	10.0
369	10.0	8.0
370	10.0	10.0
371	10.0	10.0
372	10.0	10.0
373	9.0	10.0
374	8.0	8.0
375	9.0	10.0
376	9.0	8.0
377	9.0	9.0
378	11.0	9.0
379	8.0	9.0
380	10.0	8.0
381	9.0	9.0
382	10.0	10.0
383	11.0	9.0
384	10.0	10.0
385	9.0	9.0
386	10.0	8.0
387	10.0	9.0
388	10.0	9.0
389	10.0	9.0
390	10.0	10.0
391	9.0	10.0
392	10.0	10.0
393	10.0	10.0
394	9.0	10.0
395	11.0	10.0
396	10.0	9.0
397	10.0	10.0
398	11.0	8.0
399	10.0	10.0
400	10.0	8.0
401	8.0	9.0
402	10.0	10.0
403	9.0	9.0
404	10.0	9.0
405	9.0	11.0
406	11.0	8.0
407	9.0	8.0
408	9.0	9.0
409	9.0	10.0
410	10.0	9.0
411	9.0	8.0
412	27.0	9.0
413	9.0	10.0
414	11.0	9.0
415	8.0	8.0
416	10.0	11.0
417	9.0	9.0
418	9.0	11.0
419	11.0	9.0
420	10.0	9.0
421	10.0	10.0
422	8.0	9.0
423	9.0	9.0
424	9.0	11.0
425	9.0	10.0
426	8.0	10.0
427	8.0	10.0
428	11.0	10.0
429	10.0	10.0
430	10.0	10.0
431	10.0	10.0
432	9.0	10.0
433	9.0	11.0
