Environment: CartPole-v0
Agent: PPO
Experiment: CartPole
Parameter: None
Time Taken: 31.132935523986816 seconds
Solved in 308 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	14.0	48.0
2	46.0	78.0
3	26.0	75.0
4	26.0	67.0
5	62.0	45.0
6	45.0	40.0
7	72.0	155.0
8	50.0	101.0
9	50.0	200.0
10	23.0	200.0
11	107.0	200.0
12	60.0	200.0
13	142.0	200.0
14	165.0	200.0
15	200.0	190.0
16	200.0	165.0
17	200.0	174.0
18	35.0	200.0
19	200.0	143.0
20	111.0	169.0
21	200.0	200.0
22	164.0	200.0
23	56.0	200.0
24	94.0	200.0
25	200.0	200.0
26	200.0	200.0
27	200.0	200.0
28	200.0	200.0
29	200.0	200.0
30	167.0	188.0
31	160.0	200.0
32	158.0	143.0
33	111.0	149.0
34	128.0	200.0
35	200.0	200.0
36	200.0	200.0
37	200.0	200.0
38	200.0	200.0
39	200.0	200.0
40	200.0	200.0
41	200.0	200.0
42	200.0	200.0
43	200.0	200.0
44	200.0	200.0
45	200.0	200.0
46	200.0	200.0
47	200.0	200.0
48	200.0	200.0
49	200.0	200.0
50	200.0	200.0
51	200.0	200.0
52	186.0	200.0
53	200.0	200.0
54	200.0	200.0
55	200.0	200.0
56	200.0	200.0
57	200.0	200.0
58	200.0	200.0
59	200.0	200.0
60	200.0	200.0
61	200.0	200.0
62	200.0	200.0
63	200.0	200.0
64	200.0	200.0
65	173.0	200.0
66	157.0	200.0
67	200.0	200.0
68	122.0	200.0
69	200.0	200.0
70	200.0	200.0
71	151.0	200.0
72	200.0	200.0
73	200.0	200.0
74	200.0	200.0
75	200.0	200.0
76	186.0	200.0
77	200.0	200.0
78	200.0	200.0
79	200.0	200.0
80	200.0	200.0
81	200.0	200.0
82	200.0	200.0
83	200.0	200.0
84	200.0	200.0
85	200.0	200.0
86	200.0	200.0
87	200.0	200.0
88	200.0	200.0
89	200.0	200.0
90	200.0	200.0
91	200.0	200.0
92	200.0	200.0
93	182.0	200.0
94	200.0	200.0
95	200.0	200.0
96	103.0	162.0
97	141.0	200.0
98	154.0	200.0
99	155.0	200.0
100	200.0	156.0
101	127.0	200.0
102	200.0	200.0
103	200.0	200.0
104	126.0	136.0
105	139.0	104.0
106	67.0	57.0
107	102.0	62.0
108	73.0	57.0
109	111.0	65.0
110	73.0	142.0
111	126.0	200.0
112	119.0	200.0
113	200.0	110.0
114	62.0	103.0
115	139.0	127.0
116	200.0	200.0
117	200.0	122.0
118	186.0	200.0
119	200.0	167.0
120	150.0	200.0
121	200.0	200.0
122	200.0	200.0
123	200.0	200.0
124	200.0	200.0
125	200.0	200.0
126	200.0	200.0
127	200.0	200.0
128	200.0	200.0
129	200.0	200.0
130	200.0	200.0
131	200.0	189.0
132	157.0	200.0
133	152.0	191.0
134	200.0	196.0
135	134.0	157.0
136	200.0	200.0
137	176.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
160	200.0	200.0
161	200.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	200.0	200.0
170	200.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	200.0	200.0
185	200.0	200.0
186	192.0	200.0
187	167.0	200.0
188	200.0	200.0
189	158.0	200.0
190	195.0	200.0
191	165.0	200.0
192	200.0	200.0
193	200.0	200.0
194	200.0	200.0
195	193.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
199	200.0	200.0
200	174.0	200.0
201	200.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
234	200.0	200.0
235	200.0	200.0
236	200.0	200.0
237	200.0	200.0
238	200.0	200.0
239	200.0	200.0
240	200.0	200.0
241	200.0	200.0
242	200.0	200.0
243	200.0	200.0
244	200.0	200.0
245	200.0	200.0
246	200.0	200.0
247	163.0	200.0
248	200.0	200.0
249	200.0	200.0
250	192.0	200.0
251	200.0	200.0
252	200.0	200.0
253	200.0	200.0
254	200.0	200.0
255	200.0	200.0
256	200.0	200.0
257	200.0	200.0
258	200.0	200.0
259	200.0	200.0
260	200.0	200.0
261	200.0	200.0
262	200.0	200.0
263	200.0	200.0
264	200.0	200.0
265	200.0	200.0
266	200.0	200.0
267	200.0	200.0
268	200.0	200.0
269	200.0	200.0
270	200.0	200.0
271	200.0	200.0
272	200.0	200.0
273	200.0	200.0
274	200.0	200.0
275	167.0	200.0
276	200.0	200.0
277	171.0	198.0
278	196.0	200.0
279	168.0	187.0
280	199.0	200.0
281	166.0	200.0
282	200.0	200.0
283	200.0	200.0
284	200.0	200.0
285	200.0	200.0
286	200.0	200.0
287	200.0	200.0
288	200.0	200.0
289	200.0	200.0
290	200.0	200.0
291	200.0	200.0
292	200.0	200.0
293	200.0	200.0
294	200.0	200.0
295	200.0	200.0
296	200.0	200.0
297	200.0	200.0
298	200.0	200.0
299	200.0	200.0
300	200.0	200.0
301	200.0	200.0
302	200.0	200.0
303	200.0	200.0
304	200.0	200.0
305	200.0	200.0
306	200.0	200.0
307	200.0	200.0
308	200.0	200.0
