Environment: CartPole-v0
Agent: PPO
Experiment: cartpole_experiment
Parameter: standard
Time Taken: 88.2657368183136 seconds
Episodes: 261 episodes
Max Episodes: 2000 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	23.0	173.0
2	23.0	200.0
3	15.0	168.0
4	21.0	111.0
5	15.0	187.0
6	35.0	200.0
7	30.0	68.0
8	48.0	92.0
9	49.0	200.0
10	62.0	156.0
11	46.0	200.0
12	99.0	200.0
13	26.0	200.0
14	90.0	200.0
15	114.0	200.0
16	86.0	200.0
17	25.0	200.0
18	93.0	200.0
19	89.0	200.0
20	21.0	200.0
21	30.0	200.0
22	186.0	200.0
23	143.0	200.0
24	136.0	200.0
25	37.0	200.0
26	127.0	200.0
27	112.0	200.0
28	147.0	161.0
29	176.0	200.0
30	168.0	200.0
31	200.0	175.0
32	93.0	200.0
33	98.0	200.0
34	200.0	200.0
35	200.0	200.0
36	200.0	200.0
37	103.0	200.0
38	200.0	143.0
39	200.0	200.0
40	158.0	200.0
41	124.0	122.0
42	174.0	108.0
43	138.0	147.0
44	127.0	200.0
45	106.0	200.0
46	131.0	200.0
47	200.0	103.0
48	90.0	200.0
49	93.0	200.0
50	120.0	200.0
51	108.0	200.0
52	112.0	188.0
53	111.0	200.0
54	200.0	200.0
55	200.0	170.0
56	162.0	148.0
57	100.0	106.0
58	82.0	124.0
59	88.0	138.0
60	93.0	97.0
61	51.0	119.0
62	121.0	133.0
63	128.0	200.0
64	130.0	200.0
65	155.0	199.0
66	200.0	123.0
67	114.0	121.0
68	123.0	135.0
69	124.0	182.0
70	158.0	200.0
71	156.0	200.0
72	145.0	150.0
73	146.0	200.0
74	175.0	200.0
75	159.0	200.0
76	200.0	200.0
77	200.0	200.0
78	200.0	194.0
79	196.0	159.0
80	164.0	157.0
81	200.0	199.0
82	200.0	176.0
83	162.0	200.0
84	101.0	194.0
85	200.0	200.0
86	197.0	200.0
87	200.0	183.0
88	157.0	188.0
89	200.0	200.0
90	200.0	200.0
91	200.0	200.0
92	200.0	200.0
93	152.0	200.0
94	194.0	200.0
95	200.0	200.0
96	200.0	200.0
97	194.0	200.0
98	176.0	200.0
99	126.0	200.0
100	200.0	200.0
101	186.0	200.0
102	200.0	200.0
103	158.0	200.0
104	200.0	200.0
105	200.0	200.0
106	200.0	200.0
107	178.0	200.0
108	200.0	200.0
109	200.0	200.0
110	200.0	200.0
111	200.0	200.0
112	200.0	200.0
113	200.0	200.0
114	200.0	200.0
115	200.0	200.0
116	200.0	200.0
117	200.0	200.0
118	200.0	200.0
119	200.0	200.0
120	200.0	200.0
121	200.0	200.0
122	200.0	200.0
123	200.0	200.0
124	200.0	200.0
125	200.0	200.0
126	200.0	200.0
127	200.0	200.0
128	200.0	200.0
129	200.0	200.0
130	200.0	200.0
131	200.0	200.0
132	200.0	200.0
133	200.0	200.0
134	98.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
160	200.0	200.0
161	200.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	125.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	92.0	200.0
170	200.0	200.0
171	165.0	200.0
172	200.0	200.0
173	152.0	200.0
174	200.0	200.0
175	66.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	200.0	200.0
185	200.0	200.0
186	200.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	200.0	200.0
193	200.0	200.0
194	200.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
199	200.0	200.0
200	200.0	200.0
201	200.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	179.0	200.0
213	193.0	200.0
214	200.0	200.0
215	150.0	200.0
216	200.0	200.0
217	146.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	198.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
234	200.0	200.0
235	200.0	200.0
236	200.0	200.0
237	200.0	200.0
238	200.0	200.0
239	200.0	200.0
240	200.0	200.0
241	200.0	200.0
242	200.0	200.0
243	200.0	200.0
244	200.0	200.0
245	200.0	200.0
246	200.0	200.0
247	200.0	200.0
248	200.0	200.0
249	200.0	200.0
250	200.0	200.0
251	200.0	200.0
252	200.0	200.0
253	200.0	200.0
254	200.0	200.0
255	200.0	200.0
256	200.0	200.0
257	200.0	200.0
258	200.0	200.0
259	200.0	200.0
260	200.0	200.0
261	200.0	200.0
