Environment: CartPole-v0
Agent: PPO
Experiment: standard CartPole experiment
Parameter: standard
Time Taken: 21.123700380325317 seconds
Episodes: 198 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	10.0	10.0
2	25.0	10.0
3	17.0	9.0
4	16.0	10.0
5	10.0	9.0
6	17.0	9.0
7	34.0	9.0
8	57.0	12.0
9	36.0	28.0
10	38.0	50.0
11	29.0	54.0
12	38.0	23.0
13	56.0	40.0
14	52.0	28.0
15	36.0	20.0
16	94.0	33.0
17	29.0	55.0
18	38.0	27.0
19	38.0	37.0
20	68.0	47.0
21	32.0	31.0
22	48.0	31.0
23	53.0	23.0
24	12.0	19.0
25	21.0	13.0
26	18.0	12.0
27	26.0	13.0
28	20.0	15.0
29	42.0	16.0
30	17.0	24.0
31	37.0	35.0
32	39.0	40.0
33	26.0	55.0
34	57.0	41.0
35	179.0	74.0
36	38.0	97.0
37	14.0	83.0
38	62.0	200.0
39	68.0	200.0
40	94.0	200.0
41	72.0	200.0
42	119.0	200.0
43	39.0	199.0
44	194.0	200.0
45	190.0	200.0
46	106.0	200.0
47	118.0	152.0
48	136.0	185.0
49	133.0	118.0
50	39.0	113.0
51	113.0	147.0
52	126.0	163.0
53	200.0	200.0
54	200.0	200.0
55	200.0	200.0
56	176.0	200.0
57	171.0	200.0
58	177.0	200.0
59	68.0	200.0
60	68.0	200.0
61	181.0	200.0
62	200.0	200.0
63	200.0	200.0
64	200.0	200.0
65	200.0	200.0
66	200.0	200.0
67	200.0	200.0
68	200.0	200.0
69	200.0	200.0
70	200.0	200.0
71	200.0	200.0
72	200.0	200.0
73	200.0	200.0
74	200.0	200.0
75	200.0	200.0
76	200.0	200.0
77	200.0	200.0
78	200.0	200.0
79	200.0	200.0
80	200.0	200.0
81	200.0	200.0
82	200.0	200.0
83	200.0	200.0
84	200.0	200.0
85	200.0	200.0
86	200.0	200.0
87	200.0	200.0
88	200.0	200.0
89	200.0	200.0
90	200.0	200.0
91	200.0	200.0
92	200.0	200.0
93	200.0	200.0
94	200.0	200.0
95	200.0	200.0
96	200.0	200.0
97	200.0	200.0
98	200.0	200.0
99	200.0	200.0
100	200.0	200.0
101	200.0	200.0
102	200.0	200.0
103	200.0	200.0
104	200.0	200.0
105	200.0	200.0
106	200.0	200.0
107	200.0	200.0
108	200.0	200.0
109	200.0	200.0
110	200.0	200.0
111	200.0	200.0
112	200.0	200.0
113	200.0	200.0
114	200.0	200.0
115	200.0	200.0
116	200.0	200.0
117	200.0	200.0
118	195.0	200.0
119	199.0	200.0
120	182.0	187.0
121	200.0	200.0
122	188.0	181.0
123	176.0	178.0
124	200.0	200.0
125	192.0	200.0
126	200.0	200.0
127	200.0	200.0
128	200.0	200.0
129	200.0	200.0
130	200.0	200.0
131	200.0	200.0
132	200.0	200.0
133	200.0	200.0
134	200.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	149.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
160	200.0	200.0
161	200.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	200.0	200.0
170	200.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	200.0	200.0
185	200.0	200.0
186	200.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	200.0	200.0
193	200.0	200.0
194	200.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
