Environment: CartPole-v0
Agent: A2C
Experiment: CartPole
Parameter: None
Time Taken: 29.083491802215576 seconds
Solved in 264 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	35.0	28.0
2	45.0	34.0
3	44.0	32.0
4	34.0	27.0
5	32.0	44.0
6	23.0	23.0
7	35.0	49.0
8	17.0	38.0
9	17.0	43.0
10	27.0	95.0
11	18.0	55.0
12	20.0	69.0
13	80.0	80.0
14	65.0	50.0
15	30.0	34.0
16	25.0	32.0
17	52.0	80.0
18	22.0	48.0
19	30.0	116.0
20	27.0	42.0
21	25.0	74.0
22	15.0	79.0
23	27.0	89.0
24	27.0	89.0
25	74.0	47.0
26	33.0	105.0
27	30.0	64.0
28	64.0	55.0
29	22.0	66.0
30	33.0	55.0
31	31.0	58.0
32	62.0	65.0
33	35.0	104.0
34	22.0	70.0
35	26.0	65.0
36	25.0	200.0
37	37.0	139.0
38	30.0	92.0
39	64.0	74.0
40	48.0	73.0
41	47.0	79.0
42	53.0	52.0
43	62.0	112.0
44	51.0	48.0
45	71.0	94.0
46	76.0	129.0
47	57.0	84.0
48	60.0	104.0
49	24.0	48.0
50	97.0	58.0
51	53.0	76.0
52	62.0	96.0
53	77.0	48.0
54	138.0	57.0
55	68.0	54.0
56	30.0	95.0
57	49.0	73.0
58	30.0	49.0
59	17.0	73.0
60	36.0	60.0
61	27.0	84.0
62	33.0	59.0
63	22.0	74.0
64	46.0	74.0
65	38.0	64.0
66	51.0	134.0
67	62.0	124.0
68	31.0	116.0
69	22.0	118.0
70	89.0	143.0
71	39.0	141.0
72	200.0	200.0
73	97.0	200.0
74	44.0	200.0
75	155.0	200.0
76	88.0	200.0
77	200.0	200.0
78	127.0	200.0
79	155.0	200.0
80	133.0	200.0
81	85.0	200.0
82	138.0	200.0
83	160.0	200.0
84	134.0	200.0
85	92.0	200.0
86	120.0	200.0
87	78.0	200.0
88	122.0	200.0
89	61.0	200.0
90	92.0	200.0
91	200.0	200.0
92	75.0	200.0
93	108.0	200.0
94	114.0	200.0
95	200.0	200.0
96	107.0	200.0
97	102.0	200.0
98	65.0	200.0
99	147.0	200.0
100	148.0	200.0
101	173.0	200.0
102	200.0	200.0
103	200.0	200.0
104	200.0	200.0
105	200.0	200.0
106	200.0	200.0
107	154.0	200.0
108	171.0	200.0
109	200.0	200.0
110	161.0	200.0
111	189.0	200.0
112	200.0	200.0
113	200.0	200.0
114	200.0	200.0
115	173.0	200.0
116	200.0	200.0
117	200.0	200.0
118	200.0	200.0
119	200.0	200.0
120	200.0	200.0
121	200.0	200.0
122	200.0	200.0
123	200.0	200.0
124	200.0	200.0
125	200.0	200.0
126	200.0	200.0
127	200.0	200.0
128	200.0	200.0
129	200.0	200.0
130	143.0	200.0
131	200.0	200.0
132	147.0	200.0
133	200.0	200.0
134	200.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	200.0	200.0
148	96.0	200.0
149	103.0	200.0
150	200.0	200.0
151	200.0	200.0
152	74.0	200.0
153	48.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
160	200.0	200.0
161	200.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	200.0	200.0
170	200.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	200.0	200.0
185	200.0	200.0
186	64.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	200.0	200.0
193	200.0	200.0
194	200.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
199	200.0	200.0
200	200.0	200.0
201	200.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
234	200.0	200.0
235	200.0	200.0
236	200.0	200.0
237	200.0	200.0
238	200.0	200.0
239	200.0	200.0
240	200.0	200.0
241	200.0	200.0
242	200.0	200.0
243	200.0	200.0
244	200.0	200.0
245	200.0	200.0
246	200.0	200.0
247	200.0	200.0
248	200.0	200.0
249	200.0	200.0
250	200.0	200.0
251	200.0	200.0
252	200.0	200.0
253	200.0	200.0
254	200.0	200.0
255	200.0	200.0
256	200.0	200.0
257	200.0	200.0
258	200.0	200.0
259	200.0	200.0
260	200.0	200.0
261	200.0	200.0
262	200.0	200.0
263	200.0	200.0
264	200.0	200.0
