Environment: CartPole-v0
Agent: A2C_DQN
Experiment: CartPole
Parameter: None
Time Taken: 100.2399251461029 seconds
Solved in 1126 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	29.0	165.0
2	22.0	90.0
3	15.0	73.0
4	25.0	54.0
5	26.0	75.0
6	24.0	69.0
7	42.0	50.0
8	24.0	74.0
9	35.0	117.0
10	35.0	63.0
11	37.0	119.0
12	24.0	57.0
13	12.0	83.0
14	66.0	73.0
15	32.0	127.0
16	46.0	74.0
17	18.0	95.0
18	48.0	124.0
19	47.0	85.0
20	60.0	91.0
21	15.0	134.0
22	27.0	105.0
23	20.0	189.0
24	25.0	200.0
25	27.0	155.0
26	28.0	177.0
27	44.0	200.0
28	19.0	200.0
29	28.0	176.0
30	30.0	200.0
31	29.0	188.0
32	46.0	200.0
33	56.0	200.0
34	74.0	200.0
35	27.0	200.0
36	54.0	200.0
37	73.0	200.0
38	116.0	200.0
39	72.0	192.0
40	34.0	200.0
41	106.0	200.0
42	109.0	200.0
43	31.0	200.0
44	80.0	200.0
45	136.0	200.0
46	18.0	200.0
47	138.0	200.0
48	76.0	200.0
49	76.0	200.0
50	200.0	200.0
51	164.0	200.0
52	103.0	200.0
53	42.0	200.0
54	135.0	200.0
55	168.0	200.0
56	128.0	200.0
57	200.0	200.0
58	143.0	200.0
59	147.0	200.0
60	180.0	200.0
61	127.0	200.0
62	96.0	200.0
63	200.0	200.0
64	83.0	200.0
65	59.0	200.0
66	185.0	200.0
67	166.0	200.0
68	141.0	200.0
69	125.0	200.0
70	200.0	200.0
71	157.0	200.0
72	146.0	200.0
73	200.0	200.0
74	200.0	200.0
75	200.0	200.0
76	188.0	200.0
77	200.0	200.0
78	200.0	200.0
79	200.0	200.0
80	200.0	200.0
81	107.0	200.0
82	169.0	200.0
83	167.0	200.0
84	78.0	200.0
85	200.0	200.0
86	200.0	200.0
87	159.0	200.0
88	179.0	200.0
89	127.0	200.0
90	200.0	200.0
91	180.0	200.0
92	200.0	200.0
93	200.0	200.0
94	145.0	200.0
95	200.0	200.0
96	175.0	200.0
97	200.0	200.0
98	200.0	200.0
99	200.0	200.0
100	200.0	200.0
101	199.0	200.0
102	200.0	200.0
103	200.0	200.0
104	110.0	200.0
105	200.0	200.0
106	129.0	200.0
107	200.0	200.0
108	75.0	200.0
109	142.0	200.0
110	185.0	200.0
111	121.0	200.0
112	156.0	200.0
113	48.0	200.0
114	200.0	200.0
115	166.0	200.0
116	200.0	200.0
117	107.0	200.0
118	152.0	200.0
119	145.0	200.0
120	139.0	200.0
121	154.0	200.0
122	183.0	200.0
123	200.0	183.0
124	150.0	176.0
125	57.0	155.0
126	200.0	183.0
127	148.0	144.0
128	32.0	145.0
129	182.0	154.0
130	114.0	129.0
131	200.0	136.0
132	138.0	170.0
133	94.0	151.0
134	72.0	200.0
135	109.0	156.0
136	133.0	160.0
137	104.0	159.0
138	64.0	159.0
139	200.0	162.0
140	187.0	200.0
141	200.0	192.0
142	198.0	179.0
143	151.0	200.0
144	158.0	200.0
145	150.0	200.0
146	136.0	200.0
147	181.0	200.0
148	200.0	200.0
149	165.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	172.0	200.0
154	200.0	200.0
155	200.0	200.0
156	192.0	200.0
157	178.0	200.0
158	200.0	200.0
159	111.0	200.0
160	200.0	200.0
161	174.0	200.0
162	31.0	200.0
163	197.0	200.0
164	200.0	200.0
165	200.0	200.0
166	182.0	193.0
167	155.0	177.0
168	163.0	176.0
169	29.0	169.0
170	26.0	147.0
171	151.0	147.0
172	119.0	154.0
173	127.0	136.0
174	124.0	152.0
175	25.0	151.0
176	124.0	139.0
177	131.0	150.0
178	124.0	138.0
179	35.0	144.0
180	128.0	154.0
181	129.0	160.0
182	157.0	153.0
183	163.0	165.0
184	144.0	151.0
185	152.0	154.0
186	128.0	149.0
187	126.0	124.0
188	49.0	132.0
189	114.0	140.0
190	132.0	129.0
191	111.0	122.0
192	112.0	139.0
193	105.0	132.0
194	69.0	130.0
195	117.0	141.0
196	151.0	135.0
197	90.0	146.0
198	109.0	114.0
199	114.0	128.0
200	106.0	123.0
201	97.0	118.0
202	120.0	118.0
203	109.0	96.0
204	57.0	103.0
205	21.0	86.0
206	68.0	81.0
207	100.0	66.0
208	55.0	62.0
209	82.0	82.0
210	23.0	65.0
211	33.0	63.0
212	74.0	54.0
213	58.0	61.0
214	64.0	60.0
215	32.0	55.0
216	45.0	57.0
217	66.0	53.0
218	25.0	58.0
219	48.0	47.0
220	20.0	60.0
221	60.0	48.0
222	49.0	47.0
223	50.0	46.0
224	43.0	57.0
225	42.0	46.0
226	37.0	55.0
227	39.0	44.0
228	68.0	49.0
229	44.0	61.0
230	41.0	45.0
231	47.0	56.0
232	41.0	61.0
233	44.0	56.0
234	41.0	49.0
235	53.0	47.0
236	37.0	60.0
237	47.0	60.0
238	44.0	51.0
239	48.0	60.0
240	50.0	66.0
241	54.0	60.0
242	41.0	56.0
243	46.0	75.0
244	94.0	65.0
245	49.0	83.0
246	57.0	70.0
247	76.0	84.0
248	70.0	82.0
249	63.0	95.0
250	73.0	74.0
251	80.0	111.0
252	63.0	117.0
253	86.0	99.0
254	68.0	109.0
255	101.0	121.0
256	100.0	116.0
257	98.0	120.0
258	128.0	122.0
259	109.0	116.0
260	115.0	131.0
261	122.0	147.0
262	135.0	133.0
263	144.0	140.0
264	143.0	148.0
265	156.0	153.0
266	179.0	165.0
267	125.0	171.0
268	143.0	189.0
269	200.0	196.0
270	187.0	185.0
271	126.0	172.0
272	171.0	186.0
273	139.0	148.0
274	137.0	151.0
275	169.0	165.0
276	164.0	151.0
277	143.0	147.0
278	179.0	176.0
279	121.0	154.0
280	151.0	145.0
281	130.0	171.0
282	144.0	171.0
283	171.0	200.0
284	179.0	176.0
285	200.0	195.0
286	191.0	200.0
287	178.0	200.0
288	190.0	200.0
289	200.0	200.0
290	200.0	200.0
291	200.0	200.0
292	200.0	200.0
293	200.0	200.0
294	198.0	200.0
295	200.0	200.0
296	200.0	200.0
297	200.0	200.0
298	200.0	200.0
299	180.0	200.0
300	200.0	197.0
301	200.0	200.0
302	174.0	200.0
303	200.0	200.0
304	161.0	200.0
305	196.0	200.0
306	179.0	200.0
307	188.0	200.0
308	193.0	200.0
309	185.0	200.0
310	200.0	200.0
311	189.0	200.0
312	200.0	200.0
313	185.0	200.0
314	184.0	200.0
315	200.0	194.0
316	169.0	200.0
317	159.0	193.0
318	168.0	193.0
319	171.0	167.0
320	183.0	176.0
321	165.0	167.0
322	151.0	196.0
323	156.0	186.0
324	200.0	176.0
325	171.0	186.0
326	178.0	197.0
327	186.0	196.0
328	186.0	200.0
329	200.0	200.0
330	200.0	200.0
331	200.0	200.0
332	200.0	200.0
333	200.0	200.0
334	200.0	200.0
335	200.0	200.0
336	200.0	200.0
337	200.0	200.0
338	200.0	200.0
339	200.0	200.0
340	200.0	200.0
341	200.0	200.0
342	200.0	200.0
343	200.0	200.0
344	200.0	200.0
345	200.0	200.0
346	200.0	200.0
347	200.0	200.0
348	200.0	200.0
349	200.0	200.0
350	200.0	200.0
351	200.0	200.0
352	200.0	200.0
353	200.0	200.0
354	200.0	200.0
355	200.0	200.0
356	200.0	200.0
357	200.0	200.0
358	200.0	200.0
359	200.0	200.0
360	200.0	200.0
361	200.0	200.0
362	200.0	200.0
363	200.0	200.0
364	200.0	200.0
365	200.0	200.0
366	200.0	200.0
367	200.0	200.0
368	200.0	200.0
369	200.0	200.0
370	200.0	200.0
371	200.0	200.0
372	200.0	200.0
373	200.0	200.0
374	200.0	200.0
375	96.0	200.0
376	200.0	200.0
377	118.0	200.0
378	200.0	200.0
379	200.0	200.0
380	200.0	200.0
381	200.0	200.0
382	56.0	200.0
383	200.0	200.0
384	200.0	200.0
385	200.0	200.0
386	200.0	200.0
387	200.0	200.0
388	200.0	200.0
389	200.0	200.0
390	174.0	200.0
391	200.0	200.0
392	200.0	200.0
393	200.0	200.0
394	200.0	200.0
395	200.0	200.0
396	200.0	200.0
397	200.0	200.0
398	200.0	200.0
399	200.0	200.0
400	200.0	200.0
401	200.0	200.0
402	200.0	200.0
403	200.0	200.0
404	200.0	200.0
405	200.0	200.0
406	200.0	200.0
407	200.0	200.0
408	200.0	200.0
409	200.0	200.0
410	200.0	200.0
411	200.0	200.0
412	200.0	200.0
413	200.0	200.0
414	29.0	200.0
415	200.0	200.0
416	200.0	200.0
417	200.0	200.0
418	200.0	200.0
419	200.0	200.0
420	200.0	200.0
421	200.0	200.0
422	200.0	200.0
423	200.0	200.0
424	200.0	200.0
425	200.0	200.0
426	200.0	200.0
427	200.0	200.0
428	200.0	200.0
429	200.0	200.0
430	200.0	200.0
431	200.0	200.0
432	200.0	200.0
433	200.0	200.0
434	200.0	200.0
435	200.0	200.0
436	181.0	200.0
437	200.0	200.0
438	197.0	189.0
439	194.0	195.0
440	164.0	172.0
441	165.0	176.0
442	166.0	162.0
443	157.0	156.0
444	149.0	155.0
445	142.0	152.0
446	141.0	146.0
447	136.0	141.0
448	130.0	141.0
449	21.0	140.0
450	124.0	125.0
451	128.0	131.0
452	112.0	124.0
453	131.0	136.0
454	126.0	128.0
455	109.0	135.0
456	36.0	130.0
457	132.0	119.0
458	109.0	124.0
459	106.0	121.0
460	114.0	122.0
461	124.0	120.0
462	117.0	133.0
463	132.0	135.0
464	16.0	132.0
465	111.0	127.0
466	121.0	127.0
467	120.0	130.0
468	124.0	125.0
469	108.0	130.0
470	123.0	123.0
471	124.0	120.0
472	119.0	122.0
473	22.0	115.0
474	114.0	115.0
475	116.0	118.0
476	23.0	119.0
477	116.0	114.0
478	112.0	113.0
479	111.0	119.0
480	17.0	105.0
481	105.0	109.0
482	94.0	107.0
483	96.0	97.0
484	65.0	95.0
485	90.0	94.0
486	88.0	100.0
487	94.0	90.0
488	76.0	94.0
489	93.0	107.0
490	89.0	98.0
491	109.0	102.0
492	91.0	100.0
493	113.0	93.0
494	83.0	97.0
495	94.0	103.0
496	80.0	93.0
497	90.0	102.0
498	93.0	101.0
499	103.0	99.0
500	98.0	107.0
501	108.0	112.0
502	119.0	117.0
503	104.0	115.0
504	110.0	103.0
505	112.0	112.0
506	116.0	109.0
507	110.0	104.0
508	107.0	99.0
509	100.0	91.0
510	91.0	89.0
511	87.0	92.0
512	86.0	90.0
513	90.0	91.0
514	85.0	88.0
515	91.0	88.0
516	85.0	84.0
517	20.0	91.0
518	85.0	90.0
519	75.0	90.0
520	87.0	87.0
521	61.0	99.0
522	101.0	102.0
523	102.0	98.0
524	93.0	106.0
525	88.0	102.0
526	95.0	109.0
527	118.0	122.0
