Environment: CartPole-v0
Agent: A2C_PPO
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	11.0	9.0
2	11.0	9.0
3	9.0	9.0
4	36.0	10.0
5	12.0	9.0
6	25.0	9.0
7	18.0	9.0
8	12.0	9.0
9	22.0	8.0
10	8.0	9.0
11	16.0	10.0
12	12.0	10.0
13	16.0	10.0
14	51.0	9.0
15	18.0	10.0
16	15.0	28.0
17	14.0	9.0
18	33.0	19.0
19	28.0	27.0
20	23.0	27.0
21	30.0	27.0
22	21.0	8.0
23	13.0	91.0
24	27.0	38.0
25	14.0	67.0
26	20.0	45.0
27	18.0	42.0
28	28.0	44.0
29	13.0	46.0
30	17.0	50.0
31	19.0	71.0
32	22.0	47.0
33	23.0	51.0
34	12.0	44.0
35	11.0	45.0
36	24.0	122.0
37	15.0	41.0
38	21.0	39.0
39	29.0	58.0
40	19.0	38.0
41	13.0	70.0
42	12.0	41.0
43	17.0	56.0
44	28.0	51.0
45	18.0	48.0
46	21.0	43.0
47	23.0	52.0
48	20.0	62.0
49	13.0	35.0
50	17.0	26.0
51	65.0	72.0
52	15.0	43.0
53	46.0	77.0
54	17.0	63.0
55	22.0	67.0
56	14.0	44.0
57	14.0	56.0
58	20.0	57.0
59	11.0	28.0
60	29.0	54.0
61	19.0	68.0
62	19.0	60.0
63	15.0	55.0
64	19.0	75.0
65	14.0	47.0
66	33.0	38.0
67	22.0	31.0
68	23.0	59.0
69	39.0	36.0
70	21.0	34.0
71	18.0	53.0
72	24.0	41.0
73	39.0	36.0
74	29.0	44.0
75	10.0	34.0
76	17.0	58.0
77	24.0	59.0
78	24.0	76.0
79	10.0	49.0
80	9.0	60.0
81	14.0	45.0
82	36.0	54.0
83	16.0	52.0
84	60.0	32.0
85	25.0	47.0
86	12.0	42.0
87	48.0	54.0
88	16.0	32.0
89	25.0	43.0
90	59.0	37.0
91	16.0	45.0
92	31.0	31.0
93	20.0	35.0
94	19.0	37.0
95	14.0	46.0
96	28.0	60.0
97	23.0	34.0
98	15.0	35.0
99	16.0	59.0
100	32.0	43.0
101	15.0	76.0
102	29.0	28.0
103	17.0	38.0
104	16.0	26.0
105	17.0	62.0
106	21.0	80.0
107	30.0	57.0
108	29.0	40.0
109	39.0	41.0
110	101.0	18.0
111	28.0	37.0
112	33.0	41.0
113	14.0	35.0
114	30.0	71.0
115	22.0	64.0
116	18.0	32.0
117	15.0	47.0
118	14.0	48.0
119	18.0	42.0
120	18.0	46.0
121	10.0	64.0
122	51.0	99.0
123	10.0	63.0
124	31.0	36.0
125	25.0	41.0
126	18.0	30.0
127	29.0	95.0
128	17.0	42.0
129	16.0	34.0
130	22.0	32.0
131	31.0	59.0
132	37.0	42.0
133	12.0	34.0
134	18.0	28.0
135	30.0	95.0
136	12.0	27.0
137	10.0	35.0
138	24.0	42.0
139	26.0	26.0
140	10.0	44.0
141	13.0	27.0
142	24.0	28.0
143	11.0	32.0
144	14.0	26.0
145	20.0	19.0
146	35.0	18.0
147	30.0	18.0
148	14.0	28.0
149	13.0	24.0
150	16.0	21.0
151	9.0	20.0
152	25.0	34.0
153	24.0	31.0
154	25.0	30.0
155	10.0	26.0
156	23.0	16.0
157	14.0	24.0
158	28.0	24.0
159	9.0	20.0
160	21.0	15.0
161	24.0	16.0
162	21.0	16.0
163	39.0	13.0
164	16.0	12.0
165	10.0	17.0
166	14.0	13.0
167	27.0	15.0
168	30.0	17.0
169	31.0	19.0
170	20.0	19.0
171	12.0	15.0
172	24.0	19.0
173	18.0	18.0
174	10.0	14.0
175	13.0	14.0
176	14.0	14.0
177	24.0	12.0
178	12.0	10.0
179	34.0	9.0
180	21.0	11.0
181	53.0	10.0
182	14.0	9.0
183	17.0	9.0
184	30.0	8.0
185	28.0	9.0
186	18.0	10.0
187	29.0	9.0
188	24.0	9.0
189	14.0	10.0
190	53.0	9.0
191	59.0	10.0
192	22.0	10.0
193	15.0	9.0
194	17.0	10.0
195	33.0	8.0
196	21.0	9.0
197	13.0	17.0
198	19.0	10.0
199	46.0	12.0
200	28.0	10.0
201	23.0	14.0
202	57.0	10.0
203	15.0	9.0
204	18.0	15.0
205	29.0	15.0
206	18.0	11.0
207	16.0	14.0
208	15.0	13.0
209	11.0	14.0
210	14.0	9.0
211	38.0	9.0
212	16.0	9.0
213	13.0	10.0
214	29.0	9.0
215	12.0	10.0
216	28.0	10.0
217	14.0	9.0
218	15.0	10.0
219	47.0	9.0
220	10.0	10.0
221	14.0	9.0
222	12.0	9.0
223	18.0	8.0
224	17.0	8.0
225	35.0	9.0
226	32.0	9.0
227	11.0	12.0
228	16.0	10.0
229	13.0	11.0
230	11.0	11.0
231	15.0	8.0
232	40.0	11.0
233	18.0	10.0
234	21.0	9.0
235	20.0	10.0
236	22.0	9.0
237	12.0	9.0
238	21.0	10.0
239	79.0	9.0
240	30.0	9.0
241	22.0	10.0
242	14.0	9.0
243	25.0	8.0
244	14.0	9.0
245	39.0	9.0
246	15.0	10.0
247	11.0	8.0
248	17.0	11.0
249	12.0	10.0
250	40.0	9.0
251	11.0	9.0
252	12.0	10.0
253	16.0	9.0
254	20.0	9.0
255	31.0	10.0
256	33.0	8.0
257	11.0	10.0
258	16.0	9.0
259	12.0	9.0
260	13.0	9.0
261	15.0	9.0
262	33.0	10.0
263	39.0	9.0
264	18.0	9.0
265	32.0	9.0
266	18.0	9.0
267	25.0	10.0
268	12.0	11.0
269	15.0	9.0
270	13.0	9.0
271	15.0	9.0
272	15.0	10.0
273	51.0	9.0
274	15.0	10.0
275	23.0	9.0
276	44.0	10.0
277	40.0	8.0
278	12.0	9.0
279	16.0	10.0
280	15.0	10.0
281	13.0	11.0
282	9.0	11.0
283	15.0	11.0
284	33.0	14.0
285	16.0	11.0
286	116.0	13.0
287	26.0	14.0
288	12.0	12.0
289	17.0	9.0
290	33.0	11.0
291	79.0	12.0
292	16.0	9.0
293	26.0	10.0
294	11.0	16.0
295	13.0	11.0
296	31.0	19.0
297	22.0	11.0
298	16.0	14.0
299	14.0	15.0
300	21.0	11.0
301	24.0	17.0
302	27.0	11.0
303	22.0	10.0
304	25.0	12.0
305	13.0	13.0
306	29.0	9.0
307	16.0	10.0
308	16.0	10.0
309	18.0	8.0
310	24.0	8.0
311	24.0	10.0
312	16.0	10.0
313	14.0	9.0
314	15.0	10.0
315	23.0	11.0
316	29.0	11.0
317	16.0	9.0
318	20.0	11.0
319	18.0	8.0
320	30.0	11.0
321	34.0	10.0
322	23.0	12.0
323	30.0	10.0
324	30.0	8.0
325	14.0	14.0
326	13.0	10.0
327	45.0	11.0
328	24.0	10.0
329	17.0	9.0
330	15.0	11.0
331	19.0	13.0
332	17.0	12.0
333	22.0	16.0
334	34.0	13.0
335	41.0	9.0
336	24.0	17.0
337	12.0	11.0
338	28.0	10.0
339	51.0	13.0
340	28.0	14.0
341	12.0	12.0
342	20.0	12.0
343	15.0	13.0
344	19.0	12.0
345	14.0	15.0
346	19.0	12.0
347	29.0	10.0
348	16.0	12.0
349	24.0	19.0
350	20.0	17.0
351	12.0	11.0
352	13.0	12.0
353	21.0	16.0
354	19.0	23.0
355	26.0	14.0
356	11.0	17.0
357	15.0	23.0
358	15.0	15.0
359	13.0	12.0
360	12.0	24.0
361	10.0	13.0
362	34.0	20.0
363	18.0	16.0
364	28.0	18.0
365	9.0	26.0
366	18.0	18.0
367	17.0	14.0
368	26.0	21.0
369	22.0	21.0
370	60.0	18.0
371	21.0	17.0
372	33.0	37.0
373	13.0	33.0
374	28.0	20.0
375	18.0	47.0
376	42.0	39.0
377	18.0	22.0
378	13.0	38.0
379	10.0	19.0
380	34.0	33.0
381	12.0	18.0
382	24.0	17.0
383	11.0	24.0
384	29.0	21.0
385	10.0	20.0
386	25.0	23.0
387	23.0	17.0
388	13.0	22.0
389	22.0	26.0
390	19.0	20.0
391	14.0	16.0
392	30.0	31.0
393	33.0	26.0
394	12.0	21.0
395	8.0	13.0
396	18.0	14.0
397	12.0	17.0
398	18.0	20.0
399	20.0	22.0
400	32.0	15.0
401	15.0	18.0
402	19.0	18.0
403	14.0	24.0
404	22.0	14.0
405	70.0	17.0
406	10.0	25.0
407	11.0	14.0
408	16.0	23.0
409	11.0	16.0
410	41.0	16.0
411	25.0	21.0
412	10.0	17.0
413	36.0	18.0
414	19.0	22.0
415	16.0	15.0
416	33.0	11.0
417	13.0	14.0
418	41.0	17.0
419	47.0	11.0
420	13.0	10.0
421	21.0	12.0
422	11.0	10.0
423	13.0	8.0
424	40.0	10.0
425	17.0	10.0
426	57.0	9.0
427	12.0	10.0
428	16.0	11.0
429	30.0	10.0
430	12.0	9.0
431	15.0	9.0
432	84.0	10.0
433	16.0	10.0
434	24.0	9.0
435	13.0	8.0
436	15.0	10.0
437	20.0	10.0
438	19.0	10.0
439	21.0	10.0
440	19.0	10.0
441	14.0	10.0
442	20.0	8.0
443	31.0	10.0
444	20.0	10.0
445	14.0	9.0
446	28.0	9.0
447	20.0	10.0
448	22.0	9.0
449	37.0	10.0
450	28.0	10.0
451	37.0	8.0
452	53.0	9.0
453	18.0	9.0
454	18.0	9.0
455	17.0	9.0
456	16.0	8.0
457	14.0	9.0
458	19.0	28.0
459	14.0	8.0
460	18.0	9.0
461	24.0	13.0
462	14.0	9.0
463	26.0	16.0
464	10.0	18.0
465	54.0	40.0
466	25.0	12.0
467	23.0	10.0
468	16.0	11.0
469	26.0	18.0
470	49.0	17.0
471	24.0	29.0
472	21.0	13.0
473	35.0	37.0
474	10.0	51.0
475	19.0	16.0
476	30.0	16.0
477	42.0	54.0
478	17.0	13.0
479	19.0	15.0
480	28.0	13.0
481	16.0	51.0
482	14.0	15.0
483	25.0	23.0
484	22.0	32.0
485	10.0	19.0
486	20.0	19.0
487	12.0	36.0
488	32.0	44.0
489	9.0	39.0
490	54.0	17.0
491	16.0	23.0
492	40.0	15.0
493	17.0	28.0
494	28.0	16.0
495	10.0	29.0
496	29.0	20.0
497	17.0	35.0
498	27.0	17.0
499	9.0	21.0
500	14.0	15.0
501	17.0	13.0
502	21.0	22.0
503	12.0	20.0
504	20.0	20.0
505	15.0	19.0
506	21.0	24.0
507	10.0	21.0
508	23.0	19.0
509	21.0	24.0
510	30.0	22.0
511	21.0	19.0
512	20.0	33.0
513	15.0	22.0
514	16.0	26.0
515	14.0	21.0
516	30.0	14.0
517	25.0	26.0
518	15.0	21.0
519	14.0	82.0
520	19.0	24.0
521	9.0	26.0
522	61.0	28.0
523	18.0	25.0
524	11.0	56.0
525	23.0	52.0
526	11.0	25.0
527	15.0	35.0
528	30.0	18.0
529	27.0	29.0
530	26.0	26.0
531	29.0	31.0
532	11.0	27.0
533	13.0	43.0
534	21.0	44.0
535	18.0	26.0
536	16.0	27.0
537	11.0	35.0
538	16.0	53.0
539	11.0	59.0
540	11.0	63.0
541	14.0	32.0
542	25.0	24.0
543	40.0	35.0
544	17.0	28.0
545	24.0	36.0
546	35.0	47.0
