Environment: CartPole-v0
Agent: A2C_SU
Experiment: CartPole
Parameter: None
Time Taken: 27.927801370620728 seconds
Solved in 242 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	24.0	97.0
2	23.0	165.0
3	23.0	144.0
4	27.0	134.0
5	20.0	112.0
6	10.0	104.0
7	26.0	200.0
8	30.0	200.0
9	18.0	200.0
10	33.0	171.0
11	50.0	105.0
12	60.0	200.0
13	26.0	200.0
14	38.0	106.0
15	21.0	91.0
16	19.0	111.0
17	46.0	66.0
18	72.0	83.0
19	57.0	95.0
20	41.0	92.0
21	31.0	66.0
22	82.0	87.0
23	72.0	77.0
24	24.0	112.0
25	22.0	58.0
26	46.0	112.0
27	81.0	53.0
28	124.0	49.0
29	61.0	73.0
30	27.0	61.0
31	50.0	55.0
32	30.0	157.0
33	47.0	57.0
34	74.0	56.0
35	42.0	80.0
36	125.0	79.0
37	117.0	74.0
38	59.0	68.0
39	55.0	66.0
40	80.0	85.0
41	60.0	121.0
42	29.0	200.0
43	94.0	114.0
44	150.0	82.0
45	60.0	200.0
46	43.0	101.0
47	70.0	134.0
48	44.0	200.0
49	26.0	134.0
50	200.0	126.0
51	60.0	136.0
52	103.0	200.0
53	183.0	200.0
54	34.0	200.0
55	115.0	200.0
56	45.0	200.0
57	164.0	200.0
58	64.0	200.0
59	46.0	200.0
60	105.0	200.0
61	184.0	200.0
62	52.0	200.0
63	73.0	200.0
64	82.0	200.0
65	84.0	200.0
66	103.0	200.0
67	77.0	200.0
68	200.0	200.0
69	77.0	200.0
70	178.0	200.0
71	146.0	200.0
72	175.0	200.0
73	200.0	200.0
74	161.0	200.0
75	172.0	200.0
76	156.0	200.0
77	200.0	200.0
78	200.0	200.0
79	200.0	200.0
80	200.0	200.0
81	200.0	200.0
82	200.0	200.0
83	175.0	200.0
84	200.0	200.0
85	200.0	200.0
86	200.0	200.0
87	200.0	200.0
88	200.0	200.0
89	200.0	200.0
90	200.0	200.0
91	200.0	200.0
92	200.0	200.0
93	200.0	200.0
94	200.0	200.0
95	200.0	200.0
96	200.0	200.0
97	200.0	200.0
98	200.0	200.0
99	200.0	200.0
100	200.0	200.0
101	200.0	200.0
102	200.0	200.0
103	200.0	200.0
104	200.0	200.0
105	167.0	200.0
106	200.0	200.0
107	200.0	200.0
108	200.0	200.0
109	200.0	200.0
110	200.0	200.0
111	200.0	200.0
112	200.0	200.0
113	200.0	200.0
114	200.0	200.0
115	200.0	200.0
116	200.0	200.0
117	143.0	200.0
118	200.0	200.0
119	200.0	200.0
120	200.0	200.0
121	200.0	200.0
122	200.0	200.0
123	169.0	200.0
124	200.0	200.0
125	199.0	200.0
126	200.0	200.0
127	189.0	200.0
128	200.0	200.0
129	200.0	200.0
130	200.0	200.0
131	200.0	200.0
132	200.0	200.0
133	200.0	200.0
134	200.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	99.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	43.0	200.0
148	200.0	200.0
149	150.0	200.0
150	124.0	200.0
151	79.0	200.0
152	200.0	200.0
153	164.0	200.0
154	200.0	200.0
155	176.0	200.0
156	200.0	200.0
157	200.0	200.0
158	171.0	200.0
159	200.0	200.0
160	200.0	200.0
161	93.0	200.0
162	163.0	200.0
163	131.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	200.0	200.0
168	139.0	200.0
169	200.0	200.0
170	200.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	200.0	200.0
185	200.0	200.0
186	200.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	200.0	200.0
193	200.0	200.0
194	200.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
199	200.0	200.0
200	200.0	200.0
201	200.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
234	200.0	200.0
235	200.0	200.0
236	200.0	200.0
237	200.0	200.0
238	200.0	200.0
239	200.0	200.0
240	200.0	200.0
241	200.0	200.0
242	200.0	200.0
