Environment: CartPole-v0
Agent: DQN
Experiment: CartPole
Parameter: None
Time Taken: 31.569112539291382 seconds
Solved in 1340 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	15.0	19.0
2	25.0	14.0
3	10.0	26.0
4	23.0	56.0
5	15.0	15.0
6	20.0	21.0
7	11.0	13.0
8	11.0	25.0
9	24.0	16.0
10	16.0	10.0
11	39.0	39.0
12	27.0	36.0
13	10.0	21.0
14	8.0	9.0
15	17.0	14.0
16	31.0	12.0
17	15.0	14.0
18	15.0	13.0
19	11.0	18.0
20	15.0	19.0
21	14.0	14.0
22	18.0	11.0
23	13.0	15.0
24	12.0	14.0
25	12.0	15.0
26	17.0	10.0
27	16.0	20.0
28	9.0	10.0
29	16.0	19.0
30	11.0	13.0
31	22.0	17.0
32	16.0	18.0
33	18.0	13.0
34	18.0	12.0
35	11.0	23.0
36	13.0	24.0
37	13.0	10.0
38	10.0	12.0
39	19.0	12.0
40	8.0	14.0
41	12.0	15.0
42	12.0	12.0
43	12.0	13.0
44	10.0	17.0
45	15.0	12.0
46	9.0	10.0
47	25.0	8.0
48	11.0	9.0
49	10.0	11.0
50	11.0	11.0
51	13.0	10.0
52	13.0	11.0
53	10.0	12.0
54	9.0	12.0
55	11.0	9.0
56	15.0	14.0
57	16.0	15.0
58	12.0	9.0
59	9.0	10.0
60	18.0	13.0
61	16.0	10.0
62	11.0	11.0
63	16.0	14.0
64	10.0	13.0
65	10.0	8.0
66	10.0	10.0
67	10.0	12.0
68	13.0	10.0
69	11.0	10.0
70	10.0	15.0
71	12.0	14.0
72	9.0	18.0
73	12.0	14.0
74	12.0	12.0
75	9.0	10.0
76	14.0	9.0
77	13.0	12.0
78	12.0	13.0
79	10.0	9.0
80	13.0	10.0
81	11.0	10.0
82	9.0	12.0
83	10.0	10.0
84	8.0	13.0
85	13.0	9.0
86	9.0	10.0
87	13.0	10.0
88	12.0	11.0
89	11.0	10.0
90	12.0	10.0
91	8.0	10.0
92	9.0	11.0
93	10.0	12.0
94	9.0	8.0
