Environment: CartPole-v0
Agent: DQN
Experiment: CartPole
Parameter: None
Time Taken: 120.3433141708374 seconds
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	12.0	16.0
2	27.0	11.0
3	46.0	18.0
4	24.0	88.0
5	13.0	30.0
6	23.0	35.0
7	19.0	32.0
8	17.0	19.0
9	35.0	14.0
10	16.0	11.0
11	21.0	14.0
12	23.0	11.0
13	14.0	11.0
14	10.0	12.0
15	12.0	24.0
16	31.0	48.0
17	15.0	21.0
18	12.0	19.0
19	20.0	19.0
20	11.0	15.0
21	9.0	10.0
22	12.0	20.0
23	16.0	28.0
24	9.0	14.0
25	16.0	11.0
26	12.0	13.0
27	12.0	14.0
28	22.0	19.0
29	10.0	12.0
30	15.0	34.0
31	13.0	11.0
32	18.0	13.0
33	16.0	8.0
34	12.0	11.0
35	22.0	10.0
36	16.0	9.0
37	14.0	15.0
38	8.0	30.0
39	10.0	9.0
40	14.0	11.0
41	12.0	16.0
42	10.0	11.0
43	10.0	11.0
44	9.0	21.0
45	18.0	10.0
46	12.0	15.0
47	10.0	20.0
48	13.0	15.0
49	12.0	16.0
50	13.0	11.0
51	10.0	12.0
52	14.0	15.0
53	11.0	11.0
54	14.0	11.0
55	9.0	15.0
56	10.0	12.0
57	11.0	8.0
58	12.0	8.0
59	13.0	14.0
60	8.0	12.0
61	15.0	9.0
62	10.0	12.0
63	9.0	10.0
64	14.0	11.0
65	10.0	13.0
66	9.0	13.0
67	11.0	15.0
68	14.0	9.0
69	11.0	10.0
70	10.0	12.0
71	16.0	12.0
72	13.0	11.0
73	12.0	15.0
74	11.0	11.0
75	11.0	11.0
76	11.0	16.0
77	12.0	10.0
78	12.0	12.0
79	11.0	9.0
80	11.0	11.0
81	9.0	10.0
82	11.0	11.0
83	10.0	13.0
84	10.0	10.0
85	8.0	10.0
86	10.0	15.0
87	13.0	10.0
88	9.0	11.0
89	10.0	11.0
90	9.0	12.0
91	9.0	10.0
92	10.0	10.0
93	17.0	11.0
94	11.0	8.0
95	10.0	10.0
96	11.0	9.0
97	12.0	10.0
98	9.0	9.0
99	9.0	10.0
100	10.0	8.0
101	10.0	10.0
102	12.0	10.0
103	12.0	15.0
104	10.0	10.0
105	12.0	10.0
106	8.0	10.0
107	12.0	11.0
108	12.0	10.0
109	9.0	10.0
110	11.0	11.0
111	9.0	10.0
112	10.0	10.0
113	16.0	9.0
114	9.0	10.0
115	12.0	9.0
116	10.0	10.0
117	11.0	10.0
118	10.0	10.0
119	11.0	10.0
120	14.0	14.0
121	11.0	10.0
122	11.0	10.0
123	9.0	11.0
124	14.0	10.0
125	20.0	11.0
126	12.0	9.0
127	10.0	10.0
128	8.0	11.0
129	10.0	10.0
130	9.0	11.0
131	9.0	11.0
