Environment: CartPole-v0
Agent: DQN
Experiment: standard CartPole experiment
Parameter: standard
Time Taken: 124.54068970680237 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	12.0	20.0
2	11.0	22.0
3	31.0	15.0
4	14.0	30.0
5	9.0	10.0
6	9.0	57.0
7	42.0	11.0
8	15.0	26.0
9	26.0	14.0
10	14.0	12.0
11	22.0	14.0
12	15.0	30.0
13	11.0	34.0
14	25.0	14.0
15	13.0	11.0
16	11.0	15.0
17	16.0	20.0
18	13.0	18.0
19	16.0	14.0
20	14.0	28.0
21	27.0	14.0
22	15.0	13.0
23	16.0	14.0
24	14.0	11.0
25	14.0	18.0
26	31.0	25.0
27	13.0	13.0
28	14.0	18.0
29	12.0	15.0
30	11.0	15.0
31	16.0	15.0
32	13.0	11.0
33	17.0	17.0
34	12.0	14.0
35	15.0	12.0
36	19.0	12.0
37	14.0	10.0
38	13.0	15.0
39	11.0	22.0
40	9.0	10.0
41	13.0	10.0
42	12.0	10.0
43	14.0	12.0
44	9.0	14.0
45	17.0	15.0
46	15.0	12.0
47	8.0	11.0
48	13.0	9.0
49	12.0	13.0
50	8.0	12.0
51	17.0	11.0
52	12.0	13.0
53	18.0	11.0
54	25.0	12.0
55	12.0	11.0
56	12.0	12.0
57	10.0	11.0
58	13.0	13.0
59	12.0	11.0
60	10.0	8.0
61	11.0	10.0
62	11.0	12.0
63	13.0	10.0
64	15.0	14.0
65	10.0	10.0
66	10.0	14.0
67	9.0	10.0
68	8.0	8.0
69	10.0	9.0
70	14.0	10.0
71	12.0	8.0
72	15.0	11.0
73	11.0	11.0
74	14.0	9.0
75	14.0	10.0
76	13.0	10.0
77	9.0	10.0
78	10.0	10.0
79	14.0	10.0
80	10.0	10.0
81	8.0	11.0
82	10.0	11.0
83	12.0	9.0
84	9.0	12.0
85	12.0	13.0
86	10.0	9.0
87	9.0	10.0
88	10.0	9.0
89	10.0	15.0
90	15.0	10.0
91	9.0	9.0
92	9.0	10.0
93	11.0	11.0
94	9.0	10.0
95	10.0	11.0
96	13.0	9.0
97	14.0	10.0
98	11.0	10.0
99	10.0	10.0
100	10.0	9.0
101	9.0	10.0
102	8.0	11.0
103	10.0	9.0
104	10.0	10.0
105	8.0	8.0
106	8.0	10.0
107	11.0	11.0
108	13.0	8.0
109	9.0	10.0
110	13.0	10.0
111	10.0	10.0
112	13.0	15.0
113	11.0	9.0
114	9.0	10.0
115	10.0	10.0
116	10.0	9.0
117	10.0	11.0
118	13.0	12.0
119	10.0	11.0
120	10.0	10.0
121	10.0	10.0
122	10.0	11.0
123	11.0	13.0
124	10.0	11.0
125	13.0	12.0
126	9.0	12.0
127	9.0	9.0
128	10.0	9.0
129	10.0	10.0
130	10.0	9.0
131	12.0	10.0
132	14.0	10.0
133	9.0	9.0
134	10.0	16.0
135	11.0	12.0
136	8.0	10.0
137	11.0	11.0
138	11.0	12.0
139	10.0	10.0
140	9.0	9.0
141	10.0	10.0
142	16.0	10.0
143	10.0	11.0
144	9.0	9.0
145	10.0	10.0
146	11.0	11.0
147	11.0	11.0
148	10.0	9.0
149	10.0	10.0
150	11.0	11.0
151	10.0	9.0
152	10.0	10.0
153	9.0	9.0
154	9.0	10.0
155	11.0	10.0
156	9.0	11.0
157	8.0	8.0
158	10.0	11.0
159	9.0	10.0
160	9.0	11.0
161	9.0	12.0
162	10.0	10.0
163	10.0	9.0
164	11.0	10.0
165	9.0	9.0
166	9.0	10.0
167	10.0	10.0
168	10.0	10.0
169	10.0	10.0
170	11.0	10.0
171	10.0	10.0
172	9.0	10.0
173	9.0	11.0
174	10.0	9.0
175	10.0	9.0
176	9.0	9.0
177	9.0	9.0
178	9.0	10.0
179	13.0	12.0
180	11.0	10.0
181	12.0	10.0
182	9.0	11.0
183	10.0	9.0
184	9.0	9.0
185	10.0	9.0
186	9.0	9.0
187	10.0	9.0
188	10.0	9.0
189	11.0	9.0
190	10.0	10.0
191	8.0	10.0
192	10.0	10.0
193	11.0	10.0
194	10.0	10.0
195	12.0	9.0
196	11.0	9.0
197	9.0	10.0
198	9.0	10.0
199	9.0	11.0
200	10.0	11.0
201	10.0	11.0
202	10.0	9.0
203	9.0	9.0
204	8.0	9.0
205	9.0	8.0
206	9.0	9.0
207	9.0	9.0
208	9.0	10.0
209	9.0	9.0
210	10.0	12.0
211	9.0	9.0
212	10.0	9.0
213	10.0	8.0
214	9.0	8.0
215	10.0	12.0
216	9.0	10.0
217	9.0	11.0
218	10.0	12.0
219	10.0	9.0
220	10.0	11.0
221	9.0	10.0
222	9.0	10.0
223	8.0	9.0
224	11.0	10.0
225	10.0	9.0
226	8.0	10.0
227	10.0	10.0
228	9.0	9.0
229	8.0	8.0
230	9.0	8.0
231	12.0	12.0
232	10.0	10.0
233	10.0	8.0
234	10.0	9.0
235	9.0	8.0
236	10.0	10.0
237	10.0	9.0
238	10.0	9.0
239	11.0	9.0
240	9.0	9.0
241	10.0	10.0
242	10.0	9.0
243	10.0	9.0
244	8.0	10.0
245	9.0	10.0
246	10.0	10.0
247	10.0	10.0
248	10.0	10.0
249	11.0	9.0
250	10.0	11.0
251	9.0	8.0
252	9.0	9.0
253	10.0	10.0
254	9.0	11.0
255	10.0	10.0
256	9.0	10.0
257	10.0	10.0
258	10.0	10.0
259	10.0	9.0
260	9.0	10.0
261	10.0	10.0
262	9.0	8.0
263	9.0	9.0
264	9.0	10.0
265	9.0	10.0
266	10.0	8.0
267	10.0	8.0
268	10.0	10.0
269	8.0	9.0
270	9.0	9.0
271	10.0	11.0
272	9.0	10.0
273	10.0	10.0
274	10.0	9.0
275	10.0	9.0
276	10.0	9.0
277	10.0	9.0
278	10.0	9.0
279	10.0	8.0
280	9.0	10.0
281	11.0	9.0
282	10.0	10.0
283	10.0	10.0
284	10.0	9.0
285	9.0	9.0
286	10.0	9.0
287	10.0	8.0
288	10.0	10.0
289	10.0	10.0
290	8.0	10.0
291	9.0	10.0
292	9.0	9.0
293	9.0	9.0
294	10.0	10.0
295	10.0	9.0
296	9.0	10.0
297	10.0	9.0
298	10.0	10.0
299	9.0	10.0
300	11.0	8.0
301	10.0	10.0
302	8.0	9.0
303	10.0	9.0
304	10.0	9.0
305	9.0	10.0
306	9.0	10.0
307	11.0	12.0
308	10.0	11.0
309	10.0	10.0
310	8.0	10.0
311	9.0	9.0
312	9.0	9.0
313	9.0	10.0
314	10.0	10.0
315	9.0	9.0
316	10.0	10.0
317	9.0	10.0
318	9.0	10.0
319	11.0	12.0
320	9.0	10.0
321	9.0	9.0
322	10.0	9.0
323	9.0	15.0
324	10.0	10.0
325	9.0	10.0
326	8.0	9.0
327	9.0	10.0
328	9.0	8.0
329	10.0	9.0
330	10.0	10.0
331	10.0	9.0
332	9.0	9.0
333	10.0	10.0
334	10.0	10.0
335	10.0	9.0
336	9.0	8.0
337	10.0	9.0
338	10.0	10.0
339	9.0	10.0
340	9.0	8.0
341	9.0	10.0
342	9.0	10.0
343	9.0	8.0
344	9.0	9.0
345	9.0	10.0
346	10.0	9.0
347	9.0	9.0
348	9.0	9.0
349	10.0	10.0
350	10.0	8.0
351	10.0	11.0
352	9.0	10.0
353	11.0	9.0
354	10.0	9.0
355	8.0	9.0
356	9.0	11.0
357	10.0	10.0
358	9.0	9.0
359	8.0	9.0
360	9.0	9.0
361	9.0	9.0
362	9.0	10.0
363	10.0	12.0
364	9.0	10.0
365	9.0	10.0
366	9.0	8.0
367	10.0	10.0
368	9.0	10.0
369	11.0	10.0
370	10.0	10.0
371	9.0	9.0
372	9.0	9.0
373	10.0	10.0
374	10.0	10.0
375	9.0	10.0
376	9.0	8.0
377	10.0	9.0
378	9.0	10.0
379	10.0	9.0
380	10.0	10.0
381	8.0	8.0
382	11.0	9.0
383	10.0	9.0
384	9.0	9.0
385	10.0	10.0
386	10.0	9.0
387	10.0	10.0
388	10.0	9.0
