Environment: CartPole-v0
Agent: DQN
Experiment: standard CartPole experiment
Parameter: standard
Time Taken: 28.727166175842285 seconds
Episodes: 1152 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	11.0	20.0
2	19.0	9.0
3	14.0	10.0
4	27.0	13.0
5	11.0	11.0
6	14.0	24.0
7	18.0	20.0
8	11.0	11.0
9	17.0	13.0
10	15.0	16.0
11	21.0	24.0
12	16.0	30.0
13	13.0	11.0
14	36.0	21.0
15	15.0	9.0
16	12.0	15.0
17	16.0	14.0
18	27.0	10.0
19	12.0	10.0
20	11.0	14.0
21	19.0	14.0
22	23.0	11.0
23	12.0	12.0
24	27.0	15.0
25	11.0	13.0
26	20.0	16.0
27	16.0	10.0
28	13.0	12.0
29	14.0	12.0
30	23.0	15.0
31	11.0	20.0
32	10.0	12.0
33	10.0	13.0
34	14.0	13.0
35	13.0	11.0
36	14.0	20.0
37	13.0	10.0
38	14.0	10.0
39	13.0	9.0
40	11.0	17.0
41	17.0	11.0
42	11.0	10.0
43	12.0	10.0
44	16.0	11.0
45	9.0	11.0
46	14.0	11.0
47	12.0	11.0
48	18.0	12.0
49	12.0	14.0
50	14.0	11.0
51	10.0	10.0
52	10.0	13.0
53	12.0	9.0
54	11.0	14.0
55	12.0	13.0
56	13.0	11.0
57	9.0	10.0
58	9.0	10.0
59	13.0	14.0
60	9.0	10.0
61	10.0	9.0
62	10.0	11.0
63	11.0	11.0
64	12.0	13.0
65	10.0	11.0
66	20.0	12.0
67	12.0	15.0
68	16.0	9.0
69	9.0	12.0
70	14.0	10.0
71	10.0	10.0
72	11.0	13.0
73	12.0	10.0
74	12.0	9.0
75	9.0	15.0
76	12.0	12.0
77	12.0	10.0
78	9.0	19.0
79	11.0	12.0
80	10.0	10.0
81	11.0	9.0
82	8.0	12.0
83	10.0	12.0
84	9.0	15.0
85	10.0	12.0
86	10.0	9.0
87	13.0	10.0
88	13.0	10.0
89	11.0	10.0
90	12.0	9.0
91	10.0	9.0
92	10.0	14.0
93	10.0	10.0
94	9.0	11.0
95	11.0	8.0
96	11.0	10.0
97	10.0	10.0
98	11.0	9.0
99	9.0	8.0
100	14.0	9.0
101	9.0	9.0
102	9.0	9.0
103	10.0	9.0
104	10.0	11.0
105	11.0	10.0
106	13.0	10.0
107	11.0	9.0
108	10.0	12.0
109	9.0	13.0
110	9.0	12.0
111	10.0	11.0
112	8.0	12.0
113	10.0	12.0
114	10.0	10.0
115	9.0	9.0
116	11.0	10.0
117	10.0	10.0
118	11.0	9.0
119	10.0	10.0
120	10.0	9.0
121	8.0	11.0
122	10.0	11.0
123	9.0	11.0
124	11.0	10.0
125	9.0	10.0
126	9.0	10.0
127	9.0	10.0
128	10.0	10.0
129	10.0	10.0
130	8.0	9.0
131	8.0	10.0
132	13.0	9.0
133	9.0	10.0
134	10.0	8.0
135	10.0	9.0
136	11.0	10.0
137	10.0	10.0
138	8.0	11.0
139	10.0	11.0
140	10.0	9.0
141	9.0	10.0
142	12.0	9.0
143	10.0	10.0
144	8.0	10.0
145	10.0	10.0
146	11.0	12.0
147	10.0	12.0
148	11.0	11.0
149	10.0	12.0
150	9.0	8.0
151	9.0	9.0
152	9.0	10.0
153	9.0	10.0
154	9.0	9.0
155	9.0	9.0
156	8.0	10.0
157	10.0	10.0
158	10.0	8.0
159	9.0	12.0
160	12.0	9.0
161	11.0	10.0
162	10.0	9.0
163	8.0	10.0
164	9.0	9.0
165	9.0	8.0
166	11.0	9.0
167	10.0	10.0
168	11.0	9.0
169	9.0	10.0
170	11.0	8.0
171	9.0	10.0
172	9.0	9.0
173	10.0	10.0
174	9.0	10.0
175	10.0	9.0
176	8.0	10.0
177	10.0	8.0
178	11.0	10.0
179	9.0	9.0
180	9.0	9.0
181	9.0	9.0
182	9.0	9.0
183	9.0	11.0
184	9.0	10.0
185	11.0	9.0
186	10.0	9.0
187	8.0	9.0
188	9.0	9.0
189	11.0	10.0
190	10.0	9.0
191	9.0	10.0
192	10.0	8.0
193	9.0	13.0
194	8.0	9.0
195	9.0	10.0
196	9.0	10.0
197	13.0	9.0
198	9.0	10.0
199	10.0	10.0
200	10.0	10.0
201	10.0	12.0
202	14.0	13.0
203	10.0	10.0
204	11.0	9.0
205	8.0	9.0
206	9.0	9.0
207	10.0	8.0
208	9.0	10.0
209	10.0	10.0
210	10.0	9.0
211	10.0	9.0
212	8.0	9.0
213	8.0	10.0
214	8.0	12.0
215	10.0	9.0
216	9.0	10.0
217	10.0	10.0
218	10.0	9.0
219	11.0	10.0
220	12.0	10.0
221	11.0	10.0
222	9.0	8.0
223	12.0	9.0
224	10.0	9.0
225	10.0	10.0
226	11.0	8.0
227	10.0	10.0
228	10.0	10.0
229	10.0	9.0
230	10.0	10.0
231	10.0	9.0
232	9.0	10.0
233	11.0	11.0
234	9.0	12.0
235	8.0	8.0
236	10.0	9.0
237	10.0	10.0
238	10.0	10.0
239	10.0	10.0
240	8.0	10.0
241	10.0	9.0
242	10.0	9.0
243	9.0	9.0
244	9.0	8.0
245	10.0	10.0
246	10.0	11.0
247	11.0	10.0
248	10.0	9.0
249	9.0	8.0
250	11.0	10.0
251	9.0	8.0
252	9.0	8.0
253	9.0	10.0
254	11.0	10.0
255	10.0	9.0
256	9.0	9.0
257	9.0	10.0
258	10.0	10.0
259	10.0	10.0
260	9.0	9.0
261	10.0	9.0
262	9.0	9.0
263	8.0	10.0
264	10.0	9.0
265	10.0	9.0
266	8.0	9.0
267	11.0	10.0
268	9.0	10.0
269	9.0	10.0
270	9.0	10.0
271	10.0	8.0
272	8.0	9.0
273	8.0	10.0
274	10.0	9.0
275	10.0	10.0
276	9.0	10.0
277	9.0	12.0
278	9.0	8.0
279	10.0	9.0
280	10.0	10.0
281	9.0	9.0
282	10.0	10.0
283	11.0	10.0
284	10.0	10.0
285	9.0	9.0
286	11.0	10.0
287	10.0	8.0
288	10.0	8.0
289	10.0	10.0
290	9.0	9.0
291	11.0	10.0
292	9.0	9.0
293	10.0	9.0
294	8.0	9.0
295	9.0	9.0
296	10.0	9.0
297	9.0	10.0
298	10.0	10.0
299	9.0	8.0
300	10.0	10.0
301	10.0	9.0
302	10.0	10.0
303	9.0	8.0
304	9.0	9.0
305	10.0	10.0
306	12.0	10.0
307	10.0	10.0
308	10.0	9.0
309	10.0	10.0
310	10.0	10.0
311	9.0	10.0
312	10.0	11.0
313	11.0	8.0
314	10.0	9.0
315	8.0	10.0
316	11.0	8.0
317	10.0	11.0
318	11.0	9.0
319	9.0	9.0
320	8.0	8.0
321	11.0	8.0
322	9.0	10.0
323	8.0	10.0
324	9.0	10.0
325	8.0	10.0
326	9.0	10.0
327	10.0	9.0
328	10.0	10.0
329	10.0	10.0
330	9.0	10.0
331	8.0	8.0
332	9.0	10.0
333	10.0	9.0
334	10.0	10.0
335	9.0	10.0
336	10.0	9.0
337	11.0	8.0
338	10.0	8.0
339	9.0	11.0
340	9.0	10.0
341	8.0	10.0
342	11.0	8.0
343	9.0	8.0
344	9.0	8.0
345	12.0	10.0
346	9.0	8.0
347	10.0	10.0
348	8.0	9.0
349	9.0	10.0
350	11.0	10.0
351	10.0	9.0
352	9.0	10.0
353	10.0	10.0
354	10.0	10.0
355	10.0	10.0
356	8.0	9.0
357	9.0	9.0
358	10.0	11.0
359	12.0	11.0
360	9.0	10.0
361	10.0	10.0
362	10.0	9.0
363	9.0	10.0
