Environment: CartPole-v0
Agent: PPO
Experiment: CartPole
Parameter: None
Time Taken: 22.11149311065674 seconds
Solved in 233 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	20.0	40.0
2	35.0	133.0
3	22.0	100.0
4	15.0	42.0
5	32.0	111.0
6	35.0	27.0
7	18.0	77.0
8	21.0	49.0
9	21.0	64.0
10	56.0	39.0
11	48.0	55.0
12	28.0	27.0
13	25.0	19.0
14	9.0	26.0
15	33.0	24.0
16	19.0	21.0
17	19.0	29.0
18	28.0	29.0
19	36.0	25.0
20	31.0	53.0
21	29.0	68.0
22	27.0	41.0
23	48.0	69.0
24	21.0	58.0
25	36.0	69.0
26	88.0	80.0
27	76.0	74.0
28	76.0	58.0
29	129.0	66.0
30	75.0	103.0
31	53.0	83.0
32	78.0	115.0
33	37.0	67.0
34	81.0	58.0
35	71.0	60.0
36	94.0	159.0
37	85.0	139.0
38	84.0	200.0
39	200.0	200.0
40	188.0	200.0
41	134.0	200.0
42	184.0	200.0
43	120.0	155.0
44	49.0	191.0
45	155.0	177.0
46	162.0	193.0
47	200.0	200.0
48	200.0	200.0
49	179.0	200.0
50	138.0	200.0
51	200.0	200.0
52	200.0	200.0
53	200.0	182.0
54	200.0	185.0
55	200.0	190.0
56	157.0	162.0
57	200.0	164.0
58	136.0	200.0
59	200.0	200.0
60	200.0	200.0
61	200.0	200.0
62	200.0	200.0
63	200.0	200.0
64	200.0	200.0
65	180.0	200.0
66	113.0	200.0
67	200.0	200.0
68	200.0	200.0
69	194.0	200.0
70	189.0	200.0
71	196.0	200.0
72	200.0	200.0
73	117.0	200.0
74	184.0	200.0
75	200.0	200.0
76	200.0	200.0
77	200.0	200.0
78	200.0	200.0
79	200.0	200.0
80	200.0	200.0
81	200.0	200.0
82	200.0	200.0
83	200.0	200.0
84	200.0	200.0
85	188.0	200.0
86	200.0	200.0
87	200.0	200.0
88	200.0	200.0
89	196.0	200.0
90	200.0	200.0
91	200.0	200.0
92	200.0	200.0
93	200.0	200.0
94	200.0	200.0
95	200.0	200.0
96	200.0	200.0
97	200.0	200.0
98	200.0	200.0
99	200.0	200.0
100	200.0	200.0
101	200.0	200.0
102	200.0	200.0
103	200.0	200.0
104	200.0	200.0
105	200.0	200.0
106	200.0	200.0
107	200.0	200.0
108	200.0	200.0
109	200.0	200.0
110	200.0	200.0
111	200.0	200.0
112	200.0	200.0
113	200.0	200.0
114	200.0	200.0
115	200.0	200.0
116	200.0	200.0
117	200.0	200.0
118	130.0	200.0
119	200.0	200.0
120	200.0	200.0
121	200.0	200.0
122	200.0	200.0
123	200.0	200.0
124	200.0	200.0
125	200.0	200.0
126	200.0	200.0
127	161.0	200.0
128	200.0	200.0
129	200.0	200.0
130	200.0	200.0
131	200.0	200.0
132	200.0	200.0
133	200.0	200.0
134	200.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	165.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	183.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
160	200.0	200.0
161	200.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	200.0	200.0
170	200.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	200.0	200.0
185	200.0	200.0
186	200.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	200.0	200.0
193	200.0	200.0
194	200.0	200.0
195	200.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
199	200.0	200.0
200	200.0	200.0
201	200.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
