Environment: CartPole-v0
Agent: PPO
Experiment: standard CartPole experiment
Parameter: standard
Time Taken: 18.286007404327393 seconds
Episodes: 159 episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	16.0	102.0
2	14.0	181.0
3	36.0	144.0
4	39.0	64.0
5	32.0	60.0
6	41.0	200.0
7	22.0	99.0
8	73.0	118.0
9	142.0	107.0
10	28.0	92.0
11	87.0	162.0
12	61.0	200.0
13	200.0	200.0
14	122.0	199.0
15	94.0	200.0
16	187.0	200.0
17	200.0	200.0
18	161.0	200.0
19	200.0	200.0
20	200.0	200.0
21	200.0	200.0
22	200.0	200.0
23	155.0	200.0
24	200.0	200.0
25	200.0	200.0
26	172.0	200.0
27	130.0	200.0
28	140.0	200.0
29	75.0	200.0
30	200.0	200.0
31	200.0	200.0
32	200.0	200.0
33	200.0	200.0
34	200.0	200.0
35	162.0	200.0
36	200.0	200.0
37	188.0	200.0
38	139.0	178.0
39	200.0	188.0
40	170.0	147.0
41	82.0	145.0
42	98.0	178.0
43	184.0	200.0
44	190.0	200.0
45	192.0	200.0
46	200.0	200.0
47	200.0	200.0
48	200.0	200.0
49	200.0	200.0
50	200.0	200.0
51	187.0	200.0
52	141.0	200.0
53	197.0	200.0
54	191.0	200.0
55	200.0	200.0
56	182.0	200.0
57	162.0	200.0
58	197.0	200.0
59	200.0	200.0
60	200.0	200.0
61	200.0	200.0
62	200.0	200.0
63	198.0	200.0
64	200.0	200.0
65	200.0	200.0
66	200.0	200.0
67	200.0	200.0
68	200.0	200.0
69	200.0	200.0
70	200.0	200.0
71	162.0	200.0
72	155.0	200.0
73	163.0	200.0
74	200.0	200.0
75	188.0	200.0
76	200.0	200.0
77	200.0	200.0
78	182.0	200.0
79	200.0	200.0
80	200.0	200.0
81	200.0	200.0
82	200.0	200.0
83	200.0	200.0
84	200.0	200.0
85	145.0	200.0
86	200.0	200.0
87	200.0	200.0
88	176.0	200.0
89	200.0	200.0
90	200.0	200.0
91	200.0	200.0
92	200.0	200.0
93	188.0	200.0
94	200.0	200.0
95	200.0	200.0
96	200.0	200.0
97	200.0	200.0
98	200.0	200.0
99	200.0	200.0
100	200.0	200.0
101	200.0	200.0
102	200.0	200.0
103	200.0	200.0
104	200.0	200.0
105	200.0	200.0
106	200.0	200.0
107	200.0	200.0
108	200.0	200.0
109	200.0	200.0
110	200.0	200.0
111	200.0	200.0
112	200.0	200.0
113	200.0	200.0
114	200.0	200.0
115	200.0	200.0
116	200.0	200.0
117	200.0	200.0
118	200.0	200.0
119	200.0	200.0
120	200.0	200.0
121	200.0	200.0
122	200.0	200.0
123	200.0	200.0
124	200.0	200.0
125	200.0	200.0
126	200.0	200.0
127	200.0	200.0
128	200.0	200.0
129	200.0	200.0
130	200.0	200.0
131	200.0	200.0
132	200.0	200.0
133	200.0	200.0
134	200.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	200.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
