Environment: CartPole-v0
Agent: DQN
Solved in 1078 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	11.0	20.0
2	21.0	9.0
3	21.0	30.0
4	12.0	21.0
5	14.0	15.0
6	12.0	20.0
7	31.0	12.0
8	12.0	12.0
9	25.0	9.0
10	46.0	11.0
11	34.0	13.0
12	19.0	10.0
13	13.0	11.0
14	14.0	18.0
15	9.0	12.0
16	14.0	20.0
17	15.0	16.0
18	10.0	9.0
19	13.0	10.0
20	23.0	10.0
21	11.0	13.0
22	15.0	9.0
23	10.0	17.0
24	22.0	10.0
25	11.0	18.0
26	13.0	11.0
27	15.0	19.0
28	12.0	11.0
29	8.0	10.0
30	11.0	11.0
31	14.0	17.0
32	15.0	10.0
33	11.0	13.0
34	16.0	15.0
35	16.0	12.0
36	19.0	13.0
37	10.0	10.0
38	10.0	13.0
39	10.0	12.0
40	11.0	11.0
41	11.0	16.0
42	10.0	20.0
43	19.0	13.0
44	11.0	15.0
45	15.0	9.0
46	13.0	14.0
47	9.0	10.0
48	12.0	13.0
49	13.0	11.0
50	11.0	13.0
51	14.0	10.0
52	14.0	13.0
53	14.0	15.0
54	10.0	11.0
55	11.0	16.0
56	15.0	12.0
57	10.0	12.0
58	10.0	16.0
59	10.0	10.0
60	12.0	12.0
61	11.0	11.0
62	16.0	12.0
63	11.0	13.0
64	11.0	13.0
65	12.0	10.0
66	12.0	10.0
67	12.0	13.0
68	10.0	12.0
69	10.0	9.0
70	10.0	10.0
71	10.0	11.0
72	12.0	10.0
73	10.0	9.0
74	9.0	9.0
75	10.0	12.0
76	10.0	9.0
77	11.0	10.0
78	9.0	12.0
79	9.0	9.0
80	16.0	12.0
81	11.0	9.0
82	10.0	10.0
83	11.0	11.0
84	10.0	11.0
85	11.0	12.0
86	8.0	16.0
87	11.0	10.0
88	8.0	10.0
89	12.0	9.0
90	11.0	8.0
91	9.0	17.0
92	11.0	10.0
93	8.0	10.0
94	9.0	9.0
95	10.0	13.0
96	17.0	8.0
97	10.0	9.0
98	11.0	11.0
99	9.0	10.0
100	11.0	12.0
101	14.0	13.0
102	9.0	11.0
103	9.0	10.0
104	9.0	11.0
105	9.0	9.0
106	9.0	10.0
107	9.0	11.0
108	12.0	11.0
109	11.0	10.0
110	12.0	11.0
111	13.0	10.0
112	11.0	9.0
113	11.0	10.0
114	9.0	10.0
115	11.0	10.0
116	14.0	8.0
117	12.0	8.0
118	12.0	10.0
119	10.0	10.0
120	12.0	12.0
121	10.0	10.0
122	9.0	9.0
123	11.0	10.0
124	9.0	9.0
125	10.0	8.0
126	10.0	9.0
127	12.0	11.0
128	10.0	9.0
129	12.0	9.0
130	9.0	9.0
131	10.0	9.0
132	12.0	10.0
133	11.0	10.0
134	9.0	10.0
135	8.0	13.0
136	9.0	11.0
137	11.0	13.0
138	11.0	12.0
139	9.0	10.0
140	8.0	9.0
141	9.0	11.0
142	12.0	12.0
143	10.0	9.0
144	9.0	9.0
145	13.0	8.0
146	8.0	10.0
147	10.0	10.0
148	10.0	9.0
149	10.0	11.0
150	10.0	12.0
151	10.0	8.0
152	9.0	10.0
153	8.0	9.0
154	10.0	10.0
155	8.0	10.0
156	8.0	10.0
157	9.0	9.0
158	9.0	10.0
159	10.0	10.0
160	12.0	9.0
161	9.0	14.0
162	10.0	9.0
163	11.0	9.0
164	9.0	9.0
165	10.0	9.0
166	10.0	9.0
167	9.0	10.0
168	11.0	8.0
169	10.0	9.0
170	10.0	10.0
171	11.0	10.0
172	11.0	9.0
173	10.0	9.0
174	11.0	11.0
175	9.0	12.0
176	9.0	11.0
177	10.0	9.0
178	10.0	10.0
179	11.0	10.0
180	10.0	10.0
181	10.0	9.0
182	9.0	9.0
183	9.0	10.0
184	10.0	10.0
185	11.0	11.0
186	10.0	8.0
187	11.0	10.0
188	12.0	10.0
189	8.0	9.0
190	10.0	10.0
191	9.0	10.0
