Environment: CartPole-v0
Agent: A2C_DQN
Solved in 1222 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	18.0	9.0
2	30.0	8.0
3	16.0	11.0
4	12.0	9.0
5	35.0	10.0
6	34.0	10.0
7	12.0	10.0
8	33.0	10.0
9	21.0	9.0
10	27.0	23.0
11	20.0	63.0
12	21.0	84.0
13	22.0	44.0
14	27.0	42.0
15	39.0	138.0
16	39.0	76.0
17	31.0	152.0
18	17.0	70.0
19	18.0	136.0
20	45.0	152.0
21	87.0	135.0
22	17.0	128.0
23	21.0	82.0
24	19.0	131.0
25	63.0	55.0
26	17.0	93.0
27	32.0	185.0
28	70.0	145.0
29	90.0	156.0
30	26.0	200.0
31	31.0	127.0
32	32.0	147.0
33	63.0	75.0
34	56.0	144.0
35	49.0	132.0
36	57.0	99.0
37	28.0	74.0
38	70.0	86.0
39	73.0	200.0
40	30.0	113.0
41	63.0	100.0
42	73.0	128.0
43	53.0	101.0
44	30.0	140.0
45	48.0	87.0
46	30.0	64.0
47	57.0	70.0
48	71.0	92.0
49	43.0	69.0
50	50.0	159.0
51	20.0	137.0
52	44.0	137.0
53	58.0	136.0
54	72.0	136.0
55	103.0	153.0
56	101.0	138.0
57	36.0	162.0
58	109.0	200.0
59	65.0	176.0
60	64.0	200.0
61	96.0	163.0
62	81.0	200.0
63	186.0	140.0
64	29.0	145.0
65	34.0	143.0
66	111.0	150.0
67	74.0	144.0
68	159.0	164.0
69	30.0	200.0
70	55.0	136.0
71	57.0	110.0
72	72.0	149.0
73	86.0	200.0
74	71.0	132.0
75	70.0	200.0
76	73.0	200.0
77	75.0	200.0
78	41.0	200.0
79	93.0	200.0
80	40.0	200.0
81	31.0	113.0
82	33.0	200.0
83	72.0	200.0
84	73.0	200.0
85	103.0	98.0
86	88.0	200.0
87	46.0	200.0
88	118.0	200.0
89	90.0	200.0
90	63.0	200.0
91	56.0	200.0
92	143.0	109.0
93	200.0	200.0
94	61.0	200.0
95	91.0	200.0
96	91.0	124.0
97	153.0	200.0
98	200.0	200.0
99	63.0	200.0
100	132.0	200.0
101	137.0	200.0
102	200.0	200.0
103	127.0	200.0
104	151.0	200.0
105	200.0	200.0
106	200.0	200.0
107	98.0	200.0
108	135.0	200.0
109	80.0	200.0
110	118.0	200.0
111	200.0	200.0
112	200.0	200.0
113	200.0	200.0
114	179.0	200.0
115	121.0	200.0
116	141.0	200.0
117	200.0	200.0
118	200.0	200.0
119	116.0	200.0
120	200.0	200.0
121	200.0	200.0
122	200.0	200.0
123	200.0	200.0
124	173.0	200.0
125	200.0	200.0
126	200.0	200.0
127	200.0	200.0
128	188.0	200.0
129	200.0	200.0
130	200.0	200.0
131	144.0	200.0
132	200.0	200.0
133	200.0	200.0
134	140.0	200.0
135	191.0	200.0
136	195.0	200.0
137	200.0	200.0
138	66.0	200.0
139	197.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	194.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	200.0	200.0
160	200.0	200.0
161	200.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	200.0	200.0
170	171.0	200.0
171	200.0	200.0
172	200.0	200.0
173	200.0	200.0
174	200.0	200.0
175	200.0	200.0
176	200.0	200.0
177	200.0	200.0
178	200.0	200.0
179	200.0	200.0
180	200.0	200.0
181	200.0	200.0
182	200.0	200.0
183	200.0	200.0
184	200.0	200.0
185	200.0	200.0
186	200.0	200.0
187	200.0	200.0
188	200.0	200.0
189	200.0	200.0
190	200.0	200.0
191	200.0	200.0
192	200.0	200.0
193	200.0	200.0
194	200.0	200.0
195	124.0	200.0
196	200.0	200.0
197	200.0	200.0
198	200.0	200.0
199	200.0	200.0
200	200.0	200.0
201	89.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	168.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	107.0	200.0
223	200.0	200.0
224	200.0	200.0
225	200.0	168.0
226	200.0	137.0
227	148.0	146.0
228	123.0	124.0
229	140.0	134.0
230	123.0	132.0
231	118.0	122.0
232	109.0	121.0
233	107.0	119.0
234	110.0	114.0
235	120.0	125.0
236	98.0	128.0
237	105.0	122.0
238	127.0	120.0
239	102.0	123.0
240	103.0	123.0
241	37.0	137.0
242	126.0	124.0
243	129.0	137.0
244	126.0	136.0
245	135.0	133.0
246	132.0	145.0
247	132.0	149.0
248	151.0	142.0
249	135.0	144.0
250	136.0	142.0
251	152.0	150.0
252	155.0	149.0
253	140.0	161.0
254	158.0	172.0
255	156.0	170.0
256	143.0	178.0
257	156.0	160.0
258	163.0	162.0
259	169.0	168.0
260	154.0	174.0
261	173.0	167.0
262	181.0	172.0
263	156.0	165.0
264	146.0	185.0
265	153.0	168.0
266	154.0	182.0
267	166.0	192.0
268	194.0	185.0
269	156.0	193.0
270	151.0	171.0
271	171.0	176.0
272	170.0	174.0
273	151.0	169.0
274	148.0	162.0
275	160.0	155.0
276	155.0	141.0
277	147.0	147.0
278	126.0	140.0
279	119.0	129.0
280	133.0	132.0
281	127.0	123.0
282	112.0	132.0
283	129.0	121.0
284	118.0	116.0
285	121.0	113.0
286	106.0	115.0
287	119.0	116.0
288	112.0	114.0
