Environment: CartPole-v0
Agent: A2C
Solved in 238 Episodes
Reward threshold: 195
Episode	Train Reward	Test Reward
1	11.0	10.0
2	17.0	9.0
3	23.0	10.0
4	31.0	9.0
5	31.0	10.0
6	14.0	10.0
7	96.0	10.0
8	90.0	37.0
9	15.0	83.0
10	21.0	69.0
11	40.0	65.0
12	14.0	77.0
13	19.0	109.0
14	59.0	188.0
15	28.0	97.0
16	46.0	58.0
17	22.0	165.0
18	23.0	74.0
19	14.0	60.0
20	31.0	64.0
21	21.0	53.0
22	41.0	74.0
23	39.0	53.0
24	29.0	82.0
25	14.0	128.0
26	30.0	50.0
27	32.0	45.0
28	86.0	61.0
29	19.0	96.0
30	54.0	87.0
31	54.0	73.0
32	61.0	200.0
33	70.0	152.0
34	38.0	96.0
35	52.0	83.0
36	131.0	186.0
37	100.0	162.0
38	49.0	131.0
39	71.0	101.0
40	37.0	124.0
41	29.0	176.0
42	108.0	154.0
43	50.0	155.0
44	97.0	148.0
45	102.0	180.0
46	179.0	200.0
47	92.0	200.0
48	62.0	165.0
49	128.0	200.0
50	92.0	143.0
51	38.0	200.0
52	144.0	165.0
53	42.0	200.0
54	81.0	200.0
55	164.0	200.0
56	56.0	200.0
57	89.0	200.0
58	82.0	200.0
59	96.0	200.0
60	167.0	200.0
61	116.0	200.0
62	17.0	186.0
63	105.0	200.0
64	200.0	200.0
65	200.0	200.0
66	200.0	175.0
67	91.0	200.0
68	128.0	200.0
69	90.0	200.0
70	109.0	200.0
71	173.0	200.0
72	83.0	200.0
73	200.0	200.0
74	37.0	200.0
75	87.0	200.0
76	63.0	200.0
77	126.0	200.0
78	76.0	200.0
79	169.0	200.0
80	82.0	200.0
81	55.0	200.0
82	117.0	200.0
83	183.0	200.0
84	100.0	200.0
85	150.0	200.0
86	82.0	200.0
87	98.0	200.0
88	173.0	200.0
89	89.0	200.0
90	164.0	200.0
91	200.0	200.0
92	92.0	200.0
93	200.0	200.0
94	142.0	200.0
95	66.0	200.0
96	200.0	200.0
97	109.0	200.0
98	127.0	200.0
99	116.0	200.0
100	159.0	200.0
101	200.0	200.0
102	200.0	200.0
103	128.0	200.0
104	200.0	200.0
105	178.0	200.0
106	200.0	200.0
107	187.0	200.0
108	199.0	200.0
109	200.0	200.0
110	200.0	200.0
111	191.0	200.0
112	200.0	200.0
113	200.0	200.0
114	200.0	200.0
115	200.0	200.0
116	200.0	200.0
117	200.0	200.0
118	200.0	200.0
119	125.0	200.0
120	200.0	200.0
121	200.0	200.0
122	72.0	200.0
123	200.0	200.0
124	200.0	200.0
125	199.0	200.0
126	200.0	200.0
127	200.0	200.0
128	185.0	200.0
129	200.0	200.0
130	99.0	200.0
131	167.0	200.0
132	200.0	200.0
133	200.0	200.0
134	190.0	200.0
135	200.0	200.0
136	200.0	200.0
137	200.0	200.0
138	102.0	200.0
139	200.0	200.0
140	200.0	200.0
141	200.0	200.0
142	200.0	200.0
143	200.0	200.0
144	200.0	200.0
145	200.0	200.0
146	200.0	200.0
147	200.0	200.0
148	200.0	200.0
149	200.0	200.0
150	200.0	200.0
151	200.0	200.0
152	200.0	200.0
153	200.0	200.0
154	200.0	200.0
155	200.0	200.0
156	200.0	200.0
157	200.0	200.0
158	200.0	200.0
159	119.0	200.0
160	200.0	200.0
161	200.0	200.0
162	200.0	200.0
163	200.0	200.0
164	200.0	200.0
165	200.0	200.0
166	200.0	200.0
167	200.0	200.0
168	200.0	200.0
169	200.0	200.0
170	200.0	200.0
171	199.0	200.0
172	199.0	200.0
173	200.0	200.0
174	159.0	200.0
175	200.0	179.0
176	199.0	200.0
177	144.0	174.0
178	168.0	200.0
179	144.0	160.0
180	172.0	164.0
181	158.0	173.0
182	161.0	153.0
183	184.0	157.0
184	134.0	200.0
185	200.0	197.0
186	176.0	200.0
187	200.0	193.0
188	175.0	200.0
189	187.0	200.0
190	171.0	200.0
191	196.0	200.0
192	164.0	200.0
193	176.0	200.0
194	200.0	200.0
195	169.0	200.0
196	200.0	200.0
197	200.0	200.0
198	193.0	200.0
199	200.0	200.0
200	178.0	200.0
201	200.0	200.0
202	200.0	200.0
203	200.0	200.0
204	200.0	200.0
205	200.0	200.0
206	200.0	200.0
207	200.0	200.0
208	200.0	200.0
209	200.0	200.0
210	200.0	200.0
211	200.0	200.0
212	200.0	200.0
213	200.0	200.0
214	200.0	200.0
215	200.0	200.0
216	200.0	200.0
217	200.0	200.0
218	200.0	200.0
219	200.0	200.0
220	200.0	200.0
221	200.0	200.0
222	200.0	200.0
223	200.0	200.0
224	200.0	200.0
225	194.0	200.0
226	200.0	200.0
227	200.0	200.0
228	200.0	200.0
229	200.0	200.0
230	200.0	200.0
231	200.0	200.0
232	200.0	200.0
233	200.0	200.0
234	200.0	200.0
235	200.0	200.0
236	200.0	200.0
237	200.0	200.0
238	200.0	200.0
