Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-201.24432895638523,-130.77762799779626,-201.24432895638523,-130.77762799779626,744.6024091243744
2,-209.4873553167268,-812.5200149716419,-205.365842136556,-471.64882148471906,744.6024091243744
3,-149.4052512188534,-424.86480712283804,-186.71231183065515,-456.05415003075876,744.6024091243744
4,-217.78694641060596,-593.175288411189,-194.48097047564286,-490.33443462586627,744.6024091243744
5,-119.12513348411412,-3654.3881777372385,-179.40980307733713,-1123.1451832481407,744.6024091243744
6,-213.15433669221792,-449.86889932224256,-185.03389201315056,-1010.932469260491,744.6024091243744
7,-94.07688771181957,-905.1909531910289,-172.04003425581757,-995.8265383934249,744.6024091243744
8,-380.16525956382657,-671.5220074353665,-198.0556874193187,-955.2884720236677,744.6024091243744
9,-266.72105561413656,-503.8101151804563,-205.68517277429845,-905.1242101521998,744.6024091243744
10,-145.9167361526218,-1419.3106418117375,-199.7083291121308,-956.5428533181536,744.6024091243744
11,-241.90952366968452,-163.14912335625775,-203.54480134463566,-884.4161505943448,744.6024091243744
12,-69.67359673812231,-10.300061612101402,-192.3888676274262,-811.5731431791578,744.6024091243744
13,-148.43743679283136,-148.96239906253592,-189.0079883324574,-760.6030859394176,744.6024091243744
14,-117.14016524522118,-111.25071328397081,-183.87457239765482,-714.2207736068857,744.6024091243744
15,-121.19813561832335,-271.40514278553695,-179.6961432790327,-684.6997315521292,744.6024091243744
16,-267.63957425009676,-293.18365773361296,-185.19260771472423,-660.229976938472,744.6024091243744
17,-441.5478902508497,-179.74647513432564,-200.27233021684927,-631.966241538228,744.6024091243744
18,-102.7374444728528,-159.21396198273717,-194.85372545329392,-605.7022260073675,744.6024091243744
19,-281.1692103819287,-261.58922653969194,-199.39664571269574,-587.5910155090687,744.6024091243744
20,-206.88656401676766,-515.8013639834185,-199.77114162789934,-584.0015329327863,744.6024091243744
21,-240.26475770814025,-393.42502334060555,-201.6994090602918,-574.9264610474444,744.6024091243744
22,-335.3945428573189,-195.262072661222,-207.7764605965203,-557.6689888480706,744.6024091243744
23,-99.91615910092781,-660.9151092524523,-203.08688227062498,-562.1579506047829,744.6024091243744
24,-141.87652845737736,-639.9800664890645,-200.5364508617396,-565.4005387666278,744.6024091243744
25,-54.78017288901373,-665.5452665919598,-194.70619974283056,-569.4063278796411,744.6024091243744
26,-30.845463019533582,-649.5948617322118,-188.40386371501148,-572.4905022585862,744.6024091243744
27,-118.62084234234942,-640.8026743355603,-185.81930736787584,-575.0205827058816,744.6024091243744
28,-52.26345521178822,-609.9820132594674,-181.04945550515842,-576.2692052256524,744.6024091243744
29,-116.54782178675927,-686.2164068418368,-178.82526123900672,-580.0604880400036,744.6024091243744
30,-95.76016093839442,-694.3346526222125,-176.05642456231965,-583.8696268594106,744.6024091243744
31,-120.58652365779153,-640.7923847358918,-174.2670729202381,-585.7058448554261,744.6024091243744
32,-27.202042976160456,-794.7774952672809,-169.67129073448567,-592.2393339307965,744.6024091243744
33,-65.64727655946842,-714.8415920751229,-166.51904788069726,-595.954553874564,744.6024091243744
34,-82.40087338308291,-769.0280508043878,-164.0449839248851,-601.0449508430881,744.6024091243744
35,-31.975482291904186,-484.28889242971616,-160.2715695925142,-597.709063459849,744.6024091243744
36,-85.74937017548434,-533.810371099707,-158.2015084975967,-595.9340997831782,744.6024091243744
37,-112.04873477317169,-822.3644756989044,-156.9541362347744,-602.0538396727925,744.6024091243744
38,-28.194778916214787,-795.8293879355693,-153.56573209481232,-607.1531962060235,744.6024091243744
39,-327.98531370977406,-808.4339172133934,-158.0380290592985,-612.3142403344176,744.6024091243744
40,-335.2017677173829,-567.122117959602,-162.46712252575063,-611.1844372750472,744.6024091243744
41,-118.13945952292171,-533.3692726632363,-161.3859600134865,-609.2865064308568,744.6024091243744
42,-296.79215908524384,-795.2311869714297,-164.60991713424264,-613.7137607294418,744.6024091243744
43,-155.76445843607348,-964.6830234446193,-164.40420879242475,-621.875836606539,744.6024091243744
44,8.622277588104751,-966.070019286358,-160.4717886474127,-629.698431667444,744.6024091243744
45,-164.58308218216345,-844.9030083876597,-160.5631507259627,-634.4807555945599,744.6024091243744
46,-144.2640192586756,-711.1895808005843,-160.2088217810217,-636.1483387512126,744.6024091243744
47,-301.6339523596047,-509.6083546306523,-163.21786711248092,-633.4559986635411,744.6024091243744
48,-267.0320590467614,-569.2379002402179,-165.3806627777784,-632.1181216130552,744.6024091243744
49,-151.44465856950916,-782.183563422836,-165.09625452863006,-635.1806816499895,744.6024091243744
50,-42.7332483529434,-735.7302914167915,-162.64899440511633,-637.1916738453256,744.6024091243744
51,-397.33078444535613,-300.8707743940348,-167.25059813139555,-630.5971464051042,744.6024091243744
52,-137.23345687560266,-578.3242577785793,-166.673345414938,-629.5918985469018,744.6024091243744
53,-246.36285187370655,-239.3165540909827,-168.17692100849968,-622.2282128024505,744.6024091243744
54,-127.59066413887886,-374.5550386329482,-167.42532365906226,-617.6416725400522,744.6024091243744
55,-231.06296130442954,-471.5385957590073,-168.58237161625075,-614.985252962215,744.6024091243744
56,-221.32152190594317,-310.6725201066016,-169.5241421571381,-609.5510970183649,744.6024091243744
57,-370.61324641800365,-184.3817890244668,-173.05202117925856,-602.0919863518053,744.6024091243744
58,-268.04607163107823,-323.4300730283022,-174.68984963532444,-597.2874706048483,744.6024091243744
59,-108.96140272863464,-379.4012395299116,-173.5758081623297,-593.5944836374765,744.6024091243744
60,-170.76793805735497,-397.66642106902435,-173.5290103272468,-590.3290159280023,744.6024091243744
61,-56.40542532333466,-431.25241775200254,-171.60895155669087,-587.7212028431499,744.6024091243744
62,-93.00826202117234,-354.2012828296181,-170.34119849966638,-583.954752520351,744.6024091243744
63,-179.9452432921724,-500.939587012213,-170.49364365510297,-582.6370514805392,744.6024091243744
64,-151.68701617488043,-342.25560629326054,-170.19979010072444,-578.881091399488,744.6024091243744
65,-119.74564820306546,-304.94717530513515,-169.42357253306815,-574.6667234595749,744.6024091243744
66,-94.91267906730593,-399.9212954645752,-168.29461960176872,-572.0190654596506,744.6024091243744
67,-126.44751218427173,-291.50818402916167,-167.67003590897025,-567.8323358860613,744.6024091243744
68,-82.89416412996978,-489.71887669325156,-166.42333191222022,-566.6836085449905,744.6024091243744
69,-46.18660081876203,-539.9351902355422,-164.6807705920252,-566.2959503086217,744.6024091243744
70,-254.4382192520219,-162.06053958641718,-165.9630198585966,-560.5211587268759,744.6024091243744
71,-149.64125776516795,-422.7453547598447,-165.7331358854497,-558.5806544456501,744.6024091243744
72,-299.2713174789749,-391.99961010623116,-167.58783285202645,-556.2670288298248,744.6024091243744
73,-68.54013896294047,-363.1511522363206,-166.23101512751842,-553.6216058627905,744.6024091243744
74,-255.1442405352941,-226.14785579629358,-167.43254520059645,-549.196284915946,744.6024091243744
75,-164.6363389442442,-383.41387907560835,-167.39526245051178,-546.9858528380748,744.6024091243744
76,-257.3160592492221,-534.2975179688337,-168.57843082944217,-546.8189010634795,744.6024091243744
77,-147.1118353111724,-417.2117186897532,-168.29964387465947,-545.1356909027818,744.6024091243744
78,-63.14616159624535,-350.7616724814767,-166.95152230698747,-542.6437163076369,744.6024091243744
79,-198.35905526731807,-322.3106982368911,-167.34908601534607,-539.8546907624376,744.6024091243744
80,26.825780086760304,-299.42039874404435,-164.92190018906976,-536.8492621122077,744.6024091243744
81,-128.20676304657306,-416.3393773973756,-164.46862689101425,-535.3614857577036,744.6024091243744
82,-433.6612080934465,-412.4632528258303,-167.7514632471415,-533.86272681951,744.6024091243744
83,-94.44299630901496,-295.50073150257924,-166.86822870571828,-530.9908955506313,744.6024091243744
84,-153.77274667944482,-311.452284813695,-166.7123301101674,-528.3773406609059,744.6024091243744
85,-152.9110766841056,-71.559011606945,-166.54996242280197,-523.0030073779182,744.6024091243744
86,-386.4607542161739,-146.19898691600892,-169.10706465295743,-518.6215652795239,744.6024091243744
87,-367.19873819674183,-130.61441318033744,-171.38398044081703,-514.1617129565448,744.6024091243744
88,-256.4067246933688,-83.792473148793,-172.35014798914148,-509.27115341327476,744.6024091243744
89,-46.97636607124156,-165.1726150436068,-170.94145381028866,-505.404877701256,744.6024091243744
90,-389.4057008000648,-424.99365762991533,-173.36883433239728,-504.5114197004633,744.6024091243744
91,-144.37810670438068,-228.23438974962747,-173.0502549079136,-501.47540838232226,744.6024091243744
92,-287.72514661382354,-301.68761858598464,-174.29672112210827,-499.30380197149253,744.6024091243744
93,-90.01196701973528,-252.133968580559,-173.3904334435881,-496.64606182750396,744.6024091243744
94,-362.130335245472,-317.9877303492129,-175.39830473935282,-494.7454412798626,744.6024091243744
95,-226.73069932143872,-441.9333264004145,-175.93864573495372,-494.1895242811315,744.6024091243744
96,-78.93528619246314,-267.9560214716912,-174.92819407305282,-491.8329252935332,744.6024091243744
97,-56.601332466098455,-377.650536149597,-173.70832952040382,-490.6557872611215,744.6024091243744
98,-120.16415049197914,-218.2387365303114,-173.16196034664438,-487.8760214373377,744.6024091243744
99,-82.14232258296248,-150.82228055890104,-172.24257006620317,-484.47143819614143,744.6024091243744
100,-66.70744946286496,-164.21992436932254,-171.18721886016976,-481.2689230578733,744.6024091243744
101,-235.29549767833885,-280.10636858091897,-171.52773054738933,-482.7622104637045,744.6024091243744
102,-155.73498477890692,-161.82241323352164,-170.9902068420111,-476.2552344463233,744.6024091243744
103,-196.50337108732026,-261.6100049161564,-171.4611880406958,-474.6226864242565,744.6024091243744
104,-38.3604657663622,-100.08616957766206,-169.66692323425337,-469.69179523592106,744.6024091243744
105,-100.08104902440111,-330.23009076167205,-169.47648238965618,-436.4502143661655,744.6024091243744
106,-278.25193045270873,-414.3311983772713,-170.1274583272611,-436.09483735671574,744.6024091243744
107,-295.35668053899735,-150.93531477287044,-172.14025625553288,-428.55228097253416,744.6024091243744
108,-134.4252462694991,-190.26616674987218,-169.6828561225896,-423.7397225656792,744.6024091243744
109,-221.96299674069542,-329.59060605422826,-169.2352755338552,-421.99752747441687,744.6024091243744
110,-154.4635098471319,-248.04566675658134,-169.3207432708003,-410.2848777238653,744.6024091243744
111,-132.9270582873837,-284.247956037454,-168.23091861697728,-411.4958660506773,744.6024091243744
112,-120.6984448112312,-86.87007139348435,-168.7411670977084,-412.2615661484911,744.6024091243744
113,-104.01136906099362,-52.957929090338304,-168.29690642039,-411.3015214487692,744.6024091243744
114,-148.927977028893,-77.67027539069983,-168.6147845382267,-410.96571706983644,744.6024091243744
115,-27.74148122959747,-215.87543664744715,-167.68021799433944,-410.4104200084555,744.6024091243744
116,-74.8933477131607,-226.4730047428231,-165.7527557289701,-409.74331347854763,744.6024091243744
117,-109.37800892065738,-89.47690491500127,-162.43105691566817,-408.84061777635446,744.6024091243744
118,-211.0384558742644,-194.97172103184462,-163.5140670296823,-409.19819536684537,744.6024091243744
119,-151.62094877281052,-205.79145918808524,-162.21858441359112,-408.6402176933294,744.6024091243744
120,-265.5469909002624,-272.4533123451168,-162.80518868242606,-406.20673717694643,744.6024091243744
121,-454.88301217483456,-323.25310722033066,-164.95137122709298,-405.50501801574364,744.6024091243744
122,-72.48415780931589,-189.69992639245208,-162.32226737661296,-405.4493965530559,744.6024091243744
123,-212.75436362293766,-91.32851845921617,-163.45064942183305,-399.7535306451236,744.6024091243744
124,-95.66843013548043,-225.98399547710193,-162.9885684386141,-395.61356993500397,744.6024091243744
125,-124.01300387744915,-223.07523474846607,-163.68089674849847,-391.18886961656904,744.6024091243744
126,-43.335129784848434,-106.96669740300145,-163.8057934161516,-385.762587973277,744.6024091243744
127,-50.52771923597659,-238.25387826128718,-163.12486218508786,-381.73710001253426,744.6024091243744
128,-113.81300547489458,-103.7979850062071,-163.74035768771893,-376.67525973000164,744.6024091243744
129,-124.93251009016929,-239.827807125999,-163.82420457075304,-372.2113737328433,744.6024091243744
130,-94.07291694399996,-340.79090157813994,-163.8073321308091,-368.6759362224026,744.6024091243744
131,-154.3948764153897,-225.92011991646928,-164.14541565838508,-364.5272135742083,744.6024091243744
132,-246.8508187154214,-306.6155440805625,-166.3419034157777,-359.64559406234105,744.6024091243744
133,34.56731890059791,-110.31139523430635,-165.33975746117704,-353.60029209393286,744.6024091243744
134,-90.27620192792317,-7.005109055648035,-165.41851074662543,-345.98006267644547,744.6024091243744
135,-104.21191912982273,-116.77122828881494,-166.1408751150046,-342.3048860350365,744.6024091243744
136,-46.664266701933194,-112.03648034158321,-165.7500240802691,-338.08714712745524,744.6024091243744
137,-82.05068895138533,-170.36492252353003,-165.45004362205123,-331.5671515957015,744.6024091243744
138,-151.30460823666837,-245.96122323492918,-166.68114191525575,-326.0684699486951,744.6024091243744
139,-68.98299824367703,-113.01669607635544,-164.0911187605948,-319.1142977373248,744.6024091243744
140,-78.89219121133144,-56.847448463273096,-161.5280229955343,-314.01155104236153,744.6024091243744
141,-165.88535555111307,-382.6006434105091,-162.0054819558162,-312.50386474983424,744.6024091243744
142,-156.27683048056636,-197.00142706651295,-160.60032866976943,-306.5215671507851,744.6024091243744
143,-16.020879529912932,-361.1467212577469,-159.20289288070782,-300.4862041289163,744.6024091243744
144,-131.50227573665504,-266.461323558387,-160.6041384139554,-293.49011717163665,744.6024091243744
145,-126.25771752535093,-198.99779646093435,-160.22088476738728,-287.0310650523694,744.6024091243744
146,-208.84359029066752,-133.27538034470643,-160.8666804777072,-281.2519230478106,744.6024091243744
147,-95.74067720784615,-121.5996267293089,-158.80774772618963,-277.37183576879715,744.6024091243744
148,-67.8655502559059,-191.17888154358323,-156.81608263828105,-273.59124558183083,744.6024091243744
149,-154.4100786224953,-83.42951874099573,-156.84573683881092,-266.6037051350124,744.6024091243744
150,-111.90150645496519,-116.13107699707689,-157.53741941983117,-260.4077129908153,744.6024091243744
151,-94.37756518061775,-126.63282255408532,-154.50788722718377,-258.6653334724158,744.6024091243744
152,-113.84651038501603,-129.2427082330522,-154.27401776227788,-254.1745179769605,744.6024091243744
153,-74.92513161537104,-135.84747002978852,-152.55964055969457,-253.13982713634854,744.6024091243744
154,-175.71128905045978,-149.45091523918657,-153.04084680881036,-250.88878590241092,744.6024091243744
155,-93.19333145031699,-9.830769698288407,-151.6621505102692,-246.27170764180374,744.6024091243744
156,-85.1944747597834,-212.6975691684229,-150.3008800388076,-245.29195813242197,744.6024091243744
157,-69.24655438420251,-244.0394611920278,-147.2872131184696,-245.8885348540976,744.6024091243744
158,-323.88034509335125,-492.16951672691766,-147.84555585309235,-247.57592929108375,744.6024091243744
159,-8.06595918392533,-60.58215712415689,-146.83660141764526,-244.38773846702617,744.6024091243744
160,-131.95703354272837,-112.56558736981881,-146.44849237249898,-241.53673013003413,744.6024091243744
161,-102.81607309759292,-155.50366826484503,-146.91259885024158,-238.77924263516255,744.6024091243744
162,-34.37021487177766,-81.20821363302923,-146.32621837874763,-236.04931194319667,744.6024091243744
163,-34.421905499110835,-276.09091347562287,-144.87098500081703,-233.80082520783074,744.6024091243744
164,-48.280422153542226,-411.10475964806574,-143.83691906060363,-234.4893167413788,744.6024091243744
165,-70.46873290687728,-74.15414972456924,-143.34414990764174,-232.18138648557317,744.6024091243744
166,-100.37272047379845,-161.60476745330635,-143.39875032170667,-229.79822120546046,744.6024091243744
167,-270.1568785539324,-57.78093937943521,-144.83584398540327,-227.4609487589632,744.6024091243744
168,-147.72571809209842,-187.62568734760828,-145.48415952502455,-224.44001686550678,744.6024091243744
169,-86.18602054681675,-73.33625812916648,-145.88415372230511,-219.774027544443,744.6024091243744
170,-110.03758291251778,-20.85029952460006,-144.44014735891005,-218.36192514382483,744.6024091243744
171,-39.072841706215016,-56.6954310732185,-143.33446319832052,-214.70142590695855,744.6024091243744
172,-36.27029522165287,-162.70407631853652,-140.70445297574727,-212.40847056908163,744.6024091243744
173,-71.57196216238188,-103.69967136674225,-140.73477120774172,-209.81395576038582,744.6024091243744
174,-259.49358047527795,-522.9772225225788,-140.77826460714158,-212.78224942764868,744.6024091243744
175,-38.97681008334902,-598.240306002219,-139.52166931853264,-214.93051369691477,744.6024091243744
176,32.064090238445345,-741.24561114627,-136.62786782365595,-216.99999462868914,744.6024091243744
