Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-246.03651252646125,-130.67137685293778,-246.03651252646125,-130.67137685293778,753.6178665161133
2,-136.26440417444883,-183.6372645181762,-191.15045835045504,-157.154320685557,753.6178665161133
3,-133.14593138757633,-599.4694211427388,-171.81561602949546,-304.5926875046176,753.6178665161133
4,-173.09055020375695,-639.9996861118508,-172.13434957306083,-388.4444371564259,753.6178665161133
5,-46.24185839203241,-670.9515011401966,-146.95585133685515,-444.94584995318,753.6178665161133
6,-69.24940137769133,-660.2474742002006,-134.00477634366118,-480.8294539943501,753.6178665161133
7,-204.7359633316848,-716.8683188827122,-144.10923162766454,-514.5492918355446,753.6178665161133
8,-87.56633706464147,-711.8218537307401,-137.04136980728666,-539.2083620724442,753.6178665161133
9,-303.0088248391411,-704.2969463285683,-155.48219814415936,-557.5515381009023,753.6178665161133
10,-470.87401447629975,-684.8818540359999,-187.0213797773734,-570.2845696944121,753.6178665161133
11,-420.0216620966336,-675.9898612154389,-208.20322362457884,-579.8941416508692,753.6178665161133
12,-94.78553542640131,-605.3073339881985,-198.75174960806405,-582.0119076789799,753.6178665161133
13,-146.53559591400244,-704.1191441806799,-194.73512240082852,-591.4047720252645,753.6178665161133
14,-127.61195668044776,-459.68771203364764,-189.94061056365848,-581.9964105972919,753.6178665161133
15,-332.0272156468236,-578.1179237630039,-199.41305090253616,-581.7378448083393,753.6178665161133
16,-173.2573680480364,-531.2735373905016,-197.77832072412997,-578.5838255947245,753.6178665161133
17,-107.72667912902368,-562.8276072632617,-192.48116533618253,-577.6569892222856,753.6178665161133
18,-76.53975091313421,-509.65267059242933,-186.0399756460132,-573.8789715206269,753.6178665161133
19,-87.88787358587606,-183.0195384738534,-180.87407553758493,-553.3074224129019,753.6178665161133
20,-134.0508099606417,-465.11194510452276,-178.53291225873778,-548.897648547483,753.6178665161133
21,-98.72049085416099,-526.5894378688477,-174.73232076328173,-547.8353528008813,753.6178665161133
22,-147.968726830332,-378.7090197153366,-173.51579376632947,-540.1477922060839,753.6178665161133
23,-204.59885617169152,-145.3605116902957,-174.86723126221477,-522.9831278358322,753.6178665161133
24,-136.67508729707475,-427.1595569929337,-173.27589193033393,-518.9904790507113,753.6178665161133
25,-62.317333971133635,-490.40728200783656,-168.83754961196593,-517.8471511689963,753.6178665161133
26,-351.0839689475122,-467.64957378753627,-175.8470272787177,-515.9164751158632,753.6178665161133
27,-190.85410108772493,-680.4824626049225,-176.40284482719946,-522.0115116895321,753.6178665161133
