Environment: LunarLander-v2
Agent: A2C
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 2344.5720252990723 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-98.75640523894597	-523.8356356317631
2	-301.3110849964107	-207.69973182601612
3	-317.6922768557713	-738.462360484905
4	-144.2509975351826	-734.9660377687144
5	-345.5081652122267	-541.0301982241201
6	-239.64709134198452	-211.038897760719
7	-193.13071402217597	-107.3050849389773
8	-183.18949921950644	-133.02129160252338
9	-89.62549155787269	-64.10764028898814
10	-424.492660752725	-170.93476901981694
11	-138.4974315838059	-226.8847130801923
12	-304.88460777785474	-350.1668331303448
13	-135.94487997610514	-336.7013499804159
14	-81.92080108622588	-326.90792521129447
15	-133.24038903984587	-199.3062098190164
16	-218.24857994298898	-322.1474940798936
17	-128.69988206193744	-453.58464155381506
18	-190.60948111075197	-517.1293350689477
19	-287.0996885212228	-434.44336888502545
20	-199.10320447753088	-375.475010938439
21	-407.3761130566793	-556.0756782210755
22	-176.1302353096767	-515.1315530331768
23	-289.51801154562474	-337.9010909742203
24	-95.67636919572332	-297.46241615965954
25	-414.773386401973	-258.74591067477365
26	-297.1671826647806	-136.14949735135957
27	-167.4845683674099	-205.02699705405968
28	-77.51939423543985	-148.15555338770787
29	-94.027172066061	-362.65134472968816
30	-283.13035688215973	-122.40693975530296
31	-239.07512772911394	-83.86187133087924
32	-93.14282246870508	-126.76843970089689
33	-66.8058117570165	-31.46522961947477
34	-219.80981950952093	-30.883525729438745
35	-146.58540347563803	-101.05273367857531
36	-327.7801128758097	-42.224961246210626
37	-241.54999395900242	-28.02952659874883
38	-146.56430440899567	-111.79577325031414
39	-382.3214830015202	11.198524319634359
40	-87.12067506761898	-5.643753193044674
41	-57.58614329474104	-110.8885982405441
42	-181.89394676562887	-40.452693503733386
43	-97.74916604746774	217.84710278046919
44	-236.13716039007528	-10.045463396408309
45	-97.82070326924635	-175.60290207944615
46	-285.95954134922476	119.00051299024084
47	-291.3344478564873	16.194668573370294
48	-143.44354668855138	-36.0714209700585
49	-62.59977761165479	-6.946036102925845
50	-132.80018085087602	-73.42826189222983
51	-87.1224867818634	-172.00278786842807
52	-36.80604547760159	-217.3301776669498
53	-105.74340400289512	43.437007863540885
54	-177.26095710607404	34.120884517953755
55	-118.89205511635095	-974.12889975725
56	-129.09737577179052	26.81801686405936
57	-81.63711729491615	-1686.8979106009008
58	-138.37237273034216	-1787.8133259036397
59	-124.46229680127925	-1534.5280076863355
60	-92.37851424025605	-28.025587643357355
61	-128.1433309810893	-1269.3780332308127
62	-124.76146183388774	-1214.384942451591
63	-94.15921440643757	-1134.22396015788
64	-216.58204385932436	-60.10197721073051
65	-97.8599314996961	-38.06074029511052
66	-349.238519316168	-1205.752093293558
67	-170.31012478788648	-1027.6942725153108
68	-100.32462032263001	-1165.3270118938824
69	-364.7885473340049	-1258.2854479025227
70	-89.95368856410225	-1639.7339444486079
