Environment: LunarLander-v2
Agent: A2C
Experiment: Random Gravity LunarLander experiment
Parameter: random gravity
Time Taken: 1490.1579377651215 seconds
Episodes: 1349 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-117.59789988699647	-688.6600882462616
2	-90.13385247961325	-486.53313090375576
3	-335.6565386392383	-705.8153603733352
4	-129.01367619313717	-612.4380455197089
5	-119.42592492339494	-405.21212659648853
6	-388.69311533236595	-464.3277906150285
7	-54.95090936181526	-552.8966653323259
8	-106.71446497458251	-450.88728122627714
9	-251.3430130761512	-750.3840220618215
10	-122.30292668523641	-809.1997448914329
11	-98.8158103275979	-781.6112915938902
12	-120.78885343591931	-519.7582799003175
13	86.34355371046681	-469.1456661671429
14	-299.4469252434517	-813.1297371359619
15	-326.89244393678445	-443.4022637006864
16	-130.58524154490232	-340.7608012652693
17	-106.75945429477342	-791.9452525989738
18	-417.8447547040196	-436.2543354132302
19	-345.4534420531313	-360.5021396018023
20	-353.6295277631847	-534.2882348563603
21	-103.1371365890894	-356.2828379722404
22	-97.85772412274206	-343.22561122533943
23	-108.18836148747974	-369.4272260004491
24	-169.246592120525	-218.3295138302702
25	-160.5980582455304	-396.3442402755269
26	-319.1733879580024	-398.39625379122987
27	-424.41765931957184	-804.2644637668503
28	-148.5720702037628	-392.04820225692407
29	-181.16378652509408	-494.7182954318554
30	-82.23461957861852	-123.51742995705925
31	-149.7693167026639	-134.40731692755745
32	-121.9097825531926	-374.180473772473
33	-146.76657334173282	-540.9194297572733
34	-346.334125794077	-128.01417135853816
35	-160.1630834992898	-437.00686531771527
36	-126.94096257024117	-478.9027183490506
37	-154.90568918468364	-599.5178510435286
38	-333.7059313561806	-397.8314898511125
39	-213.53263816814166	-456.9552043961604
40	-113.59890547011953	-436.1619348127598
41	-273.2158499444874	-337.795842502531
42	-166.8504983940498	-154.24230372835086
43	-145.7711755647341	-375.37524869771363
44	-92.25360421891014	-655.5077099681488
45	-167.76462997145126	-455.1934155930473
46	-156.28532871465063	-428.7736496248983
47	-240.4128793254713	-616.6915416153275
48	-188.50365625072934	-462.4958386681467
49	-100.97113962808045	-743.5090824540703
50	-88.5821551900481	-554.5075842746064
51	-82.53332493965883	-350.9440393798788
52	-66.34768904762046	-503.58330112441627
53	-139.24870207655806	-787.3769026651646
54	-62.66990812702193	-468.9837388626932
55	-275.19894484165036	-964.522979507567
56	-210.04695248156398	-587.4716741324611
57	-269.117157814699	-442.4244688461973
58	-51.29891555318304	-530.2965627404166
59	-232.98952459941304	-583.8916974006383
60	-374.7450537879933	-563.4426417671724
61	-223.31232180024725	-625.7530397104065
62	-290.7898655102214	-678.3411865627451
63	-132.36987886636598	-753.933367734115
64	-156.3794637128874	-731.0208361869738
65	-148.08863842028845	-3121.6966845920424
66	19.41054773829495	-635.2779376267107
67	-412.93359512618065	-743.8523370622919
68	-125.31910395204675	-1248.407781980284
69	-209.03620543940343	-766.0781126561548
