Environment: LunarLander-v2
Agent: A2C
Experiment: gravity experiment
Parameter: Gravity = -1
Time Taken: 18.799605131149292 seconds
Episodes: 90 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-1683.2952624567595	-856.6985649710302
2	-513.8955506591931	-716.7417935388364
3	-571.4091543515586	-1113.3466515897535
4	-3985.6715237602343	-1646.2410410596824
5	-458.31665635850504	-1018.2422696968592
6	-478.4311173992507	-2336.0656814571926
7	-669.4217943954623	-2514.697193442753
8	-398.92215602152504	-2244.252699828725
9	-503.0465764372638	-1111.3938963960982
10	-1373.3275659088235	-670.5650001949857
11	-1231.037969116652	-1360.3876267416645
12	-514.0778100113032	-2203.0612480135023
13	-623.7921095509384	-1238.8686012199892
14	-335.5989798467833	-1248.0669864441165
15	-523.0764175526112	-1641.124586610569
16	-640.9187548470894	-563.3710843755
17	-856.9753184053593	-996.8415729549563
18	-10234.966575442038	-960.1762877695742
19	-1025.6521614731114	-2847.547870089911
20	-412.28224380598635	-638.0138330684835
21	-1774.6577404644715	-2173.3167705501255
22	-621.8191131382844	-1076.9313485138964
23	-792.9779442738878	-370.8440542659388
24	-569.6502449616988	-491.6038551756034
25	-648.2684900530569	-424.9849694116831
26	-915.7089957168944	-1018.5519190403771
27	-766.2825088360318	-325.53901057306314
28	-635.0674083214477	-673.6742722482275
29	-306.1125923398313	-1533.7623380002792
30	-4080.539400226206	-401.20942232600373
31	-802.222651209202	-253.13115048260448
32	-1108.3563138421134	-309.88874940783353
33	-3959.392726876803	-174.88680913843066
34	-1585.2956006250126	-323.68575426372223
35	-603.8164866402313	-437.85845357869357
36	-302.94335502061864	29.460532191389916
37	-306.51403283016936	-29.96951044584921
38	-346.2851971087665	-146.68283679943534
39	-332.8704020138822	-19.06013226110457
40	-726.210369846675	-35.33573981869063
41	-980.3326410439649	-298.19591865200545
42	-601.9542771700474	-43.3322648059592
43	-343.5914835810204	-228.88898010020404
44	-246.30687620978847	-210.54126923371734
45	-555.0412721370669	-189.69644751845058
46	10.268254432811773	-248.09745407123035
47	-486.598677448156	-274.9484904298876
48	-383.96856440405804	-197.48241941301893
49	-409.3713674253713	-320.60872917969687
50	-325.70867797578626	-34.25257874354861
51	-435.2685434900817	2.629719744449872
52	-366.1619703742338	35.72267924848259
53	-639.9652016092244	-249.18770857161448
54	-396.96128718005093	-41.11727734349461
55	-322.004841822737	1.3508305475245095
56	-633.8239317779738	-44.75861387121398
57	-462.56779667905744	-350.5377961008162
58	-446.1491823314267	-108.09432297582671
59	-277.9963335783074	-299.53775189139566
60	-228.86409873562405	17.852114539012078
61	-580.2269659550184	-266.61382283046873
62	-315.96909288747923	-153.28765616752224
63	-533.6907791005955	-5.729068913159097
64	-282.3527819127512	-266.62086982355606
65	-407.6679443228267	-304.53388131410287
66	-386.9697949606459	-30.911711893517293
67	-236.33478109200092	23.646702754686004
68	-301.34026915241895	-274.46454477453807
69	-567.332725226883	-297.307502128393
70	-291.74684777078664	-12.68803942198575
71	-122.14630294017473	-0.7836650353254271
72	-247.55097814908996	-84.021036399532
73	-371.3721937424503	-308.7061710927052
74	-452.2942374728056	29.13912745566421
75	-255.62744272486609	-237.79612015628547
76	-273.72835695651656	-20.96519247134249
77	-440.11888483015633	-125.25004435523229
78	-240.97233968816366	22.412808645584462
79	-41.1076899075385	-186.11747142507272
80	-553.287677445687	-188.17458900715326
81	-309.2971534823366	13.584855983076494
82	-382.3899695148894	-194.0415216454429
83	-205.10840587101126	-250.68710830450595
84	-166.917408964523	21.482183702105914
85	-312.73042128095585	-201.5993820762528
86	-256.3732165826119	-51.46124628701005
87	-518.4297942598778	-137.9957360501808
88	-223.40316843649765	-146.8053824153059
89	-183.54350994118573	-23.343721920948667
90	-80.15706114778092	256.75468325765996
