Environment: LunarLander-v2
Agent: A2C
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 899.570173740387 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-987.7937455005598	-939.8666351415927
2	-831.9763973961599	-722.7011974942297
3	-2142.86894365373	-754.6915697148426
4	-337.934822478295	-710.3062711852086
5	-631.1238799209723	-37.27296320431934
6	-921.5439182990723	-2.8082915753613946
7	-984.1105439707654	-847.3951458694635
8	-940.9932561510853	15.852009993888302
9	-592.5594590793291	-11.041766325879436
10	-385.3666707818753	-1213.8047148252122
11	-334.71039134677926	-1370.0805354108659
12	-496.8957460503851	-1534.456899876967
13	-524.0967903551889	-1854.548524948076
14	-425.0182972140682	-667.7173724907763
15	-975.6552432139297	-1292.2502757672446
16	-467.05009020483186	-1196.500826737458
17	-354.59603681959777	-1124.3290236252412
18	-556.4085210553483	-1369.543081653286
19	-1519.4020970349168	-105.02443909775546
20	-697.0060699099132	17.125012260924095
21	-287.28126625039675	-40.65741816012388
22	-1084.2102487171114	-233.0107137712082
23	-1183.4822783378004	-106.49543532633194
24	-347.683353008583	-40.011234851864366
25	-946.7012610745646	-191.6142048246515
26	-688.8934369741476	-61.66388139770924
27	-817.1555361977063	15.942429491345067
28	-668.151163237884	-42.622975667650294
29	-784.9521123857908	-224.86783309295652
30	-705.6682754636558	-94.49020004537337
31	-439.90209396103404	-217.0929719201748
32	-321.1638596773877	12.570400800325558
33	-737.4781168778895	7.279636178333249
34	-258.04395477555926	26.7719148112093
35	-1918.7982812204305	-101.88314034092556
36	-1399.217649328382	0.8595250644291923
37	-949.1843560308195	-299.0240349978361
38	-1044.3561804235267	32.53117411883852
39	-633.7337086734734	-111.15135927018355
40	-485.4280178655791	-169.39518989274393
41	-245.4384831354282	-191.93432270798473
42	-306.01507180310216	-103.35870350000216
43	-415.5903585601019	-52.16965333664601
44	-854.4247023546703	4.691164615273053
45	-529.4924442250649	-46.07293229652414
46	-1064.2051058308057	-198.91506933480775
47	-796.8673759966832	-19.465998339887108
48	-694.8932432118805	37.18869471368157
49	-404.9116784795587	-147.40803531555144
50	-297.1133368707553	-15.06253949746555
51	-509.7630370934322	-23.208408059017657
52	-266.95777622781	-147.12835139862716
53	21.015744639048503	22.278382398236573
54	-198.3156100337962	-54.837811324416585
55	-86.31519526147237	-39.588739671618264
56	-299.309041452276	-22.501079891591772
57	-174.44121481667327	-75.24024418315798
58	-482.47973688466755	-181.58080096451894
59	-378.13959975254755	-36.32618821954006
60	-317.056735713301	-228.2911487861043
61	-590.923818094142	-33.01387657902305
62	-459.1022233602558	-23.75408732023655
63	-456.5605378343601	-152.30907139905915
64	-359.7663129509781	-58.53675726923893
65	-284.9963927491417	-204.77823637961583
66	-239.08247614166527	-212.3946977490922
67	-329.118302356939	-157.8966021683928
68	-217.6893667633048	-58.14676009824194
69	-224.3459663141917	-34.587735308505685
70	-277.8745214613397	-228.54402375413324
71	-193.79184051210038	-105.09379247416163
72	-117.13244928046691	-185.52143170208117
73	-159.51699162736935	-18.569037948999238
74	64.47883078736383	-57.07711025323914
75	-277.1388372159545	-74.48060405777872
76	-166.80842797529303	-58.202034231854256
77	-113.11072593456612	-157.4328789355676
78	-107.40274469247193	-42.27863792217611
79	-267.99564675144245	-68.16954666385011
80	-223.21856041951506	-241.04603226585257
81	-276.28758897537114	-35.08170645675831
82	-186.99205128746132	-92.91321372523083
83	-216.28676460979923	-106.85163868440752
84	-118.98161540035912	-89.27811498675133
85	-559.437492266924	-189.20973164544407
86	-240.08483980230184	-22.165056923622117
87	-217.17711400664797	-37.30132322681689
88	-252.33157931298658	-126.13192881415182
89	-471.74058970557303	-122.81253365684277
90	-140.96364076429143	3.5364996890910163
91	-205.943937238741	-28.532239682322682
92	-216.25108929889967	-94.60208028234517
93	-128.37611490661385	-86.71367789988187
94	13.408164664061019	14.009561619904389
95	-105.53037142855612	-15.285226414144091
96	-175.42382089276072	-253.22464842188216
97	-336.4537110585067	10.458156565405247
98	-215.93234898048416	-50.225709326224234
99	-298.1312459584786	-134.24213756115736
100	-231.51653169237858	-47.22739486441281
101	-348.8195822988233	-169.576268967585
102	-121.23208252555341	-42.6224397247419
103	-53.889434255155955	-185.3658933023385
104	-227.01684954506794	-181.54081306356517
105	-175.05396188401812	-121.85227417008
106	-120.89292079066944	-67.50158126823332
107	-28.067126382485938	-98.80733578011748
108	-307.61485752845863	-277.33546747699853
109	-170.83603972234255	-28.789727767851815
110	-207.5962634455785	0.40353909761397233
111	-257.8534622951322	14.365129296485406
112	-299.7353004833187	6.945364943025226
113	-114.52946655774431	-193.6864786072286
114	-260.5604081239128	-33.65047522825819
115	-135.85184203998074	-145.92491095164561
116	-91.41724739302234	-104.02928622910811
117	-123.20619544851044	-26.6249544744189
118	43.395256812063394	-159.47108171268624
119	-240.57093060115105	-179.02874420311593
120	75.14783974087362	-195.02998519490023
121	-2.0612094313571845	-198.9781994584432
122	-250.5501073817548	-2.301559013674151
123	-184.29143711110314	-10.39223952283345
124	-206.55919791745987	-117.8069134724796
125	-328.9716236600868	-148.11183372166136
126	-137.84028000028067	-69.5373025884797
127	-112.7594986538961	-131.62577313365196
128	-182.05099555155056	-161.1536639541299
129	-151.33267526427284	-32.75051083279796
130	-245.05179047679584	-128.02510714864263
131	0.11533698062621056	-127.26123659057436
