Environment: LunarLander-v2
Agent: A2C
Experiment: gravity_experiment
Parameter: Gravity = -10
Time Taken: 690.6546518802643 seconds
Episodes: 958 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-315.5722033988552	-499.86158538783013
2	-145.89491183399167	-170.6264446726317
3	-128.65694576391695	-122.69385461601664
4	-114.67061306359602	-230.87734097764675
5	-333.86139349226903	-204.4543719833177
6	-68.16126777393868	-279.7806120141772
7	-151.5756514279783	-274.73071105949475
8	-142.44886083590296	-304.04553449606067
9	-139.38000129950802	-298.7718035366368
10	-110.53657727530141	-246.98629227791503
11	-182.82090018526037	-315.30031011833404
12	-105.0069457256415	-260.7123156634129
13	-145.6493929688477	-265.2723126650877
14	-137.58316557680757	-230.82402957148554
15	-145.51954835094506	-266.9485236101292
16	-108.63919472008105	-304.5332361760902
17	-142.35408333416632	-275.9339120279042
18	-220.1871767778179	-390.6013785649809
19	-204.86910329820566	-274.024095217267
20	-102.40085179089952	-331.23435610222487
21	-76.72924318030694	-265.9932505240592
22	-208.7244954451564	-262.82601039409474
23	-103.79282349002256	-232.75156215763198
24	-104.1325135488104	-232.1692821163321
25	-282.8066307388324	-135.5406336807004
26	-344.51796029654764	-270.03696727394436
27	-228.93696880932666	-254.95638986848095
28	-160.7142217462053	-216.94306198001837
29	-190.8636870194937	-104.17131853350944
30	-209.26876347075358	-229.08610672285454
31	-99.5834968428122	-165.81244253378094
32	-126.13416480994998	-206.57589104097946
33	-122.30747548728999	-221.45330829916924
34	-77.22574973639176	-172.49470246105437
35	-77.71077397712145	-230.974881299924
36	-72.75053313058845	-142.64905408223086
37	-142.94418202693726	-6.884085930005369
38	-118.50207930411737	-175.1508169068562
39	-110.12514174466007	-45.086820233244495
40	-92.9168330355998	-160.71372507948695
41	-105.07305025716028	-100.51751680226693
42	-139.03363153469957	-55.49230226576148
43	-172.98443599559778	-206.7769804992621
44	-153.96193144317263	-9.507484621158085
45	-138.01176908702317	-182.82908041192812
46	-77.21211783209563	52.78097575961925
47	-94.03032755097763	23.740103703487293
48	-93.43265873459268	-413.4083874423324
