Environment: LunarLander-v2
Agent: A2C
Experiment: gravity_experiment
Parameter: Gravity = -1
Time Taken: 887.7099690437317 seconds
Episodes: 1319 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-229.00207028966594	-158.44264739833662
2	-251.54809357138697	-411.83110520528896
3	-450.179480246128	-595.2503443050275
4	-93.6365236709243	-440.3256373729213
5	-261.5562505358801	-444.4535763094843
6	-131.74799020821695	-519.8468469470433
7	-47.926415743673715	-574.9923554144295
8	-195.82563230791084	-290.4208895316094
9	-191.8269438427409	-484.41451119440853
10	-110.6948280113061	-579.2164877057573
11	-193.17893444672103	-694.7921647780524
12	-65.55750403492773	-426.17963858679883
13	-415.98949767694336	-345.92205180364226
14	-176.8205316429344	-360.84141916208785
15	-28.862956011222366	-630.6919300179482
16	-97.91977582701661	-382.1424357014069
17	-145.7926408904597	-463.2024933364925
18	-57.329068711338245	-451.9338799604508
19	-62.84862736574175	-433.6132040598467
20	-81.76194941820062	-347.881210020293
21	-51.24807417339165	-501.7875562751299
22	8.693117425892382	-534.1669642030063
23	-88.48369269220274	-393.19153157674566
24	-105.6600909908334	-341.39639375472495
25	-67.74145196981617	-889.0247480235506
26	-418.11266233028573	-569.2149625409322
27	18.773415010792704	-339.20294308164637
28	-188.59275699670525	-512.3515363928404
29	-415.1815165047602	-506.157823997562
30	-339.80357893837413	-484.35143191422947
31	-248.9075783161302	-140.58651745995184
32	-91.34928068319635	-111.33436662970347
33	-195.31932549359553	-129.71287722304476
34	-160.099657046051	-777.5207697466462
35	-123.48498613894208	-105.49632183360374
36	-145.35311881349028	-140.22937851496073
37	-78.26826159249877	-106.68595871098181
38	-341.0439267125829	-126.13210590221286
39	-106.15207815695005	-193.06238270037264
40	13.056254459046642	-124.61235664519933
41	-121.47108760859102	-194.6330108698973
42	-212.50345749820974	-166.7478957444277
43	-107.59957961416684	-139.2382872762629
44	-126.37107674818473	-111.59114279920422
45	-470.31019746722023	-230.47956111404008
46	-182.6517508171685	-231.569026022196
47	-84.13186667165571	-201.82492911035354
48	-146.11272272575735	-155.16865383701116
49	-237.115829083212	-147.68327013417218
50	-171.65656642495696	-239.1374547669324
51	-262.8948245763158	-140.027664497299
52	-126.78459580933774	-121.60710176622538
53	-248.90452989205167	-132.2961696914586
54	-82.5259455598852	-126.29230744077508
55	-248.47156635802392	-118.25801638769653
56	-160.10524277443028	-89.99073793200887
57	-135.8791450657561	-29.283613987695873
58	-102.69929025221474	-59.783598337037134
59	-121.94253736554573	-59.42394919561416
60	-98.56649139682608	-97.04739723728122
61	-110.6590980564623	2.462167061777464
62	-105.97620579604003	-73.28454502717815
63	-65.64444895575693	-43.51849358873501
64	-96.77334106168112	-5.3074624359473574
65	-129.6572148237683	-112.64317113711385
66	-70.1262813610538	-128.92594464282124
67	-85.23844068048675	-18.323158263039772
68	-130.24449927274645	-121.49256389587786
69	-72.6878777309752	-14.073488437857321
70	-118.25826853870603	-74.44706985062822
71	-114.50627877684397	-154.8637767762449
72	-87.28385247775813	-49.55645212379348
73	-85.08654544314301	10.949073904889616
74	-165.68974376211796	16.64289964344735
75	-273.71180315849244	-89.55386503188564
76	-240.13490153297408	-109.51216543173328
77	-172.85627179807602	1.4110292960530586
78	-124.67112879355875	-72.51566775958888
79	-49.911530500676676	-284.0019148053613
80	-221.07988498842943	-39.894039784975504
81	-80.48457083185407	-237.01677775485854
82	-148.14021447669305	-55.829971118400024
83	-383.93027413199195	-44.07975661678587
84	-200.80135025138833	22.439381884775216
85	-185.43266917863224	-178.88425670723439
86	-225.84486709306145	-173.9932914325194
87	-307.0748675102593	-176.57494139419055
88	-100.55990353382863	-418.7325801213604
89	-92.47828256358588	-411.65623897731587
90	-157.25510836710788	-144.64811180492612
91	-71.75962429453222	-131.05729549737927
92	-224.8145848657739	-143.75265180102974
93	-347.97718795702065	-220.0232787469902
94	-89.48277210471983	-228.267932442831
95	-76.11688420014582	-294.6359586293146
96	-262.6941795422148	-223.5198059725733
97	-109.5477163333211	-130.19371792128968
98	-217.48767570163142	-73.07099108539941
99	-70.47678693911884	-256.01515827888267
100	-389.0474522968982	-260.69395837141747
101	-119.06540132265286	10.809644054081843
102	-133.1167657191288	-48.19339880559889
103	-94.32107431376392	-242.3850783452733
104	-88.627011985094	-177.13618684118353
105	-103.99166012126292	-300.63835015877635
106	-96.44164913104451	-306.8850063686998
107	-96.18656280504669	-46.2625227881726
108	-119.27015973066821	-338.4476796414198
109	-281.59074571008216	-341.95291931411197
110	-250.90205217247913	-3.990951420718801
111	-202.07849870024424	-323.3810473749962
112	-135.00746627693505	-284.24103559425566
113	-124.7587286778295	-191.33778763495076
114	-176.4913358422861	-215.08040100695263
115	-126.69268567399357	-67.24075880042317
116	-89.4080403497643	-54.91118897804279
117	-146.2948083651154	-160.6734178975052
118	-236.92391419349568	-163.78805341368547
119	-104.60778487925758	-71.3433642518529
120	-114.07598574434827	-215.15853306886953
121	-95.68726558190612	-266.6252151821138
122	-29.202502551901674	-188.87194324882842
123	-491.80331055388046	-30.11276277545366
124	15.567828340760457	-79.00543261977312
125	-105.01612826384427	-231.99279060198407
126	-88.54067279682717	-206.92476385856685
127	-244.66515234440942	-234.21488843366262
128	-100.94067073598526	-249.1170320771126
129	-105.95491202337166	10.591610565066134
130	-87.45912627135358	-237.89701790044603
131	-130.21854078926518	-277.67389278591247
132	-107.87230559057667	-337.240501586179
133	-226.76690005744342	-153.71423254714895
134	-182.42462036209707	-43.60704622828966
135	-131.5417409756808	-355.4442916251256
136	-140.37728559036708	-70.3082774076175
137	-60.641491781119456	-322.0717381063797
138	-261.12705672676265	-3.305044799736649
139	-67.44370988345938	-9.868240873080595
140	-86.20526964421504	14.648210048836077
141	-86.15795676676198	-144.1613432227463
142	-195.20844468995085	-67.26013656753561
143	-92.15750880066194	-54.01130412246509
144	-98.64388297546897	-1.4196346811984313
145	-100.64597155592755	-100.67054577530003
146	-31.933842383648454	6.111042364465888
147	-130.15847340277654	-54.27219264474071
148	-153.99026124393373	-181.17899928967137
149	-177.37555213063126	-220.88510487276028
150	-194.7471395115026	-123.68746737632583
151	-118.79346987578202	-52.57671330858349
152	-80.38330155886734	26.09891860184021
153	-78.83314798975952	-296.9834302485348
154	-102.54260837094967	5.524072996118335
155	-99.74778943248758	-60.45817750092184
156	-160.47580675031662	-230.92037063054417
157	-102.24372003894175	-186.61063976099973
158	-107.92570101597708	-336.5047433864638
159	-156.54615466546016	-26.09881359513149
160	-113.13451334721279	-257.5938758890095
161	-286.2026825902833	-196.6157078593975
162	-98.26169222578943	-57.31861087020283
163	-147.19087411546516	-83.88127961127633
164	-274.01284214403626	-244.56971432336056
165	-93.80533420797916	-246.51219420927237
166	-58.12394610409266	201.707678273127
167	-89.04540226226138	-332.77912969926075
168	-128.58460976565092	-260.52806821847895
169	-154.58159271386927	-157.98162548688484
170	-173.52516754865934	-280.3185650802536
171	-84.40952354201363	-283.5569923828031
172	-113.98473814859302	-225.4718249481208
173	-142.3208307878186	-245.5844090024526
174	-110.06819675908272	-76.4776266592237
175	-104.04580233288944	-257.1200069466905
176	-65.82308508315982	-221.51927386002012
177	-229.35032294616312	-401.665039284654
178	-76.74006973648945	-291.92884778364606
179	-59.363384162970945	-353.5202484065052
180	-146.55235268420603	-315.3324159996905
181	-71.15640624464632	-330.0017549854505
182	-71.6362519376497	-177.5746109040761
183	-156.44099287665125	-244.41061714423753
184	-64.68750367973615	-302.157844877908
185	-80.62188454619302	-314.25049244650023
186	-70.62129820005318	-170.29703052207526
187	-233.3379436358207	-188.64519005684616
188	-178.71056066065339	-531.1965260700404
189	-71.75613453882276	-405.68929922725664
190	-84.55256148974205	-279.17806484887655
191	-173.70782062929243	-293.5819224298258
192	-23.6422540299383	-432.126742639921
193	-228.96402614099824	-414.8899473967701
194	-183.52949163965044	-185.75211327908917
195	-327.38714465644665	-555.3059816867201
196	-212.7957622092126	-267.1523269866654
197	-204.86036367603862	-204.68229739426835
198	-119.97568441077296	-323.6031042535551
199	-260.88277951880235	-506.03602321101255
200	-250.67419328518795	-849.6760338804713
201	-149.69943422204858	-261.741736669533
202	-196.27182300079807	-741.3326572547288
203	-71.83996328533132	-275.65388522446744
204	-142.79517241652465	-730.7094451432902
205	-129.20491858140772	-562.1586762951987
206	-432.7498155154633	-586.2841908737455
207	44.42170559039971	-1089.9636945047755
208	-68.61204356591148	-718.9534474104631
209	-101.89362018985352	-1174.1453876197768
210	-171.96655762977122	-1079.2138047112471
211	-80.46428658073755	-1078.7361562911037
212	-114.22873647605361	-418.48021699002214
213	-143.04634535513634	-757.4654991596539
214	-90.57307876780385	-812.8301314473647
215	-404.1380051989405	-1605.9673595953384
216	-143.42935134908566	-883.6600879736422
217	-63.6475256491979	-946.0599579661849
218	-62.385914185335324	-1467.9166702498412
219	-97.62933509187499	-889.1791188067854
220	-126.83903427217406	-946.4392179195734
221	-112.47614675122819	-792.8110242116112
222	-317.6316666973662	-401.56451052955805
223	-34.30629743383416	-821.8737680456368
224	-61.083912502253746	-920.1411705337009
225	-100.55465466750347	-340.1805454375607
226	17.023140602027993	-1280.4740272794581
227	-206.71807816423947	-1173.8370023322602
228	-240.95390037388404	-491.6839667007504
229	-83.85747970744592	-885.8468655113664
230	-68.94428722873391	-1390.6984389742881
231	-194.69347090954122	-1017.9216414641193
232	-117.63259502255082	-1209.8912143449454
233	-111.94426151639891	-715.3907859172213
234	-11.116986306048162	-808.7283125391681
235	-82.62210099660192	-772.480649934863
236	-300.6343630630312	-521.3607514723819
237	-241.30994039810275	-1110.665580547859
238	-14.201240803522538	-260.64163497254356
239	-42.13704689074272	-1293.0936790364365
240	-90.93914866101503	-654.3845121984021
241	-136.74178331385042	-714.2208555868646
242	-161.41730143335707	-1401.2015889128008
243	-204.10134513867948	-497.3691297131421
244	-126.91264306665977	-1064.3331817567423
245	-185.74032124990214	-558.5139554025349
246	-209.47437639211066	-588.3758219448384
247	-23.862288831126833	-816.121782076083
248	-157.98853119717057	-532.8466458710031
249	-305.6924446482903	-723.8108414603704
250	-88.43794671825958	-626.2543715167221
251	-259.1615533905216	-596.1722450685552
252	-191.5829341244264	-685.2258304495256
253	-155.7074964151134	-1038.3548276936654
254	-123.45515018733278	-1179.9785189885774
255	-260.06927190411807	-625.5298148110136
256	-192.7533009537143	-386.64540622260347
257	-174.6023718600078	-845.5526258213907
258	-424.4064839959269	-842.7752575942197
259	-171.09380316900308	-791.3814302733826
260	-51.42111206832591	-968.3881220964403
261	-74.86856661522648	-419.8284116917249
262	-210.79791127724332	-692.6987492050702
263	-57.58035929786139	-904.724744660381
264	-178.4733733569015	-660.7940606723184
265	-270.4362608483158	-504.58219455671036
266	-20.53269930976205	-507.23817717257884
267	-36.66470704452321	-354.20537695342597
268	-93.74223577339686	-493.8878230665457
269	-88.90391394935489	-335.10502829026984
270	-294.6531580662328	-357.9919337452682
271	-23.722412286467815	-313.2509704443744
272	-351.37684663473823	-316.5203133878807
273	-165.8775728114776	-381.79997303188856
274	-128.75982578384583	-341.85867631613877
275	-74.91992183167137	-403.3265514211034
276	-136.10470576966313	-403.61085617542335
277	-131.99416128367054	-570.301172606717
278	-292.2976745429892	-357.21762863955166
279	-31.870868808785417	-316.19674134423167
280	-184.04820310823362	-341.7342898714587
281	-63.80736990433745	-359.68212442865325
282	-117.85216590834236	-479.623309745583
283	-315.9437609770522	-521.167967444645
284	-8.734321688248727	-505.45365979073324
285	-345.33830550870584	-300.3142696223085
286	-175.75544704745454	-502.7293466636139
287	-314.45232732715704	-851.4345780003466
288	-128.81684913785324	-380.9192933451587
289	-36.735975458531286	-437.130884378969
290	-231.26605244014362	-395.1879487714569
291	-9.755021389696466	-402.2174691039449
292	-192.07463593925428	-486.37768641162717
293	-84.86849407839055	-471.42824207811356
294	-232.30409287298673	-396.326623522996
295	-254.53517468474564	-356.8420478960853
296	-349.4696336869156	-319.2654038936068
297	-171.85407165680982	-351.87618620966373
298	-188.06432941119272	-409.70428934590456
299	-31.92241641176004	-332.09514757737674
300	-243.64172017232426	-272.9830898737359
301	-112.50086172602641	-279.0158130707474
302	-190.42620608564755	-705.5944529423375
303	-43.61417029299432	-473.4234463021736
304	-283.46631891134666	-394.9889706077124
305	-303.39158235379455	-406.139819790268
306	-36.34882158949677	-380.96734426019253
307	-175.79644135870524	-352.8606502319208
308	-263.369006897248	-401.15508777606675
309	-79.8359480265418	-272.04230203290547
310	-39.39105755771946	-424.0003774550677
311	-94.41074907909596	-247.70712382359972
312	-188.45734892987082	-655.5516740316409
313	-264.22129444257564	-380.88732789841816
314	-86.91565931785482	-319.88577978559846
315	-196.1278136540136	-258.6660736597365
316	-101.41687844966073	-327.1377988318742
317	-68.59186988206297	-806.8656291507978
318	-95.72624108559278	-289.6689980830238
319	-128.925243986822	-244.57354111150758
320	-105.65304469102253	-338.3804589799886
321	-103.31998998748976	-306.05147696465417
322	-72.61613669500247	-744.7537603609914
323	19.09273996160354	-695.2539111672127
324	-116.70294828168136	-284.7289256577374
325	-70.85448576090053	-740.3633495982696
326	-28.263373166596338	-312.87031701019026
327	-152.64696479531358	-629.5816801293004
328	-330.5266965315799	-377.24190742796264
329	-33.11209580085686	-655.6418002674765
330	-47.49856355249149	-767.7439137762844
331	-368.3053000260572	-553.0476434012385
332	-54.973020852555436	-1095.9999600884582
333	-184.92071589063562	-367.9823727013489
334	-38.78138189165651	-947.9116396212339
335	-250.5157541605745	-954.7047249945246
336	-207.09977576967563	-437.30600469232326
337	-309.30314904066233	-314.3453282927032
338	-232.13388542732713	-490.9226210065639
339	-320.90487322347917	-664.5875038316435
340	-253.7989430432159	-726.5525109093209
341	-61.10197077659872	-688.3890457607957
342	-138.75495202918606	-672.0573027765347
343	-146.55253329281447	-622.9202536712969
344	-188.07964771450332	-426.6517962258579
345	-209.97439002511388	-279.1852511526256
346	-188.67547738284853	-480.461601509671
347	-214.70394412399068	-775.9755953420778
348	-318.5755258784526	-272.20847016471316
349	-42.946430460890795	-611.1832329062499
350	-166.3703363930797	-645.5082456178534
351	-83.7021616230546	-262.78287357244767
352	-51.95670681821519	-240.524268136387
353	-128.16036967474847	-419.4621535204327
354	-264.2208438663188	-241.65705480498787
355	-268.4401809340173	-284.0271630074097
356	-135.38782424072346	-270.1746216283741
357	-174.49636912045727	-199.9234542457519
358	-314.48202312600256	-487.81172212906876
359	-168.9501019522353	-812.0264478230278
360	-0.6468288889692246	-390.062306736156
361	-330.7840066133463	-516.1980034710259
362	-102.41480573394968	-248.2515049814889
363	-137.2075107730691	-519.2941104673532
