Environment: LunarLander-v2
Agent: A2C
Solved in 1651 Episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-299.6726529856944	-130.67137685293778
2	-368.3713315341805	-183.6372645181762
3	-112.20118242490653	-542.3899927996272
4	-333.80500953612744	-136.50567442664354
5	-120.52328265346912	-239.86321456929875
6	-198.97102527001886	-1177.684264029651
7	-81.3210477934386	-789.2243896985373
8	-254.38434767264386	-619.772580136276
9	-155.76101778564492	-443.4510977509955
10	-139.51417736860628	-890.2552869023349
11	-227.9598731243101	-913.4077999354541
12	-93.46397867161923	-380.598662289051
13	-83.46224911622488	-476.78476096998884
14	-279.55175184419556	-311.6474102993857
15	-136.7489479739598	-518.6133733050314
16	-60.56192556870139	-673.172112626919
17	-340.53435585344494	-1144.4219670357147
18	-167.33111910305377	-455.61612400783014
19	-122.20575854650033	-689.947667215927
20	-136.3173067878353	-989.7811584594159
21	-338.9341282920713	-867.8521792596322
22	-387.1369031530521	-1466.9005165612348
23	-552.2581971642142	-1501.0195040091667
24	-132.31911256961598	-336.92037278505023
25	-17.44504403416495	-753.320636766083
26	-177.42619769199234	-613.7714204351457
27	-70.75371661646501	-2141.0663410922607
28	-150.23545559609727	-2417.1310685314174
29	-145.5943918414542	-1491.9952894378828
30	3.812935717717963	-963.9829970039219
31	-74.38202159974199	-769.5622834490621
32	-209.46452238228383	-1035.6853794595083
33	-262.0908251146956	-379.646313294048
34	-114.88013653769256	-561.424917597685
35	21.701509841714298	-255.66150200279125
36	-144.84871296127528	-1083.4728720086323
37	-110.27595323744339	-1196.519587537776
38	-160.63514076669887	-697.4723912206565
39	-87.79254273676659	-1333.8773071674548
40	-277.6299362662853	-981.388888103227
41	-262.11455557566023	-272.32540701460107
42	-47.63233969350615	-1302.5823859004026
43	-238.3377968162766	-1054.740725696715
44	-106.1901157828691	-1359.9990378115604
45	-151.63864840394504	-1514.5463329417419
46	-115.24194361271178	-1010.480226409266
47	-94.34458082531648	-415.9205612171132
48	-87.60627698348287	-1742.3187848640619
49	-2.5585645010524445	-821.0373351024589
50	-181.463818264884	-789.0006170909179
51	-72.09718293991192	-1072.974819096939
52	-99.32337109308448	-906.8597142655356
53	-161.1694554795899	-929.7282930496888
54	-54.19553538184635	-1158.1824972612694
55	-283.83951438295094	-450.8645550803677
56	-115.31902303210182	-1470.4557622464038
57	-80.59411764823824	-1643.3010914502438
58	-83.0770660048624	-2016.2563416722414
59	-109.5418671200417	-1925.794410890808
60	-316.36506277696276	-1343.6864438866705
61	-113.60450703066002	-1061.2812351869952
62	-187.3000150682652	-1037.5821041904414
63	-246.25505378750745	-615.5113758669222
64	-240.93912283461557	-1382.4313369356653
65	-169.75704735235513	-1219.3103908688554
66	-126.70925967467666	-1749.9584883130735
67	-60.88124191442165	-423.3167125227541
68	-68.11577593466744	-1099.681100396861
69	-93.0459973376111	-2642.809397014507
70	-61.71559936118794	-683.7725384910838
