Environment: LunarLander-v2
Agent: A2C
Solved in 2000 Episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-199.64786288530746	-1092.350720391043
2	-81.29531178266687	-524.6295844375786
3	-173.2229304221081	-833.2609450687273
4	-301.1920158962094	-391.30219381170235
5	-464.38370261648305	-506.55125727883876
6	-176.62738333584406	-1127.0402962915725
7	-63.446036758680144	-1999.0938909008767
8	-81.47557064480829	-1063.4989639657692
9	-291.1891514016029	-971.6390092722736
10	-459.30417741935855	-581.1862727824613
11	-110.50219893429406	-441.93923168678975
12	-193.03911843967967	-397.20376506117685
13	-110.126103401866	-535.6888743114137
14	-86.8043688502052	-2803.213640470514
15	-380.9929292115688	-589.2478858782781
16	-202.262819500989	-662.4508937924354
17	-48.51979554493703	-486.0098622591929
18	-308.20096464096514	-397.37112244283384
19	-413.8264204849554	-418.7704324600005
20	-158.1153849847596	-1623.1690042140003
21	-110.48259269280622	-583.8174989467375
22	-109.66953888193218	-730.1185954540757
23	-81.55202351989728	-482.95114186375554
24	-95.11524538629267	-815.43447421663
25	-388.4752646660559	-604.1357548718519
26	-330.2932933810788	-2094.6855234480363
27	-194.8208560317357	-554.243582480756
28	-204.63397860249916	-815.6437828429548
29	-137.70957923312568	-672.6010951596628
30	-315.1122107829914	-517.8671793728001
31	-271.4503718573291	-527.6277788522041
32	-170.91508443277178	-437.2055056476911
33	-331.95345580034336	-955.2179240583908
34	-174.8687953251827	-1532.1749233726048
35	-96.22371428568907	-638.8979207608601
36	-186.07540261300886	-595.3507332939408
37	-232.62620344127012	-774.8288445220576
38	-450.7522478037104	-1357.2034818889774
39	-206.7407454249261	-2146.665210075135
40	-177.0661534233751	-510.3685011447111
41	-37.08490493588297	-695.3157850188722
42	-236.86646302441085	-483.7842337616984
43	-83.54177303901407	-714.0733353431569
44	-159.1548264729459	-2196.3705794966795
45	-250.280307462196	-696.3347484148082
46	-77.27725920290771	-2699.1704329288414
47	-110.06466558277488	-1103.67572282413
48	-82.11475631742255	-690.603319820653
49	-100.77153956540324	-4655.162651108332
50	-197.41447433815978	-1733.6321937283174
51	-63.10500584063353	-578.7521265963037
52	-133.53371815442654	-2065.641126200474
53	-125.2382564787774	-827.4525384760016
54	-155.2594315455226	-1062.6157326615257
55	-86.18559143139194	-3255.797464859704
56	-278.1815716217442	-1009.9597467496637
57	-222.76183094973416	-1071.334292608101
58	-79.4230559890331	-864.2135040740678
59	-85.95175933330916	-564.0230838120733
60	-77.41337926237199	-1359.651126108419
61	-167.39587604614297	-633.9405080016985
62	-111.5608457125993	-2189.9491410788205
63	-101.28696263925666	-2687.3665501248834
64	-233.43128506076678	-676.8675384966775
65	-181.56697980837856	-588.579019682132
66	-49.187252132177406	-500.15287704690434
67	-212.3864843973244	-1480.3165234903838
68	-80.8481395138021	-666.9277064283027
69	-174.38783693324905	-488.7274624078244
70	-90.59771231547614	-589.6104827274262
71	-94.78443282521285	-794.34499001322
72	-61.76644878978251	-479.84194830540036
73	-99.34371669486774	-1010.543948838865
74	-245.20871730948627	-670.9315147726481
75	-27.271302195483372	-757.1299482994157
76	-78.35325924038477	-1133.1518556667884
77	-94.91862130421698	-714.3909304414915
78	-130.62901046437668	-810.1060589525713
79	-145.31446975066154	-1562.5298943109497
80	-92.9865291267801	-738.3857874391708
81	-87.23072723929992	-809.6011642763555
82	-319.01434658967065	-1125.1107887157993
83	-392.5806314649458	-1251.8643679273423
84	-321.7102142580892	-1431.4392574113372
85	-325.53264803500485	-1151.7442038190873
86	-58.67009667462529	-1561.0392099616029
87	-15.649176380145093	-483.67029008583097
88	-193.5441669835863	-600.9375779256582
89	-283.68084808378273	-517.202047608389
90	-134.41493656339838	-495.33382123061887
91	-107.03466849319165	-573.2740122258479
92	-254.86585898841733	-2602.386461753627
93	-274.6908286677623	-858.3434420726013
94	-292.65083646861785	-398.45230861069723
95	-111.43229363631943	-1132.9725836829814
96	-148.48269670283355	-353.9363060436892
97	-54.14153514016433	-743.3724894361242
98	-189.61697900910093	-1444.3676570115845
99	-287.2320753331776	-959.9629097193148
100	-288.08735012203783	-534.716331013966
101	-113.72229372275055	-4769.466136870588
102	-75.96321799355016	-1299.8419251502849
103	-265.820369941144	-1885.6089972647778
104	-98.15553198578884	-1810.1995541080253
105	-172.614000261383	-1890.979014492171
106	-199.8609653817507	-3468.714990461174
107	-81.00384679311759	-818.8358701988412
108	-138.93594337630185	-1848.6117486657906
109	-183.4677483457071	-1075.9612440997048
110	-42.47309772833101	-493.3627624414653
111	9.538928192318437	-1126.4348728301545
112	-69.32320789026788	-413.3193278480445
113	-250.30364045634366	-1440.9187295277945
114	-103.89165192778907	-1195.030495276804
115	-158.41876163076654	-523.8747262592129
116	-40.53521475717528	-1022.3248885479838
117	-120.57380800517784	-529.0349634383282
118	-202.71221905405918	-907.2638567115514
119	-83.17297941908996	-364.8656302498541
120	-77.36227277621026	-1028.8617537238651
121	-56.63882319086345	-829.2788665192253
122	-45.427394064397674	-515.5758848490143
123	-84.25037572427206	-1121.7832707384136
124	-25.431932907165503	-1074.9401496165242
125	-211.3854755748294	-678.0727414680213
126	-133.1257157145809	-1274.7797700719184
127	-194.7976684279493	-285.28007871370875
128	-95.81230981030815	-1139.23528499277
129	-132.8398866648744	-2315.1734075504796
130	-43.38159931505732	-1061.9986314836833
131	-170.40032115701013	-2859.165896305385
132	-67.67154122532865	-266.0787188547482
133	-48.8869040964416	-970.3181214352403
134	-57.679102995000804	-786.06382922469
135	32.43144468541601	-890.2853173733147
136	-101.71608848444988	-1985.7152205631721
137	-152.35676376957414	-2552.216317816599
138	-63.09299231170404	-1180.0069761905618
139	-85.13062288849297	-2310.9736215847674
140	-112.19217702992661	-2177.893796744882
141	-4.534113411259682	-1775.574241120448
142	-97.84717379440266	-2053.226995295113
143	-46.6356062261746	-1361.581492021803
144	-98.68710147928813	-1549.3930624965387
