Environment: LunarLander-v2
Agent: A2C
Experiment: standard LunarLander experiment
Parameter: standard
Time Taken: 717.1738021373749 seconds
Episodes: 702 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-59.24623204863353	-168.91707606918231
2	-323.2747973006553	-546.6798849716758
3	-126.36208243871684	-919.7001924783547
4	-152.73245229623217	-599.7569030729137
5	-235.325322508086	-518.1453758266125
6	-198.4538610460695	-388.8218852240507
7	-96.06949257050513	-444.3296440694733
8	-232.22882241278748	-769.575564375161
9	-142.7855430379119	-598.084081685775
10	-91.31159644207756	-566.2457708127976
11	-295.78200882669086	-550.5045907815687
12	-59.62324285915256	-1566.6735288498194
13	-82.80586946647884	-632.8184923116202
14	-59.43203074659352	-455.0736772672844
15	-330.03457693521204	-715.2102356549432
16	-75.12506364873363	-663.1036600374804
17	-318.3059202823182	-1035.9933506447255
18	-254.87548667718906	-654.0469944375774
19	-289.8529884542811	-984.0155361016213
20	-341.23371392034454	-1114.1065696864462
21	-43.568274811286905	-933.9802337623372
22	-90.99720576918206	-1963.0296899559391
23	-208.90244348740887	-2409.908338321265
24	-151.43789164146193	-938.7490895309261
25	-42.32665045834365	-1620.6585084150572
26	-303.84674377521435	-645.0061480731507
27	-348.73732852481703	-438.50928423159536
28	-140.59241489126953	-663.8659356428706
29	-264.6532614977517	-791.9919721110491
30	-343.07874175596356	-1214.3215997197105
31	-236.60235621180937	-952.8819879067186
32	-85.52704974761878	-683.4303692066304
33	-114.81271763391939	-904.4987155909229
34	-288.85690787368213	-924.4890009773125
35	-127.0010602983977	-809.0823189647884
36	-517.079081048644	-853.7609870874676
37	-127.4000421927876	-267.59199595591457
38	-144.51841104105904	-1921.3915140740341
39	-180.57967304677635	-794.3557850230175
40	-275.46549585599723	-550.6210774651959
41	-93.11095213949962	-2692.023694985731
42	-233.21875159321146	-462.0512565133721
43	-265.9219219169913	-429.1995712848844
44	-126.702281930523	-1693.8044467394689
45	-68.07458631808882	-2059.5703052778927
46	-113.97087185335054	-1067.6845888031667
47	-137.11483514245631	-922.2769319862698
48	-188.9351561702173	-2155.77590800527
49	-130.42451812963841	-769.6767762262734
50	-91.204573226429	-748.1384118559117
51	-47.54375753319847	-776.7743653608422
52	-168.02350057978055	-1071.8899222127038
53	-64.42393880975276	-513.7991910717737
54	-447.0923470561116	-610.2472014614045
55	-101.69668984154916	-729.592801575081
56	-126.69390706532577	-668.7742143337587
57	-101.51662592869532	-728.8869198466559
58	-188.87898772220677	-636.1659564336752
59	-96.01729029822295	-1140.2434246185126
60	-143.53847099203	-1027.9587565347656
61	-95.91781515870015	-486.52982043181527
62	-117.27957675182455	-541.4091081835194
63	-97.71833688027372	-739.0351784372716
64	-95.31002060772077	-516.4051238879943
65	-206.92215037907408	-1432.1981632972859
66	-90.06438900014192	-3149.2659870365906
67	-252.38111017207976	-996.7169913905165
68	-91.49323365926887	-1405.8134536251503
69	-101.85944750001286	-1613.939735186152
70	-106.3003184149716	-919.4689807447392
71	-96.08301716457844	-557.9130284417972
72	-7.0812089872863595	-490.2142174368887
73	-149.14323231153884	-1153.9905223207181
74	-60.60129091772582	-961.6802784089094
75	-164.31049759048904	-486.7680532576516
76	-81.32446608823201	-682.9081784847817
77	-143.30634640700092	-741.1345572681639
78	-99.89271408844209	-484.67045926284544
79	-130.8608420364454	-6163.453849468794
80	-101.68864387706884	-756.7533751605906
81	-95.0167243188187	-984.1778925284805
82	-71.66672046185747	-2533.927288230246
83	-279.3734649262531	-836.7628240768069
84	-111.35690083656795	-4423.119205954194
85	-210.68651570195004	-1417.1308120868182
86	-222.346561321864	-539.2172181953996
87	-71.28746424929187	-1163.3473828932608
88	-1607.307852895803	-1839.72649412001
89	-518.967946994755	-703.9176794767474
90	-114.4450503212995	-783.824535308572
91	-368.0511904025921	-942.6804071961182
92	-460.1303292739822	-553.2496722893504
93	-72.66504075908071	-513.2533888500757
94	-225.45589635138705	-872.6702602331676
95	-164.08261387016734	-389.84980235884564
96	6.06571620366087	-423.6644801060554
97	-285.52667985749565	-856.4090661307301
98	-241.75743269870188	-611.4119617490608
99	-636.914332323792	-601.965416911472
100	-13.70885143679115	-544.7847851843289
101	-469.7668011235315	-628.2328029509342
102	-207.80360655718664	-382.5470490600713
