Environment: LunarLander-v2
Agent: A2C
Experiment: standard_experiment
Time Taken: 1272.5472977161407 seconds
Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-69.41462622056252	-656.431772187378
2	-104.85518112796808	-342.90781314007074
3	-176.5225697389319	-425.82942498247166
4	-151.63822176193506	-303.1504190930523
5	-129.5752125275783	-1267.355980120716
6	-114.29502969301183	-838.5421569731485
7	-243.52560943524924	-325.60326100392564
8	-231.35043943069786	-1194.5748668869803
9	-147.26034484584534	-626.5277232635979
10	-168.40295780527913	-824.6116908018599
11	-86.26920310490945	-578.7689152178439
12	-100.69194529210098	-1841.3438988363653
13	-320.20239195215396	-434.9540485621155
14	-229.2772747088074	-605.2013448271605
15	6.581070776890968	-1204.0429254634064
16	-482.94117436248365	-815.6320410140947
17	-292.48301728668366	-828.1572434537304
18	-445.5238089345253	-581.892805430507
19	-336.1025456580225	-694.1015621518764
20	-379.90921620077347	-844.3587773617846
21	-106.51188244804862	-592.38447786868
22	-195.48730224024524	-427.35950124951916
23	-524.6443481847289	-2011.210677283221
24	-363.0988759237687	-577.5575869362308
25	-298.9903653894159	-764.5893518419915
26	-344.5701893094292	-677.3980495735183
27	-599.7793470506725	-462.01637798229984
28	-257.22922309062295	-572.2046732179915
29	-395.8509024582796	-661.4209676176848
30	-2.68833604391493	-270.90406918171493
31	-259.7447896249421	-432.27258296990436
32	-226.75708918611286	-208.20475872767537
33	-165.93768699591212	-132.2250687413004
34	-81.87117703124844	-278.3571281099614
35	-7.229694473337901	-149.42210748274897
36	-96.4872796922259	-212.95364455950016
37	-109.55026556871147	7.143526809274562
38	-76.70935715544204	-163.57638505265476
39	-199.1686830561465	-163.93832290851856
40	-109.58312336591112	-123.88206692068226
41	-175.73567886094096	-137.10620014945664
42	-159.45136681745882	-135.5690023325083
43	-86.83349828302545	-100.15954588285483
44	-151.18554550462187	-117.45018192984823
45	-67.44684969714345	-141.9393353814171
46	-135.40071555709585	-127.31780556332882
47	-79.41095040990783	-149.3624103961888
48	-148.7839562691874	-115.90392974162891
49	-134.57477576676956	-165.5908499802345
50	-117.5497174291171	-135.72811928972513
51	-107.0924936030714	-146.28306709683355
52	-71.5004473601293	-119.77772418947862
53	-96.45658094641337	-93.9687419720833
54	-152.28726390838958	-409.98731015147956
55	-162.98777847184607	-705.1292908952429
56	-102.48046876133597	-1054.4814924268092
57	-88.17583173265531	-962.8473701846734
58	-49.95805865193127	-1339.8740512094803
59	-50.38925009198317	-1272.0255713144647
60	-87.52119261868901	-1165.6942709345637
61	-95.83597731599646	-277.3717414924315
62	-204.37666060865382	-964.9454612275903
63	-60.04952222329831	-672.9205892624564
64	-101.2677192216936	-1180.450167533741
65	-4.18161217867484	-1012.9084643506536
66	-79.00539570235863	-891.6521468444716
67	-181.0387986027905	-881.0635346473597
68	-23.661702010754425	-583.6038213277295
69	-66.89648290217502	-835.6661438198975
70	-65.00686011722115	-805.125057990214
71	-46.9648445118852	-662.2983539290515
72	-45.39571393732416	-612.7516376064327
73	-222.18620213309197	-751.943268589199
74	-239.1935065103721	-493.5085160634813
75	-198.47476105707523	-691.6799011723289
76	-182.21507211974182	-701.1181449420193
77	-175.25764458274654	-379.8718718854582
78	-47.80539113406353	-424.14269549636396
79	-148.5884143441894	-743.2352120510283
80	-99.55177374980279	-494.64589720423004
81	-77.17628049286665	-974.3364062371581
82	-52.9827672351626	-1354.6944153608574
83	-89.7874327922206	-2692.673589156115
84	-37.967505716940764	-4811.03214868338
85	-112.16599245107432	-2402.515786390818
86	-48.04667187369716	-4623.70606499905
87	-176.70733877634297	-2902.359036358417
88	-74.19327728112489	-3109.3803232204923
89	-150.33906549239308	-2561.381529223433
90	-63.81098665419837	-829.8783611380437
91	-10.87662426824761	-1199.768780322256
92	-58.639904402358674	-1020.5465812597282
93	-75.0985057203861	-1087.4091378662674
94	-35.23997599093384	-902.3359889004419
95	-717.7938315871647	-1043.991916575523
96	-252.18069219046177	-918.337791103613
97	-233.94563211927075	-483.1868293571522
98	-1863.3724234838608	-1905.2762038816554
99	-1513.5425882330806	-853.6991662215803
100	-768.4419210947461	-1512.053670635436
101	-935.5049119583614	-1340.6882658884224
102	-475.19615595792436	-633.1551528374405
103	-602.3177076954554	-1998.6967419213313
104	-14.08177183558088	-1186.4548623728076
105	-343.44929549903895	-599.3847712962629
106	-21.00859644311403	-540.1019481548814
107	-194.4767516230483	-641.2804110495455
108	-84.50810829014169	-433.25313750510907
109	-28.23182026543553	-268.7113447282135
110	-82.8600471559977	-258.62544576632513
111	-32.83199110275832	-145.90305378766945
112	-74.42221116786942	-82.12466739349547
113	-65.85369122491139	47.483880792755855
114	-88.0787592340515	-48.15368133912434
115	-79.02495486976184	-28.016994216136588
116	-99.95496824798813	-12.357602688873907
117	-56.49978391106666	-36.011271796936505
118	-91.12456788451121	-61.40467177563577
119	-42.49740600834653	7.838029144894887
120	-57.67876256339328	42.423583450239846
121	-39.51351145645313	43.367391703871505
122	-13.432887968489183	-27.735103252271998
123	-66.42281291502331	-23.729634791296263
124	-62.4514816766237	-42.970617012699186
125	-48.18752952491029	-4.553553757280463
126	-46.241708533380496	-58.59664983033786
127	-79.76986921531167	-26.275494183467476
128	-68.34665777320122	-36.441199503255866
129	-43.6887223376126	12.90941848916816
130	-23.28366670652761	-100.45038568609823
131	-72.8393242222614	-99.45153531319792
132	19.182307663295717	-142.07149683034527
133	-56.1733080846216	-224.97341064501393
134	188.71142149298305	-174.85925703139526
135	-72.10909912188747	-204.51299826181548
136	-9.125498239961303	-231.4481160531064
137	18.856465740970435	-268.020455082261
138	-92.14202796368686	-275.39387899263227
139	-69.6281428185795	-200.06275181421353
140	164.09498278408302	-288.9427040611131
141	-157.79485005139722	-264.4052537179879
142	-4.007249887422431	-339.02695463826626
143	-109.80424404688605	-282.9925489310954
