Environment: LunarLander-v2
Agent: A2C
Experiment: standard_experiment
Parameter: standard
Time Taken: 2221.365847349167 seconds
Episodes: 2000 episodes
Max Episodes: 2000 episodes
Reward threshold: None
Episode	Train Reward	Test Reward
1	-117.52488955054663	-130.67137685293778
2	-213.88162413593005	-409.5681360451929
3	-131.63429026076557	-493.52234052586584
4	-172.65699011426153	-699.4377123525005
5	-132.7862397058065	-541.0294776277078
6	-22.433081706680852	-589.1719440449897
7	-68.91517024318038	-697.7919130967338
8	-165.32949450684544	-606.9352906975857
9	-110.08793861284764	-814.6668682201673
10	-71.03769561464532	-202.72832546934856
11	-17.618953235940353	-643.4767767692364
12	-113.86467894167939	-299.17752917756445
13	-234.28904922135655	-638.176070295412
14	-165.63870530770956	-707.5557355681352
15	-28.322833579902735	-642.1403481845073
16	-152.93024825737228	-207.7606001106766
17	-131.09049987363844	-142.7929072675415
18	-360.3690584790088	-404.4559570839381
19	-114.06895549742386	4.606213518122047
20	-115.18165651021232	-144.26977950034885
21	-102.93107063814838	-132.24519328719907
22	-126.35557364176167	-379.025789794872
23	-84.51779606526	-149.0374373351476
24	-270.6290312917416	-527.005826386192
25	-273.64893629356754	-413.65263956879534
26	-187.2557707653188	-140.11310158885263
27	-276.29122218940864	-302.6450327851295
28	-141.0724213161469	-534.5046057413356
29	-192.36919970229764	-527.2709161623892
30	-69.61443555299482	-764.4948545847751
31	-55.10199157708671	-273.6096298741694
32	-444.49809653708814	-140.8093277605298
33	-112.00069037481254	-660.4270280999201
34	-380.12364332644927	-332.98849788755103
35	-75.55401114379185	-609.8924579851009
36	-144.93230654585432	-270.8302985589637
37	-260.9489216950108	-622.909961552316
38	-144.93880772311334	-658.7573105161088
39	-228.12411441355783	-976.4208640900785
40	-279.15851395393634	-860.3403296501476
41	-144.80775930268328	-384.71049426733924
42	-152.42418847808818	-162.08642519371924
43	-77.76813115854583	-418.07157681042355
44	-131.15773535583364	-316.8102348279379
45	-173.63836914023784	-104.52412059660126
46	-177.52240145696572	-362.5146947920034
47	-131.480233911843	-267.05443428706747
48	-163.91822943113237	-200.16007740183815
49	-209.1308918300959	-275.23025620736325
50	-157.52222986655352	-327.34797266871124
51	-94.43763196422583	-135.14287651011696
52	-135.15145383449553	-128.8661938616734
53	-216.40713169380223	-290.7858107876598
54	-199.99421580768922	-4.254718419189089
55	-55.514507053410654	-133.49520201194548
56	-267.79439816512735	-271.9064999841666
57	-163.08372962628727	-282.033172370274
58	-172.6827277086192	-191.8004132183886
59	-49.35967438789915	-128.81824941338647
60	-172.45116377914647	-148.328985097358
61	-85.30729457481334	-89.93880787293881
62	-85.41390398379052	-181.59499292918534
63	-107.19276674310646	-155.23910779821597
64	-119.6646069264944	-169.19869643628004
65	-301.63881719295443	-157.23018708298997
66	-130.54506193678233	-287.19018734172636
67	-86.89001729100107	-273.75657102136205
68	-163.45390654665346	-73.03058508377374
69	-73.13238020967954	-274.8730712996346
