Environment: LunarLander-v2
Agent: A2C
Experiment: standard_experiment
Parameter: standard
Time Taken: 1278.4585933685303 seconds
Episodes: 1565 episodes
Max Episodes: 2000 episodes
Reward threshold: 200
Episode	Train Reward	Test Reward
1	-277.31162931313395	-689.9889143607926
2	-256.3791007985775	-125.32870502170348
3	-99.48275422744564	-568.3019525438624
4	-91.84718061866295	-264.0946584536648
5	-71.31200569330429	-711.2145048780978
6	-113.25708829901666	-444.29500092311116
7	-110.90195920640033	-900.2029300637905
8	-117.59183369227856	-653.3949549920954
9	-559.5595015255495	-994.5195105163633
10	-108.71856075314118	-498.0441655246036
11	-458.95250615481046	-216.76104865979354
12	-127.17274000296806	-428.36743241507577
13	-256.4122859692301	-403.18722122174034
14	-368.8928725157822	-429.21993081226884
15	-91.11547152660364	-357.27593604119204
16	-93.34148565661069	-519.1830896414988
17	-133.00715147841828	-548.3550670911615
18	-158.09284998043435	-413.6286977853696
19	-244.54199766187062	-473.1525561070289
20	-114.18355449057923	-584.5351541940838
21	-78.2817573396691	-470.82029160224306
22	-89.04192366546215	-555.5004647113471
23	-304.46733485184814	-303.42619924855086
24	-49.01430480379431	-472.60911168286447
25	-298.9351887605213	-271.19882978057126
26	-347.7747195413029	-423.91953712706425
27	-193.91508373566273	-427.06075937256446
28	-178.96655744536443	-204.84068904454014
29	-189.69234695621958	-423.01529941182685
30	-180.79785607906194	-295.88812256591166
31	-357.64220102810714	-851.8341844098428
32	-268.0015546227021	-720.4372112241641
33	-316.53244758677147	-309.36309085755545
34	-177.5279839914544	-630.7882625244822
35	-132.51377755532314	-338.3354073538162
36	-231.0910693275836	-444.53718134657305
37	-164.98537249362067	-437.3401158625762
38	-365.3748757272682	-1455.9120394260322
39	-193.00515664514887	-724.0561922508751
40	-71.5019595326809	-409.7178137873973
41	-159.00656112940638	-667.2696638035897
42	-92.43448891109158	-1254.6173940378487
43	-243.04310021882102	-1505.0852858537287
44	-127.5057094181194	-1010.7756185861462
45	-174.9073011989626	-545.4478694591631
46	-72.62714958113949	-1410.594208686944
47	-153.77461288620486	-984.9516515391715
48	-320.8630807498415	-924.6768485707175
49	-183.30117256735355	-847.4351761566201
50	-106.75576330479089	-1613.755778426736
51	-466.9350081079435	-264.39911256158837
52	-105.33398849603299	-1559.3361665107325
53	-66.93276813650075	-1086.3764390577664
54	-115.35177175229784	-421.2682542891323
55	-105.3787423226265	-924.9091051996983
56	-22.157626957103474	-921.4302316632643
57	-122.98339646229431	-701.1204375137216
58	-325.1338180007414	-584.0663517833541
59	-187.8752707940962	-946.4818967403428
60	-305.34864540055275	-794.822457285233
61	-92.0089914266394	-669.6783026706173
62	-103.06368226242432	-644.7084253688516
63	-102.02698085242153	-159.81580714369557
64	-299.4721238569224	-835.0223467088676
65	11.026575793322678	-222.23192130604835
66	-130.53223545079624	-1308.9453516765268
67	-152.46953511746523	-1361.5957689787417
68	-137.24205792447094	-188.44712871327062
69	-48.358295769125746	-1070.7903729232712
70	-68.30941009689045	-1561.0890301369966
71	-215.6090665524391	-199.41493942373978
72	-257.8454263658542	-1533.9415424545505
73	-225.68876602632412	-2432.6633767580743
74	-101.07548368359255	-1378.7671830808092
75	-99.10657424630828	-433.27527448191586
76	-199.88197390165183	-565.9985358760309
77	-247.83695678108162	-927.1583723509381
78	-101.8743191616909	-1405.048916123678
79	-192.85795121691157	-296.4969243660822
80	-103.02234773969778	-512.6561103224678
81	-21.460033124341663	10.424781426123971
82	-103.18211545336524	-1574.6969917407382
83	-189.60976291481768	-2164.05519560168
84	-41.21654059479775	-553.5389560717379
85	-68.4052097080311	-134.88114471291897
86	-117.29762781836132	-501.13945273295053
87	-123.15770452323399	-155.10845880605456
88	-108.708527120077	-1497.3232274781801
89	-151.43943507091151	-1616.2867239586233
90	-69.36275955046798	-398.9598184924126
91	-152.32865834276257	-3543.016065407836
92	-100.77830014408983	-1488.3471131677863
93	-89.03989513926533	-1060.3982382896354
94	-108.86505795974693	-343.58455932033723
95	-160.61814273445168	-905.521826735677
96	-95.31478974127988	-786.5301494660507
97	-99.92046347193715	-1676.0010998789205
98	-95.24340484169971	-1719.3708403051303
99	-95.16404818452114	-996.3818670464725
100	-171.27931287916908	-540.7619798723132
101	-296.4801651913025	-300.2880835437981
102	-84.69129255574526	-701.1798302129743
103	-156.93652964004272	-727.5569789955641
104	-122.65288497988442	-1594.6117730735814
105	-293.80657113829784	-1117.849101171701
106	-188.1500278756719	-626.9511417855778
107	-187.7432728997448	-354.7307255414768
108	-68.67792983905855	-1019.2508804690616
109	-222.54017622921577	-928.2918834238902
110	-192.33042901835307	-579.9717586723868
111	-85.48749753409187	-725.7637721382393
112	-44.71097954452227	-943.2645967516659
113	-133.64188578759936	-673.3856355094109
114	-167.3674154910543	-698.5104731989763
115	-130.90616702929748	-489.76689329491774
116	-107.61546329200623	-982.0739796017839
117	-377.71997945947874	-951.3743122819399
118	-173.6286824008947	-459.6958472780675
119	-355.0033873733193	-1261.2863355127822
120	-292.8546482839135	-2626.4710631693333
121	-104.49085417618736	-574.5988929852886
122	-101.42768835287643	-1104.1496828949037
123	-96.2175364956231	-828.9792891723293
124	-320.9821790857077	-2228.4411466377683
125	-419.3142953379188	-1055.867140582832
126	-199.27336781422	-552.1317175403804
127	-331.3393566550332	-1461.6631978185892
128	-264.54884966467273	-692.1375193149735
129	-116.80531341021187	-964.0466892871779
130	-83.33968080282922	-902.22027125447
131	-47.689613453324526	-725.3264337712944
132	-66.36495380742745	-763.5780259346134
133	-129.4311500145111	-461.5088968242365
134	-69.85515437079269	-689.2312128445333
135	-62.749701620254875	-988.3274508167975
136	-290.82374809449266	-875.1884379027531
137	-477.2680993599651	-783.0715392194587
138	-79.51698216738104	-943.8706317912852
139	-28.602289102475936	-613.8000980244728
140	-83.01178995411354	-1236.7794478039
141	-195.38374345084083	-691.6971476114809
142	-185.81408717380344	-753.7871428453957
143	-131.7065472029036	-1992.9949166866722
144	11.125464852920189	-3234.5096927670925
145	-107.44053858771353	-1748.6244063236754
146	-98.10508477661588	-980.5752810127316
147	-74.93808770166933	-1060.9170113362572
148	-591.07731042519	-1570.379509765708
149	-137.04043380192854	-1055.5014130855802
150	-290.0857677953794	-678.1764298502251
151	-301.7977543575968	-844.6583714144838
152	-51.168718741686604	-2362.977473123947
153	-128.31249996242707	-1295.632236582534
154	-91.22017718877694	-1667.9072591109675
155	-132.46952927363992	-3329.1067078519254
156	-285.96938815441933	-749.9719131252793
157	-169.94595175885098	-3337.7743386147954
158	-114.17636215984416	-450.9659036712863
159	-167.17649506132506	-759.4310405423452
160	-43.13645755690723	-473.5788791839288
161	-193.7141829846218	-726.2580205721488
162	-119.0141240227897	-1001.2312518107024
163	-152.01172586535358	-2313.5671312648774
164	-173.7942560075595	-523.5594323939747
165	-88.4832200317104	-676.4790324261496
166	-93.7844173420772	-789.8507642493853
167	-75.34765252629246	-1159.562105775156
168	-144.230547877149	-819.9248050684903
169	-72.68044199137069	-805.0601490742473
170	-106.58820076787177	-881.6925564185098
171	-73.69727023244889	-5780.717131488496
172	-93.89304001207793	-1399.0840294653192
173	-298.1962986207237	-581.7041011078038
174	-242.67040804343176	-1224.2502727870824
175	-187.7304404323088	-1393.1532359397308
176	-447.3054402485242	-471.35120036797827
177	-340.8794351902368	-939.2721919441709
178	-20.928639907320132	-419.50486702151875
179	-130.25694319863817	-399.29404493165566
180	-278.2735830496606	-540.1788306452224
181	-121.82159088408874	-545.4544549137456
182	10.078494657224283	-1778.5501204451568
183	-153.84609814333476	-740.5259800482117
184	-27.601317706790496	-995.9561774947977
185	-166.61944175983166	-1485.171644388785
186	-163.8471376941415	-2210.576646334749
187	-87.47983194977037	-2954.3232019924058
188	-196.58321517560017	-969.2698053482765
189	-103.41411883952864	-2247.5909711337376
190	-18.607493529481502	-569.3984435509019
191	-57.05172745083742	-3199.6089408119174
192	-230.48567782697657	-3433.053253386136
193	-60.17105411718683	-660.5314905266439
